Date,Open,High,Low,Close,Volume
2000-06-29,7.81,7.81,7.66,7.69,7500
2000-06-30,7.84,7.94,7.69,7.69,1400
2000-07-03,7.94,8.0,7.66,7.66,19500
2000-07-05,7.97,8.0,7.94,8.0,20700
2000-07-06,0.0,8.0,7.97,8.0,24400
2000-07-07,7.88,7.88,7.88,7.88,8500
2000-07-10,8.0,8.0,7.94,7.94,6000
2000-07-11,0.0,8.0,7.97,8.0,12400
2000-07-12,8.0,8.0,7.94,7.94,18100
2000-07-13,8.0,8.0,7.88,7.88,11600
2000-07-14,0.0,7.97,7.97,7.97,1500
2000-07-17,7.88,8.0,7.75,8.0,37900
2000-07-18,7.75,8.0,7.75,8.0,6700
2000-07-19,,,,8.0,0
2000-07-20,7.78,7.78,7.72,7.72,11000
2000-07-21,0.0,7.75,7.72,7.75,4600
2000-07-24,7.75,7.97,7.75,7.97,23800
2000-07-25,0.0,8.0,7.97,8.0,20700
2000-07-26,8.0,8.0,7.75,7.75,23500
2000-07-27,0.0,7.72,7.72,7.72,200
2000-07-28,,,,7.72,0
2000-07-31,7.88,7.97,7.72,7.75,54700
2000-08-01,7.75,7.88,7.75,7.78,2400
2000-08-02,7.88,7.88,7.88,7.88,400
2000-08-03,7.81,7.81,7.75,7.78,8900
2000-08-04,7.83,7.83,7.69,7.69,5600
2000-08-07,0.0,7.97,7.97,7.97,22400
2000-08-08,7.77,7.97,7.75,7.88,15500
2000-08-09,7.88,7.97,7.88,7.97,4600
2000-08-10,7.94,7.97,7.94,7.94,4200
2000-08-11,7.94,7.97,7.94,7.97,3800
2000-08-14,7.97,8.0,7.94,8.0,31500
2000-08-15,8.0,8.0,7.94,8.0,33000
2000-08-16,0.0,8.0,7.97,7.97,11300
2000-08-17,8.0,8.0,7.97,8.0,25100
2000-08-18,8.0,8.09,7.97,8.0,28900
2000-08-21,8.08,8.09,8.0,8.03,16500
2000-08-22,8.09,8.12,7.97,7.97,30800
2000-08-23,8.0,8.06,7.97,8.06,20400
2000-08-24,,,,8.06,0
2000-08-25,8.06,8.09,8.0,8.0,17800
2000-08-28,0.0,8.0,8.0,8.0,1500
2000-08-29,8.09,8.09,8.0,8.09,13500
2000-08-30,8.09,8.12,7.97,8.06,40100
2000-08-31,7.97,8.06,7.97,8.06,2500
2000-09-01,8.02,8.06,8.02,8.03,4200
2000-09-05,8.03,8.03,7.94,8.0,33900
2000-09-06,8.0,8.09,8.0,8.09,23500
2000-09-07,8.06,8.12,8.06,8.12,53200
2000-09-08,8.12,8.16,8.12,8.16,6300
2000-09-11,8.16,8.22,8.16,8.16,3400
2000-09-12,8.16,8.22,8.12,8.22,5400
2000-09-13,8.22,8.25,8.16,8.25,14600
2000-09-14,8.25,8.25,8.25,8.25,3200
2000-09-15,8.06,8.06,7.59,7.97,34300
2000-09-18,7.97,8.0,7.72,7.75,42700
2000-09-19,7.73,7.97,7.73,7.88,11500
2000-09-20,7.97,7.97,7.75,7.97,5100
2000-09-21,7.94,7.94,7.94,7.94,3400
2000-09-22,,,,7.94,0
2000-09-25,7.94,8.0,7.88,7.98,23200
2000-09-26,7.97,8.0,7.88,8.0,32900
2000-09-27,7.97,8.0,7.88,8.0,16900
2000-09-28,7.97,8.03,7.97,8.03,10700
2000-09-29,7.94,8.0,7.94,7.94,18600
2000-10-02,8.0,8.06,7.75,7.94,27600
2000-10-03,8.0,8.06,7.98,8.06,9600
2000-10-04,8.0,8.12,8.0,8.09,7700
2000-10-05,8.09,8.09,8.06,8.09,6000
2000-10-06,8.09,8.09,8.06,8.06,2900
2000-10-09,8.0,8.0,8.0,8.0,5900
2000-10-10,8.06,8.09,7.88,8.09,24900
2000-10-11,7.88,8.09,7.88,8.0,15500
2000-10-12,8.12,8.12,8.06,8.06,1600
2000-10-13,8.03,8.12,8.03,8.06,8300
2000-10-16,8.06,8.06,7.75,7.88,35200
2000-10-17,8.03,8.03,8.0,8.03,6000
2000-10-18,,,,8.03,0
2000-10-19,7.75,7.94,7.75,7.94,5600
2000-10-20,7.88,7.88,7.75,7.75,2600
2000-10-23,7.94,8.03,7.75,8.03,30900
2000-10-24,8.0,8.0,8.0,8.0,2200
2000-10-25,7.88,7.88,7.88,7.88,5600
2000-10-26,7.75,8.0,7.75,7.75,300
2000-10-27,7.75,8.03,7.69,7.88,24500
2000-10-30,7.81,8.03,7.81,8.0,25100
2000-10-31,7.75,8.03,7.75,8.0,18400
2000-11-01,7.94,8.0,7.94,8.0,12200
2000-11-02,7.78,7.94,7.62,7.94,19800
2000-11-03,7.75,7.75,7.69,7.75,6800
2000-11-06,7.73,7.94,7.69,7.94,21800
2000-11-07,7.94,7.94,7.94,7.94,20200
2000-11-08,7.94,7.94,7.94,7.94,6000
2000-11-09,7.69,7.94,7.69,7.94,4000
2000-11-10,7.62,7.91,7.44,7.5,6100
2000-11-13,7.97,8.0,7.97,7.97,34800
2000-11-14,7.97,7.97,7.97,7.97,800
2000-11-15,7.94,7.94,7.91,7.91,3700
2000-11-16,7.75,7.97,7.75,7.97,4300
2000-11-17,7.75,8.03,7.75,8.03,28900
2000-11-20,7.97,8.06,7.97,8.06,45000
