Date,Open,High,Low,Close,Volume
2015-05-19,10.6,10.72,10.57,10.72,22813426
2015-05-20,10.75,10.8,10.65,10.8,4097785
2015-05-21,10.75,10.94,10.74,10.9,4023424
2015-05-22,10.94,11.01,10.83,10.9,3041119
2015-05-26,10.92,10.94,10.72,10.8,1422608
2015-05-27,10.9,10.93,10.83,10.89,1695619
2015-05-28,10.9,10.95,10.85,10.95,1807228
2015-05-29,10.95,10.96,10.83,10.87,1413910
2015-06-01,10.9,10.92,10.72,10.82,1320074
2015-06-02,10.81,10.87,10.8,10.84,1274848
2015-06-03,10.83,10.87,10.76,10.85,956478
2015-06-04,10.8,10.9,10.8,10.89,1351255
2015-06-05,10.86,10.9,10.85,10.89,1754919
2015-06-08,10.84,10.99,10.84,10.99,2276168
2015-06-09,10.95,10.99,10.95,10.99,1660245
2015-06-10,10.99,11.05,10.98,11.05,1538913
2015-06-11,11.05,11.11,11.03,11.11,841322
2015-06-12,11.08,11.26,11.08,11.21,1274840
2015-06-15,11.23,11.45,11.2,11.44,1918510
2015-06-16,11.43,11.5,11.33,11.45,1778507
2015-06-17,11.45,11.5,11.33,11.39,1249882
2015-06-18,11.38,11.42,11.32,11.38,1199964
2015-06-19,11.39,11.42,11.26,11.26,3687475
2015-06-22,11.29,11.43,11.24,11.41,1294073
2015-06-23,11.37,11.44,11.3,11.33,1137964
2015-06-24,11.32,11.46,11.29,11.32,906789
2015-06-25,11.36,11.39,11.23,11.38,1349098
2015-06-26,11.38,11.44,11.2,11.3,10204029
2015-06-29,11.3,11.32,11.05,11.09,1790632
2015-06-30,11.14,11.18,11.07,11.16,1021091
2015-07-01,11.2,11.35,11.14,11.33,1156511
2015-07-02,11.34,11.41,11.22,11.39,1224149
2015-07-06,11.29,11.47,11.15,11.47,1048473
2015-07-07,11.44,11.46,11.28,11.35,702764
2015-07-08,11.31,11.4,11.3,11.39,689494
2015-07-09,11.45,11.51,11.39,11.47,1105579
2015-07-10,11.5,11.58,11.49,11.56,805555
2015-07-13,11.6,11.6,11.51,11.53,458169
2015-07-14,11.5,11.58,11.48,11.56,412596
2015-07-15,11.56,11.65,11.54,11.58,824924
2015-07-16,11.65,11.68,11.54,11.6,901608
2015-07-17,11.61,11.63,11.46,11.54,764315
2015-07-20,11.54,11.67,11.51,11.64,602697
2015-07-21,11.6,11.66,11.51,11.56,460389
2015-07-22,11.53,11.67,11.53,11.63,470763
2015-07-23,11.59,11.63,11.41,11.46,502192
2015-07-24,11.42,11.52,11.32,11.33,431763
2015-07-27,11.31,11.35,11.22,11.3,425472
2015-07-28,11.34,11.52,11.26,11.39,706439
2015-07-29,11.36,11.41,11.27,11.29,445039
2015-07-30,11.22,11.31,11.13,11.28,453443
2015-07-31,11.05,11.32,11.05,11.15,671017
2015-08-03,11.17,11.22,11.07,11.12,653248
2015-08-04,11.15,11.26,11.1,11.15,532959
2015-08-05,11.15,11.47,11.15,11.39,611101
2015-08-06,11.42,11.47,11.25,11.45,553847
2015-08-07,11.4,11.5,11.28,11.42,423397
2015-08-10,11.43,11.52,11.39,11.48,591916
2015-08-11,11.48,11.58,11.41,11.58,507728
2015-08-12,11.56,11.58,11.37,11.5,1298102
2015-08-13,11.55,11.56,11.45,11.52,795784
2015-08-14,11.47,11.56,11.47,11.55,533086
2015-08-17,11.63,11.79,11.63,11.77,1344073
2015-08-18,11.75,11.86,11.7,11.78,506184
2015-08-19,11.81,11.81,11.69,11.69,305851
2015-08-20,11.65,11.66,11.48,11.49,835592
2015-08-21,11.35,11.57,11.34,11.44,777611
2015-08-24,11.25,11.36,11.06,11.1,844256
2015-08-25,11.25,11.25,11.01,11.09,872421
2015-08-26,11.27,11.34,11.11,11.31,1077009
2015-08-27,11.33,11.41,11.19,11.35,544260
2015-08-28,11.3,11.34,11.21,11.31,471164
2015-08-31,11.25,11.38,11.25,11.35,363464
2015-09-01,11.25,11.34,11.17,11.26,776774
2015-09-02,11.33,11.43,11.28,11.36,379682
2015-09-03,11.4,11.4,11.25,11.3,278973
2015-09-04,11.22,11.38,11.22,11.35,483006
2015-09-08,11.45,11.45,11.09,11.31,1695339
2015-09-09,11.31,11.42,11.31,11.4,869835
2015-09-10,11.4,11.44,11.32,11.34,926949
2015-09-11,11.3,11.37,11.15,11.21,537161
2015-09-14,11.22,11.26,11.15,11.25,477946
2015-09-15,11.28,11.32,11.19,11.3,611329
2015-09-16,11.34,11.49,11.25,11.32,826432
2015-09-17,11.3,11.56,11.26,11.31,1121018
2015-09-18,11.23,11.9,11.19,11.85,4011800
2015-09-21,11.65,11.72,11.53,11.7,900550
2015-09-22,11.61,11.73,11.5,11.6,495635
2015-09-23,11.59,11.82,11.59,11.76,778293
2015-09-24,11.76,11.79,11.67,11.74,828234
2015-09-25,11.78,11.81,11.57,11.57,665129
2015-09-28,11.58,11.63,11.43,11.49,825443
2015-09-29,11.55,11.59,11.42,11.48,695907
2015-09-30,11.5,11.54,11.38,11.47,609794
2015-10-01,11.49,11.55,11.34,11.41,620963
2015-10-02,11.35,11.41,11.23,11.4,759493
2015-10-05,11.45,11.57,11.44,11.5,372199
2015-10-06,11.5,11.51,11.37,11.47,432084
2015-10-07,11.5,11.8,11.45,11.78,961338
2015-10-08,11.75,11.85,11.74,11.85,711316
2015-10-09,11.9,11.96,11.75,11.77,500332
2015-10-12,11.8,11.95,11.74,11.88,363674
2015-10-13,11.85,11.9,11.74,11.76,365495
2015-10-14,11.79,11.82,11.65,11.7,358412
2015-10-15,11.76,11.9,11.75,11.89,266092
2015-10-16,11.9,11.95,11.82,11.93,407481
2015-10-19,11.89,11.95,11.86,11.93,239863
2015-10-20,11.96,12.0,11.91,11.98,377245
2015-10-21,11.98,12.0,11.8,11.82,207644
2015-10-22,11.82,12.0,11.82,11.96,308300
