Date,Open,High,Low,Close,Volume
2000-01-03,60.56,61.12,58.88,61.0,212200
2000-01-04,60.25,60.25,57.44,57.56,219100
2000-01-05,58.25,58.25,54.75,57.38,337600
2000-01-06,57.0,59.12,55.0,58.25,268800
2000-01-07,58.0,60.38,57.75,59.62,309500
2000-01-10,60.0,63.25,59.0,62.0,212400
2000-01-11,61.88,62.0,59.97,60.38,106000
2000-01-12,60.25,60.62,57.88,58.81,160500
2000-01-13,58.81,61.25,58.81,60.88,272900
2000-01-14,60.88,62.25,60.88,61.94,216700
2000-01-18,61.62,61.62,59.0,59.88,281000
2000-01-19,60.25,62.25,60.12,62.0,572500
2000-01-20,62.25,62.25,61.25,61.88,330600
2000-01-21,62.12,64.5,62.0,63.75,341800
2000-01-24,64.38,65.69,63.81,64.38,378300
2000-01-25,64.75,66.25,63.38,65.81,122400
2000-01-26,65.25,67.62,65.25,66.12,317800
2000-01-27,66.75,68.88,63.06,63.12,266700
2000-01-28,59.75,61.75,57.5,60.5,224500
2000-01-31,59.69,59.75,58.62,58.62,70200
2000-02-01,60.25,60.75,59.0,59.88,170100
2000-02-02,60.0,64.12,60.0,62.75,159400
2000-02-03,64.12,68.62,63.06,66.19,217200
2000-02-04,67.0,70.25,66.75,67.34,379000
2000-02-07,67.25,67.38,66.12,66.97,135400
2000-02-08,67.12,67.12,62.0,66.94,121600
2000-02-09,66.75,66.75,64.12,64.62,209800
2000-02-10,64.69,65.0,63.75,64.12,701900
2000-02-11,64.5,65.0,62.25,63.44,311500
2000-02-14,63.47,64.44,61.56,64.31,237600
2000-02-15,64.69,64.69,59.0,62.25,379500
2000-02-16,61.88,62.5,59.69,60.0,295500
2000-02-17,60.25,60.5,54.12,54.62,487200
2000-02-18,55.25,55.25,51.75,51.81,512300
2000-02-22,52.25,52.75,48.0,49.62,298400
2000-02-23,49.0,50.88,49.0,50.06,966700
2000-02-24,50.88,50.88,46.88,47.02,349600
2000-02-25,47.75,48.0,43.75,43.75,684400
2000-02-28,44.0,44.0,40.12,40.22,1180000
2000-02-29,40.62,44.25,40.12,43.56,1396500
2000-03-01,0.0,46.62,42.75,46.31,1700200
2000-03-02,0.0,46.38,44.66,45.38,957300
2000-03-03,0.0,51.88,45.25,50.88,1046300
2000-03-06,0.0,50.53,45.88,47.44,429600
2000-03-07,47.94,49.86,46.44,46.69,609400
2000-03-08,47.19,49.44,46.5,49.38,749700
2000-03-09,49.5,55.12,48.75,54.69,762700
2000-03-10,54.06,54.69,54.0,54.12,424000
2000-03-13,52.25,54.75,50.38,51.88,468500
2000-03-14,52.25,53.12,51.5,51.5,412300
2000-03-15,51.31,52.23,50.0,50.25,308500
2000-03-16,51.88,54.5,49.88,54.0,287300
2000-03-17,53.5,67.75,52.88,54.94,584200
2000-03-20,54.38,55.19,50.56,51.0,240900
2000-03-21,51.19,52.88,49.25,52.88,868300
2000-03-22,53.5,53.5,50.0,50.44,329600
2000-03-23,50.56,51.0,48.5,49.88,634700
2000-03-24,50.0,50.12,49.0,49.38,205900
2000-03-27,49.02,49.56,47.75,49.25,616400
2000-03-28,49.12,49.5,48.75,48.81,109700
2000-03-29,48.75,48.75,45.94,46.62,146300
2000-03-30,45.62,47.0,44.38,44.75,384900
2000-03-31,46.38,46.62,42.88,45.5,1607400
2000-04-03,45.5,45.62,42.12,42.56,461600
2000-04-04,43.75,43.75,42.0,43.5,495600
