Date,Open,High,Low,Close,Volume
2015-07-23,18.5,19.45,17.63,19.07,2755657
2015-07-24,18.9,20.35,18.82,19.26,386703
2015-07-27,19.32,19.9,19.25,19.5,240731
2015-07-28,20.0,20.26,19.59,19.8,90179
2015-07-29,20.05,21.25,20.05,20.54,173317
2015-07-30,20.5,20.55,20.05,20.15,114051
2015-07-31,20.14,20.5,20.06,20.16,147583
2015-08-03,20.39,20.5,20.04,20.17,158420
2015-08-04,20.0,20.39,19.68,20.36,166405
2015-08-05,20.35,20.99,20.06,20.65,133594
2015-08-06,20.5,20.75,20.5,20.61,22511
2015-08-07,20.6,20.6,20.08,20.21,19547
2015-08-10,20.44,20.5,19.59,19.99,267156
2015-08-11,19.79,20.47,19.74,20.14,68803
2015-08-12,20.0,20.45,19.79,20.09,42204
2015-08-13,19.66,20.4,19.66,19.92,26198
2015-08-14,20.25,20.25,18.81,19.22,101861
2015-08-17,19.15,20.05,18.86,19.52,107579
2015-08-18,19.6,20.18,19.55,19.82,52075
2015-08-19,19.85,20.0,19.75,19.85,96171
2015-08-20,19.91,20.0,19.44,19.52,125063
2015-08-21,19.5,19.76,19.02,19.11,91939
2015-08-24,18.33,18.61,18.0,18.62,71496
2015-08-25,19.28,19.46,18.88,19.15,38912
2015-08-26,19.46,19.7,19.0,19.68,64492
2015-08-27,19.5,20.21,19.14,19.5,40511
2015-08-28,19.5,19.58,18.94,19.36,61958
2015-08-31,19.36,19.5,19.14,19.27,86185
2015-09-01,19.1,19.5,19.1,19.27,106798
2015-09-02,19.44,19.45,19.02,19.25,126971
2015-09-03,19.33,19.5,19.13,19.36,59905
2015-09-04,19.31,19.33,18.3,18.78,319353
2015-09-08,19.15,19.5,18.95,19.46,62320
2015-09-09,19.46,19.46,18.66,18.9,74723
2015-09-10,19.01,19.44,18.45,19.08,59736
2015-09-11,19.13,19.17,18.57,19.14,63179
2015-09-14,19.07,19.56,18.94,19.42,120230
2015-09-15,19.48,19.7,19.32,19.7,65152
2015-09-16,19.72,20.04,19.67,19.71,69475
2015-09-17,19.81,19.9,19.63,19.7,67390
2015-09-18,19.7,19.8,19.25,19.51,321247
2015-09-21,19.78,19.86,19.7,19.77,50039
2015-09-22,19.7,19.95,19.61,19.92,38573
2015-09-23,19.97,20.15,19.42,19.89,34882
2015-09-24,19.78,20.15,19.54,20.09,40804
2015-09-25,20.24,20.24,19.52,19.8,57163
2015-09-28,19.66,20.14,19.66,19.97,116903
2015-09-29,20.0,20.14,19.88,20.01,87693
2015-09-30,20.0,20.12,19.5,19.64,835512
2015-10-01,19.71,19.9,19.08,19.34,176480
2015-10-02,19.22,19.22,18.68,18.86,71187
2015-10-05,18.96,19.08,18.8,19.0,47111
2015-10-06,19.11,19.11,18.49,18.55,40946
2015-10-07,18.6,18.73,18.31,18.58,110302
2015-10-08,18.51,18.57,18.16,18.48,77794
2015-10-09,18.56,19.5,18.56,19.3,134434
2015-10-12,19.3,19.43,18.99,19.11,32243
2015-10-13,19.03,19.21,18.7,18.74,33035
2015-10-14,18.81,18.83,18.36,18.59,50555
2015-10-15,18.63,18.88,18.44,18.55,75077
2015-10-16,18.63,18.65,18.02,18.08,56523
2015-10-19,18.04,18.15,17.44,17.48,129962
2015-10-20,17.32,18.1,17.26,17.55,184668
2015-10-21,17.55,17.7,16.73,16.91,268422
2015-10-22,17.0,17.09,15.7,16.01,643948
2015-10-23,16.25,16.5,15.86,16.42,74118
2015-10-26,16.25,16.48,16.08,16.36,184916
2015-10-27,16.3,16.38,15.35,15.48,291318
2015-10-28,15.67,16.14,15.22,15.51,180252
2015-10-29,15.43,15.48,14.3,14.41,230412
2015-10-30,14.52,14.57,14.07,14.34,116365
2015-11-02,14.26,14.99,14.11,14.93,105662
2015-11-03,14.99,15.23,14.93,15.06,91487
2015-11-04,15.14,15.31,14.55,14.8,242514
2015-11-05,14.77,15.08,14.25,14.55,141973
2015-11-06,14.99,15.08,14.51,14.61,169908
2015-11-09,14.61,14.92,14.12,14.48,78926
2015-11-10,14.42,14.55,14.2,14.51,80545
