Date,Open,High,Low,Close,Volume
2003-01-02,,39.24,37.48,39.24,300
2003-01-03,,17.78,16.98,17.78,1000
2003-01-06,,17.79,16.99,17.65,1800
2003-01-07,,17.67,17.0,17.22,1100
2003-01-08,,17.45,16.99,16.99,300
2003-01-09,,17.22,17.21,17.22,300
2003-01-10,,17.67,17.53,17.66,1300
2003-01-13,,17.51,17.12,17.3,1200
2003-01-14,,17.67,17.52,17.52,300
2003-01-16,,17.9,17.67,17.9,1000
2003-01-17,,17.69,17.46,17.46,2100
2003-01-21,,18.24,17.22,17.79,600
2003-01-22,,18.19,18.01,18.19,1100
2003-01-23,,18.22,17.32,17.51,800
2003-01-24,,17.67,17.33,17.67,1000
2003-01-27,,17.93,17.39,17.91,2800
2003-01-28,,18.08,17.22,18.04,800
2003-01-29,,18.26,18.13,18.26,1000
2003-01-30,,18.26,17.91,17.91,200
2003-01-31,,18.28,18.26,18.26,1500
2003-02-03,,18.01,17.67,17.68,900
2003-02-04,,18.13,17.9,17.9,3600
2003-02-05,,18.13,17.67,17.67,3500
2003-02-06,,19.04,18.56,18.72,800
2003-02-10,,18.7,18.47,18.67,400
2003-02-11,,18.7,18.35,18.7,100
2003-02-12,,18.34,18.34,18.34,100
2003-02-13,,18.28,18.28,18.28,500
2003-02-14,,18.22,18.16,18.16,300
2003-02-18,,18.16,18.11,18.11,200
2003-02-19,,19.04,18.09,18.09,100
2003-02-20,,18.03,18.03,18.03,700
2003-02-21,,18.08,17.97,17.97,1800
2003-02-24,,18.44,17.89,17.89,4800
2003-02-25,,17.97,17.86,17.89,6400
2003-02-26,,17.88,17.83,17.85,900
2003-02-27,,17.8,17.61,17.66,200
2003-02-28,,17.53,17.53,17.53,700
2003-03-03,,17.66,17.42,17.47,1100
2003-03-04,,17.42,17.27,17.27,400
2003-03-05,,17.21,17.11,17.11,1200
2003-03-06,,17.14,17.01,17.11,2400
2003-03-07,,16.95,16.66,16.66,1100
2003-03-10,,16.74,16.55,16.74,700
2003-03-11,,17.04,16.78,16.78,600
2003-03-12,,16.92,16.67,16.68,300
2003-03-13,,16.66,16.66,16.66,700
2003-03-14,,16.66,16.56,16.6,1500
2003-03-17,,17.01,16.47,16.66,1800
2003-03-18,,16.66,16.18,16.18,1800
2003-03-19,,17.03,16.78,16.87,1200
2003-03-20,,17.05,16.95,16.95,3200
2003-03-21,,17.16,16.93,17.16,3300
2003-03-24,,17.09,16.78,16.89,2001
2003-03-25,,17.26,16.8,16.8,300
2003-03-26,,16.8,16.66,16.8,300
2003-03-27,,16.9,16.9,16.9,400
2003-03-31,,17.08,16.9,17.08,800
2003-04-01,,17.35,16.2,17.32,600
2003-04-02,,17.32,17.32,17.32,2400
2003-04-03,,17.44,16.75,17.44,400
2003-04-07,,17.46,17.02,17.46,900
2003-04-08,,18.06,17.61,18.06,100
2003-04-10,,17.88,17.88,17.88,1500
2003-04-11,,18.45,18.09,18.41,400
2003-04-14,,18.22,18.22,18.22,200
2003-04-15,,18.56,18.56,18.56,400
2003-04-17,,18.56,18.32,18.56,1600
2003-04-21,,18.68,18.33,18.68,1200
2003-04-23,,18.75,18.44,18.56,300
2003-04-24,,18.56,18.56,18.56,100
2003-04-25,,18.79,18.79,18.79,500
2003-04-28,,18.91,18.56,18.8,1100
2003-04-29,,18.56,18.56,18.56,2700
2003-04-30,,18.68,18.56,18.56,200
2003-05-01,,18.56,18.56,18.56,700
2003-05-02,,18.9,18.6,18.9,1600
2003-05-05,,18.64,18.57,18.64,500
2003-05-06,,18.68,18.56,18.56,2100
2003-05-07,,18.56,18.21,18.21,600
2003-05-08,,18.33,18.14,18.33,4500
2003-05-09,,18.68,18.56,18.68,300
2003-05-12,,18.68,18.66,18.68,600
2003-05-13,,18.56,18.29,18.29,200
2003-05-15,,18.56,18.56,18.56,300
2003-05-16,,18.56,18.12,18.56,300
2003-05-19,,18.56,18.56,18.56,6100
2003-05-20,,18.62,17.55,17.73,400
2003-05-21,,17.87,17.73,17.73,1000
2003-05-22,,17.73,17.64,17.64,600
2003-05-23,,18.09,17.97,18.08,400
2003-05-27,,17.71,17.71,17.71,800
2003-05-28,38.32,38.32,38.32,38.32,0
2003-05-29,,18.24,18.24,18.24,500
2003-05-30,,18.33,18.19,18.19,600
2003-06-02,,18.39,18.35,18.39,2000
2003-06-03,,18.68,18.42,18.44,900
2003-06-05,,18.52,18.4,18.4,300
2003-06-06,,18.68,18.68,18.68,1500
2003-06-11,,18.56,18.38,18.38,200
2003-06-12,,18.35,18.35,18.35,700
2003-06-13,,18.6,18.56,18.6,700
2003-06-17,,18.37,18.35,18.35,600
2003-06-18,,18.6,18.6,18.6,1100
2003-06-19,,18.56,18.33,18.33,200
2003-06-20,,18.59,18.56,18.59,1700
2003-06-26,,18.6,18.25,18.25,300
2003-06-27,,18.28,18.21,18.21,200
2003-06-30,,18.26,18.18,18.18,1000
2003-07-01,,18.47,18.18,18.47,5400
2003-07-02,,18.11,17.85,17.94,2000
2003-07-03,,17.86,17.66,17.86,1800
2003-07-07,,17.79,17.75,17.77,1400
2003-07-08,,17.78,17.61,17.78,2000
2003-07-09,,17.99,17.55,17.99,400
2003-07-10,,17.99,17.99,17.99,400
2003-07-11,,18.0,17.88,18.0,1000
2003-07-14,,18.22,17.85,18.22,200
2003-07-15,,18.23,18.23,18.23,1700
2003-07-16,,18.69,18.23,18.69,800
2003-07-17,,18.81,18.69,18.81,800
2003-07-18,,18.68,18.29,18.29,200
2003-07-21,,18.35,18.35,18.35,500
2003-07-22,,18.46,18.35,18.46,1800
2003-07-23,,19.16,18.57,19.16,2100
2003-07-25,,19.51,18.73,18.8,400
2003-07-28,,19.05,18.81,18.81,400
2003-07-29,,19.05,19.04,19.04,500
2003-07-30,,19.06,19.06,19.06,300
2003-07-31,,19.04,18.73,19.04,1100
2003-08-01,,18.74,18.46,18.62,1500
2003-08-05,,19.04,18.71,18.71,500
2003-08-08,,18.71,18.49,18.71,2000
2003-08-11,,18.56,18.56,18.56,200
2003-08-13,,18.44,18.44,18.44,400
2003-08-14,,18.44,18.44,18.44,2900
2003-08-15,,18.44,18.22,18.26,424
2003-08-19,,18.33,18.23,18.23,1200
2003-08-20,,18.33,18.21,18.33,400
2003-08-21,,18.56,18.55,18.56,500
2003-08-22,,18.56,18.15,18.56,600
2003-08-25,,18.33,18.09,18.09,900
2003-08-26,,18.14,18.13,18.13,600
2003-08-27,,18.42,18.33,18.42,2300
2003-08-28,,19.04,18.56,18.8,1700
2003-08-29,,18.8,18.71,18.71,600
2003-09-02,,18.68,18.68,18.68,900
2003-09-03,,19.04,18.99,19.04,4500
