Date,Open,High,Low,Close,Volume
2005-01-28,14.25,16.19,14.25,15.58,2435772
2005-01-31,15.99,15.99,15.28,15.55,437717
2005-02-01,15.6,16.32,15.41,16.1,123631
2005-02-02,16.2,16.25,15.65,16.06,546056
2005-02-03,15.92,16.3,15.77,16.2,125642
2005-02-04,16.01,16.4,16.0,16.0,140239
2005-02-07,16.0,16.16,15.75,16.1,225823
2005-02-08,16.0,16.05,15.75,16.0,47386
2005-02-09,16.05,16.62,16.0,16.2,35459
2005-02-10,16.8,16.8,16.1,16.65,25215
2005-02-11,17.05,17.15,16.25,16.35,150742
2005-02-14,16.24,18.0,16.24,17.79,88972
2005-02-15,18.4,18.75,17.52,18.31,103306
2005-02-16,19.09,19.09,16.61,18.29,83347
2005-02-17,18.04,18.4,18.04,18.23,51831
2005-02-18,18.0,18.0,17.0,17.57,62413
2005-02-22,17.51,19.15,14.3,17.5,106667
2005-02-23,17.5,18.0,16.95,17.65,28652
2005-02-24,18.22,18.22,17.5,17.5,27523
2005-02-25,17.7,18.03,17.5,18.03,59339
2005-02-28,17.05,17.9,17.05,17.9,16612
2005-03-01,17.75,18.0,17.15,17.88,178901
2005-03-02,17.8,18.4,17.66,18.22,49106
2005-03-03,18.0,18.38,18.0,18.35,8067
2005-03-04,17.86,18.5,17.82,18.41,33167
2005-03-07,18.0,18.75,18.0,18.26,36281
2005-03-08,18.02,18.26,18.0,18.12,23675
2005-03-09,18.25,18.25,18.0,18.01,19068
2005-03-10,18.0,18.19,18.0,18.05,35243
2005-03-11,18.0,18.17,18.0,18.0,139098
2005-03-14,17.9,18.15,17.83,18.0,103034
2005-03-15,17.99,18.0,17.48,17.61,32383
2005-03-16,17.5,18.03,17.5,17.75,59559
2005-03-17,18.0,18.0,17.75,17.87,3884
2005-03-18,17.53,18.1,17.5,18.1,75767
2005-03-21,17.76,17.97,17.75,17.82,17436
2005-03-22,17.75,18.0,17.26,17.3,23249
2005-03-23,17.26,18.25,17.0,17.33,17097
2005-03-24,17.21,18.0,17.0,17.9,8875
2005-03-28,17.8,17.85,17.08,17.38,15652
2005-03-29,17.0,18.22,16.97,17.08,74944
2005-03-30,17.01,17.98,17.01,17.22,27920
2005-03-31,18.2,18.2,16.7,16.8,238392
2005-04-01,17.17,17.2,15.8,16.0,99393
2005-04-04,16.05,16.07,15.95,16.05,66329
2005-04-05,16.0,16.16,15.98,16.16,46837
2005-04-06,16.28,16.28,15.99,16.05,13952
2005-04-07,16.01,16.4,15.8,16.07,51292
2005-04-08,16.44,16.51,16.0,16.44,34159
2005-04-11,16.19,16.31,16.01,16.02,8749
2005-04-12,15.95,16.57,15.95,16.3,18162
2005-04-13,16.06,16.7,16.06,16.39,76847
2005-04-14,16.23,16.3,16.1,16.3,6982
2005-04-15,16.54,16.54,15.86,16.06,30544
2005-04-18,16.4,16.45,16.0,16.0,11934
2005-04-19,16.15,16.5,16.11,16.14,17222
2005-04-20,16.14,16.45,16.03,16.28,26786
2005-04-21,16.3,16.49,16.03,16.24,7568
2005-04-22,16.34,16.34,15.93,15.93,22054
2005-04-25,16.14,16.16,16.0,16.0,9357
2005-04-26,16.01,16.07,16.0,16.0,9476
2005-04-27,16.0,16.5,15.98,16.0,24256
2005-04-28,15.99,16.1,14.75,15.03,44753
2005-04-29,14.96,15.15,14.96,15.15,19786
2005-05-02,15.05,15.87,15.05,15.43,13709
2005-05-03,15.52,15.99,15.52,15.87,4461
2005-05-04,15.99,16.3,15.97,16.1,2916
2005-05-05,16.3,16.44,15.86,16.27,16293
2005-05-06,16.59,16.63,16.41,16.54,22683
2005-05-09,16.61,18.38,16.61,18.3,34599
2005-05-10,18.04,19.87,17.93,19.81,41175
2005-05-11,19.85,20.84,19.03,19.44,59865
2005-05-12,19.46,19.49,16.95,17.04,52219
2005-05-13,16.95,17.11,16.15,16.22,19282
2005-05-16,16.15,17.06,16.15,16.88,15202
2005-05-17,16.98,17.99,16.98,17.81,16002
2005-05-18,18.0,18.0,17.24,17.81,17642
2005-05-19,18.0,18.2,17.82,18.03,4044
2005-05-20,18.02,18.35,17.88,18.13,4199
2005-05-23,17.97,19.31,17.91,19.23,21176
