Date,Open,High,Low,Close,Volume
2000-06-29,9.06,9.25,9.06,9.19,6700
2000-06-30,9.06,9.06,9.0,9.0,1100
2000-07-03,,,,9.0,0
2000-07-05,8.75,8.75,8.75,8.75,300
2000-07-06,,,,8.75,0
2000-07-07,9.19,9.19,9.19,9.19,3100
2000-07-10,9.38,9.5,9.38,9.38,1000
2000-07-11,9.31,9.62,9.31,9.56,2800
2000-07-12,9.5,9.5,9.5,9.5,400
2000-07-13,9.56,9.88,9.56,9.88,7100
2000-07-14,9.88,9.94,9.88,9.88,8400
2000-07-17,9.62,9.81,9.62,9.81,3500
2000-07-18,9.62,10.0,9.62,9.94,2200
2000-07-19,10.0,10.0,9.94,9.94,3800
2000-07-20,9.78,9.78,9.75,9.75,7200
2000-07-21,9.81,9.81,9.25,9.62,7500
2000-07-24,9.38,9.38,9.38,9.38,400
2000-07-25,9.38,9.56,9.38,9.5,17300
2000-07-26,9.44,9.5,9.44,9.5,7600
2000-07-27,9.44,9.81,9.44,9.75,74600
2000-07-28,9.81,10.0,9.75,10.0,34600
2000-07-31,9.88,9.94,9.81,9.94,2200
2000-08-01,9.88,9.94,9.88,9.94,20300
2000-08-02,,,,9.94,0
2000-08-03,9.94,10.0,9.88,9.88,38600
2000-08-04,9.88,9.88,9.88,9.88,900
2000-08-07,10.0,10.06,10.0,10.06,10700
2000-08-08,10.0,10.0,9.88,9.88,6500
2000-08-09,9.88,10.0,9.88,10.0,58100
2000-08-10,,,,10.0,0
2000-08-11,10.12,10.12,9.88,10.12,9200
2000-08-14,9.84,9.94,9.75,9.94,5300
2000-08-15,9.88,9.94,9.88,9.94,6500
2000-08-16,10.25,10.75,10.12,10.75,6900
2000-08-17,10.75,11.0,10.75,11.0,5700
2000-08-18,10.88,11.94,10.88,11.56,17900
2000-08-21,11.31,11.31,11.31,11.31,200
2000-08-22,11.75,11.75,11.75,11.75,400
2000-08-23,,,,11.75,0
2000-08-24,,,,11.75,0
2000-08-25,12.0,12.0,12.0,12.0,1400
2000-08-28,0.0,12.0,12.0,12.0,6500
2000-08-29,12.0,12.0,12.0,12.0,7700
2000-08-30,11.88,11.94,11.62,11.69,13700
2000-08-31,,,,11.69,0
2000-09-01,11.5,11.5,11.5,11.5,200
2000-09-05,,,,11.5,0
2000-09-06,11.62,11.69,11.62,11.62,8300
2000-09-07,,,,11.62,0
2000-09-08,,,,11.62,0
2000-09-11,,,,11.62,0
2000-09-12,11.75,11.88,11.75,11.75,1000
2000-09-13,12.0,12.0,12.0,12.0,1000
2000-09-14,12.0,12.0,12.0,12.0,1300
2000-09-15,12.0,12.0,12.0,12.0,2700
2000-09-18,12.0,12.0,12.0,12.0,4900
2000-09-19,11.75,11.81,11.75,11.81,6800
2000-09-20,12.0,12.25,12.0,12.0,4700
2000-09-21,11.75,12.0,11.75,12.0,17300
2000-09-22,11.38,12.0,11.38,12.0,400
2000-09-25,,,,12.0,0
2000-09-26,,,,12.0,0
2000-09-27,11.81,11.81,11.81,11.81,800
2000-09-28,11.5,11.5,11.5,11.5,100
2000-09-29,11.25,12.12,10.62,10.62,4800
2000-10-02,10.88,11.0,10.75,10.88,14700
2000-10-03,12.0,12.0,12.0,12.0,1700
2000-10-04,11.12,11.38,11.12,11.38,12300
2000-10-05,,,,11.38,0
2000-10-06,,,,11.38,0
2000-10-09,,,,11.38,0
2000-10-10,11.38,11.5,11.38,11.5,6200
2000-10-11,11.75,11.75,11.75,11.75,400
2000-10-12,11.62,11.69,11.62,11.69,500
2000-10-13,,,,11.69,0
2000-10-16,11.88,12.0,11.75,11.75,2200
2000-10-17,,,,11.75,0
2000-10-18,11.69,11.69,11.25,11.25,1500
2000-10-19,11.5,11.5,11.0,11.25,6500
2000-10-20,,,,11.25,0
