Date,Open,High,Low,Close,Volume
2015-10-02,220.71,222.56,218.46,222.56,3107
2015-10-05,224.88,234.62,215.34,229.78,18378
2015-10-06,229.3,236.48,228.56,236.48,12601
2015-10-07,237.53,246.79,235.0,244.59,12314
2015-10-08,246.0,248.01,232.0,238.37,12299
2015-10-09,238.76,248.22,238.76,243.62,4819
2015-10-12,243.6,250.2,243.6,248.0,8695
2015-10-13,247.0,250.74,247.0,248.23,13851
2015-10-14,248.22,249.6,245.72,247.39,7404
2015-10-15,245.02,250.0,245.02,249.48,10067
2015-10-16,250.46,250.92,245.74,250.21,11304
2015-10-19,249.01,258.47,249.01,257.12,21248
2015-10-20,256.6,262.7,253.55,254.01,8982
2015-10-21,251.3,256.79,248.36,254.0,4289
2015-10-22,256.73,259.21,252.8,258.15,5564
2015-10-23,257.65,259.69,246.5,258.0,4804
2015-10-26,257.15,259.74,249.93,253.0,7876
2015-10-27,254.65,259.9,254.65,256.51,7807
2015-10-28,260.0,269.0,259.5,268.4,10097
2015-10-29,265.63,268.98,260.96,265.36,5451
2015-10-30,264.62,265.75,256.69,257.99,8030
2015-11-02,258.26,267.98,257.18,262.31,6668
2015-11-03,262.28,263.01,259.33,260.43,7120
2015-11-04,259.05,261.1,257.0,260.99,3766
2015-11-05,262.28,266.98,256.11,256.11,7134
2015-11-06,253.99,259.1,248.98,257.32,6805
2015-11-09,253.66,255.01,248.63,253.41,11197
2015-11-10,247.3,256.68,247.3,256.59,2768
2015-11-11,253.12,259.02,253.12,253.19,1605
2015-11-12,252.69,257.36,252.69,256.63,1343
2015-11-13,249.0,259.52,249.0,258.61,6089
2015-11-16,259.0,265.5,259.0,261.98,9013
2015-11-17,257.0,260.15,254.0,254.0,9815
2015-11-18,255.0,261.0,255.0,260.6,5348
2015-11-19,265.0,265.0,257.49,258.56,7598
2015-11-20,260.0,260.86,256.46,260.35,21076
2015-11-23,258.5,262.5,258.11,261.48,21551
2015-11-24,258.59,261.95,256.04,257.45,13495
2015-11-25,256.3,259.0,255.7,258.94,10427
2015-11-27,259.0,262.78,257.21,260.89,9601
2015-11-30,262.5,264.45,259.56,263.25,19388
2015-12-01,264.05,265.29,259.53,264.17,6825
2015-12-02,266.0,267.1,265.0,265.0,8500
2015-12-03,266.0,266.0,263.51,263.51,3552
2015-12-04,264.0,266.0,261.58,263.55,5845
2015-12-07,263.54,265.0,263.13,263.75,4033
2015-12-08,254.0,263.1,254.0,261.03,2104
2015-12-09,260.12,265.32,253.67,257.5,4366
2015-12-10,258.1,260.5,253.6,260.0,2690
2015-12-11,256.62,256.62,252.02,252.13,2878
2015-12-14,248.81,256.0,248.81,249.9,4030
2015-12-15,252.99,258.5,252.6,254.88,3732
2015-12-16,258.28,259.89,254.99,259.89,3811
2015-12-17,254.0,254.0,251.5,252.37,2245
2015-12-18,251.04,253.54,249.14,253.01,10158
2015-12-21,253.37,258.26,251.3,254.5,2548
2015-12-22,255.04,258.95,250.5,255.3,9247
2015-12-23,257.1,258.2,249.2,256.0,3093
2015-12-24,256.88,256.88,256.88,256.88,482
2015-12-28,255.17,255.17,250.01,253.8,3162
2015-12-29,254.19,257.06,254.19,256.87,1205
2015-12-30,254.35,254.5,252.05,252.05,2509
2015-12-31,254.5,256.0,251.5,251.94,5585
2016-01-04,251.75,252.38,246.0,248.79,6705
2016-01-05,242.46,248.0,242.46,244.98,1514
2016-01-06,236.0,244.26,225.14,227.9,10379
2016-01-07,231.28,231.28,225.1,227.6,2388
2016-01-08,231.34,231.7,226.2,227.43,6607
2016-01-11,227.01,227.01,227.01,227.01,980
2016-01-12,225.0,228.0,225.0,225.02,5672
2016-01-13,226.3,230.22,218.91,225.99,3861
2016-01-14,226.99,230.0,220.95,223.5,6944
2016-01-15,221.76,226.99,215.3,224.78,9687
2016-01-19,225.0,225.0,213.23,221.98,3610
2016-01-20,218.0,224.5,218.0,223.89,7160
2016-01-21,223.54,223.54,219.1,219.62,2087
2016-01-22,222.5,222.5,215.45,219.42,6324
2016-01-25,219.5,223.99,218.4,218.4,13544
2016-01-26,219.9,223.0,215.19,222.4,10111
2016-01-27,218.0,223.0,218.0,220.11,6230
2016-01-28,222.35,223.8,221.0,223.69,10918
2016-01-29,227.0,230.74,225.06,230.73,7397
2016-02-01,227.49,227.49,222.37,225.9,3122
