Date,Open,High,Low,Close,Volume
2000-06-30,30.38,30.88,30.38,30.5,34200
2000-07-03,30.75,31.06,30.75,31.06,14700
2000-07-05,31.25,31.94,31.25,31.94,9700
2000-07-06,31.75,31.94,31.75,31.94,3400
2000-07-07,32.12,32.25,31.88,31.94,4300
2000-07-10,31.75,32.5,31.69,32.19,3900
2000-07-11,31.94,32.12,31.5,32.12,21200
2000-07-12,32.0,32.75,31.75,32.56,16400
2000-07-13,32.75,32.94,32.38,32.56,22100
2000-07-14,32.44,32.75,32.25,32.56,34500
2000-07-17,32.31,32.5,32.12,32.25,5100
2000-07-18,32.38,32.38,31.12,31.62,7500
2000-07-19,31.56,31.94,31.56,31.94,1700
2000-07-20,31.81,32.0,31.81,31.94,9900
2000-07-21,32.0,33.0,32.0,33.0,18300
2000-07-24,33.12,33.12,32.56,32.75,17200
2000-07-25,32.62,32.69,32.12,32.31,11000
2000-07-26,32.19,32.75,32.19,32.75,7900
2000-07-27,32.69,32.69,32.25,32.25,15600
2000-07-28,32.25,32.5,32.19,32.19,13800
2000-07-31,32.19,32.19,31.88,32.0,34600
2000-08-01,32.06,32.88,32.0,32.88,30800
2000-08-02,33.12,33.12,32.69,32.81,15000
2000-08-03,32.62,32.69,32.06,32.25,16400
2000-08-04,32.38,32.38,31.69,31.69,16400
2000-08-07,31.56,31.75,31.5,31.69,14700
2000-08-08,31.69,31.81,31.38,31.38,18700
2000-08-09,31.0,31.31,31.0,31.31,73800
2000-08-10,31.31,31.5,31.25,31.5,29700
2000-08-11,31.44,32.12,31.44,32.06,20500
2000-08-14,32.06,32.38,32.0,32.12,3300
2000-08-15,32.0,32.12,31.75,32.06,10700
2000-08-16,32.06,32.25,32.0,32.25,2700
2000-08-17,32.31,32.44,32.25,32.44,5400
2000-08-18,32.5,32.5,32.19,32.25,3600
2000-08-21,32.31,32.31,32.0,32.19,3100
2000-08-22,32.25,32.5,32.25,32.25,8200
2000-08-23,32.38,32.44,32.19,32.25,16700
2000-08-24,32.12,32.31,31.88,32.0,3600
2000-08-25,31.94,31.94,31.88,31.94,1300
2000-08-28,0.0,32.0,31.75,31.81,24000
2000-08-29,31.69,31.94,31.5,31.5,7600
2000-08-30,31.62,31.69,31.62,31.69,1500
2000-08-31,31.69,31.81,31.56,31.75,6700
2000-09-01,31.88,32.0,31.62,31.88,1600
2000-09-05,31.69,31.88,31.69,31.88,5100
2000-09-06,32.0,32.12,31.69,31.81,7600
2000-09-07,31.75,31.75,31.12,31.25,19100
2000-09-08,31.25,31.44,31.25,31.25,4700
2000-09-11,31.44,31.62,31.38,31.5,10000
2000-09-12,31.38,31.38,31.31,31.38,6200
2000-09-13,31.5,32.12,31.5,32.12,22200
2000-09-14,32.12,33.0,32.12,32.44,21600
2000-09-15,32.25,32.25,32.0,32.0,4500
2000-09-18,31.88,31.94,31.19,31.25,9900
2000-09-19,31.25,31.5,31.25,31.44,7200
2000-09-20,31.44,31.44,31.25,31.38,7100
2000-09-21,31.38,31.38,31.25,31.31,43800
2000-09-22,30.81,30.94,30.5,30.94,12000
2000-09-25,30.94,31.0,30.44,30.5,20100
2000-09-26,30.44,30.5,30.0,30.0,20600
2000-09-27,30.12,30.25,30.0,30.12,6700
2000-09-28,30.38,30.75,30.38,30.75,28900
2000-09-29,30.81,30.81,30.38,30.5,13700
2000-10-02,30.62,30.81,30.62,30.75,17600
2000-10-03,30.75,30.75,30.25,30.31,6300
2000-10-04,30.38,30.38,30.12,30.25,5300
2000-10-05,30.38,30.44,30.31,30.38,2100
2000-10-06,30.25,30.25,29.94,29.94,228500
2000-10-09,30.0,30.0,29.06,29.38,15600
