Date,Open,High,Low,Close,Volume
2000-05-31,3.84,3.92,3.84,3.92,2400
2000-06-01,3.84,3.84,3.84,3.84,6900
2000-06-02,3.84,3.84,3.84,3.84,1800
2000-06-05,,,,3.84,0
2000-06-06,3.92,3.92,3.92,3.92,6000
2000-06-07,3.88,3.88,3.84,3.84,1800
2000-06-08,,,,3.84,0
2000-06-09,3.79,3.79,3.79,3.79,3000
2000-06-12,3.88,3.9,3.88,3.9,23100
2000-06-13,4.0,4.0,3.92,3.92,3900
2000-06-14,3.98,4.09,3.98,4.09,13200
2000-06-15,,,,4.09,0
2000-06-16,3.92,3.92,3.92,3.92,12900
2000-06-19,3.96,4.0,3.92,3.96,18900
2000-06-20,,,,3.96,0
2000-06-21,4.0,4.0,4.0,4.0,300
2000-06-22,3.92,4.0,3.92,4.0,2400
2000-06-23,,,,4.0,0
2000-06-26,3.94,3.98,3.94,3.98,15000
2000-06-27,4.0,4.0,3.96,3.96,24000
2000-06-28,4.0,4.0,4.0,4.0,600
2000-06-29,4.0,4.02,3.98,4.02,62400
2000-06-30,4.0,4.04,4.0,4.04,7500
2000-07-03,4.02,4.02,4.02,4.02,300
2000-07-05,4.04,4.09,4.04,4.09,3300
2000-07-06,4.09,4.09,4.09,4.09,4200
2000-07-07,4.17,4.34,4.15,4.34,43200
2000-07-10,4.34,4.39,4.27,4.39,30300
2000-07-11,4.38,4.4,4.34,4.4,30300
2000-07-12,4.4,4.4,4.25,4.25,2400
2000-07-13,4.27,4.44,4.21,4.42,14100
2000-07-14,,,,4.42,0
2000-07-17,4.34,4.34,4.34,4.34,1800
2000-07-18,4.31,4.34,4.31,4.31,31500
2000-07-19,,,,4.31,0
2000-07-20,4.42,4.42,4.42,4.42,1500
2000-07-21,4.42,4.42,4.38,4.42,9300
2000-07-24,4.35,4.46,4.34,4.34,29100
2000-07-25,4.42,4.42,4.38,4.38,900
2000-07-26,4.42,4.42,4.34,4.42,43500
2000-07-27,4.42,4.42,4.38,4.42,113901
2000-07-28,4.34,4.42,4.21,4.4,42300
2000-07-31,4.4,4.4,4.38,4.38,4500
2000-08-01,4.4,4.42,4.4,4.42,8700
2000-08-02,4.23,4.42,4.04,4.42,142401
2000-08-03,4.38,4.5,4.29,4.29,28800
2000-08-04,4.31,4.31,4.31,4.31,300
2000-08-07,4.34,4.38,4.34,4.38,13500
2000-08-08,4.42,4.42,4.29,4.29,6900
2000-08-09,4.29,4.29,4.29,4.29,600
2000-08-10,,,,4.29,0
2000-08-11,4.42,4.46,4.42,4.46,10200
2000-08-14,4.34,4.34,4.34,4.34,900
2000-08-15,,,,4.34,0
2000-08-16,4.29,4.29,4.29,4.29,300
2000-08-17,4.38,4.38,4.34,4.34,30000
2000-08-18,4.29,4.46,4.29,4.46,3300
2000-08-21,,,,4.46,0
2000-08-22,4.45,4.46,4.44,4.46,6900
2000-08-23,4.46,4.54,4.35,4.54,114501
2000-08-24,4.5,4.5,4.5,4.5,1500
2000-08-25,4.5,4.67,4.5,4.59,5700
2000-08-28,,,,4.59,0
2000-08-29,4.67,4.67,4.59,4.59,15300
2000-08-30,4.54,4.59,4.46,4.46,13500
2000-08-31,4.42,4.48,4.34,4.48,10800
2000-09-01,4.47,4.48,4.38,4.46,73800
2000-09-05,3.19,3.61,3.19,3.36,128001
2000-09-06,3.5,3.5,3.29,3.42,213501
2000-09-07,3.29,3.34,3.21,3.34,33900
2000-09-08,3.21,3.34,3.21,3.21,64500
2000-09-11,3.21,3.54,3.17,3.54,69900
2000-09-12,3.54,3.54,3.34,3.34,8700
2000-09-13,3.42,3.42,3.42,3.42,3000
2000-09-14,3.29,3.29,3.29,3.29,5700
2000-09-15,3.3,3.3,3.29,3.29,7500
2000-09-18,3.25,3.25,3.21,3.21,11700
2000-09-19,3.34,3.34,3.34,3.34,4200
2000-09-20,3.31,3.31,3.21,3.21,9300
2000-09-21,3.21,3.31,3.21,3.31,4200
2000-09-22,3.17,3.29,3.15,3.29,23100
2000-09-25,3.25,3.31,3.23,3.31,12900
2000-09-26,3.31,3.31,3.17,3.17,6000
2000-09-27,3.17,3.34,3.17,3.29,21000
2000-09-28,3.25,3.29,3.25,3.25,69300
2000-09-29,3.34,3.34,3.29,3.29,25200
2000-10-02,3.25,3.38,3.25,3.38,1200
2000-10-03,3.31,3.38,3.31,3.38,18300
2000-10-04,,,,3.38,0
2000-10-05,3.25,3.34,3.25,3.34,1500
2000-10-06,3.42,3.42,3.36,3.38,319299
2000-10-09,3.17,3.17,3.17,3.17,600
2000-10-10,3.17,3.17,3.17,3.17,10200
2000-10-11,3.13,3.13,3.13,3.13,1500
2000-10-12,3.13,3.17,3.13,3.13,2700
2000-10-13,3.17,3.17,3.13,3.13,13200
2000-10-16,,,,3.13,0
2000-10-17,3.13,3.13,3.13,3.13,300
2000-10-18,3.13,3.23,3.13,3.23,3300
2000-10-19,3.13,3.13,3.13,3.13,1500
2000-10-20,3.13,3.13,3.13,3.13,1500
2000-10-23,3.08,3.08,3.08,3.08,2400
2000-10-24,3.08,3.08,3.08,3.08,6900
2000-10-25,3.04,3.08,3.04,3.08,600
2000-10-26,3.13,3.17,3.13,3.17,24300
2000-10-27,3.17,3.17,3.17,3.17,2700
2000-10-30,3.21,3.25,3.21,3.25,4200
2000-10-31,3.21,3.21,3.21,3.21,5400
2000-11-01,,,,3.21,0
2000-11-02,3.21,3.21,3.21,3.21,900
2000-11-03,3.33,3.34,3.21,3.34,36000
2000-11-06,3.29,3.29,3.27,3.27,21600
2000-11-07,3.25,3.25,3.25,3.25,6000
2000-11-08,3.25,3.25,3.25,3.25,13500
2000-11-09,3.25,3.34,3.25,3.29,39600
2000-11-10,3.21,3.21,3.21,3.21,1200
2000-11-13,,,,3.21,0
2000-11-14,3.17,3.17,3.17,3.17,8100
2000-11-15,3.29,3.29,3.29,3.29,1500
2000-11-16,,,,3.29,0
2000-11-17,,,,3.29,0
2000-11-20,3.25,3.34,3.25,3.34,96000
2000-11-21,3.34,3.34,3.34,3.34,26400
2000-11-22,,,,3.34,0
2000-11-24,3.21,3.21,3.21,3.21,900
2000-11-27,3.29,3.29,3.29,3.29,3000
2000-11-28,3.23,3.23,3.23,3.23,8400
2000-11-29,,,,3.23,0
2000-11-30,3.34,3.34,3.29,3.29,287001
2000-12-01,,,,3.29,0
2000-12-04,3.25,3.25,3.25,3.25,3900
2000-12-05,3.27,3.31,3.25,3.29,22500
2000-12-06,3.29,3.29,3.25,3.25,7500
2000-12-07,3.27,3.27,3.27,3.27,900
2000-12-08,3.27,3.27,3.27,3.27,8100
2000-12-11,3.27,3.27,3.27,3.27,4500
2000-12-12,3.29,3.34,3.29,3.34,3600
2000-12-13,,,,3.34,0
2000-12-14,3.34,3.34,3.31,3.31,16800
2000-12-15,3.27,3.27,3.27,3.27,3000
2000-12-18,3.27,3.27,3.27,3.27,4200
2000-12-19,3.27,3.29,3.27,3.27,11700
2000-12-20,3.27,3.34,3.27,3.27,18300
2000-12-21,3.27,3.27,3.27,3.27,300
2000-12-22,3.31,3.31,3.31,3.31,600
2000-12-26,3.29,3.29,3.29,3.29,600
2000-12-27,3.28,3.28,3.27,3.27,5100
2000-12-28,3.29,3.29,3.29,3.29,600
2000-12-29,3.27,3.27,3.27,3.27,900
2001-01-02,3.27,3.27,3.27,3.27,300
2001-01-03,3.27,3.27,3.27,3.27,6000
2001-01-04,3.29,3.29,3.29,3.29,15600
2001-01-05,3.27,3.27,3.27,3.27,3900
2001-01-08,3.27,3.27,3.27,3.27,15600
2001-01-09,3.29,3.29,3.29,3.29,300
2001-01-10,,,,3.29,0
2001-01-11,3.31,3.36,3.29,3.36,24000
2001-01-12,3.27,3.31,3.27,3.31,5400
2001-01-16,3.34,3.38,3.34,3.38,8400
2001-01-17,3.34,3.36,3.34,3.34,22200
2001-01-18,3.34,3.34,3.34,3.34,300
2001-01-19,3.34,3.34,3.34,3.34,7500
2001-01-22,3.34,3.34,3.34,3.34,2100
2001-01-23,3.34,3.38,3.34,3.38,37500
2001-01-24,,,,3.38,0
2001-01-25,3.36,3.44,3.36,3.44,3600
2001-01-26,3.36,3.38,3.36,3.38,5400
2001-01-29,,,,3.38,0
2001-01-30,3.34,3.36,3.19,3.36,16200
2001-01-31,,,,3.36,0
2001-02-01,3.42,3.42,3.42,3.42,1500
2001-02-02,,,,3.42,0
2001-02-05,3.38,3.38,3.38,3.38,4500
