Date,Open,High,Low,Close,Volume
2000-06-30,33.2,33.39,33.01,33.01,20200
2000-07-03,31.32,31.89,31.32,31.7,11133
2000-07-05,31.51,32.07,31.32,32.07,15067
2000-07-06,31.89,32.07,31.89,32.07,7200
2000-07-07,31.51,31.89,31.51,31.89,8800
2000-07-10,32.07,32.07,31.89,31.89,6700
2000-07-11,32.26,32.26,31.89,32.26,4133
2000-07-12,32.07,32.45,32.07,32.45,4167
2000-07-13,32.26,32.45,32.07,32.26,5900
2000-07-14,32.64,32.64,32.26,32.26,9700
2000-07-17,32.64,32.82,32.64,32.82,10900
2000-07-18,32.82,32.82,32.45,32.82,3900
2000-07-19,32.64,32.64,32.26,32.64,4767
2000-07-20,32.82,32.82,32.26,32.64,4933
2000-07-21,32.45,32.82,32.45,32.82,9067
2000-07-24,33.01,33.01,32.82,33.01,9667
2000-07-25,33.01,33.39,32.82,33.01,5500
2000-07-26,33.39,33.39,33.2,33.39,4267
2000-07-27,33.2,33.76,33.2,33.76,4933
2000-07-28,33.57,33.76,33.2,33.39,2133
2000-07-31,33.57,33.76,33.39,33.39,5967
2000-08-01,33.57,33.76,33.57,33.76,3300
2000-08-02,33.57,33.57,33.39,33.57,3800
2000-08-03,33.57,33.57,33.2,33.57,3100
2000-08-04,33.57,33.57,33.01,33.2,6533
2000-08-07,33.39,33.39,33.01,33.39,5067
2000-08-08,33.39,33.57,33.2,33.39,9367
2000-08-09,33.57,33.76,33.57,33.57,3600
2000-08-10,33.76,33.95,33.2,33.2,16267
2000-08-11,33.39,33.57,33.2,33.57,3967
2000-08-14,33.95,34.51,33.76,34.14,9900
2000-08-15,34.51,34.89,34.32,34.32,10600
2000-08-16,35.07,35.45,34.89,35.26,9367
2000-08-17,35.26,36.57,35.07,36.2,14700
2000-08-18,36.2,36.2,35.64,36.01,6100
2000-08-21,36.01,36.2,35.64,35.82,7900
2000-08-22,35.64,35.64,35.26,35.64,5433
2000-08-23,35.82,35.82,34.14,34.32,6800
2000-08-24,34.14,35.07,34.14,35.07,13067
2000-08-25,35.07,35.07,34.51,34.51,2867
2000-08-28,0.0,35.26,34.51,35.08,6100
2000-08-29,35.08,35.08,34.7,34.89,3300
2000-08-30,34.89,35.08,34.51,34.89,3600
2000-08-31,35.26,35.83,35.26,35.26,3633
2000-09-01,35.83,35.83,35.26,35.64,4167
2000-09-05,35.64,35.83,35.64,35.83,4967
2000-09-06,35.83,36.2,35.83,36.01,6733
2000-09-07,36.2,36.2,35.83,36.01,10067
2000-09-08,36.01,36.2,35.83,35.83,3367
2000-09-11,36.01,36.58,36.01,36.39,10300
2000-09-12,36.39,36.58,36.2,36.39,8000
2000-09-13,36.39,36.39,36.01,36.2,9367
2000-09-14,36.39,36.58,36.2,36.58,7033
2000-09-15,36.39,36.76,36.39,36.76,10633
2000-09-18,37.14,37.14,36.76,37.14,10133
2000-09-19,37.14,37.33,36.76,37.14,8600
2000-09-20,37.33,37.51,36.95,37.51,8400
2000-09-21,37.33,37.51,36.76,37.14,13300
2000-09-22,37.51,37.51,36.95,37.51,10467
2000-09-25,37.51,37.63,37.18,37.51,7933
2000-09-26,37.63,37.63,37.3,37.45,8033
2000-09-27,37.66,37.87,37.51,37.63,11367
2000-09-28,38.65,38.65,37.66,37.66,21233
2000-09-29,37.81,38.41,37.81,37.81,26800
2000-10-02,36.28,36.61,36.28,36.28,6700
2000-10-03,36.31,36.31,35.56,35.95,8600
2000-10-04,35.77,36.25,35.77,36.25,4900
2000-10-05,36.25,36.25,36.01,36.1,2767
2000-10-06,36.31,36.31,35.92,35.98,5767
2000-10-09,36.31,36.31,36.19,36.31,4333
2000-10-10,36.31,36.31,35.86,35.89,1900
2000-10-11,35.95,35.98,35.74,35.95,5700
2000-10-12,36.25,36.25,35.74,36.01,2900
2000-10-13,36.01,36.76,35.47,35.56,8533
2000-10-16,35.86,36.61,35.29,35.71,8000
2000-10-17,35.59,35.98,35.56,35.86,5100
2000-10-18,35.86,35.86,35.2,35.32,3933
2000-10-19,35.11,35.11,33.76,33.76,14967
2000-10-20,34.51,35.23,34.51,35.23,4167
2000-10-23,35.26,35.56,35.17,35.29,2633
2000-10-24,36.01,36.1,35.56,35.71,4333
2000-10-25,35.56,35.56,34.81,35.11,4933
2000-10-26,34.81,34.96,34.51,34.54,2333
2000-10-27,34.54,35.26,34.54,35.26,2167
2000-10-30,35.23,35.23,34.63,34.66,4033
2000-10-31,34.9,34.96,34.57,34.72,5000
2000-11-01,34.51,34.96,34.51,34.96,8933
2000-11-02,35.56,35.56,35.08,35.11,6567
2000-11-03,34.93,35.26,34.93,35.11,6200
2000-11-06,35.26,35.41,35.26,35.26,3433
2000-11-07,35.41,35.41,35.2,35.26,9133
2000-11-08,35.26,35.29,35.23,35.26,1433
2000-11-09,35.41,35.41,34.96,34.96,3367
2000-11-10,34.81,35.11,34.81,35.11,500
2000-11-13,34.81,35.17,34.81,34.99,13133
2000-11-14,35.26,35.41,35.02,35.11,4433
2000-11-15,35.86,36.01,35.41,35.41,18267
2000-11-16,35.65,35.71,35.41,35.41,9100
2000-11-17,35.65,35.65,35.29,35.53,3600
2000-11-20,35.92,35.98,35.47,35.56,9667
2000-11-21,35.86,35.86,35.26,35.5,8233
2000-11-22,35.71,36.55,35.47,36.55,6167
2000-11-24,36.34,36.91,36.34,36.61,3167
2000-11-27,36.64,36.76,36.01,36.28,5200
2000-11-28,36.28,37.36,36.01,37.36,5533
2000-11-29,37.81,37.81,37.36,37.66,6233
2000-11-30,37.66,37.81,36.91,37.27,2567
2000-12-01,37.21,37.51,36.91,36.91,2833
2000-12-04,37.45,37.81,35.26,35.86,17800
2000-12-05,35.98,36.46,35.56,36.46,5700
2000-12-06,36.16,36.7,36.1,36.61,4667
2000-12-07,36.31,37.21,36.31,37.21,2933
2000-12-08,37.27,37.96,37.09,37.96,4800
2000-12-11,37.96,37.96,36.46,37.06,10933
2000-12-12,37.21,37.6,37.06,37.51,2333
2000-12-13,37.75,38.26,37.75,38.11,11533
2000-12-14,38.26,38.26,37.81,37.99,3400
2000-12-15,38.2,38.23,37.87,38.2,6900
2000-12-18,38.11,38.41,38.11,38.38,15633
2000-12-19,38.38,38.56,38.38,38.56,18600
2000-12-20,37.65,37.65,36.84,37.2,8500
2000-12-21,37.5,37.5,36.75,36.75,4133
2000-12-22,37.17,37.17,36.63,36.75,2933
2000-12-26,36.75,36.75,36.15,36.45,5967
2000-12-27,36.66,36.69,36.39,36.6,2800
