Date,Open,High,Low,Close,Volume
2014-01-23,25.75,26.5,25.0,25.2,34094857
2014-01-24,25.28,25.28,24.0,24.21,8035035
2014-01-27,24.23,24.99,24.19,24.8,3540852
2014-01-28,24.64,25.73,24.43,25.69,2767151
2014-01-29,25.29,25.8,25.09,25.62,2946095
2014-01-30,25.72,26.1,25.56,25.77,1123498
2014-01-31,25.35,25.88,25.11,25.63,678763
2014-02-03,25.96,25.96,25.24,25.25,1113371
2014-02-04,25.2,25.46,24.76,25.18,961453
2014-02-05,25.1,25.5,24.97,25.28,775497
2014-02-06,25.4,25.4,24.62,24.72,1151142
2014-02-07,24.55,25.09,24.3,25.08,838084
2014-02-10,25.1,25.22,24.76,25.22,660686
2014-02-11,25.04,25.44,24.95,25.38,344064
2014-02-12,25.31,25.42,25.05,25.26,313103
2014-02-13,25.0,25.51,24.83,25.49,704841
2014-02-14,25.47,25.59,25.23,25.41,546075
2014-02-18,25.42,25.69,25.27,25.5,477201
2014-02-19,25.74,25.74,25.18,25.36,306712
2014-02-20,25.27,25.54,25.16,25.43,587026
2014-02-21,25.8,25.8,25.27,25.35,472661
2014-02-24,25.32,25.53,25.09,25.28,546803
2014-02-25,25.25,25.48,24.95,25.06,1876231
2014-02-26,25.08,25.17,24.75,24.86,488844
2014-02-27,24.84,25.13,24.42,24.88,763777
2014-02-28,24.93,25.64,24.93,25.33,754785
2014-03-03,25.26,25.96,24.92,25.9,925206
2014-03-04,26.23,26.37,25.46,25.51,1286821
2014-03-05,25.46,25.84,24.65,25.0,1369856
2014-03-06,24.95,25.11,24.38,24.73,2145560
2014-03-07,24.9,24.96,24.44,24.44,1771918
2014-03-10,24.51,24.7,24.27,24.38,1066058
2014-03-11,24.5,24.52,23.42,23.94,2241962
2014-03-12,23.79,24.1,23.55,23.86,1650147
2014-03-13,23.78,23.95,22.65,22.86,3236213
2014-03-14,22.87,23.33,22.14,23.18,2641709
2014-03-17,24.6,24.69,23.34,24.06,2884369
2014-03-18,24.17,25.1,23.81,24.76,1276914
2014-03-19,25.1,25.2,24.51,24.71,1346345
2014-03-20,24.67,24.9,24.25,24.37,1482556
2014-03-21,24.51,24.62,23.87,24.03,4619547
2014-03-24,24.05,24.38,23.1,23.24,2139750
2014-03-25,23.33,23.7,22.45,23.16,3861605
2014-03-26,23.2,23.96,22.96,23.14,992462
2014-03-27,22.91,23.41,22.8,23.11,1020636
2014-03-28,23.16,23.76,23.16,23.5,1271610
2014-03-31,23.65,24.08,23.63,24.08,6324635
2014-04-01,24.19,24.25,23.89,24.0,1228524
2014-04-02,24.0,24.22,23.97,24.11,1048706
2014-04-03,24.02,24.19,23.42,23.78,2281118
2014-04-04,23.84,23.84,22.94,22.99,1116780
2014-04-07,22.89,23.1,22.33,22.48,1362550
2014-04-08,22.43,22.8,22.31,22.59,1965185
2014-04-09,22.49,23.01,22.48,22.8,1314499
2014-04-10,22.74,23.19,22.61,22.71,1073149
2014-04-11,22.62,22.69,21.95,22.29,1418120
2014-04-14,22.5,22.56,21.99,22.23,1269673
2014-04-15,22.45,22.78,22.25,22.7,2575161
2014-04-16,23.5,23.65,22.88,23.02,1419899
2014-04-17,22.96,23.06,22.73,22.93,897710
2014-04-21,23.06,23.12,22.57,22.87,367359
2014-04-22,22.85,23.16,22.72,23.06,862185
2014-04-23,23.0,23.13,22.86,22.92,1312148
2014-04-24,23.03,23.19,22.79,22.87,472630
2014-04-25,22.72,23.14,22.55,22.77,536574
2014-04-28,22.79,23.01,22.22,22.44,756867
2014-04-29,22.52,23.17,22.38,22.84,472002
2014-04-30,22.84,22.85,22.31,22.74,1227100
2014-05-01,22.61,23.2,22.0,22.54,2577039
2014-05-02,22.49,22.62,22.04,22.5,802599
2014-05-05,23.06,23.06,22.51,22.73,1050164
2014-05-06,22.68,22.84,22.44,22.53,502924
2014-05-07,22.64,22.66,21.97,22.04,622224
2014-05-08,21.83,22.25,21.83,22.11,759581
2014-05-09,22.1,22.11,21.5,21.83,1435526
2014-05-12,21.93,22.21,21.46,21.82,1128016
2014-05-13,21.8,21.98,21.59,21.67,623450
2014-05-14,21.69,21.75,21.54,21.55,223901
2014-05-15,21.49,21.65,20.76,21.23,950635
2014-05-16,21.24,21.35,20.82,21.08,538921
2014-05-19,21.08,21.36,20.99,21.21,270190
2014-05-20,21.12,21.33,20.95,21.25,454559
2014-05-21,21.24,21.75,21.2,21.62,521736
2014-05-22,21.67,21.73,21.13,21.5,820713
2014-05-23,21.5,21.63,21.18,21.22,748443
2014-05-27,21.24,21.57,21.19,21.21,458127
2014-05-28,21.19,21.2,20.69,20.72,1366241
2014-05-29,20.6,20.79,19.51,19.76,10241049
2014-05-30,19.88,19.97,19.58,19.65,3395503
2014-06-02,19.65,19.76,19.39,19.66,1994615
2014-06-03,19.58,20.16,19.5,20.1,1422627
2014-06-04,20.18,20.57,20.09,20.27,1444457
2014-06-05,20.33,20.89,20.18,20.31,2810229
2014-06-06,20.5,20.71,20.41,20.52,1714600
2014-06-09,20.55,20.82,20.49,20.62,2029120
2014-06-10,20.7,21.08,20.53,21.05,2505252
2014-06-11,21.0,21.18,18.85,19.25,10558299
2014-06-12,19.31,19.73,18.31,18.99,7886219
2014-06-13,18.93,19.15,18.35,18.76,5423547
2014-06-16,18.85,19.07,18.73,18.92,1075313
2014-06-17,19.05,19.06,18.47,18.86,2474781
2014-06-18,18.86,19.17,18.72,19.13,2419998
2014-06-19,19.14,19.44,19.1,19.36,1518620
2014-06-20,19.39,19.61,19.24,19.55,1883150
2014-06-23,19.55,19.56,19.2,19.37,3351547
2014-06-24,19.25,19.33,18.97,19.09,2606642
2014-06-25,19.1,19.35,18.98,19.3,1183804
2014-06-26,19.26,19.54,19.0,19.44,950039
2014-06-27,19.48,19.67,19.14,19.6,2529997
2014-06-30,19.64,19.69,19.38,19.44,2178146
2014-07-01,19.53,19.82,19.44,19.76,3615111
2014-07-02,19.72,19.9,19.6,19.7,1294217
2014-07-03,19.81,19.87,19.71,19.73,717204
2014-07-07,19.7,19.7,19.38,19.47,1033685
2014-07-08,19.01,19.28,19.0,19.04,1476333
2014-07-09,19.04,19.35,18.88,19.25,2048025
2014-07-10,18.93,19.64,18.81,19.53,2879235
2014-07-11,19.43,19.57,19.33,19.37,692416
