Date,Open,High,Low,Close,Volume
2006-05-01,4.0,27.2,4.0,24.2,117696
2006-05-02,25.96,28.0,22.56,24.76,45175
2006-05-03,24.6,25.48,23.2,25.0,15524
2006-05-04,24.8,25.88,24.0,24.2,20746
2006-05-05,24.4,24.85,24.0,24.4,12376
2006-05-08,22.4,24.04,22.4,22.84,34532
2006-05-09,22.2,23.2,21.0,21.6,25779
2006-05-10,21.2,22.56,21.04,21.88,14506
2006-05-11,21.8,22.0,21.0,21.2,15614
2006-05-12,20.92,23.4,20.48,21.01,27655
2006-05-15,21.96,22.36,20.36,22.0,11371
2006-05-16,22.0,22.4,21.4,22.4,9006
2006-05-17,22.0,25.0,22.0,24.0,21405
2006-05-18,23.8,24.0,22.0,23.04,12552
2006-05-19,22.4,23.04,22.0,22.0,9049
2006-05-22,22.0,23.41,21.04,21.04,9720
2006-05-23,21.0,23.0,20.92,22.36,16124
2006-05-24,21.28,22.8,20.16,22.8,11407
2006-05-25,22.04,23.0,22.04,22.36,4057
2006-05-26,22.16,22.96,22.08,22.4,2815
2006-05-30,22.04,22.8,22.04,22.2,6069
2006-05-31,22.2,22.8,21.72,22.32,8807
2006-06-01,23.4,23.4,22.0,22.48,9434
2006-06-02,22.4,23.08,22.0,23.08,8653
2006-06-05,23.4,24.0,22.84,24.0,9609
2006-06-06,24.0,24.76,23.44,24.4,10168
2006-06-07,24.08,24.08,22.24,23.72,16400
2006-06-08,22.8,23.92,22.12,23.6,3868
2006-06-09,23.2,23.99,23.2,23.8,428
2006-06-12,24.45,24.48,23.2,23.92,2536
2006-06-13,23.92,23.92,22.08,22.81,9476
2006-06-14,22.04,24.0,22.0,23.48,7821
2006-06-15,22.72,23.88,22.72,23.56,5365
2006-06-16,23.96,24.0,23.2,24.0,10151
2006-06-19,23.04,23.96,23.0,23.56,10454
2006-06-20,23.96,24.0,23.2,23.92,21210
2006-06-21,24.0,25.0,24.0,24.64,11231
2006-06-22,24.8,24.96,23.8,24.4,9330
2006-06-23,23.24,25.0,23.24,24.2,7832
2006-06-26,24.0,24.8,24.0,24.8,2558
2006-06-27,24.0,24.4,23.8,24.0,9925
2006-06-28,23.4,23.48,23.2,23.2,7482
2006-06-29,23.2,23.2,23.0,23.04,504
2006-06-30,23.32,23.32,23.0,23.0,7216
2006-07-03,22.44,23.2,22.44,23.2,1731
2006-07-05,23.4,23.4,22.8,23.0,13265
2006-07-06,23.0,23.4,22.48,23.24,2422
2006-07-07,23.4,23.6,23.2,23.4,922
2006-07-10,23.36,23.4,23.28,23.4,1957
2006-07-11,23.2,23.4,23.0,23.08,2211
2006-07-12,22.24,23.0,22.24,22.5,6206
2006-07-13,22.6,23.16,22.24,22.8,4611
2006-07-14,21.8,23.4,21.8,23.2,4636
2006-07-17,22.24,23.24,22.24,22.71,4682
2006-07-18,23.08,23.16,22.08,22.52,2912
2006-07-19,21.64,21.96,21.0,21.8,10802
2006-07-20,21.76,21.76,21.12,21.2,6697
2006-07-21,18.04,21.2,18.04,20.96,12464
2006-07-24,20.4,21.0,20.4,20.64,9826
2006-07-25,19.76,22.0,19.76,22.0,21889
2006-07-26,21.2,22.2,20.76,21.44,7070
2006-07-27,20.8,22.6,20.8,22.4,7750
2006-07-28,22.8,24.0,22.4,24.0,19214
2006-07-31,23.92,25.72,23.88,25.72,45893
2006-08-01,25.6,25.96,24.92,25.88,77258
2006-08-02,26.0,26.16,25.28,26.16,23752
2006-08-03,24.24,25.88,24.24,25.88,4816
2006-08-04,25.76,25.92,25.08,25.6,16962
2006-08-07,25.0,26.0,24.96,26.0,7376
2006-08-08,25.76,26.0,25.56,26.0,15533
2006-08-09,26.0,27.12,25.56,26.68,18099
2006-08-10,26.88,27.4,26.8,27.2,14004
2006-08-11,26.44,27.27,26.44,27.04,7910
2006-08-14,26.44,26.44,24.92,25.2,13047
2006-08-15,26.0,26.0,25.2,25.8,3745
2006-08-16,25.6,26.8,25.32,26.8,13236
2006-08-17,26.8,27.2,26.72,27.0,9772
2006-08-18,26.84,27.45,26.84,27.16,10708
2006-08-21,27.2,27.8,27.0,27.36,9682
2006-08-22,26.24,27.8,26.24,26.36,16744
2006-08-23,26.48,27.4,26.0,26.4,6876
2006-08-24,26.16,27.52,26.16,27.16,7436
2006-08-25,27.14,27.52,26.76,27.12,9363
2006-08-28,27.12,27.92,26.92,27.32,24234
2006-08-29,27.4,27.92,27.4,27.92,7048
2006-08-30,27.96,28.0,27.48,27.68,12440
2006-08-31,27.64,27.92,27.64,27.88,7246
2006-09-01,27.85,28.0,27.8,28.0,3739
2006-09-05,28.0,28.6,27.84,28.6,36460
2006-09-06,28.6,29.0,28.0,28.16,18754
2006-09-07,28.25,28.28,28.0,28.12,6971
2006-09-08,28.2,28.64,28.08,28.2,6458
2006-09-11,29.96,29.96,27.92,28.08,4745
2006-09-12,28.41,28.41,28.0,28.0,2569
2006-09-13,28.18,28.2,27.56,27.76,12572
2006-09-14,27.72,27.8,27.0,27.52,7932
2006-09-15,27.68,27.76,27.28,27.52,4837
2006-09-18,27.32,27.76,27.2,27.56,6313
2006-09-19,27.58,27.6,27.12,27.56,2743
2006-09-20,27.28,27.72,27.0,27.58,6866
2006-09-21,27.44,27.64,27.4,27.6,2719
2006-09-22,27.64,27.8,27.08,27.08,8048
2006-09-25,27.52,27.6,27.08,27.4,2702
2006-09-26,27.6,27.68,27.2,27.52,4061
2006-09-27,27.64,27.68,27.08,27.52,7738
2006-09-28,27.6,27.6,27.24,27.6,2430
2006-09-29,27.6,27.88,27.08,27.28,13808
2006-10-02,27.6,27.64,27.0,27.48,8266
2006-10-03,26.92,27.6,26.92,27.48,4382
2006-10-04,27.4,27.4,26.96,27.2,4729
2006-10-05,27.0,27.31,26.6,27.15,4338
2006-10-06,27.16,27.16,26.6,27.0,7193
2006-10-09,27.32,27.4,26.6,27.16,3649
2006-10-10,27.08,27.36,26.56,26.96,3353
2006-10-11,26.8,27.16,25.76,26.16,7887
2006-10-12,26.0,26.16,24.72,25.44,23635
2006-10-13,24.92,26.04,24.8,25.12,6795
2006-10-16,24.92,25.44,24.72,25.0,9970
2006-10-17,25.12,25.36,24.6,24.68,8332
2006-10-18,24.6,24.92,24.52,24.92,3833
2006-10-19,24.92,25.0,24.8,24.8,4013
2006-10-20,24.8,25.04,24.48,24.72,7874
2006-10-23,25.12,25.12,24.72,25.0,2489
2006-10-24,25.0,25.0,24.76,24.8,3434
2006-10-25,24.84,25.36,24.84,25.2,3884
2006-10-26,25.6,27.0,25.6,26.92,14884
2006-10-27,26.84,27.0,26.36,26.56,6171
2006-10-30,25.64,26.6,25.6,26.56,7284
2006-10-31,26.32,26.6,24.04,26.52,33950
2006-11-01,26.56,27.16,26.56,26.96,5722
2006-11-02,27.0,27.68,24.96,26.28,18862
2006-11-03,26.44,27.2,25.36,26.72,6928
2006-11-06,26.8,27.04,25.96,26.88,7325
2006-11-07,27.12,27.2,26.04,26.32,10020
2006-11-08,26.4,26.72,26.0,26.28,7477
2006-11-09,25.64,26.36,25.64,26.36,8366
2006-11-10,26.36,26.36,25.6,25.68,10077
2006-11-13,25.6,26.96,25.04,25.8,10264
2006-11-14,25.0,26.72,25.0,26.64,8766
2006-11-15,26.72,27.16,26.36,27.16,18274
2006-11-16,27.08,27.2,26.88,27.04,9002
2006-11-17,26.96,27.28,26.04,27.12,16860
2006-11-20,27.2,27.8,26.96,27.72,11464
2006-11-21,27.72,27.88,26.84,27.76,11205
2006-11-22,27.72,27.8,27.12,27.64,10594
2006-11-24,27.6,27.96,26.8,27.8,6478
2006-11-27,27.96,27.96,27.4,27.64,20366
2006-11-28,27.64,27.96,27.0,27.92,10958
2006-11-29,27.84,28.0,27.04,27.8,16631
2006-11-30,27.44,28.96,25.28,27.92,27155
2006-12-01,27.92,28.0,27.32,27.36,12221
2006-12-04,27.12,27.48,26.6,26.92,16608
2006-12-05,26.8,27.92,26.6,27.56,13748
2006-12-06,27.76,27.92,26.92,27.52,15890
2006-12-07,27.4,27.8,27.2,27.28,3397
2006-12-08,27.2,27.76,27.0,27.2,4525
2006-12-11,27.24,28.0,27.16,27.6,15444
2006-12-12,27.52,27.6,27.0,27.52,8638
2006-12-13,26.96,27.56,26.96,27.48,5414
