Date,Open,High,Low,Close,Volume
2014-05-14,21.0,21.0,19.5,20.06,301531
2014-05-15,20.06,21.0,20.06,20.87,331843
2014-05-16,20.75,20.75,19.51,19.98,203274
2014-05-19,20.0,20.5,19.82,20.34,209345
2014-05-20,20.5,20.65,20.34,20.55,341219
2014-05-21,20.5,21.0,20.39,20.62,346972
2014-05-22,20.63,21.23,20.49,20.99,408739
2014-05-23,21.0,21.26,20.89,21.26,606161
2014-05-27,21.25,21.3,20.85,20.97,1326850
2014-05-28,21.0,21.49,20.14,21.03,34599389
2014-05-29,20.65,20.81,20.0,20.6,8652006
2014-05-30,20.31,20.35,19.52,19.89,7731264
2014-06-02,19.73,20.08,19.25,19.8,3103935
2014-06-03,19.62,20.19,19.48,19.9,1374179
2014-06-04,19.58,19.75,18.8,19.09,5180142
2014-06-05,18.52,19.21,18.52,19.07,7060034
2014-06-06,18.8,19.36,18.71,19.22,2643967
2014-06-09,19.07,19.28,18.96,19.21,3074943
2014-06-10,19.12,19.38,19.0,19.31,2886125
2014-06-11,19.09,19.3,19.03,19.24,5060594
2014-06-12,19.11,19.24,18.9,19.13,1500094
2014-06-13,19.02,19.21,18.91,19.16,2081188
2014-06-16,19.1,19.46,19.09,19.35,3053097
2014-06-17,19.43,19.81,19.32,19.65,3030905
2014-06-18,19.55,19.88,19.55,19.72,4301905
2014-06-19,19.83,19.84,19.47,19.62,1802818
2014-06-20,19.64,19.7,19.13,19.14,3055589
2014-06-23,19.36,19.4,19.12,19.3,1163226
2014-06-24,19.2,19.33,19.1,19.16,1060789
2014-06-25,19.18,19.36,18.99,19.05,1078532
2014-06-26,19.04,19.11,18.79,18.95,1530916
2014-06-27,18.85,18.98,18.52,18.52,4737262
2014-06-30,18.75,18.84,18.59,18.74,1712494
2014-07-01,18.77,19.2,18.67,18.99,1748997
2014-07-02,19.05,19.17,18.81,18.97,1312523
2014-07-03,18.9,19.27,18.72,19.22,1271103
2014-07-07,19.08,19.43,18.86,19.2,1289513
2014-07-08,19.2,19.56,19.19,19.49,1484909
2014-07-09,19.3,19.54,18.97,19.52,1289982
2014-07-10,19.47,19.67,19.27,19.31,1196211
2014-07-11,19.24,19.37,19.19,19.37,554843
2014-07-14,19.36,19.36,19.11,19.25,693448
2014-07-15,19.25,19.4,19.05,19.08,649888
2014-07-16,19.11,19.2,18.92,19.13,987863
2014-07-17,19.05,19.14,18.99,19.09,621075
2014-07-18,19.09,19.2,19.04,19.16,697109
2014-07-21,19.08,19.21,18.83,18.95,749159
2014-07-22,18.96,19.23,18.86,18.97,1370268
2014-07-23,18.95,19.21,18.74,19.15,1365504
2014-07-24,19.15,19.32,19.1,19.28,1506255
2014-07-25,19.24,19.4,19.02,19.09,2010868
2014-07-28,19.09,19.26,18.99,19.11,1077793
2014-07-29,19.15,19.32,19.09,19.09,886935
2014-07-30,19.1,19.25,18.99,19.12,1219002
2014-07-31,19.06,19.13,18.86,18.89,1259200
2014-08-01,18.92,19.22,18.72,18.95,1371688
2014-08-04,18.95,18.98,18.71,18.81,982124
2014-08-05,18.78,18.84,18.47,18.55,853678
2014-08-06,18.54,18.76,18.5,18.57,961186
2014-08-07,18.57,18.89,18.47,18.6,1151050
2014-08-08,18.71,19.03,18.53,18.99,2375969
2014-08-11,18.94,19.4,18.84,19.19,2941236
2014-08-12,19.22,19.36,19.1,19.18,870344
2014-08-13,19.3,19.61,19.04,19.09,1539419
2014-08-14,19.02,19.46,18.97,19.25,855089
2014-08-15,19.28,19.42,19.07,19.36,795798
2014-08-18,19.45,19.58,19.33,19.57,994202
2014-08-19,19.56,19.69,19.55,19.63,1942128
2014-08-20,19.61,19.71,19.43,19.67,687715
2014-08-21,19.62,19.65,19.34,19.6,413965
2014-08-22,19.54,19.74,19.36,19.39,541833
2014-08-25,19.24,19.37,19.06,19.23,306708
2014-08-26,19.2,19.62,19.17,19.5,1302499
2014-08-27,19.46,19.56,19.26,19.31,548072
2014-08-28,19.25,19.57,19.25,19.48,649612
2014-08-29,19.54,19.72,19.36,19.52,1004520
2014-09-02,19.49,19.67,19.41,19.55,1104621
2014-09-03,19.56,19.64,19.45,19.56,738432
2014-09-04,19.54,19.62,19.12,19.22,1292848
2014-09-05,19.28,19.44,18.89,19.04,3079339
2014-09-08,19.02,19.3,18.9,19.16,1524464
2014-09-09,19.16,19.18,19.04,19.08,816013
2014-09-10,19.05,19.2,18.99,19.06,803896
2014-09-11,19.02,19.2,18.9,19.13,807709
2014-09-12,19.08,19.17,18.33,18.58,1296642
2014-09-15,18.65,18.82,18.35,18.46,675849
2014-09-16,17.45,18.36,16.86,17.24,15434643
2014-09-17,17.21,17.31,16.8,16.84,4615016
2014-09-18,16.85,17.15,16.55,16.86,4647862
2014-09-19,16.99,17.27,16.92,17.14,4333048
2014-09-22,17.05,17.17,16.85,17.15,3593170
2014-09-23,17.08,17.45,17.06,17.19,3834335
2014-09-24,17.32,17.34,17.05,17.17,3617682
2014-09-25,17.2,17.24,16.74,16.97,3143427
2014-09-26,17.23,17.36,17.04,17.31,2792841
