Date,Open,High,Low,Close,Volume
2015-04-15,32.0,42.0,30.6,42.0,6884160
2015-04-16,42.5,49.25,39.13,39.4,2418768
2015-04-17,40.77,41.44,39.21,40.0,668698
2015-04-20,44.51,44.75,42.35,42.8,1169591
2015-04-21,43.38,43.46,38.67,38.67,888294
2015-04-22,38.71,40.0,38.0,38.17,304455
2015-04-23,38.29,38.57,36.0,36.39,467687
2015-04-24,36.37,36.86,35.0,36.0,338880
2015-04-27,35.24,36.51,31.68,32.06,663594
2015-04-28,31.58,32.85,27.8,27.97,1142210
2015-04-29,27.44,29.18,27.06,27.46,692212
2015-04-30,27.01,27.94,24.68,25.4,1029501
2015-05-01,25.9,26.5,25.1,26.09,370615
2015-05-04,26.61,29.75,26.11,29.33,1240182
2015-05-05,29.97,31.24,27.06,27.71,839721
2015-05-06,27.81,29.86,27.0,27.99,524143
2015-05-07,28.0,29.68,27.88,28.62,323018
2015-05-08,29.14,31.31,29.06,30.85,567949
2015-05-11,32.31,33.24,30.52,30.78,780180
2015-05-12,31.0,33.0,29.1,32.09,461122
2015-05-13,32.35,33.99,31.76,33.69,403954
2015-05-14,34.36,35.35,31.85,32.87,581848
2015-05-15,32.87,33.5,31.0,31.47,258895
2015-05-18,31.18,31.5,28.7,30.13,487969
2015-05-19,30.44,30.67,28.52,28.55,338302
2015-05-20,29.04,30.0,27.57,29.87,350728
2015-05-21,29.8,31.98,29.52,31.47,344014
2015-05-22,30.92,32.0,30.87,31.15,134381
2015-05-26,31.0,31.86,30.23,31.51,181358
2015-05-27,31.09,33.36,31.09,32.08,244175
2015-05-28,32.0,32.81,31.06,31.73,157535
2015-05-29,32.13,34.42,31.14,33.78,413453
2015-06-01,33.7,33.93,32.29,32.9,360046
2015-06-02,32.45,32.77,31.25,31.39,319171
2015-06-03,31.45,32.45,31.2,32.4,243835
2015-06-04,32.56,33.56,31.98,33.43,267572
2015-06-05,33.29,35.47,33.1,35.25,378191
2015-06-08,35.09,35.88,33.25,34.05,254603
2015-06-09,34.21,34.21,32.25,32.44,213423
2015-06-10,32.66,33.52,32.38,33.01,97791
2015-06-11,33.17,33.56,32.13,33.37,139611
2015-06-12,33.75,34.89,33.55,33.78,197962
2015-06-15,33.7,36.26,33.59,36.0,615614
2015-06-16,35.85,36.48,34.9,35.44,279516
2015-06-17,35.53,36.48,34.36,35.35,180282
2015-06-18,35.44,36.24,35.0,35.14,215959
2015-06-19,35.1,37.46,35.0,36.82,456701
2015-06-22,36.3,37.49,35.58,35.79,189952
2015-06-23,35.8,36.9,35.02,36.44,239208
2015-06-24,36.12,36.68,35.2,35.88,193074
2015-06-25,36.01,36.23,32.5,33.8,471358
2015-06-26,32.78,33.55,32.52,32.71,1408192
2015-06-29,32.51,32.95,29.56,29.58,599644
2015-06-30,30.2,30.99,29.3,30.33,402349
2015-07-01,30.74,31.19,30.0,30.79,193247
2015-07-02,30.68,31.45,30.39,31.19,108355
2015-07-06,30.49,31.67,29.75,31.28,242076
2015-07-07,31.43,32.19,30.6,31.64,222703
2015-07-08,31.01,31.39,29.82,29.94,204433
2015-07-09,30.51,30.93,29.5,30.3,221302
2015-07-10,30.45,30.63,30.01,30.58,145660
2015-07-13,30.69,31.35,30.39,30.56,99572
2015-07-14,30.69,30.96,30.33,30.84,91682
2015-07-15,30.69,31.01,30.36,30.95,143605
2015-07-16,31.09,31.18,29.74,29.87,192819
2015-07-17,29.72,29.86,28.26,28.68,335380
2015-07-20,28.57,28.95,27.21,27.7,291877
2015-07-21,27.55,28.73,27.08,28.5,140490
2015-07-22,28.26,29.14,27.87,29.12,127616
2015-07-23,28.99,29.5,28.52,28.73,126858
2015-07-24,28.4,28.72,26.32,26.69,256295
2015-07-27,26.4,26.83,26.0,26.4,105635
2015-07-28,26.43,26.98,25.65,26.58,176706
2015-07-29,26.45,27.42,26.15,26.33,100314
2015-07-30,26.15,26.36,25.61,25.79,86944
2015-07-31,25.81,26.46,25.6,26.22,286473
2015-08-03,26.12,26.32,24.97,25.22,188723
2015-08-04,25.32,25.47,24.03,24.14,339829
2015-08-05,24.26,24.66,23.34,24.33,220649
2015-08-06,24.3,24.3,23.03,23.93,193784
2015-08-07,23.89,23.89,22.12,23.21,287868
2015-08-10,23.3,24.69,23.25,23.69,187798
2015-08-11,23.44,24.8,21.62,23.0,222715
2015-08-12,22.72,23.33,21.76,23.13,256480
2015-08-13,23.08,23.5,22.27,22.34,211355
2015-08-14,22.37,22.79,20.59,20.83,270184
2015-08-17,20.85,21.75,20.62,21.6,258346
2015-08-18,21.62,21.9,21.12,21.57,227688
2015-08-19,21.28,21.8,20.76,21.36,185597
2015-08-20,21.12,21.12,20.03,20.12,316819
2015-08-21,19.75,19.9,18.01,19.44,431716
2015-08-24,17.6,19.08,16.28,18.95,664084
2015-08-25,19.89,19.89,17.85,17.92,324751
2015-08-26,18.38,19.35,18.0,19.34,319597
2015-08-27,19.72,22.33,19.72,21.81,339914
2015-08-28,21.7,22.14,20.1,20.61,248236
2015-08-31,20.61,20.76,18.84,19.36,376943
2015-09-01,18.79,19.33,18.08,19.11,341269
2015-09-02,19.39,19.57,18.3,19.52,223200
2015-09-03,19.65,19.85,18.42,18.69,141354
2015-09-04,18.41,19.5,18.3,19.25,113980
2015-09-08,19.66,19.66,18.49,19.24,328781
2015-09-09,19.43,19.84,18.79,19.33,263357
2015-09-10,19.4,20.86,19.15,20.13,394941
2015-09-11,20.12,20.44,19.25,20.4,158091
2015-09-14,20.4,20.54,19.72,20.25,120113
2015-09-15,20.26,21.05,19.79,20.85,194513
2015-09-16,20.93,21.31,20.15,21.1,148260
2015-09-17,21.14,23.23,20.98,22.99,244312
2015-09-18,22.65,23.94,22.11,23.72,409864
2015-09-21,24.31,24.31,21.76,22.45,183001
2015-09-22,22.04,22.41,20.79,21.43,233354
2015-09-23,21.51,21.67,20.73,21.46,98198
2015-09-24,21.26,21.64,20.11,21.63,182378
2015-09-25,21.94,22.13,19.85,20.42,246336
2015-09-28,21.48,22.0,18.34,19.31,353945
2015-09-29,19.19,19.25,17.52,19.03,374172
2015-09-30,19.42,19.82,18.32,19.37,343272
2015-10-01,19.21,19.5,18.63,19.49,148691
2015-10-02,19.1,19.91,18.4,19.27,178028
2015-10-05,19.58,20.5,19.44,20.41,282933
2015-10-06,20.3,20.48,19.49,20.4,444756
2015-10-07,20.44,21.72,19.78,21.23,517477
2015-10-08,21.13,22.14,20.51,21.74,325196
2015-10-09,21.89,22.63,21.34,22.06,215314
2015-10-12,21.64,22.47,21.56,21.81,353565
2015-10-13,21.57,22.51,20.99,21.71,303410
2015-10-14,21.91,22.44,21.48,21.83,279063
2015-10-15,21.48,22.79,21.4,22.56,239212
2015-10-16,22.31,23.15,22.31,22.9,188222
2015-10-19,22.54,24.5,22.54,23.63,304826
2015-10-20,23.9,24.01,23.38,23.77,393747
2015-10-21,23.98,24.04,23.18,23.47,281341
2015-10-22,23.58,24.61,23.14,23.53,392161
2015-10-23,23.96,24.55,23.79,24.14,174351
2015-10-26,24.16,25.44,23.6,25.05,219331
2015-10-27,24.93,25.49,24.44,25.16,189837
2015-10-28,25.04,27.37,25.04,27.19,212917
2015-10-29,27.19,28.42,26.52,26.9,234880
2015-10-30,27.54,27.54,26.44,27.01,117559
2015-11-02,26.77,28.36,26.77,27.75,299785
2015-11-03,27.81,28.4,27.2,27.83,230916
2015-11-04,27.8,28.5,27.46,28.29,192947
2015-11-05,28.35,28.35,26.9,27.02,189572
2015-11-06,26.93,28.54,26.77,28.4,190965
2015-11-09,28.4,30.65,27.95,29.53,478393
2015-11-10,30.63,30.63,29.25,29.88,198009
2015-11-11,29.78,30.5,28.06,28.26,253053
2015-11-12,27.78,29.0,27.25,28.46,161219
2015-11-13,28.47,29.82,28.02,29.09,193650
2015-11-16,28.88,29.2,27.08,27.63,346000
2015-11-17,27.5,29.11,27.28,28.87,298831
2015-11-18,28.68,29.13,28.27,28.73,234318
2015-11-19,28.65,29.0,28.24,28.42,244038
2015-11-20,28.61,29.2,28.27,28.83,203583
2015-11-23,30.11,32.41,29.0,32.23,792094
2015-11-24,29.94,30.0,26.7,27.05,3382995
2015-11-25,29.49,32.49,28.73,31.47,816100
2015-11-27,31.63,31.79,30.86,31.17,224952
2015-11-30,31.36,31.44,30.11,30.99,646872
2015-12-01,30.0,30.16,28.61,29.45,668629
2015-12-02,29.25,29.99,29.11,29.69,251986
2015-12-03,29.72,30.52,29.42,29.79,309118
2015-12-04,29.81,30.41,29.55,29.95,221972
2015-12-07,30.09,30.28,28.89,29.65,440197
2015-12-08,29.37,31.29,29.33,31.08,441350
2015-12-09,30.88,31.39,29.02,29.17,290019
2015-12-10,28.9,30.47,28.82,30.16,245220
2015-12-11,29.7,30.46,29.29,29.93,320516
2015-12-14,29.99,31.57,29.86,31.21,495050
2015-12-15,31.12,31.59,30.62,31.14,468735
2015-12-16,31.24,34.95,31.24,33.63,796245
2015-12-17,33.61,34.05,31.68,31.74,482536
2015-12-18,31.51,31.68,29.5,29.56,2984540
2015-12-21,29.41,29.94,28.75,29.65,248474
2015-12-22,29.65,30.2,26.75,26.98,323967
2015-12-23,27.01,28.5,26.86,28.42,262270
2015-12-24,28.14,28.56,27.23,27.72,96683
2015-12-28,28.2,28.81,27.0,28.17,472141
2015-12-29,28.03,29.2,27.75,29.12,184007
2015-12-30,28.82,29.7,28.01,28.95,309811
2015-12-31,28.68,29.4,27.98,28.14,192692
2016-01-04,27.11,27.38,25.58,26.74,362330
2016-01-05,26.79,27.01,25.69,26.3,313733
2016-01-06,25.76,26.2,24.02,24.81,246833
2016-01-07,24.31,24.69,23.22,23.83,223251
2016-01-08,23.9,24.1,23.13,23.59,346985
2016-01-11,23.51,23.88,20.69,22.3,472221
2016-01-12,22.67,23.37,22.04,22.8,332709
2016-01-13,22.94,23.06,20.68,20.94,297537
2016-01-14,21.24,21.98,19.33,21.48,654273
2016-01-15,20.61,20.95,19.76,20.69,231179
2016-01-19,20.76,20.9,18.42,19.37,313852
2016-01-20,18.3,20.95,18.08,20.37,314849
2016-01-21,20.31,20.92,19.52,19.6,716777
2016-01-22,20.13,20.5,17.66,18.39,497357
2016-01-25,18.34,18.88,17.56,17.69,396771
2016-01-26,18.05,18.27,16.73,17.51,315431
2016-01-27,17.51,17.7,16.14,16.37,305772
2016-01-28,16.61,16.64,14.59,15.1,323011
2016-01-29,15.0,15.33,14.34,14.48,297562
2016-02-01,14.77,15.28,14.06,14.86,485069
2016-02-02,14.76,15.27,14.45,15.18,541942
2016-02-03,15.38,15.5,13.95,14.98,312601
2016-02-04,14.99,16.1,14.79,15.59,320370
2016-02-05,15.39,15.61,14.3,14.38,332003
2016-02-08,14.12,14.4,12.17,12.64,431106
2016-02-09,12.35,13.07,11.94,13.15,234955
2016-02-10,13.32,14.1,13.03,13.54,244107
2016-02-11,13.25,14.46,12.99,14.01,312423
2016-02-12,14.24,14.47,13.5,14.31,186763
2016-02-16,14.5,15.21,14.5,14.97,265115
2016-02-17,15.07,15.4,14.88,15.01,280678
2016-02-18,14.91,14.95,14.27,14.45,322269
2016-02-19,14.4,15.09,13.98,14.95,206962
2016-02-22,15.0,15.27,14.26,14.64,189489
