Date,Open,High,Low,Close,Volume
2009-10-28,9.4,9.5,8.37,8.49,2471423
2009-10-29,8.76,9.0,8.5,9.0,224137
2009-10-30,9.0,9.15,8.4,9.15,125686
2009-11-02,8.78,9.15,8.5,8.64,51683
2009-11-03,8.51,8.6,8.18,8.47,55183
2009-11-04,8.55,8.63,8.29,8.4,41770
2009-11-05,8.5,8.55,8.34,8.4,26450
2009-11-06,8.26,8.57,8.07,8.5,32604
2009-11-09,8.49,8.49,8.07,8.41,34499
2009-11-10,8.11,8.39,7.6,7.99,88184
2009-11-11,7.99,8.0,7.66,7.95,95855
2009-11-12,8.58,8.59,8.16,8.4,195000
2009-11-13,8.13,8.4,8.03,8.03,26860
2009-11-16,8.21,8.22,7.96,8.02,33795
2009-11-17,8.01,8.04,7.7,7.7,59329
2009-11-18,7.7,7.9,7.52,7.85,64722
2009-11-19,7.95,8.19,7.73,8.06,133610
2009-11-20,8.21,8.25,7.98,8.0,49853
2009-11-23,8.03,8.25,7.85,8.15,43141
2009-11-24,8.09,8.23,8.0,8.16,12180
2009-11-25,8.01,8.25,8.0,8.14,15225
2009-11-27,8.01,8.18,7.75,8.03,6554
2009-11-30,8.04,8.28,8.0,8.25,48904
2009-12-01,8.25,8.46,8.1,8.34,32517
2009-12-02,8.0,8.34,8.0,8.06,25020
2009-12-03,8.01,8.12,7.85,8.1,29066
2009-12-04,8.02,8.43,7.97,8.31,86012
2009-12-07,8.47,8.48,8.22,8.22,102782
2009-12-08,8.2,8.48,8.19,8.35,68566
2009-12-09,8.37,8.43,8.15,8.2,35925
2009-12-10,8.46,8.46,8.2,8.3,55170
2009-12-11,8.29,8.37,8.22,8.26,23200
2009-12-14,8.3,8.49,8.25,8.35,34858
2009-12-15,8.35,8.55,8.35,8.55,110289
2009-12-16,8.55,8.77,8.43,8.57,127097
2009-12-17,8.57,8.61,8.5,8.55,50403
2009-12-18,8.55,8.55,7.95,8.0,78310
2009-12-21,8.01,8.1,7.61,8.09,89401
2009-12-22,8.25,8.5,8.24,8.46,25274
2009-12-23,8.5,8.65,8.19,8.61,33161
2009-12-24,8.65,8.78,8.54,8.73,12410
2009-12-28,8.84,9.2,8.78,9.1,55388
2009-12-29,9.15,9.22,9.01,9.01,39244
