Date,Open,High,Low,Close,Volume
2013-09-20,15.0,15.0,13.99,14.09,2731254
2013-09-23,14.75,14.75,14.01,14.3,259788
2013-09-24,14.5,14.6,14.1,14.37,65789
2013-09-25,14.55,14.94,14.3,14.5,101443
2013-09-26,14.48,15.1,14.26,14.75,141562
2013-09-27,14.65,15.0,14.26,14.65,180248
2013-09-30,14.85,14.96,14.0,14.12,175318
2013-10-01,14.45,14.99,14.1,14.67,114537
2013-10-02,14.38,14.8,14.36,14.74,97294
2013-10-03,14.9,15.1,14.53,14.9,93788
2013-10-04,15.05,15.19,14.8,15.04,75635
2013-10-07,15.15,15.15,14.81,15.09,18654
2013-10-08,14.94,15.17,14.51,14.65,33396
2013-10-09,14.98,14.98,14.14,14.5,52305
2013-10-10,14.95,15.0,14.65,14.89,41268
2013-10-11,15.1,15.38,14.62,15.31,95839
2013-10-14,15.49,15.49,14.68,15.27,48069
2013-10-15,15.78,15.89,14.76,15.1,285302
2013-10-16,15.2,15.2,14.4,14.54,152376
2013-10-17,14.5,15.2,14.5,15.0,288585
2013-10-18,15.34,15.34,15.0,15.0,58779
2013-10-21,15.15,15.45,14.9,15.06,14132
2013-10-22,14.75,15.13,14.75,15.0,7626
2013-10-23,14.77,15.04,14.77,15.0,26300
2013-10-24,15.0,15.13,14.9,14.9,40234
2013-10-25,14.88,15.13,14.7,14.9,29042
2013-10-28,15.04,15.04,14.4,14.54,59949
2013-10-29,14.53,14.59,12.79,14.2,77317
2013-10-30,14.0,14.25,13.25,13.32,62096
2013-10-31,13.3,14.0,12.83,13.09,81418
2013-11-01,13.4,13.45,12.12,12.66,46899
2013-11-04,12.74,13.59,12.5,13.0,13904
2013-11-05,12.94,13.5,12.5,12.5,18525
2013-11-06,12.8,13.43,11.01,11.85,42043
2013-11-07,12.16,12.16,11.15,11.16,25508
2013-11-08,11.61,11.61,10.11,10.23,79518
2013-11-11,10.02,10.2,9.35,9.71,108580
2013-11-12,9.51,9.75,9.22,9.5,96805
2013-11-13,9.46,9.88,9.3,9.42,98198
2013-11-14,9.12,9.88,9.11,9.18,87345
2013-11-15,9.11,9.11,8.5,8.7,176654
2013-11-18,8.8,9.1,8.66,8.94,128533
2013-11-19,8.91,8.98,8.6,8.8,95656
2013-11-20,9.19,9.19,8.36,8.64,178713
2013-11-21,8.87,8.87,8.41,8.49,92143
2013-11-22,9.02,9.4,8.73,9.0,253814
2013-11-25,9.34,9.35,8.9,9.02,196697
2013-11-26,9.06,9.1,8.9,8.97,156563
2013-11-27,9.07,9.69,8.98,9.35,240380
2013-11-29,9.78,9.78,9.15,9.2,54699
2013-12-02,9.48,9.86,9.25,9.33,129277
2013-12-03,9.56,9.75,9.0,9.53,228705
2013-12-04,9.5,11.22,9.31,10.92,306729
2013-12-05,11.16,11.47,10.74,11.28,141177
2013-12-06,11.34,11.72,10.82,11.37,74601
2013-12-09,11.5,12.75,11.5,12.34,226098
2013-12-10,12.4,12.97,12.0,12.88,118817
2013-12-11,12.73,13.33,12.51,12.7,72025
2013-12-12,12.45,12.8,11.25,11.77,109199
2013-12-13,11.77,13.15,11.35,12.9,85261
2013-12-16,13.05,13.66,12.94,13.47,307321
2013-12-17,13.9,14.84,13.45,14.38,233943
2013-12-18,14.62,15.58,14.07,15.09,168962
2013-12-19,15.33,15.48,14.85,15.1,82222
2013-12-20,15.16,15.35,14.5,15.27,797013
2013-12-23,15.09,15.77,14.75,14.88,115066
2013-12-24,14.81,15.35,13.58,13.75,157237
2013-12-26,13.75,15.5,13.75,15.4,101846
2013-12-27,15.49,15.49,14.41,14.83,48197
2013-12-30,14.87,15.07,14.75,14.96,48337
2013-12-31,15.08,15.25,14.75,15.09,46312
2014-01-02,15.1,15.21,14.76,14.99,60109
2014-01-03,14.93,15.0,14.13,14.46,57400
2014-01-06,14.32,14.65,13.48,14.08,112213
2014-01-07,13.88,14.31,13.5,14.23,114737
2014-01-08,14.0,14.06,12.62,13.35,199381
2014-01-09,12.97,13.36,12.48,12.52,171094
2014-01-10,12.48,12.48,11.17,11.5,373509
2014-01-13,11.5,11.66,11.0,11.08,185045
2014-01-14,11.08,11.29,10.82,10.93,163261
2014-01-15,10.75,11.5,10.68,11.26,161194
2014-01-16,11.3,13.0,11.13,12.9,285144
2014-01-17,12.9,14.14,12.68,13.4,212569
2014-01-21,13.6,14.43,13.32,14.2,167517
2014-01-22,14.28,14.55,13.26,13.6,99856
2014-01-23,13.62,14.14,13.43,13.93,37846
2014-01-24,13.93,13.93,12.85,13.83,85401
2014-01-27,13.77,13.8,12.92,13.04,132407
2014-01-28,12.79,13.85,12.62,12.73,177732
2014-01-29,12.76,13.25,12.42,12.92,115806
2014-01-30,12.96,13.45,12.71,13.05,66569
2014-01-31,12.73,13.17,12.52,12.65,49343
2014-02-03,12.69,12.91,11.34,11.66,133254
2014-02-04,11.9,12.8,11.5,12.56,105852
2014-02-05,12.3,12.93,11.77,12.22,103141
2014-02-06,12.2,12.46,11.9,12.06,31090
2014-02-07,12.06,12.9,12.0,12.58,80125
2014-02-10,12.5,14.58,12.5,13.73,234435
2014-02-11,13.82,14.12,13.48,14.02,126322
2014-02-12,14.12,14.12,13.7,13.91,93745
2014-02-13,13.97,14.5,13.54,14.45,44692
2014-02-14,14.62,14.75,13.52,13.62,81756
2014-02-18,14.13,14.75,13.88,14.39,240530
2014-02-19,14.19,14.24,13.71,13.87,62256
2014-02-20,14.05,14.35,13.79,14.09,87648
2014-02-21,14.02,14.38,13.86,13.93,59134
2014-02-24,14.02,14.11,13.63,13.98,66175
2014-02-25,14.06,14.34,13.67,14.03,66963
2014-02-26,14.15,14.15,13.57,13.73,125700
2014-02-27,13.85,14.34,13.68,14.23,62949
2014-02-28,14.25,14.33,13.37,13.66,56824
2014-03-03,13.67,13.87,13.31,13.58,66002
2014-03-04,13.77,14.03,13.41,13.5,99149
2014-03-05,13.6,13.7,13.3,13.44,69874
2014-03-06,13.37,13.65,12.55,12.75,188411
2014-03-07,12.79,12.97,12.0,12.49,97535
