Date,Open,High,Low,Close,Volume
2000-06-29,2.62,2.62,2.38,2.5,90500
2000-06-30,2.5,2.62,2.38,2.62,52200
2000-07-03,2.62,2.75,2.56,2.66,42700
2000-07-05,2.56,2.56,2.38,2.38,38000
2000-07-06,2.38,2.38,2.06,2.25,111200
2000-07-07,2.25,2.38,2.0,2.31,188400
2000-07-10,2.28,2.38,2.19,2.19,77300
2000-07-11,2.19,2.31,2.12,2.19,53000
2000-07-12,2.23,2.28,2.09,2.25,89300
2000-07-13,2.19,2.19,2.06,2.12,26300
2000-07-14,2.12,2.25,2.0,2.06,54100
2000-07-17,2.19,2.25,2.12,2.12,45800
2000-07-18,2.19,2.25,2.06,2.06,94200
2000-07-19,2.11,2.12,2.0,2.06,46000
2000-07-20,2.0,2.19,1.88,2.12,126500
2000-07-21,2.19,2.19,2.0,2.0,59200
2000-07-24,2.05,2.06,1.94,2.0,50700
2000-07-25,2.0,2.09,1.97,2.0,23500
2000-07-26,2.03,2.03,1.94,1.98,37900
2000-07-27,2.03,2.06,1.94,2.06,141600
2000-07-28,2.05,2.06,1.94,2.06,32400
2000-07-31,2.06,2.06,1.62,1.94,140300
2000-08-01,1.94,2.03,1.88,1.94,143800
2000-08-02,1.91,1.94,1.81,1.91,87800
2000-08-03,1.86,1.88,1.75,1.75,49500
2000-08-04,1.83,2.0,1.81,1.84,75200
2000-08-07,1.88,1.94,1.81,1.91,230000
2000-08-08,1.94,1.97,1.84,1.84,25000
2000-08-09,1.91,2.0,1.84,1.88,69100
2000-08-10,2.0,2.0,1.81,1.91,60000
2000-08-11,1.97,2.0,1.88,2.0,14200
2000-08-14,1.88,2.0,1.88,1.97,23300
2000-08-15,1.94,2.25,1.88,2.25,100000
2000-08-16,2.22,2.31,2.0,2.03,32700
2000-08-17,2.0,2.06,1.97,1.97,37700
2000-08-18,2.0,2.12,2.0,2.06,71400
2000-08-21,2.06,2.06,1.91,1.97,45000
2000-08-22,1.94,1.97,1.75,1.84,139200
2000-08-23,0.0,1.94,1.78,1.88,55300
2000-08-24,1.97,2.0,1.88,1.91,26500
2000-08-25,1.81,1.94,1.81,1.94,87300
2000-08-28,0.0,1.88,1.81,1.84,46400
2000-08-29,1.91,1.94,1.84,1.94,25900
2000-08-30,1.94,1.94,1.84,1.84,18800
2000-08-31,1.95,2.0,1.88,1.91,50500
2000-09-01,1.91,2.06,1.91,1.94,39700
2000-09-05,1.88,2.0,1.84,1.94,30400
2000-09-06,1.81,1.94,1.81,1.81,15000
2000-09-07,1.81,1.94,1.75,1.88,111400
2000-09-08,1.77,1.88,1.69,1.69,52000
2000-09-11,1.84,1.88,1.75,1.75,14800
2000-09-12,1.75,1.94,1.75,1.94,43100
2000-09-13,1.78,1.94,1.75,1.88,19400
2000-09-14,1.77,1.88,1.69,1.88,23900
2000-09-15,1.75,1.78,1.66,1.78,79800
2000-09-18,1.72,1.75,1.62,1.75,52200
2000-09-19,1.69,1.75,1.66,1.66,42000
2000-09-20,1.67,1.78,1.62,1.69,62300
2000-09-21,1.75,1.75,1.44,1.62,150900
2000-09-22,1.56,1.75,1.44,1.75,166000
2000-09-25,1.7,1.75,1.62,1.69,138800
2000-09-26,1.64,1.75,1.56,1.69,36700
2000-09-27,1.69,1.72,1.62,1.72,33300
2000-09-28,1.69,1.75,1.62,1.72,27700
2000-09-29,1.62,1.88,1.53,1.84,106700
2000-10-02,1.72,1.81,1.69,1.81,21000
2000-10-03,1.81,1.81,1.72,1.75,96000
2000-10-04,1.75,1.81,1.69,1.72,118900
2000-10-05,1.75,1.88,1.72,1.72,71400
2000-10-06,1.73,1.75,1.72,1.75,39200
2000-10-09,1.66,1.75,1.66,1.69,23100
2000-10-10,1.66,1.66,1.56,1.56,43300
2000-10-11,1.58,1.59,1.31,1.31,157100
2000-10-12,1.44,1.47,1.19,1.34,163100
2000-10-13,1.31,1.44,1.19,1.31,62300
2000-10-16,1.33,1.38,1.25,1.25,83800
2000-10-17,1.25,1.38,1.25,1.34,35800
2000-10-18,1.31,1.38,1.03,1.06,311300
2000-10-19,1.06,1.28,1.03,1.22,887500
2000-10-20,1.16,1.25,1.16,1.22,60200
2000-10-23,1.25,1.5,1.19,1.5,96900
2000-10-24,1.5,1.56,1.44,1.5,24200
2000-10-25,1.5,1.94,1.5,1.88,179800
2000-10-26,1.81,1.88,1.72,1.88,103800
2000-10-27,1.88,1.97,1.88,1.94,46300
2000-10-30,1.84,2.12,1.84,2.12,187600
2000-10-31,2.06,2.12,2.03,2.12,56200
2000-11-01,2.12,2.12,2.03,2.09,104500
2000-11-02,2.12,2.12,1.62,1.75,259700
2000-11-03,1.73,1.75,1.66,1.73,74600
2000-11-06,1.7,1.75,1.66,1.73,105100
2000-11-07,1.72,1.78,1.69,1.78,24600
2000-11-08,1.81,1.97,1.81,1.91,72900
2000-11-09,1.97,1.97,1.88,1.91,58200
2000-11-10,2.0,2.0,1.72,1.84,17400
2000-11-13,2.0,2.0,1.69,1.81,115400
2000-11-14,1.88,2.03,1.75,1.81,130500
2000-11-15,1.81,1.89,1.69,1.69,15500
2000-11-16,1.75,1.75,1.56,1.69,34800
2000-11-17,1.56,1.62,1.53,1.62,27100
2000-11-20,1.53,1.59,1.5,1.5,51600
2000-11-21,1.56,1.69,1.56,1.69,69500
2000-11-22,1.56,1.62,1.5,1.5,37600
2000-11-24,1.5,1.5,1.5,1.5,600
2000-11-27,1.62,1.66,1.44,1.44,59100
2000-11-28,1.47,1.53,1.12,1.25,51700
2000-11-29,1.12,1.34,1.12,1.16,39700
2000-11-30,1.16,1.53,1.16,1.53,63300
2000-12-01,1.53,1.53,1.25,1.47,126100
2000-12-04,1.34,1.5,1.25,1.44,45200
2000-12-05,1.38,1.38,1.19,1.25,51100
2000-12-06,1.2,1.38,1.19,1.22,35000
2000-12-07,1.23,1.25,1.03,1.12,46100
2000-12-08,1.06,1.34,1.06,1.25,90700
2000-12-11,1.31,1.34,1.19,1.28,47900
2000-12-12,1.22,1.25,1.22,1.22,27200
2000-12-13,1.22,1.22,1.16,1.16,19400
2000-12-14,1.16,1.16,1.03,1.06,108800
2000-12-15,1.11,1.11,1.0,1.09,151500
2000-12-18,1.09,1.22,1.0,1.0,85800
2000-12-19,1.09,1.16,1.0,1.0,82100
2000-12-20,0.84,1.03,0.81,0.97,100400
2000-12-21,0.95,0.95,0.81,0.94,33400
2000-12-22,0.81,0.88,0.69,0.81,189200
2000-12-26,0.84,0.88,0.69,0.72,104700
2000-12-27,0.73,0.75,0.62,0.75,96600
2000-12-28,0.72,0.88,0.66,0.81,172500
2000-12-29,0.75,0.88,0.66,0.88,156800
2001-01-02,0.81,0.94,0.81,0.94,54600
2001-01-03,0.97,1.19,0.97,1.12,157200
2001-01-04,1.19,1.19,1.0,1.12,177700
2001-01-05,1.19,1.25,1.12,1.19,28400
2001-01-08,1.25,1.31,1.12,1.19,32400
2001-01-09,1.12,1.16,1.06,1.09,53600
2001-01-10,1.09,1.25,1.09,1.22,154200
2001-01-11,1.23,1.47,1.23,1.41,56100
2001-01-12,1.34,1.5,1.34,1.5,178700
2001-01-16,1.47,1.53,1.31,1.44,126900
2001-01-17,1.5,1.5,1.34,1.34,20300
2001-01-18,1.34,1.5,1.31,1.41,100300
2001-01-19,1.44,1.47,1.31,1.44,9500
2001-01-22,1.42,1.44,1.31,1.41,25600
2001-01-23,1.47,1.5,1.41,1.41,85400
2001-01-24,1.5,1.5,1.31,1.44,73700
2001-01-25,1.41,1.5,1.41,1.44,6200
2001-01-26,1.45,1.5,1.44,1.5,24500
2001-01-29,1.53,1.53,1.47,1.5,37100
2001-01-30,1.5,1.88,1.5,1.75,123300
2001-01-31,1.75,1.75,1.62,1.75,11000
2001-02-01,1.64,1.75,1.62,1.75,6200
2001-02-02,1.75,1.75,1.47,1.62,15000
2001-02-05,1.56,1.62,1.56,1.62,1300
2001-02-06,1.56,1.62,1.56,1.62,10600
2001-02-07,1.62,1.72,1.62,1.66,18200
2001-02-08,1.62,1.69,1.62,1.69,15600
2001-02-09,1.69,1.69,1.56,1.62,16400
2001-02-12,1.62,1.62,1.5,1.62,10600
2001-02-13,1.62,1.62,1.56,1.62,22800
2001-02-14,1.59,1.75,1.59,1.75,21800
2001-02-15,1.61,1.94,1.61,1.94,57400
2001-02-16,1.69,2.0,1.66,2.0,98300
2001-02-20,1.88,2.0,1.88,1.91,59000
2001-02-21,1.94,1.94,1.81,1.88,12400
2001-02-22,1.88,1.88,1.62,1.69,22300
2001-02-23,1.66,1.69,1.44,1.69,40400
2001-02-26,1.53,1.75,1.53,1.75,8700
2001-02-27,1.62,1.75,1.62,1.75,33600
2001-02-28,1.81,1.88,1.81,1.88,13600
2001-03-01,1.88,1.88,1.75,1.75,16700
2001-03-02,1.69,1.88,1.69,1.88,81700
2001-03-05,1.86,1.94,1.78,1.94,42800
2001-03-06,1.94,1.97,1.75,1.94,55600
2001-03-07,1.88,1.97,1.88,1.95,69200
2001-03-08,1.94,2.0,1.94,2.0,19000
2001-03-09,1.94,2.0,1.91,2.0,19600
2001-03-12,1.88,2.0,1.84,1.97,51600
2001-03-13,1.91,1.94,1.81,1.91,28500
2001-03-14,1.81,1.94,1.69,1.88,23600
2001-03-15,1.88,1.88,1.75,1.75,63700
2001-03-16,1.75,1.88,1.69,1.88,16400
2001-03-19,1.69,1.88,1.62,1.75,62300
2001-03-20,1.75,1.81,1.72,1.81,10500
2001-03-21,1.81,1.81,1.72,1.81,12200
2001-03-22,1.72,1.88,1.72,1.88,47500
2001-03-23,1.81,1.94,1.81,1.88,6900
2001-03-26,1.81,1.97,1.75,1.97,12500
2001-03-27,1.95,2.0,1.66,1.78,49300
2001-03-28,1.72,2.12,1.72,2.12,61900
2001-03-29,2.12,2.56,2.0,2.38,194300
2001-03-30,2.38,2.53,2.25,2.53,192400
2001-04-02,2.5,2.5,2.31,2.47,33500
2001-04-03,2.31,2.31,2.16,2.25,50600
2001-04-04,2.25,2.5,2.22,2.41,52200
2001-04-05,2.41,2.53,2.38,2.53,48000
2001-04-06,2.48,2.5,2.25,2.31,15600
2001-04-09,2.45,2.55,2.28,2.55,44200
2001-04-10,2.5,2.77,2.5,2.75,70300
2001-04-11,2.75,2.85,2.75,2.8,89800
2001-04-12,2.8,2.9,2.8,2.85,105800
2001-04-16,2.85,2.94,2.81,2.9,103100
2001-04-17,2.86,3.08,2.8,2.99,139800
2001-04-18,3.02,3.23,3.02,3.11,335600
2001-04-19,3.1,3.1,2.98,3.06,67500
2001-04-20,3.03,3.05,2.73,2.93,90100
2001-04-23,3.06,3.59,3.05,3.59,451900
2001-04-24,3.86,4.14,3.8,4.14,957800
2001-04-25,4.23,4.49,4.11,4.49,512100
2001-04-26,4.43,4.44,3.84,4.0,395800
