Date,Open,High,Low,Close,Volume
2000-06-27,18.0,18.31,17.81,18.19,129000
2000-06-28,17.88,18.25,17.81,18.22,60500
2000-06-29,17.81,18.19,17.5,18.12,115700
2000-06-30,18.19,18.62,16.0,17.0,260800
2000-07-03,16.75,17.0,15.75,16.62,56100
2000-07-05,19.0,19.12,18.12,18.94,160500
2000-07-06,18.44,19.12,18.12,18.69,117100
2000-07-07,18.88,19.06,18.12,19.06,208600
2000-07-10,18.31,19.31,18.31,18.94,70200
2000-07-11,18.56,19.25,18.25,19.23,22700
2000-07-12,19.62,19.81,19.5,19.75,24100
2000-07-13,20.12,20.94,20.12,20.38,55500
2000-07-14,21.06,21.88,21.0,21.75,103700
2000-07-17,20.62,21.5,20.5,21.25,46400
2000-07-18,21.19,21.19,20.75,20.94,57300
2000-07-19,20.56,20.62,20.44,20.5,52100
2000-07-20,20.31,20.31,19.62,20.19,32300
2000-07-21,20.12,20.17,19.75,19.94,31800
2000-07-24,20.12,20.25,19.88,20.0,17300
2000-07-25,20.38,20.88,20.31,20.62,28500
2000-07-26,21.0,21.88,21.0,21.31,129600
2000-07-27,21.62,21.62,20.75,21.0,32200
2000-07-28,19.38,19.56,18.52,18.75,38200
2000-07-31,19.38,19.38,18.5,18.75,56100
2000-08-01,18.5,19.25,18.5,19.0,19800
2000-08-02,19.12,19.12,18.81,19.12,77600
2000-08-03,18.2,18.62,17.94,18.62,48700
2000-08-04,18.25,18.5,18.0,18.0,56000
2000-08-07,17.94,17.94,17.12,17.19,128500
2000-08-08,17.12,17.12,16.38,16.38,49200
2000-08-09,17.25,17.25,16.75,16.88,27700
2000-08-10,16.88,17.12,16.75,17.0,26400
2000-08-11,16.94,17.0,16.62,16.75,59700
2000-08-14,17.06,17.25,16.88,17.25,81800
2000-08-15,17.5,18.0,17.25,17.38,147800
2000-08-16,17.88,18.25,17.56,18.12,111000
2000-08-17,18.38,18.38,18.0,18.0,58300
2000-08-18,18.19,18.19,18.0,18.0,53100
2000-08-21,18.12,18.12,17.94,18.0,13900
2000-08-22,17.94,18.0,17.5,17.5,38600
2000-08-23,17.38,17.38,16.88,17.25,51200
2000-08-24,17.3,17.3,16.56,17.0,10500
2000-08-25,17.0,17.25,16.94,17.0,89300
2000-08-28,0.0,17.31,16.75,16.75,11200
2000-08-29,17.12,17.12,16.5,16.62,23600
2000-08-30,16.94,16.94,16.5,16.94,5800
2000-08-31,17.06,17.06,16.5,16.88,38300
2000-09-01,16.88,16.88,16.56,16.56,8400
