Date,Open,High,Low,Close,Volume
2015-04-30,23.4,23.89,18.0,18.87,7157672
2015-05-01,18.79,20.47,18.53,18.53,511430
2015-05-04,18.6,20.82,18.6,20.81,432422
2015-05-05,20.5,21.17,20.16,20.82,213905
2015-05-06,20.95,21.85,20.5,21.37,243543
2015-05-07,21.4,22.68,21.34,22.5,303805
2015-05-08,22.78,24.44,22.25,23.6,270339
2015-05-11,23.73,26.8,23.54,24.96,315267
2015-05-12,25.02,25.62,23.46,25.04,207172
2015-05-13,24.99,26.78,24.43,26.09,296712
2015-05-14,27.39,30.73,26.01,29.02,944942
2015-05-15,29.0,30.0,28.06,28.56,435515
2015-05-18,28.78,29.39,28.01,28.74,177992
2015-05-19,29.23,29.75,28.54,29.0,178865
2015-05-20,28.67,29.42,28.67,29.07,114697
2015-05-21,28.87,30.62,28.71,29.19,215227
2015-05-22,29.68,30.72,29.2,29.96,278760
2015-05-26,31.03,32.81,28.0,28.64,691894
2015-05-27,28.28,28.5,26.18,27.34,286492
2015-05-28,26.96,29.26,26.9,28.55,155235
2015-05-29,28.55,29.88,28.37,28.69,208690
2015-06-01,29.18,31.49,28.65,30.77,288903
2015-06-02,31.26,31.74,30.03,30.41,179557
2015-06-03,30.56,31.77,30.56,30.86,173681
2015-06-04,30.42,32.65,30.4,30.66,201148
2015-06-05,30.35,32.15,30.35,30.85,139873
2015-06-08,30.55,31.98,30.03,31.51,242540
2015-06-09,32.0,32.2,30.56,31.98,151688
2015-06-10,31.8,32.08,30.71,31.49,181587
2015-06-11,31.24,34.1,31.24,33.16,268584
2015-06-12,33.55,34.8,33.02,34.12,226975
2015-06-15,33.78,35.6,33.4,33.65,428457
2015-06-16,33.19,34.22,33.19,34.04,150372
2015-06-17,33.83,35.46,33.51,34.97,330364
2015-06-18,35.24,37.17,35.24,35.92,237017
2015-06-19,36.49,36.99,33.0,33.2,642693
2015-06-22,33.49,34.74,32.31,33.13,548039
2015-06-23,32.95,33.72,30.51,31.23,565736
2015-06-24,31.25,32.22,28.0,28.02,512104
2015-06-25,28.1,29.0,26.15,28.15,402680
2015-06-26,27.96,29.24,26.59,27.86,1672238
2015-06-29,27.63,27.82,26.0,26.2,226486
2015-06-30,26.3,27.11,25.52,26.49,129084
2015-07-01,26.79,27.82,26.38,27.4,239683
2015-07-02,27.3,27.32,26.62,27.02,81081
2015-07-06,26.78,27.37,25.77,26.31,97094
2015-07-07,25.85,26.23,25.52,26.12,78186
2015-07-08,25.72,25.91,24.79,25.7,94984
2015-07-09,26.07,26.39,25.33,25.86,101760
2015-07-10,26.12,28.21,25.7,28.02,202998
2015-07-13,28.26,29.49,27.02,29.0,207807
2015-07-14,29.16,31.94,28.56,31.14,224763
2015-07-15,31.03,32.18,30.54,31.13,168725
2015-07-16,31.29,32.74,30.19,32.23,142757
2015-07-17,32.28,33.1,32.28,32.9,81894
2015-07-20,32.62,32.71,30.36,31.71,141005
2015-07-21,31.79,31.86,29.5,30.8,98082
2015-07-22,30.57,31.09,29.9,30.12,49673
2015-07-23,30.33,30.33,28.66,29.13,55076
2015-07-24,29.1,29.15,27.29,27.5,84020
