Date,Open,High,Low,Close,Volume
2012-02-03,6.2,6.58,6.0,6.06,1842182
2012-02-06,6.27,6.27,6.1,6.24,109547
2012-02-07,6.25,6.25,6.12,6.16,67264
2012-02-08,6.2,6.2,6.05,6.15,38802
2012-02-09,6.12,6.15,6.01,6.07,56817
2012-02-10,6.0,6.05,6.0,6.0,120120
2012-02-13,6.11,6.19,6.01,6.07,62689
2012-02-14,6.15,6.2,6.1,6.2,30662
2012-02-15,6.01,6.2,6.01,6.2,29035
2012-02-16,6.25,6.75,6.25,6.39,26688
2012-02-17,6.43,6.6,6.35,6.37,68346
2012-02-21,6.14,6.59,6.14,6.47,55398
2012-02-22,6.59,6.96,6.5,6.95,99383
2012-02-23,7.0,7.7,6.86,7.59,46027
2012-02-24,7.65,8.45,7.59,8.07,41521
2012-02-27,7.92,8.05,7.59,8.0,65992
2012-02-28,7.8,7.92,7.46,7.63,31505
2012-02-29,7.51,7.65,6.62,7.5,19300
2012-03-01,7.23,8.19,7.23,7.5,48176
2012-03-02,7.3,7.5,7.3,7.5,6191
2012-03-05,7.3,7.47,7.09,7.47,10302
2012-03-06,7.48,7.48,7.0,7.08,23613
2012-03-07,7.16,7.48,7.16,7.39,5800
2012-03-08,7.44,7.5,7.2,7.35,30504
2012-03-09,7.35,7.35,7.08,7.16,3034
2012-03-12,7.46,7.64,7.18,7.64,44112
2012-03-13,7.57,7.75,7.31,7.75,6523
2012-03-14,7.9,7.91,7.05,7.62,21977
2012-03-15,7.74,8.5,7.24,7.53,158277
2012-03-16,7.6,7.62,7.2,7.26,27854
2012-03-19,7.36,7.6,7.2,7.57,38535
2012-03-20,7.52,7.75,7.5,7.62,56313
2012-03-21,7.43,7.61,7.35,7.47,5951
2012-03-22,7.4,7.5,7.39,7.5,8400
2012-03-23,7.62,8.19,7.62,7.78,13495
2012-03-26,7.75,7.9,7.42,7.7,17058
2012-03-27,7.5,7.7,7.4,7.6,22269
2012-03-28,7.53,7.61,7.35,7.5,15605
2012-03-29,7.45,7.45,7.01,7.11,14250
2012-03-30,7.23,7.97,7.19,7.55,372979
2012-04-02,7.53,7.99,7.05,7.55,40207
2012-04-03,7.5,7.72,7.37,7.5,12391
2012-04-04,7.39,7.99,7.1,7.26,10608
2012-04-05,7.21,7.41,7.12,7.24,12357
2012-04-09,7.13,7.38,7.06,7.33,15025
2012-04-10,7.22,7.22,6.8,6.83,14404
2012-04-11,6.82,7.16,6.61,6.99,16493
2012-04-12,7.05,7.13,6.92,7.03,9097
2012-04-13,6.97,6.99,6.85,6.86,3125
