Date,Open,High,Low,Close,Volume
2000-06-29,113.62,138.0,107.25,132.75,82700
2000-06-30,130.5,131.25,117.0,126.75,129900
2000-07-03,126.0,126.0,115.5,120.0,30600
2000-07-05,120.0,120.75,115.5,120.0,40700
2000-07-06,122.25,126.75,105.0,108.75,56100
2000-07-07,109.5,121.5,109.5,114.0,35900
2000-07-10,113.62,118.5,112.5,112.5,19900
2000-07-11,112.5,117.0,110.25,112.5,29200
2000-07-12,114.0,115.5,112.5,112.88,17800
2000-07-13,111.0,111.75,101.25,102.0,18400
2000-07-14,103.12,106.5,101.81,102.0,17000
2000-07-17,105.0,105.0,90.0,96.0,29800
2000-07-18,95.25,97.5,94.5,94.5,16800
2000-07-19,95.44,96.0,90.0,91.13,13200
2000-07-20,91.87,97.5,90.75,96.0,31000
2000-07-21,95.81,98.25,95.63,96.0,18900
2000-07-24,96.0,96.75,90.0,96.0,16000
2000-07-25,91.87,93.0,91.13,93.0,5600
2000-07-26,91.5,93.0,81.0,88.5,18200
2000-07-27,86.25,87.0,81.0,84.0,7100
2000-07-28,85.5,86.25,74.25,78.0,7800
2000-07-31,76.5,81.0,72.38,78.0,12000
2000-08-01,77.62,87.75,76.5,84.38,28700
2000-08-02,85.5,87.0,79.5,80.25,19000
2000-08-03,79.5,96.0,77.25,91.13,14400
2000-08-04,94.5,94.5,89.25,91.5,6100
2000-08-07,95.25,96.0,88.5,93.0,9000
2000-08-08,93.75,95.25,85.5,86.25,3500
2000-08-09,85.69,88.5,81.38,84.0,3600
2000-08-10,81.0,84.0,79.5,81.0,5100
2000-08-11,83.62,90.0,81.0,88.5,19000
2000-08-14,90.0,93.0,83.63,85.5,9000
2000-08-15,86.25,88.5,81.0,82.5,5200
2000-08-16,83.62,88.5,82.5,87.0,8200
2000-08-17,84.0,91.5,83.63,87.75,8600
2000-08-18,89.81,92.25,88.5,91.5,28800
2000-08-21,91.5,96.38,91.5,96.0,22400
2000-08-22,96.37,102.0,96.0,97.88,15100
2000-08-23,96.75,99.75,96.0,99.75,18500
2000-08-24,103.12,103.5,98.25,102.75,18900
2000-08-25,102.0,104.25,99.38,101.25,10800
2000-08-28,0.0,111.0,99.0,107.26,50300
2000-08-29,110.63,114.0,105.0,105.0,17900
2000-08-30,114.37,115.5,103.5,108.0,64100
2000-08-31,113.26,117.0,112.5,116.26,59800
2000-09-01,117.0,119.26,116.26,118.87,35900
2000-09-05,121.87,134.26,119.26,132.0,124000
2000-09-06,135.0,142.5,130.5,141.0,141300
2000-09-07,141.0,144.76,136.5,144.0,226600
2000-09-08,141.76,143.26,132.0,138.76,36500
2000-09-11,134.26,136.5,119.26,129.0,32100
2000-09-12,129.76,130.5,121.5,129.0,31500
2000-09-13,128.26,135.0,125.26,135.0,30600
2000-09-14,135.76,138.0,134.26,136.5,13200
2000-09-15,128.26,141.76,127.5,141.76,26300
2000-09-18,138.37,138.37,117.76,130.31,55300
2000-09-19,130.87,132.76,127.5,130.5,34400
2000-09-20,125.26,129.76,123.0,129.0,15000
2000-09-21,127.5,129.76,124.5,129.0,13900
2000-09-22,124.5,129.76,119.26,126.76,15100
2000-09-25,127.5,129.76,126.76,129.56,17500
2000-09-26,128.26,129.76,120.0,124.5,43800
2000-09-27,123.37,129.76,121.5,128.26,54200
2000-09-28,129.0,129.76,127.5,129.37,18000
2000-09-29,128.63,131.26,125.26,129.76,148500
2000-10-02,132.76,132.76,122.26,122.26,38400
2000-10-03,125.63,126.0,118.5,118.5,14600
2000-10-04,116.26,116.81,102.37,111.76,22300
2000-10-05,112.5,117.0,111.0,114.0,18700
2000-10-06,115.5,115.5,108.0,109.5,11200
2000-10-09,106.13,112.5,105.76,109.5,17400
2000-10-10,108.94,115.5,108.76,114.0,16300
2000-10-11,112.31,112.31,99.76,108.0,22100
2000-10-12,108.76,109.5,100.5,101.26,10600
2000-10-13,0.0,100.5,88.5,99.76,34700
2000-10-16,99.19,102.0,93.0,97.5,21200
2000-10-17,98.26,98.26,88.5,88.5,12400
2000-10-18,86.26,90.76,85.5,87.37,30200
2000-10-19,90.76,97.5,87.0,89.26,33700
2000-10-20,90.76,90.76,87.0,88.5,11400
2000-10-23,90.0,91.5,87.76,90.76,17700
2000-10-24,90.76,99.0,90.0,94.5,24000
2000-10-25,93.94,107.26,93.76,98.26,21400
2000-10-26,101.06,102.76,96.0,96.76,13600
2000-10-27,101.81,106.5,97.69,99.0,9500
2000-10-30,99.0,99.76,95.26,96.0,8800
2000-10-31,99.0,103.87,98.81,101.26,18800
2000-11-01,99.0,102.0,95.26,96.0,18300
2000-11-02,101.26,109.5,99.0,104.26,19000
2000-11-03,105.0,115.5,103.5,114.0,55700
2000-11-06,115.5,134.26,114.76,132.0,91900
2000-11-07,132.0,135.0,120.0,126.76,37000
2000-11-08,126.0,136.5,126.0,132.0,26600
2000-11-09,132.0,132.0,114.0,117.19,19800
2000-11-10,114.0,118.5,108.0,115.5,18300
2000-11-13,105.37,115.5,96.37,105.76,19500
2000-11-14,106.87,114.0,103.5,109.5,14900
2000-11-15,109.87,111.0,106.5,108.0,10100
2000-11-16,108.0,108.0,101.26,102.37,8900
2000-11-17,104.26,104.26,96.37,101.63,14100
2000-11-20,97.87,101.26,88.5,88.87,19500
2000-11-21,98.26,112.13,93.0,112.13,20500
2000-11-22,105.76,105.76,90.37,93.76,18100
2000-11-24,94.5,107.26,93.0,106.5,12100
2000-11-27,109.13,114.0,103.5,104.26,22800
2000-11-28,105.0,108.76,95.26,99.0,12900
2000-11-29,102.0,102.76,94.5,96.0,7900
2000-11-30,96.37,96.37,84.37,95.26,13600
2000-12-01,96.0,96.76,90.0,90.0,13000
2000-12-04,88.87,90.0,84.76,84.76,14300
2000-12-05,93.0,93.76,87.0,90.0,9000
2000-12-06,91.5,93.0,87.76,87.76,8200
2000-12-07,86.26,90.37,84.37,90.0,6400
2000-12-08,90.37,104.26,90.0,102.0,9200
2000-12-11,100.13,108.76,98.26,102.76,10500
2000-12-12,100.69,103.5,97.5,100.13,6400
2000-12-13,99.94,103.13,90.76,94.13,12100
2000-12-14,97.5,99.37,90.76,90.76,4700
2000-12-15,90.76,91.5,84.0,84.37,20100
2000-12-18,89.26,96.0,87.56,90.76,17100
2000-12-19,93.0,96.76,86.63,87.0,8800
2000-12-20,84.0,87.0,75.76,76.5,20600
2000-12-21,76.87,77.26,70.5,72.0,26400
2000-12-22,75.0,75.0,72.0,73.5,18500
2000-12-26,73.87,77.63,73.13,77.63,8500
2000-12-27,79.13,87.0,78.0,81.0,20700
2000-12-28,78.76,82.5,77.26,79.87,13500
2000-12-29,78.0,83.26,76.13,82.5,27100
2001-01-02,83.26,86.26,72.0,77.26,5700
2001-01-03,77.26,77.26,69.0,69.0,44500
2001-01-04,70.5,72.0,66.0,66.0,35700
2001-01-05,67.13,69.76,61.5,63.37,34500
2001-01-08,64.5,72.76,63.0,72.0,16700
2001-01-09,72.0,74.26,66.76,72.37,40100
2001-01-10,72.0,75.76,70.5,75.0,25500
2001-01-11,75.0,75.76,71.26,74.26,12500
2001-01-12,73.5,81.76,70.5,81.76,14500
2001-01-16,82.5,90.0,75.76,90.0,33600
2001-01-17,91.87,95.26,79.5,91.13,28900
2001-01-18,84.76,91.5,84.0,84.76,10200
2001-01-19,84.94,88.13,83.63,87.0,9500
2001-01-22,86.63,90.0,85.5,90.0,4400
2001-01-23,85.13,96.76,84.76,96.0,18800
2001-01-24,97.5,99.0,93.0,94.13,7300
2001-01-25,94.13,94.5,89.26,92.63,7400
2001-01-26,87.56,96.0,83.26,94.5,9000
2001-01-29,91.5,101.26,84.76,101.26,11800
2001-01-30,101.26,102.0,93.0,99.0,6600
2001-01-31,99.0,99.0,93.76,95.81,5200
2001-02-01,93.76,102.0,93.0,97.5,5400
2001-02-02,96.0,96.0,87.76,87.76,6900
2001-02-05,87.0,90.0,84.0,88.13,6800
2001-02-06,86.63,91.5,86.63,90.0,4000
2001-02-07,90.0,91.5,87.0,87.0,1700
2001-02-08,88.5,90.0,81.76,88.87,8700
2001-02-09,86.26,87.76,81.76,87.0,4100
2001-02-12,87.0,87.76,81.76,86.63,5900
2001-02-13,84.37,87.0,81.0,81.76,5600
2001-02-14,82.5,82.5,78.76,82.13,3000
2001-02-15,80.44,82.5,78.0,78.37,8700
2001-02-16,77.26,81.0,73.5,75.0,8400
2001-02-20,76.13,79.5,72.0,77.26,8200
2001-02-21,75.76,75.94,72.0,72.0,4100
2001-02-22,69.0,74.26,67.5,68.26,4900
2001-02-23,66.76,70.5,62.26,65.26,13100
2001-02-26,65.26,78.0,65.26,76.5,6600
2001-02-27,76.87,76.87,66.0,66.0,7600
2001-02-28,66.76,71.63,63.76,63.76,8600
2001-03-01,63.76,64.5,58.5,60.0,17500
