Date,Open,High,Low,Close,Volume
2000-06-29,8.31,8.61,8.25,8.25,23800
2000-06-30,8.25,8.5,8.12,8.5,8600
2000-07-03,8.38,8.5,8.38,8.38,18100
2000-07-05,8.5,8.5,8.06,8.25,11100
2000-07-06,8.25,8.25,8.03,8.25,10000
2000-07-07,8.12,8.25,8.0,8.0,14600
2000-07-10,0.0,8.0,7.47,7.69,22100
2000-07-11,7.62,8.12,7.62,7.81,18200
2000-07-12,8.56,8.84,8.19,8.25,27900
2000-07-13,8.0,8.38,8.0,8.0,3800
2000-07-14,8.19,8.38,8.0,8.38,9700
2000-07-17,8.72,9.0,8.62,8.81,21300
2000-07-18,8.97,9.5,8.75,8.78,34400
2000-07-19,8.94,9.94,8.62,9.62,36100
2000-07-20,9.94,9.94,9.38,9.44,31300
2000-07-21,9.88,10.44,9.81,10.06,63100
2000-07-24,10.56,11.0,10.5,10.69,50400
2000-07-25,10.88,11.44,10.38,10.62,128600
2000-07-26,10.81,11.25,10.5,11.06,17600
2000-07-27,11.38,11.44,10.62,11.19,44300
2000-07-28,11.25,11.75,11.0,11.5,106500
2000-07-31,11.38,12.06,11.0,11.75,204500
2000-08-01,11.34,11.88,10.81,11.25,56900
2000-08-02,11.75,12.0,11.62,12.0,90000
2000-08-03,12.06,12.38,11.94,12.0,91300
2000-08-04,12.12,15.0,12.0,14.38,346700
2000-08-07,14.5,15.38,12.0,12.75,505100
2000-08-08,13.38,13.44,11.81,12.5,111300
2000-08-09,13.0,13.0,12.0,12.62,51400
2000-08-10,12.62,12.81,12.5,12.56,44600
2000-08-11,12.62,13.0,12.62,12.75,32500
2000-08-14,13.06,13.5,12.88,13.5,23000
2000-08-15,13.31,13.5,13.19,13.25,42400
2000-08-16,13.38,13.81,13.0,13.25,31000
2000-08-17,13.47,13.88,13.0,13.12,49500
2000-08-18,13.12,13.31,12.5,13.06,121300
2000-08-21,13.25,14.0,12.88,13.19,66000
2000-08-22,13.0,13.5,13.0,13.5,22300
2000-08-23,13.38,14.44,13.38,14.31,107200
2000-08-24,14.25,14.62,14.0,14.62,64500
2000-08-25,14.31,15.12,14.0,15.0,136300
2000-08-28,0.0,16.69,14.5,15.12,312700
2000-08-29,14.94,15.0,13.62,14.06,57600
2000-08-30,14.09,14.56,14.06,14.5,30000
2000-08-31,14.44,14.56,13.5,13.81,57300
2000-09-01,14.16,14.19,13.38,13.75,35000
2000-09-05,13.81,13.81,13.0,13.12,84600
2000-09-06,13.38,13.5,11.75,12.25,100000
2000-09-07,12.25,12.44,12.19,12.31,23100
2000-09-08,12.47,13.94,12.25,13.94,72400
2000-09-11,13.88,15.0,13.88,14.75,85200
2000-09-12,14.66,14.81,13.44,13.56,115700
2000-09-13,13.06,14.25,13.0,14.0,39700
2000-09-14,14.19,14.19,13.31,13.69,38600
2000-09-15,13.44,14.0,13.38,13.88,66700
2000-09-18,13.94,14.0,12.31,12.31,54300
2000-09-19,12.5,13.75,12.25,13.44,31900
2000-09-20,13.44,13.44,12.94,13.44,28400
2000-09-21,13.5,13.5,13.12,13.25,9800
2000-09-22,13.0,13.05,12.25,12.56,39100
2000-09-25,12.38,12.5,12.06,12.06,78200
2000-09-26,12.12,12.69,12.0,12.38,44100
2000-09-27,12.19,12.88,11.25,11.31,94400
2000-09-28,11.44,11.62,11.31,11.31,33700
2000-09-29,11.31,11.75,10.5,11.62,108700
2000-10-02,11.62,11.62,10.06,10.06,84300
2000-10-03,9.34,10.25,8.62,9.5,1629800
2000-10-04,9.61,10.44,9.61,10.19,264400
2000-10-05,10.55,10.62,10.0,10.5,234500
2000-10-06,10.56,10.56,9.56,9.75,143500
2000-10-09,10.12,10.44,9.5,10.38,66500
2000-10-10,10.81,11.25,9.62,10.16,138200
2000-10-11,9.64,10.75,9.62,10.25,121600
2000-10-12,10.5,10.62,9.44,10.62,135800
2000-10-13,10.75,11.38,10.0,10.81,218500
2000-10-16,11.27,11.5,10.5,10.5,146100
2000-10-17,10.52,10.81,9.62,10.5,130800
2000-10-18,10.62,10.62,9.38,9.88,136700
2000-10-19,10.23,10.25,9.0,9.0,155400
2000-10-20,8.94,9.0,7.25,8.5,416700
2000-10-23,8.64,9.5,8.5,8.94,187000
2000-10-24,8.92,9.44,8.75,9.0,227400
2000-10-25,9.0,9.0,8.5,8.75,86200
2000-10-26,8.69,8.94,8.62,8.88,92400
2000-10-27,8.75,9.12,8.75,9.12,143500
2000-10-30,9.02,9.12,8.75,8.88,44800
2000-10-31,8.88,9.0,8.62,8.62,239800
2000-11-01,8.64,8.81,8.62,8.75,99900
2000-11-02,8.88,9.06,8.75,8.81,302600
2000-11-03,8.89,8.94,8.75,8.88,89200
2000-11-06,9.02,9.06,8.88,9.0,43100
2000-11-07,8.97,9.0,8.75,9.0,58000
2000-11-08,8.88,9.0,8.81,8.81,30800
2000-11-09,8.69,8.97,8.62,8.69,34600
2000-11-10,8.58,8.88,8.38,8.5,89800
2000-11-13,8.73,8.73,7.31,7.38,60000
2000-11-14,7.17,7.17,6.0,6.38,333200
2000-11-15,6.52,8.12,6.5,7.75,182800
2000-11-16,7.75,7.88,7.31,7.5,30200
2000-11-17,7.69,8.25,7.69,7.88,170400
2000-11-20,7.98,8.0,7.25,7.44,51800
2000-11-21,7.25,7.25,7.19,7.25,25200
2000-11-22,7.19,7.19,6.94,7.06,40300
2000-11-24,7.0,7.44,6.88,6.94,23800
2000-11-27,7.25,7.25,6.5,6.88,90400
2000-11-28,6.94,6.94,6.0,6.5,176000
2000-11-29,6.55,6.62,5.75,6.44,114600
2000-11-30,6.17,6.17,5.62,5.94,145400
2000-12-01,5.64,5.88,5.62,5.81,42100
2000-12-04,5.88,6.0,5.56,5.69,12900
2000-12-05,5.92,6.0,5.5,5.81,53200
2000-12-06,5.89,5.98,4.44,5.12,121800
2000-12-07,5.14,5.88,5.06,5.5,64700
2000-12-08,5.58,6.44,5.5,6.12,59700
2000-12-11,6.25,7.0,6.19,6.97,35400
2000-12-12,6.73,6.75,6.5,6.75,14700
2000-12-13,6.56,6.94,6.25,6.38,27000
2000-12-14,6.75,7.0,6.72,6.88,38100
2000-12-15,6.83,6.88,6.0,6.38,54200
2000-12-18,6.27,6.5,5.12,5.75,63900
2000-12-19,5.73,5.73,5.12,5.25,16700
2000-12-20,5.42,5.44,5.0,5.12,148400
2000-12-21,5.14,5.5,4.88,5.31,40300
2000-12-22,5.5,6.0,5.5,5.62,37700
2000-12-26,5.62,5.98,4.62,5.0,68500
2000-12-27,4.73,5.62,4.56,5.44,82300
2000-12-28,5.25,5.44,5.0,5.19,96100
2000-12-29,5.06,5.31,4.69,5.0,158200
2001-01-02,5.12,5.25,4.5,5.12,27900
2001-01-03,5.25,5.38,4.81,5.06,50600
2001-01-04,5.36,5.44,5.0,5.12,15800
2001-01-05,5.25,5.38,5.19,5.25,24600
2001-01-08,5.44,5.44,5.12,5.12,19500
2001-01-09,5.28,5.5,5.28,5.31,18600
2001-01-10,6.0,6.25,5.62,5.62,10300
2001-01-11,5.62,5.62,5.38,5.44,16400
2001-01-12,5.62,5.62,5.31,5.31,120100
2001-01-16,5.48,5.5,5.0,5.06,87700
2001-01-17,5.38,5.38,4.62,4.62,162200
2001-01-18,4.77,5.0,4.62,4.75,40200
2001-01-19,4.69,4.94,4.69,4.75,24400
2001-01-22,5.0,6.0,5.0,5.62,159100
2001-01-23,6.0,6.81,5.88,6.62,128100
2001-01-24,6.88,6.88,6.06,6.56,72700
2001-01-25,6.56,7.25,6.38,6.38,59400
2001-01-26,6.5,6.56,6.38,6.5,33100
2001-01-29,6.56,6.56,6.12,6.25,12900
2001-01-30,6.31,6.31,6.25,6.31,21600
2001-01-31,6.31,6.56,6.25,6.5,48000
2001-02-01,6.55,6.56,6.25,6.5,77400
2001-02-02,6.56,6.56,6.06,6.25,37000
2001-02-05,6.31,6.5,6.06,6.38,34400
2001-02-06,6.5,6.56,6.19,6.5,35000
2001-02-07,6.31,6.56,6.25,6.25,12600
2001-02-08,6.25,6.56,6.0,6.5,69800
2001-02-09,6.81,7.31,6.75,6.88,34300
2001-02-12,6.94,7.0,6.75,6.88,15500
2001-02-13,6.94,7.0,6.81,6.88,12000
2001-02-14,6.77,6.77,5.81,6.0,19500
2001-02-15,6.02,6.72,5.75,6.56,40000
2001-02-16,6.44,6.44,5.75,6.16,19000
2001-02-20,6.12,6.12,5.44,5.5,24100
2001-02-21,5.62,6.12,5.53,6.12,16200
2001-02-22,6.25,7.0,6.0,6.69,15300
2001-02-23,6.36,6.36,6.0,6.25,11700
2001-02-26,6.38,6.38,6.25,6.28,10000
2001-02-27,6.36,6.38,6.0,6.0,8800
2001-02-28,6.02,6.06,5.72,5.75,577300
2001-03-01,6.0,6.0,5.19,5.38,296700
2001-03-02,5.38,5.5,5.19,5.27,35800
2001-03-05,5.52,5.69,5.31,5.5,10800
