Date,Open,High,Low,Close,Volume
2011-02-10,13.5,14.48,13.46,14.02,2676115
2011-02-11,14.0,14.4,13.96,14.05,160778
2011-02-14,14.78,14.78,14.05,14.4,142401
2011-02-15,14.45,14.48,14.21,14.22,93124
2011-02-16,14.34,14.42,14.22,14.27,132351
2011-02-17,14.33,15.26,14.2,15.0,57042
2011-02-18,15.0,15.5,14.28,14.39,123916
2011-02-22,14.24,14.58,13.13,13.85,137336
2011-02-23,13.74,14.46,13.16,14.07,57876
2011-02-24,14.15,14.15,13.5,14.0,86673
2011-02-25,13.82,14.85,13.75,14.4,38077
2011-02-28,14.42,14.42,14.0,14.15,22730
2011-03-01,14.19,14.27,13.96,14.27,22740
2011-03-02,14.29,14.29,13.96,14.01,7398
2011-03-03,14.18,14.18,13.94,14.07,24332
2011-03-04,13.88,14.14,13.71,13.99,100139
2011-03-07,14.04,14.06,13.65,13.7,72610
2011-03-08,13.75,14.5,13.75,14.44,62665
2011-03-09,14.42,14.42,14.13,14.37,20073
2011-03-10,14.35,14.44,14.28,14.35,149046
2011-03-11,14.41,14.95,14.34,14.9,51557
2011-03-14,14.8,15.05,14.59,15.05,44328
2011-03-15,14.99,16.13,14.02,15.7,36925
2011-03-16,15.84,16.1,15.05,15.91,66405
2011-03-17,16.0,16.58,16.0,16.43,48428
2011-03-18,16.41,16.97,15.55,15.59,85985
2011-03-21,16.22,16.22,15.14,15.43,21718
2011-03-22,15.67,15.8,14.67,15.13,39187
2011-03-23,15.27,15.28,14.2,14.58,78961
2011-03-24,14.57,15.1,14.13,14.51,42550
2011-03-25,14.63,14.97,14.63,14.97,6649
2011-03-28,14.93,15.84,14.93,15.7,43233
2011-03-29,15.58,15.87,15.2,15.6,35244
2011-03-30,15.74,15.87,14.46,14.83,125277
2011-03-31,14.75,14.88,14.23,14.31,651714
2011-04-01,14.48,14.81,14.23,14.81,63021
2011-04-04,14.75,15.1,14.29,15.06,68691
2011-04-05,15.05,15.57,14.51,15.34,59234
2011-04-06,15.47,15.47,15.16,15.31,59736
2011-04-07,15.38,15.38,14.69,14.85,41556
2011-04-08,14.98,15.77,14.98,15.12,24873
2011-04-11,15.03,15.43,15.0,15.31,18529
2011-04-12,15.35,15.35,15.15,15.18,8889
2011-04-13,15.62,15.78,15.18,15.24,15045
2011-04-14,15.21,15.29,15.04,15.07,20163
2011-04-15,15.06,15.33,15.0,15.22,61820
2011-04-18,15.19,15.45,15.11,15.36,21324
2011-04-19,15.35,15.68,15.09,15.33,51049
2011-04-20,15.44,15.9,15.44,15.78,44323
2011-04-21,15.73,15.88,15.59,15.77,5134
2011-04-25,15.71,15.89,15.45,15.63,41044
2011-04-26,15.74,16.18,15.01,15.87,50624
2011-04-27,15.79,16.15,15.25,15.99,11689
2011-04-28,15.88,16.09,15.56,16.08,75974
2011-04-29,16.21,16.85,16.18,16.55,166111
2011-05-02,16.85,16.85,16.02,16.29,10676
2011-05-03,16.31,16.31,15.41,15.68,39376
2011-05-04,15.67,16.1,15.5,15.5,57244
2011-05-05,15.51,16.43,15.51,15.83,36675
2011-05-06,15.98,15.99,15.64,15.91,6866
2011-05-09,15.92,16.34,15.75,16.0,101087
2011-05-10,16.08,16.1,15.66,15.95,31758
2011-05-11,16.25,16.56,15.36,15.84,112065
2011-05-12,15.7,15.97,15.6,15.75,41013
2011-05-13,15.85,16.12,15.37,15.8,37338
2011-05-16,15.7,15.82,15.47,15.5,18871
2011-05-17,15.42,15.44,14.96,15.01,66027
2011-05-18,15.08,15.23,14.17,14.6,83369
2011-05-19,14.61,14.61,14.1,14.35,63219
2011-05-20,14.5,14.72,14.21,14.3,51271
2011-05-23,14.14,14.5,13.86,13.86,228347
2011-05-24,14.01,14.19,13.72,14.06,119582
2011-05-25,14.03,14.4,14.0,14.24,40206
2011-05-26,14.25,15.05,13.94,14.63,208434
2011-05-27,14.64,14.73,14.39,14.62,69224
2011-05-31,14.7,15.24,14.37,14.97,114507
2011-06-01,14.93,14.93,14.16,14.67,27402
2011-06-02,14.7,14.7,13.99,14.05,41019
2011-06-03,14.0,14.01,13.66,13.8,64633
2011-06-06,14.38,14.75,13.5,13.91,34082
2011-06-07,13.91,14.16,13.61,13.72,24836
2011-06-08,13.61,13.85,13.6,13.67,44293
2011-06-09,14.01,14.07,13.83,14.0,125857
2011-06-10,13.9,14.1,13.87,13.99,26596
2011-06-13,13.95,14.09,13.9,13.97,55242
2011-06-14,14.03,14.03,13.85,13.98,61296
2011-06-15,13.88,14.22,13.82,13.83,29491
2011-06-16,13.89,14.34,13.89,14.04,145167
2011-06-17,13.87,14.89,13.87,14.0,199876
2011-06-20,14.0,14.39,14.0,14.25,54786
2011-06-21,14.23,14.26,14.04,14.05,36815
2011-06-22,14.03,14.14,13.76,13.78,22285
2011-06-23,13.75,14.92,13.72,14.19,14419
2011-06-24,13.92,15.84,13.58,15.74,436671
2011-06-27,15.12,15.99,15.12,15.92,86543
2011-06-28,16.0,18.24,15.67,16.58,156428
2011-06-29,16.53,17.01,16.39,16.54,54111
2011-06-30,16.47,17.02,16.47,16.77,40758
2011-07-01,16.81,16.81,16.53,16.79,34672
2011-07-05,16.85,17.42,14.78,16.95,52838
2011-07-06,16.95,18.74,16.8,18.5,56575
2011-07-07,18.91,19.96,17.97,18.76,119411
2011-07-08,18.54,19.23,18.21,18.76,60344
2011-07-11,18.76,18.98,18.42,18.73,67854
