Date,Open,High,Low,Close,Volume
2000-06-29,1.63,1.71,1.63,1.67,147201
2000-06-30,1.67,1.71,1.63,1.71,48801
2000-07-03,1.71,1.79,1.71,1.79,45201
2000-07-05,1.82,1.92,1.77,1.92,82200
2000-07-06,1.92,2.0,1.92,2.0,45201
2000-07-07,2.0,2.36,2.0,2.36,116601
2000-07-10,2.29,2.33,2.25,2.27,45000
2000-07-11,2.29,2.31,2.25,2.27,13800
2000-07-12,2.25,2.27,2.21,2.27,27600
2000-07-13,2.29,2.29,2.25,2.25,38601
2000-07-14,2.25,2.31,2.25,2.27,39801
2000-07-17,2.25,2.29,2.25,2.27,30000
2000-07-18,2.27,2.29,2.13,2.13,115401
2000-07-19,2.14,2.15,2.0,2.04,104601
2000-07-20,1.98,1.98,1.75,1.91,41001
2000-07-21,1.91,1.96,1.83,1.83,31200
2000-07-24,1.83,2.04,1.83,2.0,99000
2000-07-25,1.98,2.03,1.98,2.0,20001
2000-07-26,2.02,2.04,2.02,2.04,25200
2000-07-27,2.04,2.04,2.03,2.03,15000
2000-07-28,1.99,2.03,1.92,1.92,4800
2000-07-31,1.92,2.13,1.92,2.13,19200
2000-08-01,2.0,2.21,2.0,2.11,422400
2000-08-02,2.11,2.25,2.11,2.25,36000
2000-08-03,2.21,2.42,2.21,2.29,29400
2000-08-04,2.29,2.36,2.29,2.36,78000
2000-08-07,2.36,2.4,2.33,2.38,9801
2000-08-08,2.25,2.25,2.13,2.17,32400
2000-08-09,2.25,2.33,2.25,2.29,13401
2000-08-10,2.33,2.36,2.29,2.33,9801
2000-08-11,2.33,2.33,2.29,2.29,2001
2000-08-14,0.0,2.15,2.14,2.15,5001
2000-08-15,0.0,2.16,2.14,2.14,8400
2000-08-16,,,,2.14,0
2000-08-17,0.0,2.09,2.09,2.09,5400
2000-08-18,2.15,2.25,2.09,2.09,5400
2000-08-21,0.0,2.13,2.09,2.13,6600
2000-08-22,2.17,2.17,2.11,2.13,6000
2000-08-23,2.11,2.13,2.11,2.13,22200
2000-08-24,2.11,2.11,2.11,2.11,3201
2000-08-25,2.11,2.11,2.06,2.08,19800
2000-08-28,0.0,2.08,2.0,2.0,5601
2000-08-29,2.01,2.01,2.01,2.01,1401
2000-08-30,,,,2.01,0
2000-08-31,2.0,2.0,1.97,2.0,2601
2000-09-01,1.96,1.98,1.92,1.98,10401
2000-09-05,1.92,1.94,1.88,1.94,18600
2000-09-06,1.89,2.0,1.83,1.83,2400
2000-09-07,,,,1.83,0
2000-09-08,1.83,1.83,1.83,1.83,600
2000-09-11,1.83,1.83,1.83,1.83,1800
2000-09-12,1.88,1.92,1.88,1.92,3600
2000-09-13,1.88,1.92,1.88,1.92,11001
2000-09-14,1.88,1.88,1.88,1.88,1200
2000-09-15,1.88,1.88,1.88,1.88,11601
2000-09-18,1.88,1.88,1.88,1.88,3000
2000-09-19,1.88,1.88,1.88,1.88,15801
2000-09-20,1.92,1.92,1.9,1.92,27201
2000-09-21,,,,1.92,0
2000-09-22,1.92,2.38,1.92,2.25,163200
2000-09-25,2.31,2.33,2.27,2.27,14601
2000-09-26,2.33,2.33,2.27,2.27,35001
2000-09-27,2.4,2.63,2.4,2.63,33000
2000-09-28,2.64,2.71,2.46,2.71,32601
2000-09-29,2.58,2.69,2.58,2.69,21000
2000-10-02,2.67,2.67,2.54,2.65,21201
2000-10-03,2.69,2.69,2.65,2.67,24801
2000-10-04,2.65,2.67,2.65,2.67,90000
2000-10-05,2.67,2.67,2.61,2.67,7200
2000-10-06,2.63,2.67,2.52,2.56,64200
2000-10-09,2.54,2.58,2.52,2.52,1800
2000-10-10,2.58,2.69,2.5,2.54,134601
2000-10-11,2.49,2.52,2.49,2.52,41601
2000-10-12,2.67,2.69,2.65,2.65,51801
2000-10-13,2.67,2.67,2.67,2.67,600
2000-10-16,2.67,2.69,2.65,2.67,92400
2000-10-17,2.67,2.69,2.67,2.67,101601
2000-10-18,2.63,2.63,2.5,2.58,36801
2000-10-19,2.63,2.67,2.58,2.58,24201
2000-10-20,2.58,2.61,2.58,2.61,2601
2000-10-23,,,,2.61,0
2000-10-24,2.54,2.63,2.54,2.58,52800
2000-10-25,2.56,2.58,2.56,2.58,37401
2000-10-26,2.58,2.58,2.58,2.58,600
2000-10-27,2.56,2.58,2.56,2.58,69201
2000-10-30,2.54,2.54,2.54,2.54,600
2000-10-31,2.54,2.63,2.54,2.63,6801
2000-11-01,2.63,2.63,2.63,2.63,4401
2000-11-02,2.65,2.65,2.52,2.54,39201
2000-11-03,2.48,2.48,2.48,2.48,600
2000-11-06,2.5,2.5,2.33,2.33,31200
2000-11-07,2.5,2.54,2.5,2.54,15600
2000-11-08,2.54,2.63,2.54,2.63,5001
2000-11-09,2.63,2.69,2.58,2.65,146400
2000-11-10,2.63,2.65,2.58,2.65,15201
2000-11-13,2.59,2.63,2.44,2.44,75000
2000-11-14,2.46,2.58,2.44,2.56,54801
2000-11-15,2.5,2.5,2.5,2.5,12000
2000-11-16,2.61,2.63,2.61,2.63,2001
2000-11-17,2.63,2.75,2.63,2.67,533400
2000-11-20,2.7,2.75,2.67,2.67,63000
2000-11-21,2.71,2.71,2.67,2.67,54000
2000-11-22,2.67,2.67,2.58,2.58,132201
2000-11-24,2.5,2.58,2.46,2.56,52200
2000-11-27,2.65,2.71,2.58,2.67,55800
2000-11-28,2.71,2.71,2.67,2.67,191001
