Date,Open,High,Low,Close,Volume
2015-05-07,13.25,15.01,12.9,14.95,3303252
2015-05-08,15.02,19.48,15.02,19.27,655332
2015-05-11,20.21,21.7,19.6,20.75,548709
2015-05-12,21.68,21.89,19.24,21.57,271583
2015-05-13,21.57,22.0,18.2,19.59,373126
2015-05-14,19.19,21.34,18.35,20.58,100393
2015-05-15,21.07,21.49,18.88,20.13,144250
2015-05-18,19.71,20.23,18.9,19.9,93029
2015-05-19,20.39,20.39,19.54,20.1,39128
2015-05-20,20.04,23.16,19.08,22.88,152970
2015-05-21,23.2,27.82,22.9,24.0,184795
2015-05-22,23.76,25.97,23.0,24.71,75480
2015-05-26,25.2,26.5,24.03,25.34,231074
2015-05-27,25.83,26.85,23.54,24.69,160863
2015-05-28,24.22,25.14,23.91,23.98,113589
2015-05-29,23.59,24.0,22.13,22.89,165303
2015-06-01,24.17,24.27,22.69,23.48,110838
2015-06-02,23.61,26.34,22.87,25.24,167303
2015-06-03,24.99,28.23,24.36,27.88,380602
2015-06-04,28.29,28.29,26.6,27.33,63030
2015-06-05,26.84,27.62,25.06,25.87,71478
2015-06-08,25.72,26.99,24.75,24.93,92669
2015-06-09,24.96,24.96,21.8,22.14,155892
2015-06-10,22.58,23.54,20.29,22.54,85818
2015-06-11,22.57,23.36,20.75,21.66,92637
2015-06-12,21.63,22.93,21.14,22.23,91068
2015-06-15,22.0,23.26,21.84,22.65,134704
2015-06-16,22.35,22.99,21.75,21.95,108227
2015-06-17,21.85,22.97,21.62,22.42,64302
2015-06-18,22.27,23.16,21.66,22.09,78702
2015-06-19,22.2,23.19,21.61,21.82,261475
2015-06-22,21.6,22.91,21.6,22.85,91299
2015-06-23,22.85,22.96,21.6,21.94,91549
2015-06-24,21.72,22.43,21.72,21.93,128318
2015-06-25,21.83,22.37,19.37,19.6,263542
2015-06-26,19.46,20.13,18.75,19.66,892447
2015-06-29,19.72,19.72,18.51,18.85,56971
2015-06-30,18.81,19.18,18.2,18.52,43315
2015-07-01,18.47,18.79,16.6,17.0,99092
2015-07-02,17.0,17.0,16.16,16.49,68200
2015-07-06,16.5,17.02,15.78,16.24,61087
2015-07-07,16.17,16.64,15.4,16.16,75671
2015-07-08,16.06,16.06,14.76,14.96,127752
2015-07-09,15.08,15.66,15.08,15.33,58024
2015-07-10,15.63,18.63,15.51,18.36,164164
2015-07-13,18.55,19.64,18.4,19.45,156188
2015-07-14,19.25,19.35,17.7,17.96,126391
2015-07-15,17.85,17.94,16.56,17.49,93437
2015-07-16,17.59,18.21,17.39,17.87,85169
2015-07-17,17.95,18.71,16.95,16.98,127587
2015-07-20,17.21,17.21,15.82,15.99,107850
2015-07-21,16.1,16.1,15.45,15.8,64082
2015-07-22,15.72,17.16,15.72,16.7,109240
2015-07-23,17.5,17.59,16.42,16.67,128668
2015-07-24,16.66,18.34,15.33,17.71,145058
2015-07-27,17.57,17.81,17.11,17.52,30224
2015-07-28,17.21,19.49,17.2,18.91,137636
2015-07-29,18.8,18.81,17.46,17.64,113590
2015-07-30,17.46,18.61,17.46,18.14,56865
2015-07-31,18.3,19.31,17.65,18.75,80584
2015-08-03,18.67,20.3,18.41,19.49,79130
2015-08-04,19.62,20.43,19.62,19.88,46702
2015-08-05,20.16,21.0,19.71,20.85,57932
2015-08-06,20.84,20.84,18.25,18.75,78038
2015-08-07,18.75,19.0,18.52,18.52,43677
2015-08-10,18.59,18.59,17.91,18.13,67630
2015-08-11,18.01,18.01,16.77,17.06,52550
2015-08-12,17.02,17.45,16.33,17.03,31051
2015-08-13,16.98,17.04,14.63,14.76,81228
2015-08-14,14.72,14.94,14.17,14.33,37570
2015-08-17,14.31,16.99,14.31,16.1,102467
2015-08-18,16.12,16.19,15.0,15.11,65149
2015-08-19,15.06,15.43,14.33,14.62,113123
2015-08-20,14.48,14.95,14.25,14.49,47579
2015-08-21,14.14,14.5,13.8,14.04,50049
2015-08-24,12.69,14.54,12.05,13.72,78823
2015-08-25,14.1,14.58,13.3,13.73,135982
2015-08-26,14.14,14.3,13.39,14.3,46059
2015-08-27,14.39,15.86,14.25,15.55,43900
2015-08-28,15.35,15.65,14.29,14.79,119773
2015-08-31,14.56,14.56,14.0,14.48,42007
2015-09-01,14.23,15.05,13.56,14.08,69179
2015-09-02,14.31,14.7,13.62,14.51,80297
2015-09-03,14.56,15.45,14.1,14.74,48415
2015-09-04,14.52,14.66,14.06,14.41,52533
2015-09-08,14.65,15.75,14.6,15.71,56806
2015-09-09,15.79,15.79,15.2,15.43,40597
