Date,Open,High,Low,Close,Volume
2000-01-03,33.0,35.25,32.75,34.25,9266900
2000-01-04,34.31,35.5,34.25,34.5,5102900
2000-01-05,35.0,36.94,34.62,36.62,5841200
2000-01-06,36.56,38.31,36.31,38.0,6126900
2000-01-07,39.75,43.0,39.31,42.25,11030400
2000-01-10,41.62,43.25,41.44,41.94,6926700
2000-01-11,41.56,43.06,41.44,42.12,4409200
2000-01-12,41.62,42.06,41.31,42.06,3243300
2000-01-13,42.0,44.12,41.94,43.5,5025500
2000-01-14,44.75,44.94,43.62,43.88,5759600
2000-01-18,44.5,44.88,43.88,44.38,5947800
2000-01-19,44.62,45.62,44.25,44.94,4288100
2000-01-20,45.75,46.12,44.0,44.0,6060700
2000-01-21,45.0,45.0,43.31,43.56,6105200
2000-01-24,44.25,44.94,42.38,43.06,5749800
2000-01-25,43.75,45.0,43.62,44.56,3712800
2000-01-26,44.75,46.31,44.5,46.12,6584300
2000-01-27,46.88,47.5,45.31,46.44,4505700
2000-01-28,46.19,46.19,44.31,44.81,3945500
2000-01-31,44.81,45.75,43.25,45.75,3690500
2000-02-01,45.5,46.5,44.97,46.38,2959200
2000-02-02,46.12,46.56,44.75,45.0,3097500
2000-02-03,45.38,45.81,44.0,45.75,3270400
2000-02-04,46.0,49.62,45.94,48.06,5709600
2000-02-07,47.88,49.12,47.5,48.88,4368600
2000-02-08,49.0,49.69,48.69,49.62,3328700
2000-02-09,49.5,49.69,48.75,48.88,3685400
2000-02-10,49.0,49.19,48.06,48.44,2060500
2000-02-11,48.75,48.75,45.0,46.0,5920800
2000-02-14,46.38,48.06,46.19,46.38,4625300
2000-02-15,46.62,46.62,44.88,45.44,4567000
2000-02-16,45.44,46.0,44.06,45.69,4721200
2000-02-17,46.25,47.25,46.19,46.69,5653300
2000-02-18,47.5,48.38,47.38,47.69,5574200
2000-02-22,48.0,49.88,47.69,49.0,4146800
2000-02-23,49.19,49.25,47.56,48.5,3147400
2000-02-24,49.0,49.94,48.12,49.5,6289600
2000-02-25,49.75,49.81,46.38,47.44,3017400
2000-02-28,47.44,49.56,45.56,48.0,5691000
2000-02-29,48.12,49.0,47.19,48.44,3287400
2000-03-01,0.0,49.31,47.44,49.12,2393400
2000-03-02,0.0,50.5,48.69,49.0,3221400
2000-03-03,0.0,51.5,49.12,51.38,3125600
2000-03-06,0.0,52.94,49.06,49.5,6061200
2000-03-07,50.5,50.5,49.06,49.5,3501600
2000-03-08,49.0,49.38,48.19,48.94,3249500
2000-03-09,48.5,50.19,48.5,50.0,3469500
2000-03-10,50.0,52.19,49.75,51.25,2983400
2000-03-13,50.25,51.94,49.81,50.19,2100300
2000-03-14,50.38,50.56,46.0,46.88,5472000
2000-03-15,47.5,49.75,46.56,49.0,4446500
2000-03-16,49.75,53.75,49.31,52.62,4219900
2000-03-17,52.75,54.81,52.19,52.69,5034500
2000-03-20,52.88,53.88,52.56,53.19,2401500
2000-03-21,53.5,53.5,50.5,53.25,6054800
2000-03-22,53.0,55.0,52.44,54.75,3023100
2000-03-23,54.5,56.44,53.0,56.06,4396900
2000-03-24,55.81,56.56,54.88,55.0,3598700
2000-03-27,54.5,57.38,53.5,57.0,3638200
2000-03-28,56.0,57.88,55.06,55.81,4698700
2000-03-29,56.38,57.12,54.75,55.44,4521900
2000-03-30,54.5,54.62,49.75,51.0,7850600
2000-03-31,51.75,53.12,50.88,51.44,4481300
2000-04-03,53.0,55.75,52.88,55.12,3844500
2000-04-04,55.38,56.75,52.25,55.88,6768500
2000-04-05,55.0,56.62,54.5,55.88,4291700
