Date,Open,High,Low,Close,Volume
2006-09-26,16.05,17.72,15.2,17.55,13781400
2006-09-27,17.75,17.75,15.85,16.0,2847600
2006-09-28,15.71,16.28,15.51,15.9,1550000
2006-09-29,16.0,17.0,15.94,16.69,1861600
2006-10-02,16.69,17.44,16.45,16.64,1573300
2006-10-03,16.5,16.59,16.0,16.13,753500
2006-10-04,16.0,16.43,15.91,16.4,766000
2006-10-05,16.3,16.65,16.0,16.19,706000
2006-10-06,16.08,16.45,16.0,16.25,462400
2006-10-09,16.3,16.3,15.79,15.91,323800
2006-10-10,16.15,16.38,15.9,16.28,507200
2006-10-11,16.35,16.71,16.1,16.47,385300
2006-10-12,16.5,17.3,16.5,16.98,1183300
2006-10-13,16.9,17.15,16.55,16.67,407800
2006-10-16,16.8,16.95,16.11,16.32,327900
2006-10-17,16.3,16.35,15.65,16.11,570500
2006-10-18,16.05,16.2,15.6,15.9,490400
2006-10-19,15.93,16.18,15.9,15.95,319900
2006-10-20,16.65,17.5,16.65,17.28,2057800
2006-10-23,17.8,17.8,17.05,17.4,1479300
2006-10-24,17.5,19.14,17.42,18.95,1754200
2006-10-25,19.2,19.45,18.64,18.95,1104200
2006-10-26,19.15,19.6,19.06,19.4,800200
2006-10-27,19.5,19.55,18.83,18.88,497800
2006-10-30,18.64,18.64,17.9,17.96,565200
2006-10-31,18.02,18.43,18.0,18.1,391400
2006-11-01,18.49,18.75,18.21,18.59,611200
2006-11-02,18.9,19.48,18.76,19.32,722100
2006-11-03,19.5,19.96,19.4,19.71,747800
2006-11-06,19.4,19.94,19.08,19.85,583600
2006-11-07,19.95,19.98,19.1,19.3,516700
2006-11-08,19.0,19.21,18.52,18.8,339400
2006-11-09,19.3,20.57,19.15,20.0,1074300
2006-11-10,20.0,20.0,19.0,19.1,749700
2006-11-13,19.35,19.88,19.0,19.54,580700
2006-11-14,19.93,21.4,19.87,21.21,1572700
2006-11-15,20.85,21.5,20.3,20.43,1325500
2006-11-16,20.0,20.24,19.1,20.14,1266200
2006-11-17,20.14,21.5,20.05,21.36,1006000
2006-11-20,21.78,21.99,20.75,21.58,1215100
2006-11-21,21.59,22.1,21.11,22.0,516500
2006-11-22,22.49,24.72,22.16,24.44,1507900
2006-11-24,24.04,24.69,23.91,24.03,510700
2006-11-27,24.01,24.01,23.21,23.33,782500
2006-11-28,22.92,23.37,22.0,22.46,915500
2006-11-29,22.83,24.19,22.7,24.08,858000
2006-11-30,24.25,24.49,24.0,24.0,551700
2006-12-01,24.05,24.95,24.0,24.49,697900
2006-12-04,25.27,26.25,25.17,26.17,1068200
2006-12-05,26.25,26.25,25.6,25.99,725900
2006-12-06,25.5,25.6,25.21,25.49,536800
2006-12-07,25.39,25.5,24.61,24.91,370900
2006-12-08,24.7,25.85,24.65,25.68,527100
2006-12-11,26.08,26.98,25.9,26.8,787200
2006-12-12,27.0,27.2,26.06,26.34,515300
2006-12-13,26.87,26.87,25.2,25.4,578800
2006-12-14,25.4,25.68,25.02,25.35,385400
2006-12-15,25.2,25.57,25.16,25.57,326800
2006-12-18,25.7,26.64,24.4,24.65,651200
2006-12-19,24.25,24.46,22.46,23.68,1119400
2006-12-20,23.5,24.09,23.07,23.37,435700
2006-12-21,23.36,23.5,22.61,22.79,592600
2006-12-22,22.6,23.25,21.9,22.47,565800
2006-12-26,22.65,24.41,22.65,23.96,420900
2006-12-27,24.2,24.69,23.96,24.39,818600
2006-12-28,24.3,24.75,23.62,24.74,1380900
2006-12-29,24.81,24.9,23.72,23.92,764500
2007-01-03,25.2,26.05,24.3,24.97,1223000
2007-01-04,24.9,24.96,23.77,24.48,681700
2007-01-05,24.45,24.59,23.62,23.88,466900
2007-01-08,23.9,24.38,23.1,23.86,601500
2007-01-09,23.6,24.37,23.6,24.24,477300
2007-01-10,24.37,24.38,23.18,24.12,298500
2007-01-11,24.18,24.57,24.11,24.41,314700
2007-01-12,24.5,25.8,24.4,25.73,700800
2007-01-16,26.13,26.85,25.75,26.25,1019100
2007-01-17,26.25,26.28,24.24,24.58,1037200
2007-01-18,24.24,24.75,23.21,23.4,1200500
2007-01-19,23.55,24.37,22.75,24.12,565000
2007-01-22,24.31,24.9,23.85,24.01,559100
2007-01-23,24.0,24.01,22.85,23.17,704500
2007-01-24,23.07,24.0,22.8,23.78,512200
2007-01-25,23.83,24.47,23.68,24.1,422500
2007-01-26,24.55,24.63,23.75,24.23,507000
2007-01-29,24.74,25.28,24.42,24.95,637700
2007-01-30,25.15,25.42,24.0,25.12,858800
2007-01-31,24.71,24.89,24.25,24.3,4375900
2007-02-01,24.5,24.91,24.42,24.57,2082100
2007-02-02,24.65,24.89,24.53,24.75,419800
2007-02-05,24.75,25.88,24.31,25.66,922500
2007-02-06,25.6,26.09,25.03,25.91,901400
2007-02-07,26.0,26.1,25.26,25.78,535000
2007-02-08,25.78,25.98,25.1,25.4,514300
2007-02-09,25.4,26.32,25.25,25.85,912700
2007-02-12,25.9,26.47,25.7,26.32,766178
2007-02-13,26.45,26.75,24.27,24.98,1049416
2007-02-14,25.05,25.42,25.01,25.19,253248
2007-02-15,25.35,25.5,24.75,24.93,229900
2007-02-16,24.93,25.3,24.92,25.18,230700
2007-02-20,25.25,25.74,25.25,25.42,429700
2007-02-21,25.53,26.08,25.31,25.88,476100
2007-02-22,26.19,28.29,26.18,28.0,2778900
2007-02-23,28.35,28.95,27.55,28.27,1447600
2007-02-26,29.15,29.3,28.5,28.71,907586
2007-02-27,26.98,27.0,21.11,24.91,3306300
2007-02-28,25.63,26.0,24.65,25.73,1167000
2007-03-01,24.3,24.45,22.51,24.1,1890423
2007-03-02,24.2,25.3,24.0,24.16,955600
2007-03-05,23.0,23.62,22.51,23.22,1505400
2007-03-06,24.03,25.02,24.03,24.32,718200
2007-03-07,24.45,24.55,23.75,23.81,844000
2007-03-08,24.4,25.88,24.29,24.81,893500
2007-03-09,25.1,25.48,24.8,25.3,453700
2007-03-12,25.5,25.73,23.07,24.91,2305400
2007-03-13,24.89,25.0,23.74,24.13,651300
2007-03-14,23.75,24.0,23.14,23.45,1093400
2007-03-15,23.55,24.29,23.46,24.0,279800
2007-03-16,24.21,24.5,23.98,24.5,271700
2007-03-19,24.9,25.0,24.43,24.43,306500
2007-03-20,24.5,24.55,24.13,24.15,213500
2007-03-21,24.2,24.55,23.89,24.16,442300
2007-03-22,24.2,24.33,23.7,23.75,438700
2007-03-23,23.75,23.85,23.01,23.02,786700
2007-03-26,23.05,23.54,23.05,23.39,462500
2007-03-27,23.32,23.62,23.17,23.51,140400
2007-03-28,23.51,23.6,23.26,23.55,149100
2007-03-29,23.75,24.01,23.57,23.64,340900
2007-03-30,23.75,23.91,23.7,23.81,135200
2007-04-02,23.8,24.25,23.5,24.17,510500
2007-04-03,24.3,25.12,24.3,25.0,518600
2007-04-04,25.1,25.35,24.72,24.93,538000
2007-04-05,24.96,25.22,24.85,25.14,94700
2007-04-09,25.24,25.38,24.88,25.07,519200
2007-04-10,25.05,25.2,24.93,24.99,149600
2007-04-11,25.01,25.16,24.45,24.55,248200
2007-04-12,24.5,24.51,23.78,23.81,530300
2007-04-13,24.1,24.35,23.81,23.98,273500
2007-04-16,24.1,24.3,23.82,23.82,435900
2007-04-17,23.81,24.0,23.3,23.6,556300
2007-04-18,23.2,23.52,23.2,23.4,423800
2007-04-19,23.11,23.3,22.8,22.95,614700
2007-04-20,22.95,23.2,22.76,23.13,510900
2007-04-23,23.11,23.78,23.0,23.46,194100
2007-04-24,23.5,23.59,23.02,23.16,182200
2007-04-25,23.15,23.77,23.01,23.39,397500
2007-04-26,23.24,23.4,23.03,23.29,169900
2007-04-27,23.2,23.35,23.05,23.15,255200
2007-04-30,23.0,23.14,22.91,23.01,441100
2007-05-01,23.05,23.2,22.99,23.14,311200
2007-05-02,23.19,23.7,23.19,23.61,500600
2007-05-03,23.7,24.11,23.69,24.0,292000
2007-05-04,24.04,24.26,23.75,24.01,196000
2007-05-07,24.0,24.15,23.46,23.54,357900
2007-05-08,23.25,23.74,23.18,23.74,210300
2007-05-09,23.75,24.0,23.61,23.91,443300
2007-05-10,23.91,24.0,23.36,23.49,645500
2007-05-11,24.0,24.73,23.96,24.57,925900
2007-05-14,25.12,25.4,24.75,24.94,854400
2007-05-15,26.09,27.48,25.65,26.77,3453700
2007-05-16,27.0,27.2,25.9,26.1,1302323
2007-05-17,26.25,26.47,25.92,26.1,325900
2007-05-18,26.43,27.9,26.37,27.8,1370800
2007-05-21,27.61,28.25,27.32,28.23,1077000
2007-05-22,28.3,29.03,28.11,29.03,835300
2007-05-23,29.0,29.0,27.61,27.73,742200
2007-05-24,27.0,27.32,26.0,27.1,1116925
2007-05-25,27.14,27.85,27.03,27.57,250100
2007-05-29,27.57,28.02,26.67,26.72,402500
2007-05-30,26.5,27.75,26.35,27.6,386000
2007-05-31,27.8,28.5,27.69,28.5,357300
2007-06-01,29.15,30.73,29.13,29.8,1440700
2007-06-04,30.7,30.93,29.61,30.0,1198800
2007-06-05,30.24,30.25,29.2,29.48,593535
