Date,Open,High,Low,Close,Volume
2015-05-21,27.67,29.2,27.13,27.5,7054721
2015-05-22,27.66,28.04,27.28,27.62,575192
2015-05-26,27.7,28.31,27.27,28.0,285231
2015-05-27,28.01,28.39,27.74,28.12,214733
2015-05-28,28.27,28.4,27.3,27.38,164541
2015-05-29,27.32,27.64,27.25,27.36,180697
2015-06-01,27.32,27.32,26.38,27.0,228114
2015-06-02,26.82,27.34,26.57,26.83,252837
2015-06-03,26.73,27.13,26.67,26.78,179661
2015-06-04,26.55,26.82,26.28,26.42,112600
2015-06-05,26.52,27.18,26.2,26.48,69826
2015-06-08,26.33,27.3,26.33,27.05,418975
2015-06-09,26.94,27.06,26.23,26.49,302120
2015-06-10,26.69,27.85,26.58,27.35,144172
2015-06-11,27.57,27.57,26.76,26.94,206447
2015-06-12,26.81,27.23,26.44,26.79,138320
2015-06-15,26.68,27.37,26.5,27.12,308059
2015-06-16,27.14,27.28,26.83,27.15,285761
2015-06-17,27.4,27.4,26.79,26.85,123071
2015-06-18,26.77,27.26,26.7,26.73,57720
2015-06-19,26.76,27.04,26.52,26.59,221720
2015-06-22,26.59,26.98,26.32,26.53,190315
2015-06-23,26.71,27.36,26.37,26.91,154989
2015-06-24,27.1,27.23,26.28,26.5,138608
2015-06-25,26.6,28.03,26.44,27.79,124127
2015-06-26,27.6,28.98,27.33,28.64,909821
2015-06-29,28.93,29.62,28.02,28.26,347520
2015-06-30,28.5,28.8,28.04,28.67,124594
2015-07-01,28.98,29.19,27.29,27.83,147400
2015-07-02,28.09,28.52,27.18,27.75,122601
2015-07-06,27.61,27.76,26.51,27.19,120891
2015-07-07,27.46,27.79,25.72,27.77,143644
2015-07-08,27.44,27.55,26.91,27.06,70046
2015-07-09,27.26,27.38,26.41,27.2,70787
2015-07-10,27.2,28.5,27.15,28.2,96644
2015-07-13,28.19,28.19,27.0,27.34,107170
2015-07-14,27.33,27.54,27.05,27.27,236145
2015-07-15,27.48,27.58,26.08,26.5,200238
2015-07-16,26.68,27.48,26.46,27.14,200812
2015-07-17,27.29,27.47,26.78,27.02,529941
2015-07-20,27.05,27.49,26.68,27.42,89091
2015-07-21,27.53,28.12,27.36,28.02,241783
2015-07-22,27.97,28.96,27.77,28.86,172913
2015-07-23,28.77,29.16,28.46,29.08,78670
2015-07-24,28.93,29.09,28.68,29.01,201547
2015-07-27,28.86,29.19,28.67,29.05,134980
2015-07-28,29.0,29.71,28.22,29.62,188532
2015-07-29,29.59,29.75,28.67,29.0,149811
2015-07-30,28.85,30.29,28.81,30.08,82734
