Date,Open,High,Low,Close,Volume
2000-06-15,84.0,87.5,81.38,84.0,5986
2000-06-16,84.88,86.62,81.81,82.25,5371
2000-06-19,81.81,86.19,81.81,84.0,6743
2000-06-20,88.38,101.5,87.5,101.5,40729
2000-06-21,101.5,102.38,97.12,100.62,47286
2000-06-22,101.5,101.5,99.75,101.5,37814
2000-06-23,101.5,108.06,100.62,107.19,47186
2000-06-26,106.31,112.88,106.31,112.0,58571
2000-06-27,111.78,112.88,108.5,108.5,38971
2000-06-28,108.5,108.5,98.44,98.88,15557
2000-06-29,99.31,105.0,94.5,104.56,37200
2000-06-30,104.12,116.38,102.38,111.12,49314
2000-07-03,111.12,111.56,109.38,111.56,2857
2000-07-05,111.78,114.19,109.81,112.0,20086
2000-07-06,111.12,114.19,109.38,110.25,4843
2000-07-07,109.16,113.75,106.75,113.75,13829
2000-07-10,112.88,116.81,111.56,115.5,34957
2000-07-11,116.38,116.38,112.0,113.75,47814
2000-07-12,113.31,113.75,105.0,109.38,18357
2000-07-13,108.72,112.88,107.19,109.38,36557
2000-07-14,109.38,109.38,104.12,108.06,15157
2000-07-17,105.88,106.75,99.75,99.75,8143
2000-07-18,97.12,101.5,95.38,95.38,26400
2000-07-19,97.12,98.88,94.5,96.25,11600
2000-07-20,94.5,98.0,93.62,96.25,4857
2000-07-21,98.0,98.0,95.38,95.38,4643
2000-07-24,96.25,96.25,89.69,91.0,11200
2000-07-25,91.0,91.88,83.12,84.0,30829
2000-07-26,87.5,90.12,84.0,90.12,10114
2000-07-27,87.5,87.5,83.12,84.88,9543
2000-07-28,84.88,91.0,84.88,86.62,2243
2000-07-31,89.25,89.25,78.75,84.0,8986
2000-08-01,80.5,84.0,78.75,83.12,10586
2000-08-02,80.5,90.12,78.75,90.12,37657
2000-08-03,86.41,91.88,85.31,87.5,6914
2000-08-04,85.31,93.62,80.5,92.75,56500
2000-08-07,95.38,100.62,94.94,96.69,11200
2000-08-08,98.0,102.38,98.0,99.75,69029
2000-08-09,100.62,106.75,100.62,106.75,82514
2000-08-10,110.25,110.25,103.69,105.0,34571
2000-08-11,103.25,105.88,102.81,102.81,8029
2000-08-14,102.38,105.0,101.06,101.06,7629
2000-08-15,100.62,100.62,82.69,87.94,65900
2000-08-16,90.56,90.56,86.19,87.06,11786
2000-08-17,86.62,86.62,80.5,82.25,9929
2000-08-18,82.25,83.12,73.5,77.0,60571
2000-08-21,78.75,79.19,75.25,77.0,10714
2000-08-22,0.0,83.12,77.44,83.12,15929
2000-08-23,0.0,86.19,80.5,86.19,7957
2000-08-24,0.0,91.88,84.0,90.12,11743
2000-08-25,0.0,90.12,89.25,89.25,4800
2000-08-28,0.0,90.12,89.25,89.25,4243
2000-08-29,0.0,90.12,87.5,87.5,17571
2000-08-30,0.0,90.12,87.5,89.25,8943
2000-08-31,0.0,91.0,89.25,91.0,4500
2000-09-01,0.0,91.0,88.38,88.38,19657
2000-09-05,0.0,89.25,84.0,85.75,36514
2000-09-06,0.0,96.25,85.75,95.82,48043
2000-09-07,0.0,97.12,93.19,94.5,4814
2000-09-08,0.0,94.5,91.88,94.5,257
2000-09-11,0.0,97.12,91.0,95.38,17543
2000-09-12,0.0,94.5,89.69,90.12,13129
