Date,Open,High,Low,Close,Volume
2000-07-14,14.5,26.38,14.5,21.88,6072200
2000-07-17,22.94,23.0,18.25,19.88,1274400
2000-07-18,18.94,19.25,18.62,18.88,180000
2000-07-19,19.81,23.12,19.5,22.06,516100
2000-07-20,22.03,23.62,21.62,21.75,312100
2000-07-21,22.0,22.0,21.25,21.25,181900
2000-07-24,21.38,21.38,20.0,20.31,136800
2000-07-25,20.97,21.06,20.06,20.16,151200
2000-07-26,20.25,20.25,19.38,19.88,416400
2000-07-27,19.81,20.12,19.31,19.88,215200
2000-07-28,19.91,20.5,18.06,18.38,197600
2000-07-31,18.38,21.0,16.62,18.5,231900
2000-08-01,18.0,20.5,18.0,19.0,283600
2000-08-02,19.06,20.38,19.0,20.12,120400
2000-08-03,19.0,20.0,18.62,20.0,109000
2000-08-04,20.0,21.0,20.0,20.98,167400
2000-08-07,19.75,20.94,19.75,20.0,28300
2000-08-08,20.31,21.12,18.25,18.25,85200
2000-08-09,19.38,19.38,18.19,19.25,83400
2000-08-10,18.0,18.5,17.88,18.0,117100
2000-08-11,18.5,18.5,17.0,17.12,16900
2000-08-14,17.62,18.31,15.94,15.94,79000
2000-08-15,16.19,16.5,15.5,15.56,141100
2000-08-16,15.62,15.62,14.06,14.31,44000
2000-08-17,14.75,14.94,14.38,14.62,88700
2000-08-18,14.38,15.38,14.0,15.38,23000
2000-08-21,15.72,15.88,15.0,15.5,12900
2000-08-22,15.88,17.5,15.5,15.69,180200
2000-08-23,16.12,16.19,14.75,14.88,56500
2000-08-24,14.75,15.25,14.06,14.19,77500
2000-08-25,14.5,15.25,14.25,15.25,162000
2000-08-28,0.0,16.25,14.88,16.25,185600
2000-08-29,15.62,19.81,15.38,19.75,120500
2000-08-30,18.25,19.56,18.25,19.25,23700
2000-08-31,19.28,19.62,19.25,19.25,5900
2000-09-01,19.25,19.5,19.19,19.31,131100
2000-09-05,19.56,22.5,19.12,20.62,95100
2000-09-06,20.81,20.81,19.5,20.44,53800
2000-09-07,20.59,24.0,20.38,23.0,145700
2000-09-08,23.0,23.48,21.62,22.75,27000
2000-09-11,22.5,22.5,20.5,21.0,166900
2000-09-12,21.38,21.38,18.5,19.75,30900
2000-09-13,20.25,20.5,19.0,19.25,70600
