Date,Open,High,Low,Close,Volume
2015-06-17,19.0,20.0,19.0,20.0,730
2015-06-19,21.0,21.0,21.0,21.0,1001
2015-06-22,21.0,21.0,21.0,21.0,200
2015-06-25,22.5,22.5,22.5,22.5,280
2015-06-30,24.01,24.01,24.0,24.01,316
2015-07-01,26.0,26.0,15.02,19.11,303469
2015-07-02,19.0,26.0,17.01,18.54,489211
2015-07-06,18.04,18.79,16.76,16.82,674148
2015-07-07,17.31,18.44,16.02,16.36,430729
2015-07-08,16.34,16.63,16.0,16.0,658031
2015-07-09,16.0,18.0,14.35,14.6,810935
2015-07-10,14.5,15.11,13.56,13.96,675516
2015-07-13,14.21,14.89,14.06,14.51,922885
2015-07-14,14.4,18.17,14.26,17.8,984866
2015-07-15,17.86,18.48,16.98,17.49,343196
2015-07-16,17.5,17.68,16.25,17.46,317334
2015-07-17,17.55,17.61,16.28,17.0,231228
2015-07-20,16.96,17.35,16.82,16.99,144595
2015-07-21,17.19,17.3,16.74,16.94,424512
2015-07-22,16.84,17.11,16.5,16.99,420873
2015-07-23,17.09,17.5,16.41,16.75,116476
2015-07-24,16.65,17.0,15.83,16.5,189142
2015-07-27,16.26,17.01,15.78,16.19,99158
2015-07-28,16.36,16.75,16.01,16.5,130397
2015-07-29,16.36,16.5,15.82,16.15,79689
2015-07-30,15.89,16.22,15.19,15.42,58990
2015-07-31,15.52,15.85,15.46,15.68,75358
2015-08-03,15.75,17.63,15.75,17.13,161576
2015-08-04,17.15,17.4,16.05,16.1,124026
2015-08-05,16.1,16.5,15.77,16.42,98898
2015-08-06,16.48,16.73,15.9,16.3,74419
2015-08-07,16.2,17.1,16.1,16.38,65769
2015-08-10,16.46,16.92,16.31,16.81,50138
2015-08-11,16.58,16.7,15.58,16.42,32577
2015-08-12,16.29,16.29,15.5,15.73,184463
2015-08-13,15.59,16.05,15.59,15.84,77744
2015-08-14,15.66,15.77,14.28,14.9,112416
2015-08-17,14.91,15.4,14.91,15.15,74311
2015-08-18,15.16,15.55,15.1,15.41,211220
2015-08-19,15.39,15.96,15.03,15.47,101854
2015-08-20,15.34,15.77,15.0,15.27,142323
2015-08-21,15.56,16.39,15.32,15.54,113154
2015-08-24,14.86,15.74,14.78,15.01,128848
2015-08-25,15.4,15.4,14.96,15.08,54466
2015-08-26,15.34,15.54,14.8,15.29,92600
2015-08-27,15.29,16.23,14.74,15.02,549468
2015-08-28,15.06,15.53,14.1,14.55,231376
2015-08-31,14.56,14.63,13.98,14.13,110071
2015-09-01,14.0,14.16,13.81,13.93,222050
2015-09-02,14.0,15.16,13.81,15.14,202241
2015-09-03,15.08,15.26,14.82,15.21,70183
2015-09-04,14.99,15.66,14.8,15.58,70881
2015-09-08,15.77,16.95,15.59,16.56,167410
2015-09-09,16.61,16.89,16.02,16.56,122572
2015-09-10,16.35,16.88,16.13,16.76,110576
2015-09-11,16.48,17.13,16.48,17.07,52020
2015-09-14,16.92,17.58,16.86,17.46,130022
2015-09-15,17.41,19.0,17.34,18.9,110917
2015-09-16,18.88,19.31,18.26,18.67,62842
2015-09-17,18.62,19.52,18.4,18.99,65956
2015-09-18,18.66,19.3,17.89,18.42,358476
2015-09-21,18.41,18.85,17.0,17.59,121776
2015-09-22,17.39,17.69,17.0,17.05,141207
2015-09-23,16.99,18.2,16.85,17.84,115583
2015-09-24,17.66,19.58,17.07,17.99,112823
2015-09-25,18.0,18.32,16.75,17.0,161254
2015-09-28,16.87,18.29,15.96,16.9,233430
2015-09-29,16.92,17.04,15.35,16.06,156813
2015-09-30,16.12,16.46,15.02,16.2,132760
2015-10-01,16.25,16.94,15.5,15.7,43445
2015-10-02,15.51,15.89,14.46,15.65,113194
2015-10-05,15.8,17.12,15.8,16.18,172029
2015-10-06,16.23,16.23,15.5,15.98,66828
2015-10-07,16.12,16.75,15.69,16.55,95676
2015-10-08,16.44,17.33,15.91,16.33,87030
2015-10-09,16.42,16.5,15.89,16.16,105046
2015-10-12,16.21,16.21,15.43,15.6,44800
2015-10-13,15.59,15.79,15.45,15.51,75731
2015-10-14,15.51,15.95,15.3,15.53,120882
2015-10-15,15.52,16.33,15.16,16.14,192185
2015-10-16,16.21,16.21,15.34,15.62,81151
2015-10-19,15.5,16.09,14.3,15.76,229335
2015-10-20,15.69,16.01,15.48,15.52,53989
2015-10-21,15.68,16.03,15.01,15.65,47247
2015-10-22,15.65,16.94,15.25,15.54,75791
2015-10-23,15.63,16.25,15.2,15.88,22476
2015-10-26,15.9,15.9,15.22,15.43,42356
2015-10-27,15.5,15.58,14.95,15.13,34831
2015-10-28,15.2,15.61,15.1,15.57,23754
2015-10-29,15.63,16.76,14.42,15.27,27107
2015-10-30,15.22,15.32,14.95,15.08,32985
2015-11-02,15.16,15.4,15.08,15.24,70068
2015-11-03,15.16,15.17,14.44,14.95,36695
2015-11-04,14.98,15.34,14.42,15.08,86779
2015-11-05,14.91,15.23,14.88,15.15,34113
2015-11-06,15.05,15.88,14.99,15.83,58282
2015-11-09,15.74,16.07,14.84,15.47,80709
2015-11-10,15.37,15.44,15.12,15.28,35298
2015-11-11,15.24,15.56,14.98,15.15,46511
2015-11-12,15.99,15.99,14.49,15.01,112616
2015-11-13,14.9,17.47,14.49,14.82,112449
2015-11-16,14.76,15.28,14.51,14.82,109166
2015-11-17,14.77,15.81,14.7,14.91,83650
2015-11-18,15.49,15.49,14.53,14.66,61614
2015-11-19,14.57,14.91,14.24,14.86,46909
2015-11-20,14.97,14.97,14.29,14.73,35336
2015-11-23,14.66,15.26,14.13,15.26,36657
2015-11-24,15.11,16.09,14.49,15.3,35216
2015-11-25,15.23,16.13,14.9,15.96,18838
2015-11-27,15.91,16.46,15.46,16.32,30335
2015-11-30,16.33,16.73,15.88,16.48,55147
2015-12-01,16.51,16.51,15.51,16.11,30476
2015-12-02,15.94,16.38,15.49,15.86,104372
2015-12-03,15.81,15.9,15.02,15.81,60074
2015-12-04,15.76,16.23,15.73,16.05,44110
2015-12-07,16.05,17.22,15.7,16.12,101418
2015-12-08,15.93,16.56,15.7,16.22,40838
2015-12-09,16.15,16.39,15.96,16.01,62494
2015-12-10,15.7,16.63,15.7,16.2,35924
2015-12-11,15.88,16.56,15.74,16.06,82925
2015-12-14,16.1,16.27,15.85,15.97,37946
2015-12-15,16.04,16.45,15.7,16.15,47030
2015-12-16,16.15,16.45,15.93,16.29,49127
2015-12-17,16.25,17.17,16.25,16.32,31589
2015-12-18,16.21,16.65,16.04,16.11,81380
2015-12-21,16.21,16.28,15.7,15.87,52342
2015-12-22,15.82,16.38,15.78,16.33,41115
2015-12-23,16.32,16.76,16.0,16.46,52671
2015-12-24,16.45,17.03,16.23,16.93,22906
2015-12-28,16.82,17.3,16.3,16.59,47964
2015-12-29,16.7,17.32,16.14,16.79,123745
2015-12-30,16.68,17.31,16.55,17.01,85631
2015-12-31,16.9,17.57,16.9,17.18,72468
2016-01-04,17.04,17.28,15.71,16.71,57885
2016-01-05,16.58,17.0,16.2,16.36,60863
2016-01-06,16.24,16.63,15.86,16.38,47086
2016-01-07,16.26,16.26,15.38,15.8,40246
2016-01-08,15.78,16.08,15.0,15.1,68470
2016-01-11,15.04,16.28,13.41,14.4,87144
2016-01-12,14.5,15.95,13.86,14.66,87577
2016-01-13,15.48,15.48,13.84,14.04,41830
2016-01-14,14.25,14.74,14.25,14.41,55547
2016-01-15,13.98,14.44,13.98,14.39,40664
2016-01-19,14.52,14.59,13.74,14.14,60831
2016-01-20,13.91,14.98,13.82,14.56,47875
2016-01-21,14.66,14.75,13.82,14.12,28281
2016-01-22,14.26,15.4,13.71,14.22,49532
2016-01-25,13.78,14.21,13.56,13.94,67157
2016-01-26,13.93,14.36,13.6,14.1,47030
2016-01-27,12.92,14.29,12.92,14.19,36852
2016-01-28,14.2,15.32,13.24,13.82,53824
2016-01-29,13.1,14.56,13.1,14.46,30550
2016-02-01,14.35,15.15,13.7,14.48,48164
2016-02-02,14.3,14.95,13.83,14.01,62041
2016-02-03,14.19,14.19,13.85,13.98,32986
2016-02-04,13.98,14.76,13.83,14.17,81221
2016-02-05,14.17,14.97,13.54,13.67,55883
2016-02-08,13.59,13.87,12.79,13.22,84004
2016-02-09,13.01,13.35,12.26,12.41,21235
2016-02-10,12.6,13.09,11.56,12.47,39423
2016-02-11,12.32,12.5,11.36,12.18,18718
2016-02-12,12.36,12.88,11.87,12.34,22224
2016-02-16,12.52,12.52,11.9,12.11,33874
2016-02-17,12.19,12.95,11.28,12.52,28825
2016-02-18,12.49,12.96,11.99,12.25,30593
2016-02-19,12.25,12.97,11.75,12.77,22734
2016-02-22,12.89,13.18,12.42,12.59,33838
2016-02-23,12.64,12.85,11.93,12.06,25043
2016-02-24,11.99,12.98,11.89,12.43,60990
2016-02-25,12.52,12.87,12.22,12.77,26206
2016-02-26,12.83,13.43,12.55,13.07,21117
2016-02-29,12.86,13.37,12.53,12.6,14935
2016-03-01,12.66,13.02,12.52,12.93,32194
2016-03-02,12.93,13.32,12.55,12.91,20027
2016-03-03,12.84,13.58,12.84,13.06,22441
2016-03-04,13.09,14.18,12.77,14.03,30930
2016-03-07,13.95,15.04,13.94,14.7,44587
2016-03-08,14.44,14.69,14.2,14.21,45565
2016-03-09,14.25,14.44,13.5,13.7,138411
2016-03-10,13.89,14.0,13.1,13.73,21685
2016-03-11,13.75,14.54,13.38,14.49,27577
2016-03-14,14.38,14.71,14.04,14.52,27227
2016-03-15,14.7,14.8,13.48,13.7,32277
2016-03-16,13.95,13.95,12.35,13.26,52241
2016-03-17,13.6,13.87,12.61,13.87,29104
2016-03-18,13.99,14.59,13.36,14.46,31590
2016-03-21,14.4,15.09,14.24,14.78,16618
2016-03-22,14.76,14.76,14.28,14.47,13947
2016-03-23,14.87,14.87,14.0,14.23,16824
2016-03-24,14.68,14.75,13.71,14.08,10239
2016-03-28,14.07,14.58,13.92,14.21,16604
2016-03-29,14.08,15.02,13.74,14.77,30445
2016-03-30,14.85,15.14,14.46,14.61,19437
2016-03-31,14.6,14.84,14.47,14.64,9665
2016-04-01,14.36,14.93,14.13,14.49,33110
2016-04-04,14.34,14.8,14.14,14.25,12066
2016-04-05,14.15,14.45,13.95,14.34,21879
2016-04-06,14.16,14.5,14.03,14.39,11487
2016-04-07,14.29,14.35,14.09,14.22,9419
2016-04-08,14.49,14.49,13.74,14.1,15812
2016-04-11,14.31,14.49,13.26,13.99,26654
2016-04-12,14.19,14.44,13.71,14.17,13781
2016-04-13,13.87,14.5,13.82,14.45,22939
2016-04-14,14.3,14.84,13.95,14.18,12285
2016-04-15,14.15,14.33,13.88,14.21,9815
2016-04-18,14.26,14.75,14.26,14.64,15801
2016-04-19,14.6,14.67,14.0,14.22,23533
2016-04-20,14.2,14.73,14.2,14.37,7804
2016-04-21,14.43,14.72,14.14,14.54,21532
2016-04-22,14.24,14.6,14.04,14.36,26668
2016-04-25,14.42,14.94,13.87,14.56,30678
2016-04-26,14.78,14.89,14.55,14.78,8016
2016-04-27,14.9,15.0,14.5,14.93,22998
2016-04-28,15.0,15.08,14.5,14.82,45880
2016-04-29,14.62,15.66,14.27,14.92,27856
2016-05-02,14.89,15.1,14.76,14.9,20225
2016-05-03,14.77,15.25,14.75,14.76,27058
2016-05-04,14.75,14.83,14.11,14.31,23249
2016-05-05,14.7,14.7,13.86,14.01,17640
2016-05-06,14.28,14.3,14.0,14.02,20620
2016-05-09,14.15,14.15,13.85,13.99,18899
2016-05-10,14.21,14.78,13.92,14.13,29855
2016-05-11,14.05,14.07,13.75,13.79,24323
