Date,Open,High,Low,Close,Volume
2000-06-29,3.84,3.94,3.75,3.81,1900
2000-06-30,4.0,4.0,4.0,4.0,500
2000-07-03,3.94,3.94,3.94,3.94,100
2000-07-05,3.81,3.94,3.81,3.94,1600
2000-07-06,3.94,3.94,3.88,3.88,400
2000-07-07,3.88,3.88,3.88,3.88,1400
2000-07-10,3.94,4.0,3.75,3.75,15900
2000-07-11,3.94,3.94,3.94,3.94,2500
2000-07-12,3.88,3.88,3.81,3.81,12000
2000-07-13,3.75,3.94,3.75,3.94,4800
2000-07-14,3.75,3.88,3.75,3.88,10300
2000-07-17,3.88,3.88,3.75,3.75,38000
2000-07-18,3.88,4.0,3.75,3.81,32000
2000-07-19,3.88,4.0,3.88,3.88,3600
2000-07-20,4.0,4.0,3.75,3.75,900
2000-07-21,3.75,3.81,3.69,3.81,57800
2000-07-24,3.88,4.0,3.72,3.84,6800
2000-07-25,3.75,3.75,3.75,3.75,1000
2000-07-26,3.88,3.94,3.88,3.88,14000
2000-07-27,3.69,3.75,3.69,3.75,900
2000-07-28,3.69,3.94,3.69,3.88,5900
2000-07-31,3.75,3.75,3.69,3.69,300
2000-08-01,3.69,3.75,3.69,3.75,700
2000-08-02,3.94,3.94,3.75,3.75,300
2000-08-03,,,,3.75,0
2000-08-04,3.69,3.94,3.69,3.94,1800
2000-08-07,3.75,3.75,3.75,3.75,1200
2000-08-08,3.75,3.81,3.75,3.81,1300
2000-08-09,3.75,3.94,3.75,3.94,10200
2000-08-10,3.75,4.0,3.75,3.81,14200
2000-08-11,3.88,3.88,3.81,3.81,3100
2000-08-14,3.81,3.88,3.81,3.88,12900
2000-08-15,3.88,3.88,3.75,3.88,2400
2000-08-16,3.88,4.0,3.75,3.88,41900
2000-08-17,3.81,3.94,3.81,3.94,3200
2000-08-18,3.94,3.94,3.88,3.88,1500
2000-08-21,3.94,4.0,3.88,3.88,8000
2000-08-22,3.88,3.94,3.75,3.75,10600
2000-08-23,3.94,3.94,3.75,3.88,17200
2000-08-24,3.78,3.94,3.75,3.94,4200
2000-08-25,3.94,3.94,3.75,3.75,1200
2000-08-28,0.0,3.94,3.75,3.94,2400
2000-08-29,4.0,4.0,4.0,4.0,1800
2000-08-30,4.0,4.0,4.0,4.0,6800
2000-08-31,4.0,4.12,4.0,4.06,12100
2000-09-01,4.0,4.09,3.88,4.09,16000
2000-09-05,4.19,4.22,4.0,4.12,16100
2000-09-06,4.19,4.38,3.94,4.38,72800
2000-09-07,4.31,4.5,4.19,4.5,30400
2000-09-08,4.5,4.88,4.38,4.88,44100
2000-09-11,4.94,5.25,4.88,4.94,103300
2000-09-12,4.88,4.88,4.38,4.84,24600
2000-09-13,4.84,4.91,4.5,4.75,22200
2000-09-14,4.75,4.75,4.62,4.75,5000
2000-09-15,4.5,4.75,4.38,4.62,4200
2000-09-18,4.5,4.5,4.5,4.5,2400
2000-09-19,4.5,4.62,4.25,4.25,11500
