Date,Open,High,Low,Close,Volume
2009-06-05,10.0,10.45,9.4,10.01,6246643
2009-06-08,9.89,10.05,9.89,10.0,773215
2009-06-09,10.04,10.46,9.97,10.23,490330
2009-06-10,11.14,11.14,9.9,10.24,764935
2009-06-11,10.57,10.57,10.23,10.55,325368
2009-06-12,10.35,11.74,10.23,11.41,241210
2009-06-15,10.0,11.38,9.77,11.3,424200
2009-06-16,11.23,11.54,11.15,11.5,601832
2009-06-17,11.34,11.54,11.09,11.35,159885
2009-06-18,11.43,11.77,11.35,11.77,236117
2009-06-19,11.73,12.24,11.69,11.9,422065
2009-06-22,11.85,11.92,11.48,11.92,216318
2009-06-23,12.85,12.85,11.5,11.68,262190
2009-06-24,11.6,11.92,11.6,11.73,91900
2009-06-25,11.63,12.0,11.48,11.87,115709
2009-06-26,11.58,11.91,11.58,11.91,96165
2009-06-29,11.84,11.91,11.69,11.73,44100
2009-06-30,11.69,11.8,11.3,11.65,139995
2009-07-01,11.75,11.82,11.68,11.75,39315
2009-07-02,11.6,11.65,11.5,11.6,72000
2009-07-06,11.44,11.66,11.43,11.55,117395
2009-07-07,11.61,11.77,11.15,11.33,204732
2009-07-08,11.33,11.34,10.92,11.13,245295
2009-07-09,11.2,11.33,11.1,11.15,75015
2009-07-10,11.16,11.32,11.03,11.3,40450
2009-07-13,11.36,11.56,11.16,11.48,74721
2009-07-14,11.46,11.6,11.46,11.53,80809
2009-07-15,11.68,12.11,11.68,12.03,196100
2009-07-16,12.0,12.17,11.93,12.1,150545
2009-07-17,12.1,12.19,12.03,12.16,187398
2009-07-20,12.18,12.83,12.18,12.59,155099
2009-07-21,12.71,12.89,12.63,12.73,166202
2009-07-22,12.69,12.82,12.59,12.68,144668
2009-07-23,12.64,13.0,12.62,12.96,44300
2009-07-24,12.92,13.01,12.9,12.95,197548
2009-07-27,13.1,13.1,12.93,12.93,103319
2009-07-28,12.77,13.26,12.77,13.24,103455
2009-07-29,13.19,13.24,12.93,13.19,68105
2009-07-30,13.16,13.5,13.03,13.3,158951
2009-07-31,13.35,13.44,13.26,13.31,92286
2009-08-03,13.42,13.65,13.42,13.5,40176
2009-08-04,13.53,13.74,13.47,13.57,248300
2009-08-05,13.65,13.92,13.38,13.46,131352
2009-08-06,13.46,13.5,13.21,13.3,154218
2009-08-07,13.29,13.41,13.25,13.35,89860
2009-08-10,14.19,14.19,13.41,13.53,207464
2009-08-11,13.7,13.7,13.09,13.22,316529
2009-08-12,13.37,13.38,13.18,13.3,84265
2009-08-13,13.35,13.48,13.3,13.39,98686
2009-08-14,13.45,13.53,13.29,13.43,91075
2009-08-17,13.32,13.32,13.07,13.17,108919
2009-08-18,13.25,13.47,13.25,13.33,74802
2009-08-19,13.32,13.32,13.0,13.29,96712
2009-08-20,13.39,13.41,13.1,13.19,99084
2009-08-21,13.23,13.46,13.11,13.26,102425
2009-08-24,13.21,13.38,13.21,13.36,40054
2009-08-25,13.34,13.44,13.2,13.2,106270
2009-08-26,13.09,13.19,12.89,13.13,188089
2009-08-27,13.13,13.4,12.98,13.29,226153
2009-08-28,13.37,13.57,13.34,13.42,42432
2009-08-31,13.46,13.75,13.18,13.46,81946
2009-09-01,13.48,13.48,13.0,13.16,194765
2009-09-02,13.0,13.19,12.99,13.17,101236
2009-09-03,13.15,13.22,12.99,13.0,276548
2009-09-04,13.07,13.21,12.97,13.15,545429
2009-09-08,13.37,13.37,13.05,13.12,233405
2009-09-09,13.15,13.22,12.85,13.0,416820
2009-09-10,12.93,13.04,12.72,12.84,510491
2009-09-11,12.95,13.09,12.87,13.05,271219
2009-09-14,12.93,13.03,12.93,13.02,190723
2009-09-15,13.03,13.2,12.98,13.18,321365
2009-09-16,13.13,13.41,13.13,13.32,432295
2009-09-17,13.39,13.44,13.19,13.26,796016
2009-09-18,13.42,13.42,13.13,13.29,319750
2009-09-21,13.08,13.2,12.95,13.01,405143
2009-09-22,13.13,13.29,13.07,13.15,211014
2009-09-23,13.12,13.27,13.1,13.14,403662
2009-09-24,13.15,13.22,12.79,12.9,262435
2009-09-25,12.82,12.97,12.74,12.9,282669
2009-09-28,12.79,13.01,12.71,12.85,122351
2009-09-29,12.92,12.95,12.78,12.86,127596
2009-09-30,12.95,13.08,12.71,12.92,135042
2009-10-01,12.89,12.93,12.63,12.74,253448
2009-10-02,12.54,12.75,12.47,12.73,153358
2009-10-05,12.85,12.95,12.72,12.87,90600
2009-10-06,12.88,13.09,12.86,13.0,224124
2009-10-07,12.97,12.97,12.77,12.86,44954
2009-10-08,12.91,13.32,12.86,13.3,93066
2009-10-09,13.21,13.53,13.21,13.48,181497
2009-10-12,13.5,13.61,13.27,13.55,19628
2009-10-13,13.55,13.63,13.24,13.41,130159
2009-10-14,13.5,13.67,13.43,13.63,79222
2009-10-15,13.6,13.63,13.46,13.55,161119
2009-10-16,13.53,13.55,13.42,13.5,73568
2009-10-19,13.48,13.55,13.39,13.54,167246
2009-10-20,13.51,13.52,13.35,13.46,44780
2009-10-21,13.45,13.55,13.29,13.35,53974
2009-10-22,13.34,13.46,13.22,13.34,61219
2009-10-23,13.43,13.43,13.2,13.3,61206
2009-10-26,13.27,13.34,12.98,13.0,113608
2009-10-27,13.08,13.1,12.86,13.06,43785
2009-10-28,13.0,13.05,12.57,12.58,123759
2009-10-29,12.77,12.77,12.62,12.71,86166
2009-10-30,12.76,12.92,12.71,12.86,66652
2009-11-02,12.99,13.01,12.73,12.94,350690
2009-11-03,12.94,13.16,12.88,13.07,116077
2009-11-04,13.11,13.25,12.96,12.97,127120
2009-11-05,13.05,13.16,12.98,13.13,31356
2009-11-06,13.08,13.19,12.84,12.95,35926
2009-11-09,13.03,13.24,13.03,13.21,59500
2009-11-10,13.22,13.31,13.2,13.31,19600
2009-11-11,12.71,13.71,12.7,13.7,1489919
2009-11-12,13.73,13.74,13.45,13.66,1423381
2009-11-13,13.43,13.98,13.32,13.9,507690
2009-11-16,13.95,14.1,13.79,13.86,387565
2009-11-17,13.68,13.98,13.64,13.98,276349
2009-11-18,13.98,14.11,13.83,14.11,321591
2009-11-19,14.08,14.08,13.9,14.0,162089
2009-11-20,13.87,14.0,13.81,13.94,216257
2009-11-23,14.07,14.36,14.07,14.2,254478
2009-11-24,14.21,14.24,13.97,14.0,198679
2009-11-25,14.1,14.19,14.06,14.18,204528
2009-11-27,13.99,14.03,13.83,13.93,400727
2009-11-30,13.99,14.19,13.95,14.16,151730
2009-12-01,14.25,14.4,14.14,14.39,175287
2009-12-02,14.4,14.4,14.14,14.15,304656
2009-12-03,14.17,14.35,14.09,14.29,154984
2009-12-04,14.5,14.64,14.3,14.55,200604
2009-12-07,14.58,15.33,14.55,15.29,980941
2009-12-08,15.18,15.44,14.92,15.03,320660
2009-12-09,15.08,15.3,14.95,15.09,337679
2009-12-10,15.23,15.26,14.85,14.92,199519
2009-12-11,14.96,15.06,14.91,15.0,303532
2009-12-14,15.4,15.82,15.16,15.73,520430
2009-12-15,15.64,15.77,15.33,15.68,382775
2009-12-16,15.77,15.98,15.77,15.96,510419
2009-12-17,15.81,15.85,15.64,15.75,223590
2009-12-18,15.85,15.87,15.66,15.71,255459
2009-12-21,15.91,15.91,15.72,15.8,58572
2009-12-22,15.81,16.08,15.64,16.01,494896
2009-12-23,16.13,16.18,15.92,16.13,338772
2009-12-24,16.25,16.25,15.98,16.04,106903
2009-12-28,16.18,16.18,15.99,16.14,44219
2009-12-29,16.17,16.19,15.95,16.12,113960
2009-12-30,15.98,16.14,15.93,16.01,148097
2009-12-31,16.06,16.16,16.0,16.02,73256
2010-01-04,16.01,16.4,16.01,16.34,177669
2010-01-05,16.35,16.53,16.15,16.29,177129
2010-01-06,16.29,16.48,16.16,16.45,196807
2010-01-07,16.51,16.68,16.38,16.66,267340
2010-01-08,16.72,16.75,16.55,16.66,267177
2010-01-11,16.78,16.96,16.74,16.9,414834
2010-01-12,16.91,17.08,16.78,17.03,724207
2010-01-13,17.1,17.52,16.95,17.38,665583
2010-01-14,17.38,17.47,17.29,17.33,443357
2010-01-15,17.16,17.4,16.53,16.61,293318
2010-01-19,16.71,17.06,16.7,16.96,215180
2010-01-20,16.78,16.82,16.48,16.56,311708
2010-01-21,16.56,16.7,16.15,16.35,195454
2010-01-22,16.43,16.5,16.19,16.37,259890
2010-01-25,16.48,16.54,16.25,16.35,200049
2010-01-26,16.26,16.27,16.05,16.15,309277
2010-01-27,16.07,16.35,16.0,16.35,435647
2010-01-28,16.4,16.46,16.11,16.25,477667
2010-01-29,16.27,16.27,15.82,15.84,276458
2010-02-01,15.86,16.51,15.82,16.42,220322
2010-02-02,16.37,16.6,16.3,16.45,240591
2010-02-03,16.51,16.63,16.33,16.5,509345
2010-02-04,16.3,16.4,16.1,16.25,380073
2010-02-05,16.1,16.64,16.1,16.61,454458
2010-02-08,16.63,16.94,16.52,16.6,225229
2010-02-09,16.82,16.82,16.35,16.57,371210
2010-02-10,16.57,16.62,16.37,16.46,264693
2010-02-11,16.47,16.55,16.34,16.47,200483
2010-02-12,16.43,16.53,16.29,16.44,104847
2010-02-16,16.62,16.83,16.48,16.8,103191
2010-02-17,16.81,17.12,16.74,16.99,336383
2010-02-18,17.02,17.67,17.02,17.55,408181
2010-02-19,17.44,17.67,17.38,17.61,103753
2010-02-22,17.7,17.7,17.39,17.5,91817
2010-02-23,17.45,17.74,17.34,17.41,220789
2010-02-24,17.35,17.51,17.15,17.18,252467
