Date,Open,High,Low,Close,Volume
2000-06-29,0.75,0.75,0.72,0.72,6400
2000-06-30,0.75,0.84,0.72,0.72,7600
2000-07-03,,,,0.72,0
2000-07-05,0.77,0.77,0.75,0.75,1000
2000-07-06,0.84,0.84,0.78,0.8,18200
2000-07-07,0.81,0.88,0.81,0.84,27800
2000-07-10,0.75,0.81,0.62,0.75,94800
2000-07-11,0.8,0.81,0.78,0.78,1600
2000-07-12,0.75,0.84,0.75,0.81,18800
2000-07-13,0.81,0.81,0.69,0.72,8800
2000-07-14,0.69,0.69,0.69,0.69,200
2000-07-17,0.69,0.69,0.66,0.69,8800
2000-07-18,0.75,0.75,0.69,0.69,2000
2000-07-19,,,,0.69,0
2000-07-20,0.69,0.75,0.69,0.75,18600
2000-07-21,0.75,0.75,0.69,0.75,30400
2000-07-24,,,,0.75,0
2000-07-25,0.81,0.81,0.81,0.81,2000
2000-07-26,0.75,0.75,0.69,0.69,4600
2000-07-27,0.69,0.69,0.69,0.69,200
2000-07-28,,,,0.69,0
2000-07-31,,,,0.69,0
2000-08-01,0.69,0.69,0.66,0.66,8200
2000-08-02,0.64,0.66,0.62,0.62,10200
2000-08-03,0.56,0.62,0.56,0.56,4800
2000-08-04,,,,0.56,0
2000-08-07,0.58,0.59,0.56,0.59,4400
2000-08-08,,,,0.59,0
2000-08-09,,,,0.59,0
2000-08-10,0.56,0.56,0.56,0.56,6000
2000-08-11,0.53,0.59,0.52,0.59,21400
2000-08-14,0.59,0.59,0.56,0.56,5200
2000-08-15,0.61,0.61,0.56,0.56,1800
2000-08-16,0.56,0.56,0.56,0.56,400
2000-08-17,,,,0.56,0
2000-08-18,0.62,0.62,0.62,0.62,800
2000-08-21,,,,0.62,0
2000-08-22,0.56,0.62,0.56,0.62,5400
2000-08-23,0.62,0.62,0.62,0.62,10000
2000-08-24,0.62,0.72,0.58,0.58,6400
2000-08-25,,,,0.58,0
2000-08-28,0.0,0.58,0.58,0.58,5600
2000-08-29,0.62,0.62,0.59,0.59,6800
2000-08-30,0.62,0.62,0.59,0.59,2400
2000-08-31,0.62,0.67,0.59,0.67,24800
2000-09-01,0.69,0.72,0.69,0.72,19000
2000-09-05,0.62,0.75,0.62,0.75,11000
