Date,Open,High,Low,Close,Volume
2000-06-30,9.81,10.03,9.75,9.94,86600
2000-07-03,9.94,9.97,9.88,9.97,11800
2000-07-05,9.97,9.97,9.78,9.78,37800
2000-07-06,9.75,9.94,9.75,9.94,65000
2000-07-07,9.97,9.97,9.75,9.88,68400
2000-07-10,9.97,10.44,9.97,10.44,123800
2000-07-11,10.56,10.69,10.44,10.69,167400
2000-07-12,10.62,10.62,10.31,10.38,90600
2000-07-13,10.38,10.58,10.25,10.53,59600
2000-07-14,10.44,10.56,10.31,10.31,81600
2000-07-17,10.31,10.38,10.06,10.12,46400
2000-07-18,10.19,10.25,9.94,9.94,93000
2000-07-19,9.94,10.12,9.94,10.03,125000
2000-07-20,10.03,10.12,10.03,10.12,12000
2000-07-21,10.16,10.19,10.06,10.12,7600
2000-07-24,10.12,10.25,10.09,10.25,46800
2000-07-25,10.22,10.22,10.0,10.09,32600
2000-07-26,10.06,10.31,10.0,10.31,53400
2000-07-27,10.25,10.25,10.03,10.16,20600
2000-07-28,10.19,10.38,10.19,10.25,31200
2000-07-31,10.31,10.47,10.19,10.47,51200
2000-08-01,10.47,10.47,10.28,10.28,26800
2000-08-02,10.25,10.38,10.25,10.31,17200
2000-08-03,10.25,10.31,10.12,10.22,26600
2000-08-04,10.19,10.25,10.0,10.16,101000
2000-08-07,10.12,10.22,10.06,10.12,38400
2000-08-08,10.06,10.09,10.0,10.0,49000
2000-08-09,10.0,10.06,9.97,9.97,10000
2000-08-10,9.97,9.97,9.88,9.88,40400
2000-08-11,9.84,10.0,9.84,10.0,22000
2000-08-14,9.94,9.97,9.81,9.97,23200
2000-08-15,9.97,9.97,9.81,9.88,42200
2000-08-16,9.88,9.94,9.88,9.94,44400
2000-08-17,9.97,9.97,9.88,9.94,67600
2000-08-18,9.94,9.97,9.81,9.81,54400
2000-08-21,9.88,9.94,9.81,9.81,18000
2000-08-22,9.75,10.0,9.72,9.94,294800
2000-08-23,9.97,9.97,9.62,9.62,32800
2000-08-24,9.62,9.69,9.5,9.62,46000
2000-08-25,9.56,9.62,9.47,9.53,85600
2000-08-28,0.0,9.78,9.5,9.78,27000
2000-08-29,9.78,10.0,9.78,10.0,37800
2000-08-30,10.0,10.09,9.94,10.06,58600
2000-08-31,10.03,10.31,10.03,10.31,85800
2000-09-01,10.31,10.38,10.28,10.31,64200
2000-09-05,10.38,10.56,10.38,10.5,98800
2000-09-06,10.38,10.56,10.34,10.53,67000
2000-09-07,10.53,10.69,10.53,10.69,49800
2000-09-08,10.72,10.72,10.5,10.56,31000
2000-09-11,10.53,10.66,10.53,10.66,123600
2000-09-12,10.66,10.69,10.5,10.5,74200
2000-09-13,10.5,10.62,10.5,10.62,39200
2000-09-14,10.66,10.69,10.31,10.44,52800
2000-09-15,10.25,10.47,10.19,10.44,122800
2000-09-18,10.38,10.5,10.0,10.0,67200
2000-09-19,10.12,10.31,9.88,10.31,41000
2000-09-20,10.38,10.44,10.22,10.22,61600
2000-09-21,9.81,9.94,9.19,9.19,130800
2000-09-22,9.19,9.34,9.0,9.31,26400
2000-09-25,9.31,9.34,9.03,9.03,61200
2000-09-26,9.03,9.03,8.66,8.75,70400
2000-09-27,8.69,8.84,8.69,8.78,34400
2000-09-28,8.78,9.66,8.78,9.66,67400
2000-09-29,9.66,9.81,9.66,9.75,119000
2000-10-02,9.78,9.94,9.69,9.69,207000
2000-10-03,9.69,9.88,9.69,9.78,109200
2000-10-04,9.75,9.75,9.38,9.38,121200
2000-10-05,9.44,9.5,9.38,9.38,97000
2000-10-06,9.38,9.44,9.34,9.44,71800
2000-10-09,9.38,9.38,9.22,9.22,44000
2000-10-10,9.12,9.19,8.84,9.12,79400
2000-10-11,9.12,9.12,9.0,9.12,54800
2000-10-12,9.19,9.19,9.0,9.06,40800
2000-10-13,9.12,9.16,9.03,9.16,79000
2000-10-16,9.19,9.19,9.0,9.0,47600
2000-10-17,9.0,9.0,8.47,8.5,191200
2000-10-18,8.5,8.88,8.5,8.84,43600
2000-10-19,8.88,8.97,8.62,8.88,33200
2000-10-20,8.94,9.19,8.88,9.06,45400
2000-10-23,9.06,9.12,9.0,9.0,65000
2000-10-24,9.03,9.31,9.03,9.31,33400
2000-10-25,9.22,9.25,9.06,9.09,30200
2000-10-26,9.12,9.19,9.03,9.09,65400
2000-10-27,9.16,9.25,9.06,9.16,33800
2000-10-30,9.25,9.44,9.25,9.28,32400
2000-10-31,9.34,9.56,9.34,9.56,96800
2000-11-01,9.5,9.53,9.25,9.25,51200
2000-11-02,9.22,9.62,9.19,9.5,61000
2000-11-03,9.56,9.62,9.5,9.53,44200
2000-11-06,9.56,9.62,9.38,9.38,16600
2000-11-07,9.31,9.66,9.31,9.66,39400
2000-11-08,9.59,9.62,9.47,9.5,62400
2000-11-09,9.44,9.75,9.34,9.75,26400
2000-11-10,9.72,9.72,9.22,9.22,52800
2000-11-13,9.22,9.5,9.19,9.44,45200
2000-11-14,9.34,9.44,9.0,9.0,62000
2000-11-15,9.06,9.22,9.03,9.22,81800
2000-11-16,9.28,9.28,9.0,9.0,37400
2000-11-17,9.12,9.31,9.12,9.22,51800
2000-11-20,9.19,9.22,9.06,9.06,27800
2000-11-21,9.09,9.12,9.03,9.03,19600
2000-11-22,9.09,9.09,8.84,8.88,18800
2000-11-24,8.94,8.94,8.88,8.88,29000
2000-11-27,8.94,8.94,8.72,8.78,130600
2000-11-28,8.78,8.88,8.78,8.88,98000
2000-11-29,8.94,9.0,8.81,8.94,40000
2000-11-30,8.88,9.06,8.81,8.94,54800
2000-12-01,8.94,9.12,8.94,9.12,99800
2000-12-04,9.06,9.06,8.75,8.94,26200
2000-12-05,8.88,9.38,8.88,9.28,221400
2000-12-06,9.31,9.41,8.81,9.0,64000
2000-12-07,9.0,9.0,8.88,9.0,18000
2000-12-08,9.03,9.03,8.91,8.94,42400
