Date,Open,High,Low,Close,Volume
2012-03-22,10.99,11.52,10.7,11.11,4904048
2012-03-23,11.04,11.56,10.93,11.01,821433
2012-03-26,11.11,11.25,11.0,11.16,400262
2012-03-27,11.24,11.25,11.1,11.2,132312
2012-03-28,11.25,12.33,11.2,11.96,397335
2012-03-29,11.9,11.95,11.6,11.68,86716
2012-03-30,11.93,12.0,11.61,11.62,45975
2012-04-02,11.84,11.84,11.61,11.7,93784
2012-04-03,11.95,11.95,11.64,11.7,46428
2012-04-04,11.7,11.81,11.7,11.77,71113
2012-04-05,11.6,12.39,11.6,12.32,38898
2012-04-09,12.0,12.32,12.0,12.2,193338
2012-04-10,12.31,12.75,12.2,12.21,94383
2012-04-11,12.25,12.27,12.06,12.21,47428
2012-04-12,12.01,12.47,12.01,12.3,34320
2012-04-13,12.34,12.48,12.23,12.44,21346
2012-04-16,12.6,12.6,12.31,12.37,51068
2012-04-17,12.56,12.56,12.05,12.4,51942
2012-04-18,12.35,12.41,12.27,12.35,48841
2012-04-19,12.54,12.54,12.21,12.41,186066
2012-04-20,12.4,12.46,12.05,12.36,180450
2012-04-23,12.07,12.31,12.07,12.31,30063
2012-04-24,12.32,12.4,12.18,12.3,26581
2012-04-25,12.43,12.43,12.06,12.26,41231
2012-04-26,12.11,12.39,12.11,12.37,54278
2012-04-27,12.39,12.39,12.2,12.25,70936
2012-04-30,12.31,12.49,12.3,12.38,179582
2012-05-01,12.49,13.37,12.44,13.01,312131
2012-05-02,13.1,13.3,12.78,13.25,112541
2012-05-03,13.05,13.36,13.05,13.25,23643
2012-05-04,13.09,13.34,12.25,12.8,146134
2012-05-07,13.43,13.43,12.95,13.09,123521
2012-05-08,13.66,13.88,12.35,13.0,698122
2012-05-09,12.87,12.98,12.56,12.95,82385
2012-05-10,12.97,13.29,12.69,12.94,150193
2012-05-11,12.91,13.34,12.77,13.0,38586
2012-05-14,13.0,13.19,12.77,12.97,93312
2012-05-15,13.03,13.22,12.68,12.77,125376
2012-05-16,12.78,13.0,12.6,12.6,34380
2012-05-17,12.54,12.69,12.02,12.15,44471
2012-05-18,12.27,12.44,12.24,12.35,55588
2012-05-21,12.65,12.78,12.12,12.25,86056
2012-05-22,12.33,12.58,11.51,11.57,151561
2012-05-23,11.58,11.63,10.75,11.05,227552
2012-05-24,11.05,11.47,11.02,11.45,100794
2012-05-25,11.49,11.85,11.37,11.81,14082
2012-05-29,11.85,12.21,11.76,12.09,121394
2012-05-30,12.08,12.08,11.74,11.78,24116
2012-05-31,11.74,12.06,11.71,12.03,42522
2012-06-01,11.76,11.91,11.5,11.7,24921
2012-06-04,11.77,12.01,11.49,11.87,37939
2012-06-05,11.81,11.99,11.61,11.76,97893
2012-06-06,11.81,12.05,11.51,11.96,75405
2012-06-07,12.03,12.03,11.85,11.87,62563
2012-06-08,11.84,11.93,11.8,11.8,8530
2012-06-11,11.9,12.2,11.57,11.9,107199
2012-06-12,11.95,12.0,11.69,11.9,15315
2012-06-13,11.8,11.93,11.7,11.84,21238
2012-06-14,11.83,12.17,11.82,11.91,75671
2012-06-15,11.91,12.08,11.72,11.73,23127
2012-06-18,11.76,11.85,11.57,11.81,58386
2012-06-19,11.85,12.18,11.85,12.01,22190
2012-06-20,11.96,12.12,11.91,11.91,9298
2012-06-21,11.93,12.17,11.93,12.15,22694
2012-06-22,12.15,12.19,11.72,11.79,57347
2012-06-25,11.72,11.89,11.64,11.77,12671
2012-06-26,11.69,12.12,11.69,11.94,13944
2012-06-27,12.02,12.25,11.9,12.05,39207
2012-06-28,11.99,12.16,11.81,12.16,17100
2012-06-29,12.25,12.4,11.84,12.15,60243
2012-07-02,12.05,12.17,11.8,12.05,18704
2012-07-03,12.19,12.19,11.91,12.05,16503
2012-07-05,12.08,12.13,11.97,12.01,21202
2012-07-06,11.94,12.08,11.75,12.0,29000
2012-07-09,11.27,11.77,11.2,11.69,1150
2012-07-10,12.05,12.05,11.63,11.78,6900
2012-07-11,11.78,11.8,11.53,11.77,5840
2012-07-12,11.7,11.75,11.6,11.62,15325
2012-07-13,11.62,11.7,11.3,11.34,45665
2012-07-16,11.27,11.79,11.06,11.19,28731
2012-07-17,11.06,11.65,11.06,11.65,12053
2012-07-18,11.57,11.83,11.12,11.52,14898
2012-07-19,11.49,11.99,11.49,11.99,8690
2012-07-20,11.95,11.95,11.48,11.48,836
2012-07-23,11.85,11.85,11.44,11.74,25196
2012-07-24,11.99,11.99,11.22,11.22,18192
2012-07-25,11.3,11.97,11.27,11.97,7000
2012-07-26,12.0,12.02,11.27,11.84,27525
2012-07-27,11.84,12.07,11.84,11.86,3545
2012-07-30,11.99,11.99,11.23,11.74,68500
2012-07-31,11.67,11.74,11.23,11.74,8130
2012-08-01,11.31,11.75,11.24,11.32,5399
2012-08-02,11.33,11.75,11.2,11.58,16273
2012-08-03,11.66,11.75,11.35,11.59,19526
2012-08-06,11.58,11.77,11.31,11.65,20019
2012-08-07,11.7,11.95,11.2,11.45,205280
2012-08-08,11.31,11.4,11.07,11.28,81316
2012-08-09,11.3,11.45,11.06,11.06,56780
2012-08-10,11.06,11.06,10.08,10.6,68844
2012-08-13,10.7,11.0,10.63,10.85,104481
