Date,Open,High,Low,Close,Volume
2013-12-12,13.5,13.69,13.35,13.5,2555871
2013-12-13,13.45,13.54,13.45,13.51,124190
2013-12-16,13.5,13.54,13.45,13.5,90365
2013-12-17,13.47,13.6,13.46,13.55,137555
2013-12-18,13.51,13.6,13.48,13.48,134794
2013-12-19,13.52,13.57,13.5,13.55,58332
2013-12-20,13.5,13.65,13.47,13.58,91570
2013-12-23,13.58,13.68,13.53,13.68,84302
2013-12-24,13.68,13.69,13.6,13.69,32563
2013-12-26,13.65,13.8,13.62,13.72,51453
2013-12-27,13.8,13.8,13.67,13.74,40791
2013-12-30,13.69,13.85,13.6,13.84,81758
2013-12-31,13.83,14.0,13.76,13.95,41112
2014-01-02,13.97,14.1,13.77,13.83,53808
2014-01-03,13.85,13.99,13.83,13.94,32250
2014-01-06,13.7,14.4,13.55,14.3,89423
2014-01-07,199999.0,14.4,13.55,14.2,116034
2014-01-08,14.12,14.15,13.82,14.08,52627
2014-01-09,14.19,14.2,13.86,14.08,49500
2014-01-10,14.0,14.19,13.22,13.8,91459
2014-01-13,13.74,13.98,13.67,13.82,62888
2014-01-14,13.8,14.06,13.8,13.98,64199
2014-01-15,13.95,13.99,13.6,13.88,54307
2014-01-16,13.75,13.97,13.51,13.57,69522
2014-01-17,13.59,14.0,13.58,13.89,48902
2014-01-21,13.89,14.03,13.7,13.94,111650
2014-01-22,13.81,14.0,13.81,14.0,69379
2014-01-23,13.94,14.0,13.8,13.99,56401
2014-01-24,13.81,13.99,13.71,13.9,78571
2014-01-27,13.95,14.05,13.61,13.89,35106
2014-01-28,13.76,13.98,13.62,13.78,45505
2014-01-29,13.61,13.8,13.43,13.6,30117
2014-01-30,13.62,13.93,13.36,13.5,69737
2014-01-31,13.5,13.89,13.4,13.84,60299
2014-02-03,13.72,13.72,12.5,13.36,75158
2014-02-04,13.36,13.49,13.25,13.46,8451
2014-02-05,13.45,13.6,13.39,13.44,28001
2014-02-06,13.48,13.59,13.06,13.48,63173
2014-02-07,13.57,13.75,13.25,13.68,32830
2014-02-10,13.56,13.8,13.36,13.36,64600
2014-02-11,13.37,13.37,12.83,13.23,299715
2014-02-12,13.1,13.11,12.74,12.89,198441
2014-02-13,12.78,13.05,12.05,13.05,293050
2014-02-14,12.9,13.19,12.71,13.1,116894
2014-02-18,12.93,13.37,12.93,13.15,109439
2014-02-19,13.05,13.3,13.0,13.21,122796
2014-02-20,13.1,13.29,12.72,12.86,167217
2014-02-21,12.78,13.0,12.78,13.0,48325
2014-02-24,12.94,13.32,12.87,13.14,52982
2014-02-25,13.07,13.4,12.97,13.17,84295
2014-02-26,13.05,13.31,12.83,13.13,76476
2014-02-27,13.07,13.12,12.75,13.07,128534
2014-02-28,12.9,13.26,12.82,13.25,116658
2014-03-03,13.05,13.44,12.96,13.44,73019
2014-03-04,13.49,13.95,13.03,13.3,186907
2014-03-05,13.16,13.5,13.16,13.47,128206
2014-03-06,13.44,13.49,13.25,13.42,46131
2014-03-07,13.49,13.69,13.25,13.48,155279
2014-03-10,13.47,13.62,13.35,13.53,204974
2014-03-11,13.5,13.55,13.24,13.46,159815
2014-03-12,13.4,13.6,13.28,13.45,65815
2014-03-13,13.5,13.5,13.03,13.16,128950
2014-03-14,13.15,13.33,13.02,13.33,119956
2014-03-17,13.4,13.6,13.35,13.5,143668
2014-03-18,13.51,13.85,13.48,13.79,348338
2014-03-19,13.62,13.94,13.57,13.77,244253
2014-03-20,13.74,13.87,13.58,13.75,209052
2014-03-21,13.75,13.89,13.62,13.76,509594
2014-03-24,13.76,13.93,13.71,13.86,241699
2014-03-25,13.84,13.92,13.75,13.81,163120
2014-03-26,13.8,13.86,13.48,13.49,122040
2014-03-27,13.45,13.66,13.28,13.45,123289
2014-03-28,13.32,13.54,13.16,13.32,167653
2014-03-31,13.32,14.15,13.29,14.05,1150339
2014-04-01,13.99,13.99,13.51,13.72,164951
2014-04-02,13.73,14.05,13.72,14.0,146082
2014-04-03,13.94,14.1,13.81,14.05,169779
2014-04-04,14.02,14.11,13.83,14.06,148443
2014-04-07,14.01,14.09,13.56,13.74,72201
2014-04-08,13.7,13.75,13.25,13.32,180711
2014-04-09,13.32,13.55,13.26,13.53,135998
2014-04-10,13.49,13.55,13.04,13.19,93712
2014-04-11,13.05,13.39,13.05,13.33,94674
2014-04-14,13.43,13.5,13.25,13.39,37754
2014-04-15,13.37,13.45,13.19,13.4,82810
2014-04-16,13.42,13.56,13.23,13.48,67693
2014-04-17,13.46,13.56,13.3,13.5,54562
2014-04-21,13.42,13.42,13.28,13.33,45695
2014-04-22,13.31,13.64,13.31,13.57,56012
2014-04-23,13.51,13.61,13.31,13.39,48729
2014-04-24,13.43,13.49,13.28,13.42,83509
2014-04-25,13.51,13.53,13.3,13.36,63954
2014-04-28,13.38,13.49,13.16,13.35,81253
2014-04-29,13.41,13.49,13.27,13.36,43763
2014-04-30,13.3,13.5,13.2,13.48,71768
2014-05-01,13.42,13.45,13.21,13.45,71716
2014-05-02,13.49,13.5,13.33,13.43,49401
2014-05-05,13.35,13.47,13.29,13.42,52737
2014-05-06,13.36,13.46,13.25,13.29,61429
2014-05-07,13.34,13.34,13.12,13.25,41754
2014-05-08,13.12,13.35,13.02,13.15,106486
2014-05-09,13.04,13.14,12.8,12.98,141633
2014-05-12,13.04,13.41,12.97,13.39,70929
2014-05-13,13.32,13.41,13.13,13.18,57222
2014-05-14,13.08,13.12,12.61,13.05,169533
2014-05-15,12.62,13.19,12.62,13.17,111982
2014-05-16,13.14,13.43,13.12,13.42,58480
2014-05-19,13.36,13.36,12.96,13.2,135157
2014-05-20,13.16,13.3,13.05,13.11,139584
2014-05-21,13.18,13.4,13.05,13.18,127402
2014-05-22,13.21,13.5,13.15,13.36,85123
2014-05-23,13.42,13.42,13.06,13.33,65673
2014-05-27,13.35,13.5,13.29,13.46,34144
2014-05-28,13.3,13.39,13.18,13.24,61934
2014-05-29,13.3,13.37,13.2,13.3,92490
2014-05-30,13.28,13.33,13.19,13.24,48083
2014-06-02,13.28,13.44,13.24,13.41,43318
2014-06-03,13.4,13.45,13.19,13.44,74323
2014-06-04,13.36,13.45,13.24,13.43,48483
2014-06-05,13.5,13.65,13.4,13.52,85309
2014-06-06,13.47,13.68,13.46,13.61,56554
2014-06-09,13.58,13.75,13.55,13.75,77979
2014-06-10,13.8,13.84,13.65,13.81,107321
2014-06-11,13.75,13.94,13.7,13.87,123470
2014-06-12,13.77,13.96,13.7,13.92,93768
2014-06-13,13.86,13.95,13.58,13.9,132490
2014-06-16,13.92,13.92,13.66,13.71,82046
2014-06-17,13.68,13.75,13.38,13.56,111365
2014-06-18,13.43,13.55,13.17,13.26,103809
2014-06-19,13.28,13.28,13.05,13.21,117814
2014-06-20,13.3,13.6,13.24,13.5,198330
2014-06-23,13.46,13.49,13.25,13.34,62116
2014-06-24,13.23,13.34,13.12,13.24,104868
2014-06-25,13.14,13.27,13.03,13.26,72082
2014-06-26,13.2,13.39,13.15,13.3,69435
2014-06-27,13.21,13.5,13.19,13.5,220833
2014-06-30,13.48,13.75,13.29,13.67,70052
2014-07-01,13.64,13.77,13.37,13.59,117818
2014-07-02,13.56,13.6,13.43,13.6,54268
2014-07-03,13.58,13.62,13.45,13.56,62559
2014-07-07,13.52,13.52,12.9,13.2,129409
2014-07-08,12.6,12.73,12.28,12.52,259784
2014-07-09,12.53,12.56,12.37,12.46,141478
2014-07-10,12.26,12.46,11.9,11.98,376307
2014-07-11,11.78,12.05,11.75,11.98,2544151
2014-07-14,11.98,12.09,11.9,12.04,494949
2014-07-15,12.04,12.17,11.95,12.15,564014
2014-07-16,12.13,12.43,12.13,12.4,431770
2014-07-17,12.29,12.53,12.19,12.38,371195
2014-07-18,12.32,12.52,12.32,12.36,703821
2014-07-21,12.36,12.44,12.28,12.41,248044
2014-07-22,12.47,12.54,12.39,12.51,306800
2014-07-23,12.52,12.6,12.4,12.4,197077
2014-07-24,12.4,12.49,12.26,12.3,157826
2014-07-25,12.25,12.38,12.19,12.33,278632
2014-07-28,12.34,12.49,12.32,12.38,186150
2014-07-29,12.41,12.46,12.12,12.33,249038
2014-07-30,12.32,12.42,12.08,12.26,223788
2014-07-31,12.15,12.34,11.95,12.0,711682
2014-08-01,11.94,12.14,11.71,12.05,346333
2014-08-04,12.07,12.07,11.56,11.92,275110
2014-08-05,11.92,11.92,11.67,11.81,183680
2014-08-06,11.73,11.9,11.71,11.86,122543
2014-08-07,11.88,12.0,11.74,11.84,117576
2014-08-08,11.82,11.99,11.71,11.98,114809
2014-08-11,12.03,12.2,11.94,11.99,130777
2014-08-12,11.9,12.08,11.68,11.77,195197
2014-08-13,11.76,11.83,11.66,11.74,162472
2014-08-14,11.75,11.83,11.7,11.78,82934
2014-08-15,12.19,12.19,11.72,12.11,224092
2014-08-18,12.17,12.21,11.96,12.21,169071
2014-08-19,12.18,12.35,12.06,12.14,213264
2014-08-20,12.07,12.16,11.99,12.14,119013
2014-08-21,12.12,12.2,12.04,12.16,64879
2014-08-22,12.11,12.37,12.05,12.14,197998
2014-08-25,12.22,12.3,12.15,12.22,130001
2014-08-26,12.19,12.26,12.15,12.23,133456
2014-08-27,12.04,12.19,12.02,12.08,137841
2014-08-28,12.01,12.15,11.93,12.0,63169
2014-08-29,11.98,12.13,11.97,12.01,165215
2014-09-02,12.01,12.05,11.98,12.0,73362
2014-09-03,12.0,12.08,11.92,11.97,98673
2014-09-04,11.91,12.07,11.71,11.85,181378
2014-09-05,11.8,12.0,11.8,11.98,70273
2014-09-08,11.98,12.27,11.93,12.27,177251
2014-09-09,12.2,12.23,12.04,12.23,220462
2014-09-10,12.0,12.0,11.74,11.8,322682
2014-09-11,11.75,11.8,11.53,11.59,441599
2014-09-12,11.53,11.54,11.15,11.43,782611
2014-09-15,11.49,11.49,11.14,11.23,205610
2014-09-16,11.12,11.4,10.87,11.19,471204
2014-09-17,11.15,11.39,11.15,11.18,263076
2014-09-18,11.11,11.46,11.11,11.21,333830
2014-09-19,11.22,11.3,10.99,11.11,379189
2014-09-22,11.04,11.04,10.62,10.8,318399
2014-09-23,10.71,10.78,10.54,10.62,260679
2014-09-24,10.6,10.84,10.54,10.84,213069
2014-09-25,10.83,10.83,10.54,10.61,201573
2014-09-26,10.64,10.8,10.54,10.8,142402
2014-09-29,10.72,11.14,10.67,11.12,214652
2014-09-30,11.12,11.12,10.76,10.96,651511
2014-10-01,10.89,10.93,10.57,10.68,182865
2014-10-02,10.63,10.75,10.28,10.58,180694
2014-10-03,10.71,10.96,10.47,10.89,261012
2014-10-06,10.92,10.92,10.66,10.83,254283
2014-10-07,10.8,10.8,10.61,10.67,195055
2014-10-08,10.66,10.94,10.44,10.91,245195
2014-10-09,10.9,10.97,10.61,10.73,222610
2014-10-10,10.64,10.88,10.56,10.66,279125
2014-10-13,10.71,11.0,10.66,10.83,236049
2014-10-14,10.92,11.2,10.84,10.99,239580
2014-10-15,10.88,11.15,10.88,11.12,292715
2014-10-16,11.01,11.37,11.01,11.27,292914
2014-10-17,11.43,11.49,11.17,11.28,176885
2014-10-20,11.24,11.4,11.08,11.17,212947
2014-10-21,11.17,11.26,11.07,11.17,194150
2014-10-22,11.21,11.28,11.09,11.12,134709
2014-10-23,11.24,11.3,11.03,11.2,162123
2014-10-24,11.22,11.26,11.09,11.16,104285
2014-10-27,11.05,11.24,11.01,11.2,112643
2014-10-28,11.25,11.52,11.21,11.5,183773
2014-10-29,11.48,11.56,11.17,11.47,118146
2014-10-30,11.47,11.59,11.31,11.57,195510
2014-10-31,11.72,11.75,11.55,11.7,163498
2014-11-03,11.73,11.86,11.58,11.81,179865
2014-11-04,11.81,11.91,11.52,11.57,157338
2014-11-05,11.66,11.69,11.51,11.59,101256
2014-11-06,11.58,11.64,11.36,11.58,106736
2014-11-07,11.52,11.53,11.35,11.41,178609
2014-11-10,11.38,11.56,11.34,11.44,164721
2014-11-11,11.39,11.44,11.15,11.23,160474
2014-11-12,11.2,11.3,11.0,11.16,171241
2014-11-13,11.15,11.35,11.07,11.15,157381
2014-11-14,10.95,11.38,10.65,11.15,312203
2014-11-17,11.15,11.15,10.79,10.91,178049
