Date,Open,High,Low,Close,Volume
2000-06-29,8.12,8.14,8.12,8.14,12000
2000-06-30,8.47,8.5,8.14,8.47,16000
2000-07-03,8.47,8.47,8.47,8.47,3200
2000-07-05,8.56,8.59,8.45,8.47,12000
2000-07-06,8.59,8.61,8.5,8.52,59200
2000-07-07,8.59,8.59,8.51,8.59,42400
2000-07-10,8.5,8.56,8.5,8.53,8800
2000-07-11,8.52,8.52,8.41,8.5,105600
2000-07-12,8.44,8.5,8.44,8.48,2400
2000-07-13,8.48,8.54,8.48,8.54,4800
2000-07-14,8.55,8.75,8.47,8.75,52000
2000-07-17,8.77,8.77,8.38,8.38,24800
2000-07-18,8.38,8.38,8.11,8.11,54400
2000-07-19,8.14,8.14,8.05,8.05,12000
2000-07-20,8.11,8.16,8.05,8.15,492000
2000-07-21,8.15,8.22,8.14,8.17,273600
2000-07-24,8.16,8.17,8.13,8.16,59200
2000-07-25,8.13,8.14,8.12,8.12,34400
2000-07-26,8.12,8.16,8.12,8.16,57600
2000-07-27,8.16,8.16,8.1,8.11,56000
2000-07-28,8.13,8.14,8.06,8.06,33600
2000-07-31,8.12,8.25,8.12,8.24,304000
2000-08-01,8.01,8.23,8.01,8.09,54400
2000-08-02,8.11,8.11,8.07,8.07,12800
2000-08-03,8.01,8.08,8.01,8.02,16000
2000-08-04,7.97,8.0,7.91,7.91,250400
2000-08-07,7.98,7.98,7.84,7.84,22400
2000-08-08,7.84,7.98,7.84,7.93,148000
2000-08-09,7.94,7.96,7.94,7.96,45600
2000-08-10,7.97,8.06,7.96,8.03,49600
2000-08-11,8.05,8.21,8.05,8.21,80800
2000-08-14,8.21,8.25,8.21,8.23,4800
2000-08-15,8.2,8.3,8.2,8.3,11200
2000-08-16,8.25,8.32,8.22,8.25,122400
2000-08-17,8.25,8.25,8.16,8.16,44000
2000-08-18,8.23,8.23,8.14,8.18,33600
2000-08-21,8.14,8.14,8.13,8.13,61600
2000-08-22,8.18,8.18,8.04,8.11,72000
2000-08-23,8.09,8.16,8.09,8.14,31200
2000-08-24,8.12,8.12,8.12,8.12,800
2000-08-25,8.19,8.19,8.15,8.15,7200
2000-08-28,0.0,8.19,8.12,8.19,46400
2000-08-29,8.12,8.19,8.12,8.12,28000
2000-08-30,8.12,8.13,8.12,8.12,28800
2000-08-31,8.15,8.16,8.11,8.16,9600
2000-09-01,8.12,8.12,8.05,8.05,17600
2000-09-05,8.0,8.12,8.0,8.12,46400
2000-09-06,8.14,8.15,8.11,8.15,29600
2000-09-07,8.12,8.16,8.11,8.12,40800
2000-09-08,8.12,8.12,8.11,8.12,61600
2000-09-11,8.13,8.18,8.12,8.12,84000
2000-09-12,8.16,8.16,8.12,8.12,31200
2000-09-13,8.12,8.12,8.12,8.12,7200
2000-09-14,8.12,8.12,8.12,8.12,37600
2000-09-15,8.12,8.24,8.12,8.24,78400
2000-09-18,8.22,8.22,8.12,8.22,24800
2000-09-19,,,,8.22,0
2000-09-20,8.23,8.26,8.12,8.26,34400
2000-09-21,8.26,8.26,8.14,8.16,5600
2000-09-22,8.15,8.29,8.15,8.29,8000
2000-09-25,8.38,8.39,8.19,8.39,25600
2000-09-26,8.39,8.45,8.34,8.45,12000
2000-09-27,8.46,8.46,8.25,8.37,44000
2000-09-28,8.37,8.78,8.37,8.78,57600
2000-09-29,8.6,8.75,8.6,8.62,13600
2000-10-02,7.16,7.25,6.53,7.18,142400
2000-10-03,8.0,8.0,7.5,8.0,223200
2000-10-04,8.07,8.44,8.07,8.44,151200
2000-10-05,8.44,8.48,8.27,8.47,21600
2000-10-06,8.47,8.56,8.47,8.55,32800
2000-10-09,8.55,8.56,8.48,8.52,48800
2000-10-10,8.0,8.5,8.0,8.47,541600
2000-10-11,8.48,8.52,8.45,8.49,52800
2000-10-12,8.48,8.48,8.44,8.48,5600
2000-10-13,8.5,8.5,8.38,8.44,18400
2000-10-16,8.44,8.48,8.35,8.48,37600
2000-10-17,8.43,9.12,8.43,9.08,116800
2000-10-18,8.71,8.71,8.1,8.66,27200
2000-10-19,8.75,8.86,8.74,8.86,28000
2000-10-20,8.82,8.97,8.82,8.85,51200
2000-10-23,8.85,8.85,8.79,8.81,20800
2000-10-24,8.81,8.81,8.66,8.74,52800
2000-10-25,8.73,8.73,8.51,8.51,36000
2000-10-26,8.5,8.64,8.5,8.59,59200
2000-10-27,8.59,8.59,8.06,8.23,99200
2000-10-30,8.2,8.54,8.11,8.54,32800
2000-10-31,8.59,8.59,8.51,8.52,40800
2000-11-01,8.51,8.51,8.51,8.51,7200
2000-11-02,8.53,8.59,8.12,8.12,61600
2000-11-03,8.35,8.35,8.35,8.35,800
2000-11-06,8.22,8.35,8.22,8.35,12000
2000-11-07,8.22,8.23,8.22,8.23,2400
2000-11-08,8.26,8.45,8.26,8.31,29600
2000-11-09,8.27,8.46,8.25,8.26,112800
2000-11-10,8.27,8.27,8.16,8.22,107200
2000-11-13,8.22,8.66,8.17,8.66,248000
2000-11-14,8.67,8.69,8.66,8.66,36000
2000-11-15,8.6,8.75,8.6,8.64,156000
2000-11-16,8.7,8.72,8.59,8.59,77600
2000-11-17,8.62,8.62,8.56,8.56,11200
2000-11-20,8.58,8.62,8.58,8.58,10400
2000-11-21,8.58,8.58,8.52,8.52,17600
2000-11-22,8.56,8.56,8.26,8.37,142400
2000-11-24,8.4,8.4,8.4,8.4,1600
2000-11-27,8.44,8.47,8.19,8.21,96800
2000-11-28,8.16,8.36,8.04,8.36,180800
