Date,Open,High,Low,Close,Volume
2000-06-30,7.5,7.62,7.5,7.62,10120
2000-07-03,7.62,7.62,7.62,7.62,400
2000-07-05,7.62,7.62,7.5,7.62,2600
2000-07-06,,,,7.62,0
2000-07-07,7.62,7.62,7.62,7.62,720
2000-07-10,7.38,7.38,7.38,7.38,1520
2000-07-11,7.38,7.75,7.38,7.75,5000
2000-07-12,7.88,7.94,7.75,7.75,4520
2000-07-13,7.88,8.25,7.88,8.0,25520
2000-07-14,8.0,8.12,8.0,8.12,3720
2000-07-17,8.0,8.25,8.0,8.25,4200
2000-07-18,8.25,8.25,8.25,8.25,1400
2000-07-19,,,,8.25,0
2000-07-20,8.0,8.0,7.62,7.62,1800
2000-07-21,,,,7.62,0
2000-07-24,7.88,8.0,7.62,7.75,1000
2000-07-25,8.0,8.0,7.62,8.0,920
2000-07-26,7.75,7.75,7.75,7.75,520
2000-07-27,7.75,7.75,7.75,7.75,2000
2000-07-28,7.62,7.69,7.62,7.69,3000
2000-07-31,7.88,7.88,7.88,7.88,520
2000-08-01,,,,7.88,0
2000-08-02,8.0,8.0,7.88,7.88,1520
2000-08-03,7.62,7.75,7.5,7.75,31800
2000-08-04,,,,7.75,0
2000-08-07,7.88,7.88,7.88,7.88,1920
2000-08-08,7.62,7.88,7.62,7.88,1800
2000-08-09,,,,7.88,0
2000-08-10,7.81,7.81,7.62,7.62,14520
2000-08-11,,,,7.62,0
2000-08-14,7.5,7.75,7.5,7.75,7120
2000-08-15,7.75,7.75,7.75,7.75,320
2000-08-16,7.75,8.12,7.75,8.0,3000
2000-08-17,8.19,8.5,8.19,8.38,7000
2000-08-18,8.5,9.62,8.5,9.25,25920
2000-08-21,9.5,10.38,9.5,10.0,19920
2000-08-22,10.25,10.88,10.12,10.75,19200
2000-08-23,10.5,11.25,10.44,10.75,26520
2000-08-24,10.62,11.0,10.38,10.88,14520
2000-08-25,10.88,12.25,10.75,11.75,36600
2000-08-28,0.0,12.5,11.69,12.25,27400
2000-08-29,12.5,12.75,12.25,12.25,16520
2000-08-30,12.5,12.5,12.5,12.5,17120
2000-08-31,12.5,12.5,11.75,11.75,10320
2000-09-01,12.0,12.0,11.75,11.75,5120
2000-09-05,11.75,11.88,11.62,11.88,3120
2000-09-06,12.0,12.0,11.62,11.75,10720
2000-09-07,11.5,11.5,11.5,11.5,1000
2000-09-08,11.25,11.5,11.25,11.25,5320
2000-09-11,11.0,11.0,10.25,10.69,10000
2000-09-12,10.75,11.38,10.5,11.38,15320
2000-09-13,11.0,11.5,10.75,11.5,11200
2000-09-14,11.25,11.88,11.25,11.88,3400
2000-09-15,11.56,12.62,11.56,12.62,20320
2000-09-18,12.75,12.88,12.0,12.0,8720
2000-09-19,12.0,12.25,11.88,12.25,4400
2000-09-20,11.88,12.38,11.69,12.38,13920
2000-09-21,12.12,12.94,12.12,12.5,8520
2000-09-22,12.38,12.38,12.25,12.25,2000
2000-09-25,12.0,12.5,12.0,12.0,3120
2000-09-26,12.0,12.0,12.0,12.0,2600
2000-09-27,11.88,12.0,11.75,12.0,2320
2000-09-28,12.12,12.12,11.5,11.75,3320
2000-09-29,11.38,11.88,11.25,11.88,9520
2000-10-02,11.62,11.62,11.62,11.62,3000
2000-10-03,11.5,11.75,11.12,11.75,11320
2000-10-04,11.56,12.0,11.56,12.0,2320
2000-10-05,12.0,12.12,11.75,11.75,5120
2000-10-06,11.25,11.25,11.12,11.25,3520
2000-10-09,11.0,11.0,11.0,11.0,200
2000-10-10,11.25,11.38,11.0,11.0,4000
2000-10-11,10.88,11.12,10.75,11.12,3600
2000-10-12,10.62,10.62,10.5,10.5,2800
2000-10-13,9.88,11.12,9.88,11.12,25200
2000-10-16,11.38,11.62,11.25,11.25,6920
2000-10-17,11.12,11.38,11.12,11.38,400
2000-10-18,11.12,11.25,10.75,11.25,7200
2000-10-19,11.38,11.5,11.25,11.5,600
2000-10-20,,,,11.5,0
2000-10-23,11.75,12.25,11.75,12.25,4120
2000-10-24,12.38,12.38,11.5,11.62,6400
2000-10-25,11.0,11.12,10.38,11.12,16600
