Date,Open,High,Low,Close,Volume
2012-02-07,32.9,33.32,32.87,33.06,36139
2012-02-08,33.19,33.53,32.87,33.48,63830
2012-02-09,33.65,33.65,33.26,33.3,45716
2012-02-10,32.79,33.15,32.79,33.05,84938
2012-02-13,33.52,33.86,33.38,33.56,52658
2012-02-14,33.5,33.5,33.01,33.3,43596
2012-02-15,33.2,33.5,32.69,32.96,69267
2012-02-16,32.93,33.69,32.68,33.68,96769
2012-02-17,33.82,33.85,33.46,33.59,44001
2012-02-21,33.5,33.75,33.2,33.36,52214
2012-02-22,33.34,33.65,33.11,33.35,80489
2012-02-23,33.32,34.2,33.14,33.97,73481
2012-02-24,33.91,34.54,33.91,34.38,81172
2012-02-27,34.31,34.77,34.31,34.64,157524
2012-02-28,34.6,34.6,34.11,34.34,171957
2012-02-29,33.51,34.82,33.51,34.49,253045
2012-03-01,34.49,34.5,33.89,33.93,105269
2012-03-02,33.83,33.91,32.59,32.87,150616
2012-03-05,32.81,33.27,32.69,33.08,68303
2012-03-06,32.59,32.83,32.31,32.36,72261
2012-03-07,32.58,32.93,32.33,32.71,70213
2012-03-08,32.79,33.38,32.29,33.01,109475
2012-03-09,32.11,33.74,32.11,33.34,79035
2012-03-12,33.27,33.48,32.91,33.37,59568
2012-03-13,33.7,34.36,33.27,34.27,82894
2012-03-14,34.1,34.38,33.03,33.86,54832
2012-03-15,33.84,34.26,33.14,33.88,92787
2012-03-16,33.75,34.27,33.52,33.99,131379
2012-03-19,33.74,34.83,33.74,34.59,169961
2012-03-20,34.13,34.78,34.0,34.17,96274
2012-03-21,34.32,34.77,34.27,34.66,112332
2012-03-22,34.17,34.42,33.76,34.06,134756
2012-03-23,33.88,34.86,33.83,34.75,73537
2012-03-26,34.9,35.86,34.9,35.24,143685
2012-03-27,35.05,35.73,34.96,34.98,81246
2012-03-28,34.76,35.25,34.16,34.26,132086
2012-03-29,34.03,34.66,33.71,34.47,67452
2012-03-30,34.66,34.79,33.95,33.95,68345
2012-04-02,33.87,35.1,33.69,35.08,95734
2012-04-03,34.95,35.13,34.85,34.98,103068
2012-04-04,34.47,34.84,34.31,34.7,107595
2012-04-05,34.47,34.66,34.06,34.21,60866
2012-04-09,33.46,33.92,32.9,33.14,68708
2012-04-10,33.08,33.4,32.06,32.19,125249
2012-04-11,32.59,32.78,32.23,32.7,96549
2012-04-12,32.68,33.41,32.58,33.27,69642
2012-04-13,33.19,33.19,32.45,32.55,77602
2012-04-16,32.68,33.54,32.62,32.95,86527
2012-04-17,33.24,34.21,33.21,33.83,75672
2012-04-18,33.69,33.87,33.54,33.67,64883
2012-04-19,33.61,33.98,33.05,33.2,98598
2012-04-20,33.64,34.75,33.36,34.36,125351
2012-04-23,33.63,33.97,33.05,33.45,94298
2012-04-24,33.43,33.94,33.1,33.77,75119
2012-04-25,34.21,34.75,33.92,34.52,118161
2012-04-26,34.34,35.23,34.34,34.72,103183
2012-04-27,34.7,35.55,34.62,35.29,80905
2012-04-30,35.22,35.55,34.17,34.38,65622
2012-05-01,34.06,34.06,31.6,31.81,395141
2012-05-02,31.47,31.77,30.7,31.08,413108
2012-05-03,31.05,31.42,30.7,30.87,140857
2012-05-04,30.73,31.12,30.12,30.66,215150
2012-05-07,30.81,31.59,30.53,31.25,211551
2012-05-08,31.18,31.87,30.76,31.7,170072
2012-05-09,31.33,32.15,31.18,31.51,145716
2012-05-10,31.98,31.98,31.46,31.85,65499
2012-05-11,31.81,31.82,31.14,31.29,57834
2012-05-14,31.03,31.17,30.61,30.75,97612
2012-05-15,30.84,31.48,30.68,30.93,70223
2012-05-16,31.23,31.44,30.76,30.78,66761
2012-05-17,30.72,31.05,30.26,30.3,186245
2012-05-18,30.49,30.77,29.99,30.17,90821
2012-05-21,30.49,30.87,30.14,30.84,78098
2012-05-22,31.03,31.03,30.0,30.24,74549
2012-05-23,30.11,30.63,29.52,30.5,73495
2012-05-24,30.61,30.66,29.84,30.43,74000
2012-05-25,30.58,30.58,29.89,30.07,67178
2012-05-29,30.3,30.64,29.98,30.58,50355
2012-05-30,30.38,30.38,29.72,29.77,75587
2012-05-31,29.91,29.91,29.03,29.25,161759
2012-06-01,28.68,28.87,28.43,28.49,106628
2012-06-04,28.75,29.14,28.3,28.49,90390
2012-06-05,28.47,28.61,27.96,28.51,73839
2012-06-06,28.82,29.22,28.56,29.08,83492
2012-06-07,29.62,29.62,28.93,28.96,115267
2012-06-08,28.9,29.34,28.67,29.31,143597
2012-06-11,29.57,29.64,28.93,28.98,93438
2012-06-12,29.06,30.27,28.93,29.92,142798
2012-06-13,29.92,30.07,28.98,29.2,72626
2012-06-14,29.28,29.58,29.09,29.42,46813
2012-06-15,29.41,29.74,29.13,29.64,106594
2012-06-18,29.54,30.13,29.22,29.95,71943
2012-06-19,30.02,30.85,29.95,30.75,80237
2012-06-20,30.65,30.99,30.4,30.85,99953
2012-06-21,30.94,31.04,29.95,30.15,77111
2012-06-22,30.47,30.77,30.09,30.45,411484
2012-06-25,30.16,30.49,29.92,30.25,59376
2012-06-26,30.38,30.38,29.53,29.68,71118
2012-06-27,29.74,30.09,29.7,30.06,38830
2012-06-28,29.86,30.05,29.01,29.7,42551
2012-06-29,30.43,30.97,30.12,30.94,82376
2012-07-02,31.11,31.52,30.26,31.5,63247
2012-07-03,31.65,32.13,31.35,31.89,64604
2012-07-05,31.75,32.15,31.61,32.04,36030
2012-07-06,31.61,31.81,31.29,31.53,40716
2012-07-09,31.51,31.75,31.03,31.53,86700
2012-07-10,31.87,31.94,30.72,30.89,44926
2012-07-11,31.05,31.19,30.27,30.75,73843
2012-07-12,30.6,31.99,30.34,31.86,144623
2012-07-13,32.1,32.91,31.87,32.85,93770
2012-07-16,32.65,32.65,32.12,32.27,75511
2012-07-17,32.45,32.45,31.67,31.97,75737
2012-07-18,31.98,32.49,31.79,32.41,103783
2012-07-19,32.37,32.9,32.31,32.72,85107
2012-07-20,32.33,32.66,31.86,32.2,96486
2012-07-23,31.5,31.94,31.36,31.58,51762
2012-07-24,31.76,31.76,30.65,31.18,59812
2012-07-25,31.49,31.71,31.17,31.39,56471
2012-07-26,32.03,32.03,31.17,31.9,45986
2012-07-27,31.75,32.91,31.54,32.75,118274
