Date,Open,High,Low,Close,Volume
2000-06-30,32.0,32.19,30.38,30.38,405500
2000-07-03,30.56,32.81,30.56,32.5,189300
2000-07-05,32.0,33.56,32.0,33.06,274800
2000-07-06,32.88,32.88,31.5,31.75,392600
2000-07-07,32.0,32.38,31.62,31.88,399300
2000-07-10,31.81,33.0,31.75,32.81,320800
2000-07-11,32.56,33.25,32.0,32.44,197500
2000-07-12,32.44,33.12,32.44,32.62,284300
2000-07-13,33.12,33.12,32.75,33.12,260000
2000-07-14,33.12,33.25,32.31,32.31,342100
2000-07-17,32.12,32.19,31.69,31.81,217400
2000-07-18,31.81,32.25,31.62,31.81,168400
2000-07-19,31.75,32.12,31.31,31.44,139400
2000-07-20,31.5,31.75,29.44,29.5,517700
2000-07-21,29.88,31.12,29.75,30.75,1342600
2000-07-24,31.0,31.12,30.56,30.88,492300
2000-07-25,30.62,30.69,30.06,30.19,379500
2000-07-26,30.06,30.12,29.25,29.5,539400
2000-07-27,29.5,30.25,29.38,29.38,340200
2000-07-28,28.38,29.12,28.38,28.94,459900
2000-07-31,29.19,29.62,28.88,29.38,301700
2000-08-01,30.0,30.0,29.12,29.94,214300
2000-08-02,29.69,30.12,29.5,29.75,245200
2000-08-03,29.62,30.19,29.5,29.75,179900
2000-08-04,29.56,30.12,29.56,29.81,127100
2000-08-07,30.0,31.19,30.0,31.19,339000
2000-08-08,31.19,32.88,31.19,32.69,347500
2000-08-09,32.44,33.44,31.81,31.88,296100
2000-08-10,31.88,32.25,30.88,31.38,293300
2000-08-11,31.44,32.94,31.44,32.0,267500
2000-08-14,32.0,32.0,31.38,31.94,195900
2000-08-15,31.81,32.0,31.38,31.56,272600
2000-08-16,31.12,32.25,31.06,31.88,275900
2000-08-17,31.75,31.88,31.0,31.56,120800
2000-08-18,31.44,31.56,31.31,31.38,90300
2000-08-21,31.31,31.88,31.25,31.31,148900
2000-08-22,31.38,31.5,30.88,31.0,239900
2000-08-23,31.0,31.38,31.0,31.25,418000
2000-08-24,30.62,31.25,30.56,30.81,227700
2000-08-25,30.81,31.38,30.81,31.25,194900
2000-08-28,0.0,32.31,31.25,31.56,245200
2000-08-29,31.62,32.38,31.44,31.62,242100
2000-08-30,31.69,31.81,31.06,31.25,140300
2000-08-31,31.25,32.44,31.0,32.19,182100
2000-09-01,32.5,32.81,31.75,32.06,129000
2000-09-05,32.06,32.12,31.06,31.5,224700
2000-09-06,31.38,32.75,31.06,32.69,160900
2000-09-07,32.69,32.94,31.69,32.06,257500
2000-09-08,32.06,32.44,31.38,31.81,234400
2000-09-11,31.69,32.12,31.69,31.88,132300
2000-09-12,32.12,32.12,31.06,31.69,231500
2000-09-13,31.19,31.62,31.0,31.12,210800
2000-09-14,31.0,31.12,30.62,30.94,362400
2000-09-15,30.94,30.94,29.62,29.62,344400
2000-09-18,29.69,30.31,29.19,29.44,326300
2000-09-19,29.44,29.5,28.62,28.94,233200
2000-09-20,28.88,29.0,28.25,28.62,271400
2000-09-21,28.38,28.38,27.25,27.69,247900
2000-09-22,27.69,27.94,27.0,27.44,222700
2000-09-25,26.56,27.0,26.0,26.0,721700
2000-09-26,26.0,26.0,24.62,25.38,895000
2000-09-27,25.62,26.0,25.31,25.38,286300
2000-09-28,25.38,25.88,25.38,25.62,606900
2000-09-29,25.62,26.56,24.88,25.06,514400
2000-10-02,25.06,25.12,24.69,24.75,270900
2000-10-03,24.69,25.44,24.62,25.0,453700
2000-10-04,24.75,25.5,24.5,24.69,283300
2000-10-05,24.62,24.62,19.38,19.62,4031500
2000-10-06,19.38,19.44,14.62,16.88,4634700
2000-10-09,17.62,18.38,17.0,18.0,1009900
2000-10-10,18.25,18.25,17.12,17.56,575300
2000-10-11,17.56,18.0,17.06,17.31,980000
2000-10-12,17.44,17.44,16.5,16.56,707000
2000-10-13,16.5,16.69,15.25,15.69,341700
2000-10-16,15.69,16.0,15.44,15.62,639000
2000-10-17,15.62,15.62,14.38,14.81,1515700
2000-10-18,14.69,15.38,14.0,14.38,2601800
2000-10-19,14.31,15.62,13.5,15.62,2852100
2000-10-20,15.5,16.0,14.75,15.19,637100
2000-10-23,15.25,15.75,14.88,15.56,549900
2000-10-24,15.5,16.62,15.5,16.56,798200
2000-10-25,16.62,18.44,16.62,17.69,1332900
2000-10-26,17.44,18.0,15.75,15.94,1019200
2000-10-27,16.19,16.38,15.69,15.81,356400
2000-10-30,16.75,17.38,16.62,16.75,737700
2000-10-31,16.81,17.25,16.81,17.06,194800
2000-11-01,17.19,17.62,17.0,17.56,473000
2000-11-02,17.56,18.19,17.56,17.81,418500
2000-11-03,17.62,17.75,17.12,17.31,305700
2000-11-06,17.38,17.69,17.31,17.44,254100
2000-11-07,17.5,18.19,17.5,17.62,557100
2000-11-08,17.75,17.75,17.12,17.19,154000
2000-11-09,17.19,17.19,16.19,16.19,465200
2000-11-10,16.25,16.25,13.81,14.25,1134800
2000-11-13,14.75,14.75,13.38,14.0,1307700
2000-11-14,14.38,14.38,13.62,14.06,950400
2000-11-15,14.19,14.25,13.69,13.94,3724600
2000-11-16,13.12,14.19,13.12,13.81,3188800
2000-11-17,13.88,14.0,13.25,13.75,1254200
2000-11-20,13.62,15.12,13.62,15.0,1011200
2000-11-21,14.69,15.19,14.69,15.06,593500
2000-11-22,14.88,15.19,14.75,15.0,1410900
2000-11-24,15.0,15.12,14.75,14.94,466600
2000-11-27,14.94,19.69,14.44,19.38,3292300
2000-11-28,19.5,20.0,17.62,18.25,1143900
2000-11-29,18.44,18.62,18.31,18.5,762800
2000-11-30,18.44,18.94,18.06,18.38,631600
2000-12-01,18.25,19.0,18.25,18.62,504000
2000-12-04,18.5,19.5,18.0,18.75,743200
2000-12-05,18.81,19.56,18.62,18.94,472200
2000-12-06,18.38,18.81,18.25,18.56,397600
2000-12-07,18.62,19.12,17.88,18.19,485900
2000-12-08,18.0,18.12,17.56,18.0,376100
2000-12-11,18.0,18.0,17.56,17.88,441400
2000-12-12,18.0,18.19,17.5,17.62,392700
2000-12-13,17.69,17.75,16.75,16.81,337400
2000-12-14,16.94,16.94,16.12,16.25,462500
2000-12-15,16.06,16.44,16.06,16.12,282700
2000-12-18,16.38,17.12,16.12,16.81,365700
2000-12-19,17.06,17.12,16.88,16.88,325700
2000-12-20,17.0,17.5,16.88,17.25,399700
2000-12-21,17.25,19.0,17.06,18.88,750200
2000-12-22,19.38,24.38,19.25,23.31,1063000
2000-12-26,23.25,23.25,21.44,22.06,975900
2000-12-27,21.62,21.94,20.5,21.06,548100
2000-12-28,21.0,23.06,20.88,22.44,475800
2000-12-29,22.12,23.38,21.56,22.5,520100
2001-01-02,22.5,22.69,21.0,21.25,281800
2001-01-03,21.31,23.5,21.31,23.38,398900
2001-01-04,23.12,24.75,22.62,23.88,316800
2001-01-05,24.0,24.44,23.12,23.75,325200
2001-01-08,23.0,23.0,20.5,21.31,826100
