Date,Open,High,Low,Close,Volume
2006-12-08,24.0,26.25,24.0,25.1,5542169
2006-12-11,25.1,27.83,24.8,26.3,707237
2006-12-12,25.88,26.95,25.56,26.07,227909
2006-12-13,26.05,27.4,26.05,26.85,330906
2006-12-14,26.26,28.7,26.26,27.84,295139
2006-12-15,28.64,28.79,26.61,27.65,234724
2006-12-18,27.65,28.29,26.95,27.55,96640
2006-12-19,26.88,26.99,26.14,26.49,155248
2006-12-20,26.69,27.2,26.51,27.1,114150
2006-12-21,27.24,27.59,26.74,27.57,142601
2006-12-22,27.06,28.0,27.01,27.23,107932
2006-12-26,27.96,27.96,27.21,27.52,30698
2006-12-27,27.29,28.0,27.29,27.92,42396
2006-12-28,27.9,28.4,27.75,27.9,58308
2006-12-29,28.12,28.2,27.78,28.06,31769
2007-01-03,28.36,28.36,27.51,27.77,98319
2007-01-04,27.48,28.37,27.48,27.77,95190
2007-01-05,27.6,27.85,27.26,27.75,93652
2007-01-08,27.91,27.91,26.68,26.98,134019
2007-01-09,27.25,27.4,26.75,26.99,102786
2007-01-10,26.94,27.33,25.83,26.97,196490
2007-01-11,26.95,27.45,26.51,27.36,77068
2007-01-12,27.5,28.3,27.42,28.25,92229
2007-01-16,28.5,29.91,27.15,29.58,233033
2007-01-17,30.0,30.9,29.75,30.0,105822
2007-01-18,30.05,30.52,29.55,30.19,53738
2007-01-19,30.0,30.0,29.21,29.51,49366
2007-01-22,29.02,29.75,26.78,29.67,206122
2007-01-23,29.0,32.37,28.15,31.13,224656
2007-01-24,31.55,32.74,31.15,32.32,108190
2007-01-25,32.5,32.5,31.78,31.98,98193
2007-01-26,32.59,32.75,31.78,32.0,30849
2007-01-29,32.49,32.5,31.72,31.85,142175
2007-01-30,32.13,32.8,31.5,32.59,53866
2007-01-31,32.08,34.16,32.0,33.25,141527
2007-02-01,33.46,34.17,33.05,34.05,110818
2007-02-02,34.5,35.07,33.88,34.94,77750
2007-02-05,35.1,36.11,34.67,35.2,141828
2007-02-06,34.76,35.7,33.51,34.03,59824
2007-02-07,34.5,34.5,33.61,34.07,70214
2007-02-08,34.08,34.57,32.83,33.45,144072
2007-02-09,33.55,33.55,32.8,33.26,166318
2007-02-12,33.02,33.3,32.27,32.92,213479
2007-02-13,33.61,33.61,32.45,32.71,179846
2007-02-14,32.36,33.0,32.16,33.0,189403
2007-02-15,33.3,33.3,31.97,32.84,19685
2007-02-16,33.25,34.77,32.37,34.77,110654
2007-02-20,34.85,36.45,34.85,35.47,107345
2007-02-21,35.78,36.24,33.91,35.0,99474
2007-02-22,36.13,36.51,33.5,34.49,112099
2007-02-23,33.66,35.02,33.37,33.5,66132
2007-02-26,33.72,35.11,33.72,34.64,54732
2007-02-27,34.13,34.42,32.59,32.95,49498
2007-02-28,32.95,34.65,30.16,34.46,101048
2007-03-01,33.27,35.0,32.86,34.44,67905
2007-03-02,33.29,34.95,33.29,33.95,38654
2007-03-05,34.9,35.07,33.37,34.08,67880
2007-03-06,34.2,34.58,31.88,32.57,119164
2007-03-07,31.84,33.75,31.84,33.6,223130
2007-03-08,33.6,33.82,33.06,33.75,60871
2007-03-09,32.89,33.75,32.05,32.44,46927
2007-03-12,31.61,32.4,31.0,31.2,130583
2007-03-13,31.41,31.41,30.6,31.01,62270
2007-03-14,31.5,31.5,30.69,31.07,75907
2007-03-15,30.59,32.0,30.59,32.0,50751
2007-03-16,31.5,31.77,31.09,31.65,33853
2007-03-19,31.42,32.0,31.42,31.65,26343
2007-03-20,31.89,33.58,31.89,33.35,62172
2007-03-21,33.72,33.92,32.6,33.18,60987
2007-03-22,33.5,33.75,31.88,33.6,30791
2007-03-23,33.75,33.75,32.73,32.99,34152
2007-03-26,33.4,33.6,32.62,32.78,16538
2007-03-27,32.55,33.52,31.5,32.0,87185
2007-03-28,31.99,31.99,31.1,31.25,103347
2007-03-29,31.95,31.95,31.1,31.47,26427
2007-03-30,31.26,32.73,31.26,31.5,414130
2007-04-02,31.5,31.96,31.05,31.65,99631
2007-04-03,32.38,32.78,31.81,32.75,89443
2007-04-04,32.5,32.6,31.3,31.59,45426
2007-04-05,31.77,32.24,31.48,32.04,41313
2007-04-09,32.47,32.47,31.72,32.01,54376
2007-04-10,31.49,32.69,31.3,32.2,61098
2007-04-11,32.46,32.46,31.62,32.37,49322
2007-04-12,32.57,32.6,32.0,32.53,73392
2007-04-13,32.74,33.06,31.74,33.06,33339
2007-04-16,33.1,33.1,32.31,32.71,56969
2007-04-17,32.69,32.69,31.49,32.06,55660
2007-04-18,31.85,32.49,31.85,32.05,18771
2007-04-19,31.82,32.71,31.61,32.26,25988
2007-04-20,32.74,32.74,31.77,31.88,34079
2007-04-23,31.75,32.51,31.75,32.3,43396
2007-04-24,33.03,33.99,32.85,33.89,323479
2007-04-25,33.67,33.99,32.85,33.24,132965
2007-04-26,33.16,33.62,32.69,32.76,66267
2007-04-27,32.6,33.41,31.8,32.0,37747
2007-04-30,31.84,32.16,31.11,32.09,124472
2007-05-01,32.25,34.95,31.92,34.89,117274
2007-05-02,35.65,35.65,32.55,34.7,228860
2007-05-03,34.95,35.0,32.23,34.17,71890
2007-05-04,34.12,35.0,32.86,33.35,88468
2007-05-07,33.14,33.47,32.09,32.28,89613
2007-05-08,31.01,32.0,31.01,31.97,194272
2007-05-09,31.75,31.94,31.29,31.87,62365
2007-05-10,31.66,31.88,30.22,30.28,85531
2007-05-11,30.63,30.91,29.78,30.04,233245
2007-05-14,29.96,30.24,28.9,29.2,105895
2007-05-15,29.14,29.14,27.75,27.76,74730
2007-05-16,27.75,28.28,27.53,28.04,167116
2007-05-17,28.06,30.16,28.06,30.0,138361
2007-05-18,30.03,30.45,29.84,30.19,84048
2007-05-21,30.11,31.33,30.09,31.2,74419
2007-05-22,31.1,31.65,30.47,31.52,82190
2007-05-23,31.62,32.15,31.19,31.93,140561
2007-05-24,31.95,32.32,31.85,32.15,1869936
2007-05-25,32.0,32.23,31.61,31.76,754600
