Date,Open,High,Low,Close,Volume
2000-06-29,12.57,12.85,12.46,12.74,1779300
2000-06-30,12.85,13.04,12.37,12.46,1011100
2000-07-03,12.57,13.21,12.51,12.99,237301
2000-07-05,12.96,13.54,12.9,13.43,1184900
2000-07-06,13.4,14.07,13.4,13.99,1406900
2000-07-07,13.99,14.63,13.93,14.29,1670800
2000-07-10,14.32,14.82,14.13,14.43,1665999
2000-07-11,14.46,14.74,14.01,14.29,1193400
2000-07-12,14.36,14.38,13.6,13.74,653400
2000-07-13,13.62,14.29,13.57,14.13,811701
2000-07-14,14.1,14.51,13.96,14.35,804501
2000-07-17,14.4,14.65,14.1,14.38,714501
2000-07-18,14.26,14.32,13.82,14.01,821601
2000-07-19,14.15,14.79,14.01,14.4,1064000
2000-07-20,14.43,15.57,14.43,15.13,2182799
2000-07-21,15.04,15.13,13.9,14.1,1320800
2000-07-24,14.15,14.24,14.04,14.1,403299
2000-07-25,14.13,14.76,14.01,14.51,614700
2000-07-26,14.51,15.34,14.51,14.9,641200
2000-07-27,14.96,17.13,14.79,16.59,2590700
2000-07-28,16.07,16.13,14.18,14.74,1291599
2000-07-31,14.68,16.63,14.57,16.32,1744200
2000-08-01,16.52,16.52,15.13,15.29,602100
2000-08-02,15.52,17.46,15.47,16.85,1412901
2000-08-03,16.46,17.27,16.29,16.57,2071800
2000-08-04,16.52,18.02,16.52,17.77,4644999
2000-08-07,17.82,18.96,17.74,18.24,2674701
2000-08-08,18.21,18.3,17.74,17.8,2000401
2000-08-09,17.82,17.96,16.02,16.63,1526200
2000-08-10,16.56,16.79,16.32,16.32,1734300
2000-08-11,16.21,16.24,15.13,16.02,2485600
2000-08-14,15.93,17.13,15.88,16.88,1154300
2000-08-15,16.91,17.3,16.88,16.91,419600
2000-08-16,17.18,17.35,16.13,16.43,479500
2000-08-17,16.18,16.96,16.13,16.96,465100
2000-08-18,16.92,17.6,16.52,17.3,805799
2000-08-21,17.63,17.91,17.41,17.88,1095500
2000-08-22,17.95,18.24,17.82,18.1,1560400
2000-08-23,17.74,17.96,17.52,17.77,1563100
2000-08-24,17.82,17.85,17.63,17.82,789700
2000-08-25,17.85,17.85,17.3,17.46,669100
2000-08-28,0.0,18.49,17.6,17.68,698400
2000-08-29,17.35,18.24,17.24,17.91,524900
2000-08-30,17.93,18.55,17.66,18.49,304000
