Date,Open,High,Low,Close,Volume
2000-06-28,3.0,3.0,2.44,2.5,12800
2000-06-29,2.56,2.56,2.38,2.41,39000
2000-06-30,2.41,2.41,1.5,1.56,36600
2000-07-03,2.38,3.0,2.38,2.5,24400
2000-07-05,2.91,2.98,2.62,2.62,30400
2000-07-06,2.75,2.88,2.09,2.56,46000
2000-07-07,2.25,2.25,2.12,2.12,1200
2000-07-10,2.09,2.12,2.09,2.12,2600
2000-07-11,2.09,2.38,2.09,2.38,20800
2000-07-12,2.44,2.44,2.19,2.19,1000
2000-07-13,2.41,2.41,2.41,2.41,400
2000-07-14,2.47,2.47,2.39,2.39,7000
2000-07-17,2.56,2.56,2.39,2.56,4200
2000-07-18,2.59,2.59,2.59,2.59,400
2000-07-19,2.5,2.5,2.5,2.5,1200
2000-07-20,2.53,2.62,2.53,2.56,14000
2000-07-21,2.53,2.56,2.47,2.56,4600
2000-07-24,2.47,2.5,2.47,2.5,3000
2000-07-25,2.62,2.62,2.44,2.5,28600
2000-07-26,2.53,2.53,2.52,2.52,7000
2000-07-27,0.0,2.52,2.52,2.52,400
2000-07-28,2.39,2.52,2.31,2.5,31800
2000-07-31,2.39,2.47,2.34,2.47,26200
2000-08-01,2.47,2.5,2.47,2.5,8800
2000-08-02,2.5,2.75,2.31,2.75,22600
2000-08-03,0.0,2.64,2.64,2.64,2400
2000-08-04,0.0,2.88,2.7,2.84,15600
2000-08-07,2.88,2.97,2.88,2.97,16800
2000-08-08,2.84,2.98,2.84,2.88,41000
2000-08-09,2.94,3.12,2.88,3.12,31400
2000-08-10,3.19,3.5,3.16,3.38,66200
2000-08-11,3.41,3.69,3.38,3.44,27400
2000-08-14,3.69,4.12,3.66,3.97,59600
2000-08-15,4.22,4.31,3.91,4.31,138200
2000-08-16,4.38,4.41,3.97,4.03,74200
2000-08-17,4.02,4.03,3.56,3.97,38200
2000-08-18,3.81,3.97,3.81,3.88,49800
2000-08-21,3.94,3.94,3.81,3.81,28200
2000-08-22,3.81,3.91,3.78,3.78,4600
2000-08-23,3.8,3.81,3.12,3.38,69800
2000-08-24,3.25,3.34,3.06,3.16,22200
2000-08-25,3.19,3.19,2.88,2.92,57400
2000-08-28,0.0,3.38,2.94,3.0,10400
2000-08-29,3.38,3.44,3.16,3.41,6600
2000-08-30,3.5,3.5,3.25,3.44,6400
2000-08-31,3.38,3.44,3.25,3.28,6200
2000-09-01,3.27,3.47,3.0,3.0,28000
2000-09-05,3.25,3.38,3.0,3.0,18400
2000-09-06,3.22,3.28,3.09,3.09,15400
2000-09-07,3.22,3.22,3.19,3.19,16800
2000-09-08,3.28,3.28,3.0,3.0,18600
2000-09-11,3.03,3.25,2.88,2.88,27200
2000-09-12,3.0,3.22,3.0,3.0,24200
2000-09-13,3.12,3.12,3.0,3.01,12400
2000-09-14,2.88,2.88,2.62,2.81,46400
2000-09-15,2.88,2.88,2.53,2.75,29600
2000-09-18,2.69,2.69,2.62,2.62,25400
2000-09-19,2.62,2.94,2.62,2.75,10000
2000-09-20,2.94,2.94,2.69,2.88,14800
2000-09-21,2.94,2.94,2.94,2.94,21800
2000-09-22,2.69,2.94,2.69,2.94,6400
2000-09-25,2.94,3.0,2.94,3.0,2400
2000-09-26,3.0,3.0,3.0,3.0,400
2000-09-27,3.0,3.0,2.81,2.81,1400
2000-09-28,2.81,2.83,2.81,2.83,15800
2000-09-29,2.88,2.88,2.88,2.88,800
2000-10-02,,,,2.88,0
2000-10-03,2.83,2.83,2.83,2.83,400
2000-10-04,2.81,2.88,2.81,2.88,7800
2000-10-05,2.81,3.38,2.81,3.38,29200
2000-10-06,3.19,3.19,3.19,3.19,1400
2000-10-09,3.16,3.16,3.0,3.12,9000
2000-10-10,3.38,3.38,3.03,3.03,5000
2000-10-11,3.03,3.38,2.88,3.34,19200
2000-10-12,3.19,3.19,2.5,2.62,18200
2000-10-13,2.41,2.75,2.38,2.75,9400
2000-10-16,2.56,2.56,2.56,2.56,1000
2000-10-17,2.5,2.62,2.5,2.5,12200
2000-10-18,2.41,2.56,2.38,2.5,15800
2000-10-19,2.41,2.59,2.41,2.59,1000
2000-10-20,2.48,3.09,2.48,3.09,7000
2000-10-23,2.56,2.69,2.56,2.69,2000
2000-10-24,2.66,3.03,2.66,3.03,6400
2000-10-25,3.09,3.09,2.88,3.09,1600
2000-10-26,2.88,2.91,2.88,2.91,2000
2000-10-27,2.75,2.75,2.75,2.75,200
2000-10-30,2.75,2.88,2.75,2.88,1600
2000-10-31,2.77,2.78,2.77,2.78,1800
2000-11-01,3.0,3.0,2.94,2.97,4000
2000-11-02,2.78,2.88,2.78,2.88,2400
2000-11-03,2.88,3.12,2.88,2.94,11600
2000-11-06,3.01,3.12,2.97,2.97,19200
2000-11-07,3.12,3.12,2.97,2.97,4000
2000-11-08,2.97,2.97,2.97,2.97,800
2000-11-09,2.94,2.94,2.94,2.94,400
2000-11-10,2.91,2.91,2.91,2.91,800
2000-11-13,2.88,2.98,2.88,2.98,14800
2000-11-14,2.88,2.98,2.88,2.98,800
2000-11-15,,,,2.98,0
2000-11-16,2.89,2.89,2.88,2.88,5000
2000-11-17,2.88,2.88,2.5,2.66,14600
2000-11-20,2.53,2.62,2.53,2.62,3000
2000-11-21,2.28,2.53,2.28,2.53,1200
2000-11-22,2.36,2.62,2.36,2.44,3000
2000-11-24,2.44,2.44,2.25,2.25,10400
2000-11-27,2.25,2.47,2.16,2.44,19800
2000-11-28,2.53,2.88,2.53,2.88,2200
2000-11-29,2.98,2.98,2.62,2.69,2000
2000-11-30,,,,2.69,0
2000-12-01,2.62,2.69,2.62,2.69,2800
2000-12-04,2.69,2.69,2.69,2.69,600
2000-12-05,2.62,2.62,2.62,2.62,1600
2000-12-06,2.62,2.62,2.62,2.62,400
2000-12-07,2.62,2.69,2.62,2.69,1200
2000-12-08,2.84,2.84,2.84,2.84,200
2000-12-11,2.84,2.84,2.62,2.62,4400
2000-12-12,2.62,2.62,2.12,2.22,24600
2000-12-13,2.25,2.38,2.25,2.38,800
2000-12-14,2.5,2.5,2.31,2.31,6600
2000-12-15,,,,2.31,0
2000-12-18,2.38,2.38,2.22,2.22,5800
2000-12-19,2.25,2.31,2.25,2.31,5400
2000-12-20,2.5,2.5,2.25,2.31,2600
2000-12-21,2.28,2.28,2.25,2.25,17400
2000-12-22,2.25,2.31,2.25,2.31,2200
2000-12-26,2.25,2.25,2.12,2.12,24600
