Date,Open,High,Low,Close,Volume
2000-06-29,1.56,1.56,1.56,1.56,500
2000-06-30,1.62,1.62,1.56,1.56,4600
2000-07-03,0.0,1.59,1.59,1.59,100
2000-07-05,1.56,1.62,1.56,1.62,13300
2000-07-06,1.56,1.56,1.56,1.56,1500
2000-07-07,1.62,1.88,1.62,1.88,28000
2000-07-10,1.88,1.94,1.75,1.94,7900
2000-07-11,0.0,2.06,1.84,1.91,33900
2000-07-12,1.84,2.06,1.56,2.03,46300
2000-07-13,2.0,2.06,2.0,2.0,48300
2000-07-14,2.06,2.06,2.0,2.06,32500
2000-07-17,2.06,2.09,2.03,2.03,19800
2000-07-18,2.0,2.09,2.0,2.06,19500
2000-07-19,0.0,2.06,2.03,2.03,19000
2000-07-20,2.06,2.09,2.03,2.03,21200
2000-07-21,2.06,2.06,2.03,2.03,44300
2000-07-24,2.09,2.16,2.03,2.12,37200
2000-07-25,2.03,2.12,1.91,2.12,4600
2000-07-26,2.06,2.28,2.06,2.28,23100
2000-07-27,2.34,2.34,2.03,2.03,76600
2000-07-28,2.11,2.19,2.0,2.0,34800
2000-07-31,2.12,2.12,2.0,2.0,151900
2000-08-01,2.06,2.12,2.03,2.06,157600
2000-08-02,2.09,2.09,2.03,2.09,3500
2000-08-03,2.06,2.09,2.03,2.09,3800
2000-08-04,2.12,2.44,2.12,2.44,88100
2000-08-07,0.0,2.5,2.41,2.5,30200
2000-08-08,2.48,2.66,2.47,2.66,19100
2000-08-09,0.0,2.75,2.66,2.66,6800
2000-08-10,2.94,3.0,2.56,2.56,34800
2000-08-11,2.56,2.94,2.56,2.94,52200
2000-08-14,2.81,2.84,2.25,2.41,28700
2000-08-15,0.0,2.56,2.42,2.5,11000
2000-08-16,2.56,2.59,2.5,2.56,4700
2000-08-17,2.59,2.69,2.39,2.69,2300
2000-08-18,2.64,2.84,2.62,2.75,31100
2000-08-21,2.78,2.84,2.69,2.84,19500
2000-08-22,0.0,2.75,2.55,2.56,6200
2000-08-23,2.75,2.75,2.62,2.62,187000
2000-08-24,2.62,2.75,2.53,2.75,42900
2000-08-25,2.69,2.69,2.69,2.69,300
2000-08-28,0.0,2.75,2.47,2.62,302800
2000-08-29,2.61,2.72,2.61,2.72,165300
2000-08-30,2.72,2.72,2.72,2.72,500
2000-08-31,2.72,2.72,2.62,2.62,9100
2000-09-01,2.73,2.81,2.5,2.56,159200
2000-09-05,2.61,2.72,2.61,2.72,2200
2000-09-06,2.53,2.53,2.41,2.5,13500
2000-09-07,2.5,2.75,2.5,2.75,2700
2000-09-08,2.62,2.75,2.62,2.75,12100
2000-09-11,2.75,2.75,2.62,2.62,6700
2000-09-12,2.75,2.75,2.69,2.72,45300
2000-09-13,2.72,2.72,2.69,2.69,8500
2000-09-14,2.72,2.75,2.72,2.75,400
2000-09-15,2.75,2.94,2.75,2.94,55100
2000-09-18,2.86,2.94,2.86,2.88,15600
2000-09-19,2.88,2.88,2.88,2.88,200
2000-09-20,2.81,2.88,2.81,2.88,13800
2000-09-21,2.88,3.0,2.88,3.0,25000
2000-09-22,2.88,3.0,2.88,2.91,15100
2000-09-25,3.0,3.0,2.97,2.97,11900
2000-09-26,2.97,3.0,2.97,2.97,2400
2000-09-27,2.91,3.0,2.91,3.0,2800
2000-09-28,3.0,3.0,3.0,3.0,300
2000-09-29,2.91,2.94,2.88,2.94,5200
2000-10-02,3.0,3.0,2.94,2.94,5100
2000-10-03,2.94,2.94,2.94,2.94,3300
2000-10-04,2.94,3.0,2.94,2.94,5300
2000-10-05,2.94,2.94,2.91,2.94,15300
2000-10-06,2.84,2.86,2.84,2.84,3500
2000-10-09,,,,2.84,0
2000-10-10,2.81,2.81,2.78,2.78,11600
2000-10-11,2.78,2.97,2.78,2.97,1400
2000-10-12,2.84,2.91,2.38,2.81,55300
2000-10-13,2.88,2.88,2.88,2.88,500
2000-10-16,2.81,2.81,2.78,2.78,300
2000-10-17,2.81,2.81,2.81,2.81,8600
2000-10-18,2.84,2.84,2.84,2.84,1600
2000-10-19,2.81,2.81,2.81,2.81,300
2000-10-20,2.83,2.84,2.81,2.81,4900
2000-10-23,2.83,2.83,2.83,2.83,100
2000-10-24,2.88,2.88,2.81,2.84,7200
2000-10-25,2.86,2.88,2.81,2.81,4200
2000-10-26,2.94,2.97,2.81,2.81,12700
2000-10-27,2.81,2.94,2.81,2.94,1700
2000-10-30,2.91,3.0,2.81,2.97,30600
2000-10-31,2.97,2.97,2.81,2.81,63700
2000-11-01,2.94,2.94,2.88,2.88,3800
2000-11-02,2.88,2.97,2.88,2.97,1200
2000-11-03,3.0,3.0,2.88,2.88,23400
2000-11-06,2.98,3.38,2.98,3.38,59000
2000-11-07,3.27,3.81,3.27,3.59,24800
2000-11-08,3.64,3.69,3.44,3.44,11300
2000-11-09,3.44,3.44,3.38,3.38,2900
2000-11-10,3.38,3.38,3.38,3.38,200
2000-11-13,3.61,3.61,3.25,3.25,9200
2000-11-14,3.36,3.36,3.12,3.25,9600
2000-11-15,3.23,3.25,3.16,3.16,600
2000-11-16,3.23,3.25,3.12,3.12,6200
2000-11-17,3.12,3.12,3.0,3.12,14900
2000-11-20,3.12,3.19,3.12,3.12,8600
2000-11-21,3.12,3.19,3.12,3.12,3700
2000-11-22,3.12,3.12,3.12,3.12,100
2000-11-24,3.03,3.25,3.03,3.25,5400
2000-11-27,3.09,3.09,3.06,3.06,2200
2000-11-28,3.23,3.25,3.0,3.0,11400
2000-11-29,3.38,3.41,3.12,3.19,3500
2000-11-30,3.19,3.25,3.06,3.12,18100
2000-12-01,3.23,3.25,2.88,3.25,270900
2000-12-04,3.36,3.38,3.12,3.38,800
2000-12-05,3.25,3.25,3.12,3.12,11800
2000-12-06,3.2,3.2,3.0,3.0,24900
2000-12-07,2.88,3.22,2.88,3.16,10200
2000-12-08,3.16,3.16,3.0,3.0,4000
2000-12-11,2.88,3.0,2.84,3.0,7800
2000-12-12,2.91,2.91,2.91,2.91,1000
2000-12-13,2.97,2.97,2.91,2.91,1400
2000-12-14,3.16,3.38,2.84,3.25,15800
2000-12-15,3.25,3.25,3.25,3.25,2800
2000-12-18,3.38,3.38,3.12,3.12,5900
2000-12-19,3.12,3.12,3.0,3.0,2400
2000-12-20,2.94,2.95,2.75,2.81,2400
2000-12-21,3.0,3.31,2.94,3.03,70200
2000-12-22,3.11,3.12,3.11,3.12,1400
2000-12-26,3.12,3.12,3.11,3.12,3100
2000-12-27,3.09,3.09,3.06,3.09,800
2000-12-28,3.09,3.12,2.94,2.94,22100
2000-12-29,2.94,3.03,2.94,3.03,7700
2001-01-02,3.0,3.0,2.94,2.94,3500
2001-01-03,2.94,3.06,2.88,3.06,14400
2001-01-04,,,,3.06,0
2001-01-05,,,,3.06,0
2001-01-08,,,,3.06,0
2001-01-09,2.98,3.0,2.81,2.94,17000
2001-01-10,2.88,2.97,2.88,2.88,2200
2001-01-11,2.88,2.94,2.88,2.94,2900
2001-01-12,2.88,2.88,2.88,2.88,7300
2001-01-16,2.88,3.0,2.88,3.0,7100
2001-01-17,2.88,2.88,2.88,2.88,1700
2001-01-18,2.88,2.88,2.81,2.88,3500
2001-01-19,2.81,2.81,2.81,2.81,300
2001-01-22,2.98,2.98,2.81,2.81,200
2001-01-23,3.0,3.0,3.0,3.0,1900
2001-01-24,3.08,3.08,2.94,2.94,12100
2001-01-25,2.95,3.09,2.94,2.94,5100
2001-01-26,2.94,2.94,2.88,2.88,15000
2001-01-29,2.94,3.0,2.94,3.0,4100
2001-01-30,2.94,3.0,2.94,3.0,4200
2001-01-31,3.06,3.06,3.0,3.0,2100
2001-02-01,,,,3.0,0
2001-02-02,3.0,3.06,3.0,3.06,1100
2001-02-05,3.0,3.06,2.88,3.06,4100
2001-02-06,2.94,2.94,2.88,2.88,7000
2001-02-07,2.88,2.88,2.88,2.88,300
2001-02-08,3.0,3.0,3.0,3.0,1500
2001-02-09,2.89,2.89,2.75,2.75,4900
2001-02-12,2.75,2.75,2.75,2.75,12200
2001-02-13,2.8,2.8,2.56,2.56,4700
2001-02-14,2.58,2.75,2.58,2.75,1300
2001-02-15,,,,2.75,0
2001-02-16,2.75,2.75,2.75,2.75,1000
2001-02-20,2.75,3.0,2.75,3.0,55100
2001-02-21,,,,3.0,0
2001-02-22,2.88,2.94,2.88,2.88,3100
2001-02-23,2.91,3.0,2.66,2.75,100500
2001-02-26,2.7,2.81,2.7,2.81,1200
2001-02-27,2.7,2.72,2.62,2.62,3600
2001-02-28,,,,2.62,0
2001-03-01,2.62,2.69,2.56,2.56,3900
2001-03-02,2.62,2.62,2.56,2.56,2100
2001-03-05,2.62,2.69,2.62,2.69,800
2001-03-06,2.69,2.69,2.62,2.62,400
2001-03-07,2.62,2.81,2.56,2.75,58200
2001-03-08,2.69,2.69,2.69,2.69,4700
2001-03-09,2.56,2.56,2.53,2.56,3600
2001-03-12,2.62,2.62,2.5,2.5,3100
2001-03-13,2.44,2.62,2.44,2.62,2000
2001-03-14,2.62,2.94,2.53,2.88,94800
2001-03-15,2.88,2.88,2.81,2.81,19000
2001-03-16,2.88,2.88,2.75,2.75,14100
2001-03-19,2.73,2.75,2.66,2.66,1400
2001-03-20,2.69,2.69,2.69,2.69,400
2001-03-21,2.62,2.62,2.38,2.38,7400
2001-03-22,2.38,2.38,2.38,2.38,2300
2001-03-23,2.38,2.38,2.25,2.25,29000
2001-03-26,2.28,2.28,2.28,2.28,100
2001-03-27,2.47,2.5,2.38,2.5,600
2001-03-28,2.56,2.56,2.56,2.56,300
2001-03-29,2.38,2.38,2.31,2.31,1500
2001-03-30,2.33,2.69,2.33,2.69,3900
2001-04-02,,,,2.69,0
2001-04-03,2.55,2.55,2.28,2.44,5100
2001-04-04,2.31,2.31,1.94,2.12,28800
2001-04-05,,,,2.12,0
2001-04-06,2.25,2.38,2.25,2.38,1300
2001-04-09,,,,2.38,0
2001-04-10,2.3,2.3,2.27,2.27,3400
2001-04-11,2.25,2.5,2.25,2.5,9700
2001-04-12,2.5,2.5,2.5,2.5,500
2001-04-16,2.5,2.5,2.5,2.5,600
2001-04-17,2.5,2.5,2.5,2.5,2900
2001-04-18,2.52,2.54,2.52,2.54,1400
2001-04-19,2.54,2.6,2.54,2.6,300
2001-04-20,2.66,2.7,2.65,2.65,1200
2001-04-23,,,,2.65,0
2001-04-24,,,,2.65,0
2001-04-25,2.64,2.7,2.64,2.65,4300
2001-04-26,2.65,2.65,2.65,2.65,800
2001-04-27,2.68,2.69,2.65,2.69,14200
2001-04-30,2.6,2.65,2.35,2.6,11600
2001-05-01,2.45,2.57,2.3,2.55,5500
2001-05-02,2.55,2.7,2.0,2.25,37800
2001-05-03,2.34,2.34,2.25,2.33,4000
2001-05-04,2.28,2.35,2.25,2.25,3500
2001-05-07,2.43,2.44,2.3,2.44,4600
2001-05-08,2.27,2.4,2.15,2.4,3500
2001-05-09,2.4,2.4,2.4,2.4,400
2001-05-10,2.29,2.49,2.29,2.49,3000
2001-05-11,2.41,2.49,2.41,2.49,300
2001-05-14,2.4,2.4,2.4,2.4,2200
2001-05-15,2.6,3.12,2.6,2.8,17100
2001-05-16,2.79,2.89,2.59,2.75,8200
2001-05-17,2.89,3.03,2.75,3.03,14700
2001-05-18,2.8,3.19,2.8,3.1,18100
2001-05-21,3.1,3.1,2.93,2.93,10700
2001-05-22,3.18,3.19,2.94,3.0,10100
2001-05-23,3.0,3.19,3.0,3.15,32400
2001-05-24,3.19,3.62,3.19,3.55,15000
2001-05-25,3.59,4.2,3.57,3.95,41800
2001-05-29,4.0,4.0,3.58,3.58,12900
2001-05-30,3.59,3.88,3.59,3.88,1800
2001-05-31,3.9,4.18,3.9,4.1,28200
2001-06-01,4.2,4.2,4.05,4.05,20300
2001-06-04,4.13,4.16,4.02,4.1,20000
2001-06-05,4.11,4.22,4.03,4.03,38800
2001-06-06,4.15,4.15,3.79,3.87,34900
2001-06-07,3.97,3.97,3.87,3.97,23100
2001-06-08,3.9,3.9,3.64,3.65,16300
2001-06-11,3.65,3.97,3.65,3.97,3700
2001-06-12,3.85,4.07,3.85,4.07,9500
2001-06-13,4.0,4.2,4.0,4.1,35200
2001-06-14,4.17,4.17,4.05,4.08,23700
2001-06-15,4.08,4.25,4.05,4.22,16900
