Date,Open,High,Low,Close,Volume
2013-11-19,11.9,12.1,10.72,11.05,4125457
2013-11-20,10.34,11.0,10.34,10.8,2710847
2013-11-21,10.69,11.27,10.55,10.61,1820207
2013-11-22,10.63,10.85,10.5,10.75,829464
2013-11-25,11.0,11.25,10.81,11.1,1878403
2013-11-26,11.24,12.09,11.11,11.87,1588625
2013-11-27,11.97,12.39,11.8,11.81,1024631
2013-11-29,12.16,12.42,11.8,12.16,426873
2013-12-02,12.29,12.4,11.22,11.5,619491
2013-12-03,11.48,11.74,11.24,11.31,351251
2013-12-04,11.15,11.57,10.88,11.03,342473
2013-12-05,10.96,11.4,10.96,11.27,297632
2013-12-06,11.29,11.6,11.0,11.27,236116
2013-12-09,11.01,11.41,10.9,11.35,421814
2013-12-10,11.75,11.75,11.13,11.35,197940
2013-12-11,11.42,11.7,11.22,11.57,185206
2013-12-12,11.6,11.9,11.37,11.78,217373
2013-12-13,11.9,11.9,11.61,11.78,196114
2013-12-16,12.0,12.19,11.84,12.04,595227
2013-12-17,11.81,12.13,11.71,11.96,177571
2013-12-18,12.04,12.07,11.73,11.94,173648
2013-12-19,12.02,12.08,11.9,11.96,265304
2013-12-20,12.02,12.08,11.82,11.92,301858
2013-12-23,12.04,12.24,11.96,12.14,146529
2013-12-24,12.18,12.3,11.98,12.12,90550
2013-12-26,12.06,12.25,12.01,12.22,172208
2013-12-27,12.15,12.23,11.89,11.99,155871
2013-12-30,11.88,12.1,11.83,11.99,67600
2013-12-31,12.05,12.1,11.77,12.06,139841
2014-01-02,12.08,12.14,11.8,11.96,264218
2014-01-03,12.04,12.2,11.65,11.8,182866
2014-01-06,11.97,12.16,11.88,12.02,375835
2014-01-07,12.15,12.37,12.09,12.36,735685
2014-01-08,12.5,13.13,12.4,13.07,1747620
2014-01-09,13.56,13.8,13.42,13.55,1329645
2014-01-10,13.86,13.93,13.26,13.29,729829
2014-01-13,13.2,13.42,12.56,12.64,984754
2014-01-14,12.88,13.53,12.67,12.78,1027536
2014-01-15,12.88,13.04,12.64,12.99,574584
2014-01-16,13.08,13.47,13.0,13.37,677084
2014-01-17,13.46,13.58,13.25,13.54,399697
2014-01-21,13.5,13.73,13.35,13.7,398160
2014-01-22,13.54,13.79,13.43,13.74,473451
2014-01-23,13.67,13.75,13.45,13.65,294074
2014-01-24,13.61,13.7,13.05,13.49,317777
2014-01-27,13.55,13.7,13.22,13.54,176450
2014-01-28,13.57,13.71,13.36,13.49,161310
2014-01-29,13.37,13.56,13.12,13.26,202318
2014-01-30,13.35,13.47,13.21,13.25,140490
2014-01-31,13.17,13.55,12.92,13.23,167896
2014-02-03,13.25,13.46,12.87,12.87,150774
2014-02-04,12.89,13.04,12.27,12.45,252603
2014-02-05,12.4,12.4,11.79,12.05,319239
2014-02-06,12.08,12.44,12.08,12.27,178310
2014-02-07,12.31,12.93,11.95,12.0,159587
