Date,Open,High,Low,Close,Volume
2000-06-29,19.01,19.3,13.9,15.61,65600
2000-06-30,15.89,17.59,14.76,17.59,41600
2000-07-03,17.31,17.59,17.02,17.59,2100
2000-07-05,17.59,19.3,17.31,18.44,5600
2000-07-06,18.16,18.44,18.16,18.16,3900
2000-07-07,18.16,19.3,16.17,16.46,15700
2000-07-10,16.17,17.02,15.89,16.17,5700
2000-07-11,16.46,16.74,15.89,16.17,8000
2000-07-12,16.17,16.17,15.61,15.89,11700
2000-07-13,16.46,16.46,15.89,16.17,3900
2000-07-14,16.17,16.74,15.89,16.17,12200
2000-07-17,16.17,16.46,15.89,15.89,7300
2000-07-18,16.46,16.46,15.89,16.17,10500
2000-07-19,15.89,16.17,15.61,15.89,4400
2000-07-20,15.89,15.89,15.32,15.89,4600
2000-07-21,15.89,15.89,15.32,15.32,4200
2000-07-24,15.32,15.61,14.47,14.76,9400
2000-07-25,14.47,14.47,14.19,14.47,3200
2000-07-26,14.19,14.47,13.62,14.47,4200
2000-07-27,14.47,14.47,13.9,14.19,10200
2000-07-28,14.19,14.19,13.62,13.9,3400
2000-07-31,14.19,15.04,14.19,15.04,11900
2000-08-01,15.04,15.32,14.76,14.76,15100
2000-08-02,14.47,14.47,5.96,6.81,326800
2000-08-03,7.38,9.65,7.09,8.51,87500
2000-08-04,9.08,9.08,8.51,9.08,55300
2000-08-07,9.08,9.65,8.8,8.8,22200
2000-08-08,9.08,9.36,8.51,8.8,15500
2000-08-09,,,,8.8,0
2000-08-10,,,,8.8,0
2000-08-11,,,,8.8,0
2000-08-14,,,,8.8,0
2000-08-15,,,,8.8,0
2000-08-16,,,,8.8,0
2000-08-17,,,,8.8,0
2000-08-18,,,,8.8,0
2000-08-21,,,,8.8,0
2000-08-22,,,,8.8,0
2000-08-23,,,,8.8,0
2000-08-24,,,,8.8,0
2000-08-25,3.4,3.97,1.84,3.12,164000
2000-08-28,0.0,3.97,3.12,3.69,108600
2000-08-29,3.69,3.69,3.12,3.4,42600
2000-08-30,3.4,3.4,3.12,3.12,19300
2000-08-31,3.12,3.4,3.12,3.12,33200
2000-09-01,2.84,3.4,2.84,3.12,16000
2000-09-05,3.12,3.4,2.84,3.12,27800
2000-09-06,3.69,4.26,3.12,3.4,76900
2000-09-07,3.97,4.26,3.12,4.26,115700
2000-09-08,3.69,6.81,3.69,5.39,85900
2000-09-11,7.66,7.94,5.68,5.96,63500
2000-09-12,7.1,7.38,6.24,6.53,35300
2000-09-13,6.24,6.81,5.96,5.96,25600
2000-09-14,5.68,6.53,5.68,6.53,20800
2000-09-15,6.53,6.53,5.68,6.24,17800
2000-09-18,6.53,6.81,5.96,6.24,8300
2000-09-19,5.68,6.24,4.83,4.83,11900
2000-09-20,5.11,5.39,4.54,4.54,9100
2000-09-21,4.54,4.54,4.26,4.26,36500
2000-09-22,4.54,4.54,4.26,4.26,14200
2000-09-25,4.54,4.54,3.97,3.97,19400
2000-09-26,3.97,4.54,3.97,4.26,24600
2000-09-27,3.97,4.26,3.4,3.4,21300
2000-09-28,3.97,3.97,3.4,3.97,27400
2000-09-29,4.26,4.54,3.12,3.12,22700
2000-10-02,3.69,3.97,3.12,3.4,27000
2000-10-03,3.4,3.69,3.4,3.4,6900
2000-10-04,3.69,3.69,3.4,3.69,1200
2000-10-05,3.69,4.26,3.4,3.97,10200
2000-10-06,3.97,3.97,3.69,3.69,3800
2000-10-09,4.54,4.54,3.69,3.69,2200
2000-10-10,3.97,3.97,3.12,3.12,6700
2000-10-11,3.69,3.97,3.12,3.12,26300
2000-10-12,3.4,3.4,2.56,2.84,27200
2000-10-13,3.4,3.4,2.56,2.84,47600
2000-10-16,3.12,3.12,2.56,2.84,12800
2000-10-17,2.84,2.84,2.27,2.84,17100
2000-10-18,2.84,2.84,1.99,2.27,72500
2000-10-19,2.13,2.84,1.99,2.27,19000
2000-10-20,2.56,3.4,2.56,2.56,18000
2000-10-23,2.84,2.84,2.27,2.56,5400
2000-10-24,2.56,2.84,1.99,2.27,30700
2000-10-25,2.84,2.84,2.13,2.13,10000
2000-10-26,2.27,2.56,2.13,2.13,24400
2000-10-27,2.27,2.56,2.27,2.56,4800
2000-10-30,2.27,2.56,2.13,2.13,16600
2000-10-31,2.56,3.4,2.27,2.56,56400
2000-11-01,2.84,2.84,2.27,2.56,16200
2000-11-02,2.56,2.56,2.13,2.13,24800
2000-11-03,2.27,2.27,1.99,2.13,34900
2000-11-06,2.27,2.27,1.84,1.99,58700
2000-11-07,1.99,1.99,1.84,1.99,24500
2000-11-08,1.99,1.99,1.7,1.84,30700
2000-11-09,1.99,1.99,1.42,1.56,27800
2000-11-10,1.84,1.84,1.56,1.7,16900
2000-11-13,1.84,1.99,1.56,1.7,37500
2000-11-14,1.7,1.99,1.7,1.84,19600
2000-11-15,1.99,1.99,1.7,1.84,14300
2000-11-16,1.7,1.7,1.42,1.7,18400
2000-11-17,1.7,1.7,1.56,1.56,16700
2000-11-20,1.7,1.7,1.42,1.56,18300
2000-11-21,1.7,1.7,1.42,1.56,7700
2000-11-22,1.42,1.56,1.42,1.42,7500
2000-11-24,1.56,1.7,1.28,1.42,16400
2000-11-27,1.56,1.7,1.42,1.7,24400
2000-11-28,1.84,1.99,1.7,1.84,27200
2000-11-29,1.84,1.99,1.84,1.84,6500
2000-11-30,1.84,1.99,1.7,1.99,8700
2000-12-01,1.84,1.99,1.56,1.7,21300
2000-12-04,1.84,1.99,1.42,1.56,28100
2000-12-05,1.99,1.99,1.42,1.56,9800
2000-12-06,1.56,1.7,1.42,1.7,8200
2000-12-07,1.56,1.99,1.56,1.7,15900
2000-12-08,1.56,1.99,1.56,1.99,16200
2000-12-11,1.99,2.27,1.84,1.84,12300
2000-12-12,1.99,2.13,1.84,1.99,8900
2000-12-13,2.13,2.27,1.99,2.13,18100
2000-12-14,2.27,2.84,1.99,2.27,57900
2000-12-15,2.27,2.27,1.56,1.84,48300
2000-12-18,1.7,1.84,1.56,1.84,12300
2000-12-19,1.7,1.84,1.56,1.56,22200
2000-12-20,1.56,1.7,1.56,1.56,8200
2000-12-21,1.7,1.7,1.42,1.42,21300
2000-12-22,1.56,1.84,1.42,1.7,19600
2000-12-26,1.84,1.84,1.42,1.56,25100
2000-12-27,1.56,1.7,1.28,1.42,50100
2000-12-28,1.42,1.56,1.28,1.42,39600
2000-12-29,1.28,1.56,1.28,1.56,28000
2001-01-02,1.42,1.56,1.42,1.42,7800
2001-01-03,1.42,1.56,1.42,1.56,2600
2001-01-04,1.56,1.56,1.42,1.56,16400
2001-01-05,1.56,1.7,1.56,1.7,7600
2001-01-08,1.56,2.27,1.56,2.27,29200
2001-01-09,1.99,1.99,1.56,1.99,24000
2001-01-10,1.56,1.99,1.56,1.56,23700
2001-01-11,1.7,1.84,1.56,1.7,7300
2001-01-12,,,,1.7,0
2001-01-16,,,,1.7,0
2001-01-17,,,,1.7,0
2001-01-18,,,,1.7,0
2001-01-19,,,,1.7,0
2001-01-22,,,,1.7,0
2001-01-23,,,,1.7,0
2001-01-24,1.99,1.99,1.5,1.82,5000
2001-01-25,1.82,2.27,1.42,1.42,6800
2001-01-26,1.42,1.42,1.42,1.42,100
2001-01-29,1.5,2.5,1.5,2.5,17000
2001-01-30,2.04,2.72,2.04,2.41,15200
2001-01-31,2.5,3.97,2.5,3.4,17700
2001-02-01,3.4,3.81,2.95,3.18,16100
2001-02-02,2.72,3.36,2.72,3.36,2500
2001-02-05,3.36,3.36,2.72,3.36,200
2001-02-06,3.36,3.36,2.72,2.95,3900
2001-02-07,3.36,3.4,3.09,3.31,3500
2001-02-08,3.18,3.36,3.18,3.18,7000
2001-02-09,3.18,3.26,2.84,3.04,2800
2001-02-12,3.18,3.27,2.84,3.26,7000
2001-02-13,3.29,3.29,2.98,3.29,6500
2001-02-14,3.29,3.29,2.98,2.98,500
2001-02-15,,,,2.98,0
2001-02-16,3.29,3.29,2.98,2.98,2600
2001-02-20,3.29,3.29,2.98,3.12,800
2001-02-21,3.12,3.12,2.98,3.12,300
2001-02-22,2.98,2.98,2.27,2.55,13300
2001-02-23,1.99,2.55,1.99,2.55,900
2001-02-26,2.55,2.55,2.55,2.55,200
2001-02-27,1.99,2.55,1.99,1.99,200
2001-02-28,2.55,2.55,1.7,1.7,1800
2001-03-01,1.7,1.7,1.7,1.7,100
2001-03-02,1.7,2.27,1.7,1.7,3900
2001-03-05,1.7,1.7,1.7,1.7,200
2001-03-06,2.64,2.7,1.91,1.99,9400
2001-03-07,1.99,2.32,1.82,2.32,3200
2001-03-08,2.32,2.32,2.32,2.32,1700
2001-03-09,2.32,2.36,2.32,2.36,2000
2001-03-12,2.32,2.36,2.32,2.32,1900
2001-03-13,2.32,2.32,2.27,2.27,1400
2001-03-14,2.84,2.84,2.72,2.72,600
2001-03-15,2.84,2.84,2.27,2.27,2200
2001-03-16,2.55,2.55,2.27,2.27,2200
2001-03-19,2.27,2.27,2.27,2.27,1300
2001-03-20,2.27,2.27,2.27,2.27,100
2001-03-21,2.27,2.27,1.99,1.99,3200
2001-03-22,2.27,2.27,1.99,2.27,1800
2001-03-23,1.99,1.99,1.99,1.99,100
2001-03-26,2.27,2.27,1.99,1.99,11200
2001-03-27,,,,1.99,0
2001-03-28,2.41,2.41,1.99,2.27,900
2001-03-29,2.41,2.41,1.99,1.99,5400
2001-03-30,1.99,1.99,1.99,1.99,100
2001-04-02,1.99,1.99,1.99,1.99,400
2001-04-03,2.27,2.27,1.99,1.99,1200
2001-04-04,1.99,1.99,1.99,1.99,2100
2001-04-05,1.99,2.27,1.99,2.27,1300
2001-04-06,,,,2.27,0
2001-04-09,,,,1.95,0
2001-04-10,1.95,1.99,1.95,1.95,1200
2001-04-11,1.95,1.95,1.95,1.95,3700
2001-04-12,1.95,2.04,1.91,1.91,11900
2001-04-16,1.91,1.91,1.91,1.91,200
2001-04-17,1.91,2.18,1.91,2.18,400
2001-04-18,1.91,2.18,1.91,2.18,700
2001-04-19,2.18,2.18,1.91,2.04,4500
2001-04-20,2.04,2.04,1.91,1.91,900
2001-04-23,2.04,2.04,1.91,1.91,2400
2001-04-24,2.04,2.04,1.91,1.95,800
2001-04-25,1.91,1.95,1.91,1.91,1000
2001-04-26,1.95,1.95,1.77,1.77,17400
2001-04-27,1.86,1.86,1.72,1.72,2400
2001-04-30,1.82,2.09,1.77,1.82,17800
2001-05-01,1.86,1.86,1.82,1.82,8200
2001-05-02,1.7,1.82,1.63,1.63,2200
2001-05-03,1.86,1.86,1.86,1.86,400
2001-05-04,1.63,1.63,1.63,1.63,100
2001-05-07,1.63,2.09,1.63,2.09,4200
2001-05-08,2.18,2.18,1.95,1.95,1900
2001-05-09,1.95,1.95,1.95,1.95,2200
2001-05-10,2.04,2.04,1.72,1.91,200
2001-05-11,1.86,1.86,1.86,1.86,300
2001-05-14,1.72,1.82,1.72,1.72,1000
2001-05-15,1.72,1.86,1.36,1.5,26400
2001-05-16,1.5,1.77,1.5,1.77,700
2001-05-17,1.77,1.77,1.54,1.54,1200
2001-05-18,1.72,1.72,1.72,1.72,200
2001-05-21,1.72,1.72,1.54,1.54,400
2001-05-22,1.72,1.77,1.72,1.77,2600
2001-05-23,1.54,1.77,1.54,1.54,1400
2001-05-24,1.77,1.82,1.5,1.77,8700
2001-05-25,1.82,1.82,1.77,1.82,3800
2001-05-29,,,,1.82,0
2001-05-30,1.82,1.82,1.72,1.72,600
2001-05-31,1.82,2.27,1.82,1.82,4200
2001-06-01,2.18,2.32,1.91,1.91,1300
2001-06-04,1.91,1.91,1.91,1.91,100
2001-06-05,1.91,2.63,1.91,2.63,24300
2001-06-06,2.54,2.63,1.95,2.04,6900
2001-06-07,2.45,2.5,2.45,2.5,1500
2001-06-08,2.5,2.63,2.27,2.41,8100
2001-06-11,2.41,2.72,2.41,2.72,8600
2001-06-12,2.72,2.82,2.63,2.63,4700
2001-06-13,2.63,3.04,2.63,3.04,8700
2001-06-14,3.04,3.04,2.61,2.72,7800
2001-06-15,2.63,3.09,2.63,3.0,7400
2001-06-18,3.13,3.13,2.95,3.04,2100
2001-06-19,2.95,2.95,2.5,2.54,6400
2001-06-20,2.54,2.54,2.54,2.54,400
2001-06-21,2.54,2.72,2.54,2.54,800
2001-06-22,2.54,2.54,2.54,2.54,800
2001-06-25,,,,2.54,0
2001-06-26,2.54,2.63,2.54,2.63,1100
2001-06-27,2.72,2.72,2.54,2.72,1300
2001-06-28,2.72,2.72,2.54,2.72,1400
2001-06-29,2.77,2.77,2.5,2.59,4900
2001-07-02,2.59,2.59,2.59,2.59,700
2001-07-03,2.59,2.72,2.5,2.5,3900
2001-07-05,2.5,2.86,2.36,2.41,3500
2001-07-06,2.36,2.5,2.18,2.18,6500
2001-07-09,2.18,2.5,2.18,2.18,1500
2001-07-10,2.27,2.36,2.18,2.18,22500
2001-07-11,2.18,2.27,2.18,2.18,500
