Date,Open,High,Low,Close,Volume
2000-06-29,25.24,25.35,23.68,24.6,131800
2000-06-30,24.85,26.51,24.51,25.93,221000
2000-07-03,26.01,26.18,24.85,26.1,249900
2000-07-05,26.18,26.51,25.01,25.51,430100
2000-07-06,25.51,25.51,24.64,25.35,217200
2000-07-07,25.01,25.85,25.01,25.3,56200
2000-07-10,25.28,25.3,23.68,23.89,172300
2000-07-11,23.85,23.93,23.26,23.76,96700
2000-07-12,24.14,24.22,23.18,23.26,394500
2000-07-13,23.55,24.6,23.55,24.47,242300
2000-07-14,24.39,24.6,24.01,24.6,73000
2000-07-17,24.6,24.76,24.18,24.72,112700
2000-07-18,24.68,24.76,23.76,24.01,109000
2000-07-19,24.1,24.1,23.43,23.85,120100
2000-07-20,23.85,24.3,23.64,24.18,80100
2000-07-21,23.72,24.05,22.84,22.89,136700
2000-07-24,22.84,23.43,22.05,22.05,565700
2000-07-25,22.34,22.89,22.14,22.8,323200
2000-07-26,22.76,22.76,22.07,22.55,510300
2000-07-27,22.34,22.89,22.34,22.59,113500
2000-07-28,22.34,22.34,20.34,20.51,1293400
2000-07-31,20.84,22.76,20.76,22.51,299000
2000-08-01,22.2,22.26,21.68,21.72,107500
2000-08-02,21.64,25.01,21.18,21.68,449300
2000-08-03,21.34,22.72,21.18,22.55,339300
2000-08-04,22.68,22.76,21.89,22.05,269400
2000-08-07,22.26,22.34,21.51,21.59,161300
2000-08-08,22.76,22.84,20.84,21.18,709000
2000-08-09,21.3,22.51,21.09,21.72,422600
2000-08-10,21.89,22.18,21.76,22.01,166700
2000-08-11,21.8,22.14,21.51,21.84,111200
2000-08-14,21.93,22.09,21.43,21.97,127300
2000-08-15,22.03,24.68,21.89,23.34,207800
2000-08-16,23.39,24.6,23.39,23.93,167300
2000-08-17,24.39,25.85,24.26,25.47,789200
2000-08-18,25.35,26.1,24.94,25.35,354600
2000-08-21,25.26,25.43,24.64,24.85,109900
2000-08-22,24.91,25.35,24.8,24.89,80800
2000-08-23,24.53,24.76,24.3,24.75,154000
2000-08-24,24.6,25.01,24.55,24.93,133700
2000-08-25,24.72,25.43,24.72,25.05,100900
2000-08-28,0.0,25.39,24.51,24.6,77400
2000-08-29,24.76,24.79,24.1,24.3,171100
2000-08-30,24.55,24.68,23.97,24.68,104800
2000-08-31,24.57,24.64,24.1,24.47,92800
2000-09-01,24.49,25.22,24.47,24.93,96700
2000-09-05,24.76,24.89,23.6,23.72,120100
2000-09-06,23.68,24.68,23.64,24.1,125900
2000-09-07,24.35,24.35,23.76,24.01,46600
2000-09-08,24.1,24.14,23.51,23.72,90000
2000-09-11,23.51,24.39,23.34,23.89,71100
2000-09-12,23.93,24.51,23.85,23.93,168700
2000-09-13,23.89,25.3,23.85,24.93,150400
2000-09-14,25.14,25.6,24.72,25.03,142100
2000-09-15,24.93,24.97,23.55,23.88,127400
2000-09-18,23.89,24.35,23.55,24.22,143300
2000-09-19,24.55,24.8,24.05,24.1,211700
2000-09-20,24.01,24.01,22.51,23.05,450700
2000-09-21,23.09,24.1,22.97,23.34,557300
2000-09-22,23.18,24.18,22.93,24.1,326500
2000-09-25,24.35,25.3,24.35,24.76,222900
2000-09-26,25.1,25.85,24.85,25.1,194000
2000-09-27,25.24,25.43,25.01,25.14,152500
2000-09-28,25.14,26.26,25.14,26.1,254400
2000-09-29,26.26,27.35,26.1,27.14,418600
2000-10-02,27.49,28.68,27.18,28.68,791600
2000-10-03,28.93,29.6,27.51,28.01,646800
2000-10-04,27.68,29.06,27.51,27.6,331000
2000-10-05,28.18,29.51,27.85,29.31,209700
2000-10-06,29.1,29.76,27.85,28.39,415600
2000-10-09,28.31,28.47,27.01,27.43,117100
2000-10-10,27.43,28.51,27.35,28.18,93700
2000-10-11,27.6,28.35,27.39,27.39,220100
2000-10-12,27.39,27.39,26.18,26.18,242700
2000-10-13,26.47,27.35,26.22,26.72,378700
2000-10-16,26.68,26.68,25.43,25.51,134900
2000-10-17,25.51,25.8,24.22,25.05,166600
2000-10-18,24.18,25.76,24.1,24.97,225600
2000-10-19,25.43,26.93,25.01,26.93,452500
2000-10-20,26.76,28.56,26.68,27.93,416600
2000-10-23,27.97,28.64,27.68,28.01,291900
2000-10-24,28.1,28.18,26.85,27.76,251700
2000-10-25,27.43,28.1,26.89,27.06,101300
2000-10-26,27.1,27.43,26.26,26.72,124100
2000-10-27,26.93,27.68,26.85,27.64,73300
2000-10-30,27.43,28.01,26.85,27.22,88800
2000-10-31,27.22,27.35,26.56,26.76,189700
2000-11-01,26.97,26.97,26.43,26.93,125800
2000-11-02,27.01,27.01,26.1,26.26,167900
2000-11-03,26.18,26.35,25.85,26.1,60100
2000-11-06,26.06,26.18,25.26,25.35,137000
2000-11-07,25.28,26.18,24.26,25.93,297600
2000-11-08,26.38,26.39,25.64,25.72,72600
