Date,Open,High,Low,Close,Volume
2005-12-02,15.5,16.98,15.5,16.5,6300
2005-12-05,16.5,16.51,16.37,16.51,3060
2005-12-06,16.62,16.86,15.78,15.78,7600
2005-12-07,15.82,15.82,15.64,15.64,1400
2005-12-08,15.64,15.94,15.64,15.94,692
2005-12-09,15.94,15.94,15.31,15.48,15908
2005-12-12,15.62,15.63,15.49,15.5,32248
2005-12-13,15.62,16.0,15.5,15.7,49460
2005-12-14,15.75,16.74,15.7,16.74,38410
2005-12-15,16.58,16.6,16.5,16.5,2600
2005-12-16,16.5,16.5,15.8,15.98,24528
2005-12-19,16.0,16.08,15.96,16.02,64406
2005-12-20,16.08,16.18,16.05,16.18,63302
2005-12-21,,,,16.18,0
2005-12-22,16.0,16.0,16.0,16.0,710
2005-12-23,16.13,16.5,16.12,16.2,1688
2005-12-27,16.0,16.0,16.0,16.0,244
2005-12-28,15.91,16.05,15.88,16.05,7864
2005-12-29,15.88,15.95,15.88,15.95,1778
2005-12-30,,,,15.95,0
2006-01-03,16.2,16.5,16.18,16.18,21546
2006-01-04,15.88,16.96,15.88,16.75,263828
2006-01-05,17.49,17.49,16.73,16.8,55624
2006-01-06,16.51,17.01,16.51,17.0,143230
2006-01-09,17.0,17.05,16.88,16.88,217948
2006-01-10,17.0,17.18,16.88,16.9,17484
2006-01-11,17.48,17.75,17.0,17.38,161694
2006-01-12,17.38,17.55,17.38,17.5,25948
2006-01-13,17.32,17.43,17.04,17.09,2030
2006-01-17,17.0,17.6,17.0,17.6,150620
2006-01-18,17.0,17.6,17.0,17.5,51500
2006-01-19,17.38,17.6,17.12,17.12,26378
2006-01-20,17.25,17.5,17.12,17.37,58178
2006-01-23,17.25,17.25,17.12,17.12,306516
2006-01-24,17.18,17.2,17.01,17.12,35206
2006-01-25,17.12,17.18,17.0,17.08,330628
2006-01-26,17.12,17.25,16.75,17.05,211942
2006-01-27,17.12,17.25,17.06,17.08,91662
2006-01-30,17.25,17.5,16.75,17.37,11062
2006-01-31,17.49,17.62,17.25,17.58,313406
2006-02-01,17.62,17.75,17.62,17.75,8600
2006-02-02,17.06,17.55,17.06,17.51,82380
2006-02-03,17.62,18.12,17.62,17.91,9196
2006-02-06,17.84,18.12,17.7,18.0,2964
2006-02-07,17.64,17.64,17.06,17.1,32780
2006-02-08,17.4,17.4,17.18,17.34,98862
2006-02-09,17.32,17.75,17.32,17.75,14016
2006-02-10,17.88,18.05,17.52,17.94,36260
2006-02-13,17.86,17.87,17.69,17.78,26958
2006-02-14,18.0,18.22,17.52,17.96,28308
2006-02-15,18.22,18.25,17.54,18.0,132884
2006-02-16,18.0,19.4,17.88,18.2,271868
2006-02-17,18.44,19.0,18.4,18.5,4040
2006-02-21,18.75,18.75,18.17,18.34,11590
2006-02-22,18.71,19.12,18.4,19.11,187184
2006-02-23,19.18,19.2,18.46,19.0,182152
2006-02-24,19.19,19.68,19.19,19.68,44606
2006-02-27,19.75,19.75,19.54,19.72,7482
2006-02-28,19.75,19.75,19.56,19.61,198094
2006-03-01,19.36,19.7,19.36,19.62,59442
2006-03-02,19.52,20.0,19.52,19.7,197870
2006-03-03,19.95,19.97,19.69,19.72,24656
2006-03-06,19.57,19.99,19.57,19.75,63280
2006-03-07,19.85,20.0,19.72,20.0,41390
2006-03-08,20.0,20.0,19.6,19.72,17830
2006-03-09,19.82,20.36,19.04,20.26,34668
2006-03-10,20.26,20.34,19.5,19.88,90140
2006-03-13,19.78,19.87,19.75,19.87,2828
2006-03-14,19.8,19.88,19.6,19.6,6968
2006-03-15,19.8,19.8,19.62,19.62,57904
2006-03-16,19.58,19.75,19.57,19.71,63650
2006-03-17,19.62,19.75,19.52,19.6,21162
2006-03-20,19.75,19.78,19.58,19.75,23638
2006-03-21,19.82,20.04,19.75,19.88,24578
2006-03-22,20.0,20.0,19.38,19.75,18998
2006-03-23,19.84,19.98,19.74,19.98,39780
2006-03-24,19.98,20.12,19.86,20.0,11630
2006-03-27,19.32,19.38,19.15,19.2,86750
2006-03-28,19.24,19.5,19.24,19.49,8806
2006-03-29,19.78,20.0,19.78,19.98,13000
2006-03-30,19.91,19.98,19.38,19.81,9028
2006-03-31,19.18,19.4,18.9,19.13,78252
2006-04-03,19.4,19.44,18.96,18.98,33000
2006-04-04,18.98,19.08,18.96,19.0,43814
2006-04-05,18.99,19.04,18.99,19.0,25800
2006-04-06,18.88,19.0,18.58,18.7,13158
2006-04-07,18.68,18.92,18.6,18.62,7782
2006-04-10,18.9,18.9,18.65,18.7,14244
2006-04-11,18.78,18.8,18.6,18.7,46846
2006-04-12,18.76,19.16,18.72,19.16,52822
2006-04-13,19.04,20.36,18.88,20.13,21704
2006-04-17,19.75,19.75,19.18,19.5,35182
2006-04-18,19.5,20.24,19.38,20.04,12616
2006-04-19,20.0,20.28,19.6,19.94,103310
2006-04-20,20.12,20.12,19.76,20.05,12708
2006-04-21,19.66,20.05,19.56,19.9,8000
2006-04-24,19.27,19.92,19.27,19.82,6800
2006-04-25,19.92,20.38,19.64,20.05,18598
2006-04-26,19.92,19.92,19.6,19.6,3864
2006-04-27,19.84,20.8,19.84,20.64,309930
2006-04-28,20.76,21.05,20.15,21.05,335700
2006-05-01,20.66,21.2,20.44,20.82,11728
2006-05-02,20.66,21.8,20.4,21.5,30248
2006-05-03,21.29,21.29,20.3,21.11,39484
2006-05-04,21.24,21.5,21.2,21.5,14920
2006-05-05,21.5,21.5,21.15,21.48,2558
2006-05-08,21.5,21.8,21.5,21.8,21398
2006-05-09,21.59,21.85,21.07,21.8,27218
2006-05-10,21.64,22.75,21.06,22.0,100784
2006-05-11,21.72,21.99,21.07,21.99,9964
2006-05-12,21.6,22.0,21.22,21.9,4000
2006-05-15,21.9,21.95,21.71,21.95,2000
2006-05-16,21.06,21.75,21.06,21.6,28238
2006-05-17,21.22,21.29,20.86,21.21,101968
2006-05-18,21.22,21.44,21.09,21.44,23520
2006-05-19,21.19,21.49,20.78,21.24,47490
2006-05-22,21.12,21.23,20.4,20.71,460588
2006-05-23,20.35,20.47,19.61,19.99,171714
2006-05-24,19.78,20.5,18.6,19.96,333346
2006-05-25,19.5,19.7,19.28,19.42,46766
2006-05-26,19.2,19.32,19.04,19.32,15632
2006-05-30,19.12,19.66,19.12,19.23,69178
2006-05-31,18.99,19.62,18.75,19.04,132630
2006-06-01,19.8,19.8,18.98,19.02,30660
2006-06-02,19.1,19.41,19.08,19.2,26758
2006-06-05,19.14,19.92,19.12,19.72,48788
2006-06-06,19.74,19.91,19.56,19.66,73098
2006-06-07,19.7,19.92,19.5,19.5,27168
2006-06-08,19.91,19.94,17.94,18.46,144042
2006-06-09,19.33,19.33,18.63,18.74,123398
2006-06-12,18.96,18.96,18.71,18.88,50548
2006-06-13,18.7,18.82,18.5,18.5,15550
2006-06-14,18.65,18.78,18.49,18.71,17740
2006-06-15,18.92,19.34,18.92,19.34,17702
2006-06-16,19.45,19.45,18.86,19.1,23428
2006-06-19,19.28,19.44,18.84,19.0,77242
2006-06-20,18.5,19.08,18.5,19.0,82320
2006-06-21,19.34,19.34,18.81,18.84,51594
