Date,Open,High,Low,Close,Volume
2006-06-01,14.75,17.0,13.89,17.0,7681036
2006-06-02,16.51,18.2,16.25,18.2,903320
2006-06-05,18.2,18.75,16.87,17.4,852563
2006-06-06,17.5,17.8,16.86,17.6,369122
2006-06-07,17.6,17.6,16.76,17.0,349730
2006-06-08,16.75,17.3,16.7,17.01,853779
2006-06-09,17.03,17.27,16.55,16.95,1381753
2006-06-12,16.85,17.0,16.79,17.0,424593
2006-06-13,17.22,17.24,16.19,16.5,534748
2006-06-14,16.46,16.46,15.1,15.5,485373
2006-06-15,15.15,17.29,15.11,17.29,294096
2006-06-16,16.62,17.5,16.62,17.26,403720
2006-06-19,17.25,17.48,16.5,17.45,43136
2006-06-20,16.51,17.15,16.5,16.92,141516
2006-06-21,16.84,17.36,16.58,16.9,316202
2006-06-22,16.51,16.81,16.31,16.58,173865
2006-06-23,16.54,16.79,16.23,16.6,136660
2006-06-26,16.75,17.47,16.41,16.71,200026
2006-06-27,16.22,16.7,16.15,16.6,24091
2006-06-28,16.5,16.78,16.5,16.61,18913
2006-06-29,16.17,17.1,16.11,17.0,433195
2006-06-30,17.0,18.26,16.84,18.26,286338
2006-07-03,18.49,18.5,17.5,18.0,70339
2006-07-05,18.0,18.34,16.59,17.45,474476
2006-07-06,17.01,18.13,16.94,18.11,323781
2006-07-07,17.96,18.45,17.54,18.0,22041
2006-07-10,18.0,18.3,18.0,18.3,204008
2006-07-11,17.96,20.25,17.96,19.17,694673
2006-07-12,19.65,22.43,19.4,20.35,751406
2006-07-13,20.36,20.5,18.63,19.41,535466
2006-07-14,19.41,19.5,18.81,19.42,143302
2006-07-17,19.33,21.3,18.13,18.92,312187
2006-07-18,19.34,19.34,18.2,18.72,44648
2006-07-19,18.65,19.91,18.49,18.96,80270
2006-07-20,19.05,19.18,18.78,18.8,42127
2006-07-21,19.75,19.75,18.77,19.01,139790
2006-07-24,19.01,19.01,18.74,18.9,115582
2006-07-25,18.99,18.99,18.62,18.77,166174
2006-07-26,18.51,18.88,18.3,18.35,166971
2006-07-27,18.31,19.0,18.0,18.74,342886
2006-07-28,18.85,19.03,18.0,19.02,610765
2006-07-31,19.9,19.9,18.25,18.93,641417
2006-08-01,19.49,19.49,18.74,19.15,281491
2006-08-02,19.08,19.82,18.65,19.65,143788
2006-08-03,19.79,19.8,19.33,19.57,141070
2006-08-04,19.8,21.0,19.72,20.57,245653
2006-08-07,20.91,22.44,20.89,22.05,291708
2006-08-08,22.47,23.16,21.95,22.16,727694
2006-08-09,22.16,24.95,22.07,23.41,1364077
2006-08-10,23.25,24.36,22.31,23.66,418663
2006-08-11,23.3,23.75,23.01,23.45,81228
2006-08-14,24.04,24.04,22.53,23.0,168644
2006-08-15,22.97,23.02,22.56,23.0,38485
2006-08-16,23.75,23.75,22.02,22.45,121514
2006-08-17,22.4,22.6,22.22,22.52,243656
