Date,Open,High,Low,Close,Volume
2014-10-16,14.35,17.0,12.02,15.8,2184497
2014-10-17,16.0,16.9,15.32,16.0,354488
2014-10-20,15.86,17.43,15.83,16.12,118395
2014-10-21,16.11,16.74,15.9,16.43,63870
2014-10-22,16.39,16.7,15.85,16.08,40857
2014-10-23,16.25,16.98,16.2,16.44,168361
2014-10-24,16.32,16.5,16.0,16.16,9057
2014-10-27,16.48,16.49,15.78,15.92,23691
2014-10-28,15.9,16.45,15.78,15.92,63096
2014-10-29,15.75,16.0,15.71,15.95,28787
2014-10-30,15.96,16.04,15.86,15.93,9421
2014-10-31,16.25,16.25,15.9,16.19,5345
2014-11-03,16.09,16.35,15.82,16.18,31286
2014-11-04,16.05,16.26,15.73,15.73,32588
2014-11-05,17.49,17.49,15.21,15.97,26737
2014-11-06,16.16,16.19,15.09,15.13,98753
2014-11-07,15.0,15.45,14.29,14.62,81810
2014-11-10,15.02,15.02,13.83,14.15,65829
2014-11-11,14.66,14.86,13.48,14.06,98913
2014-11-12,14.0,14.62,13.77,14.17,45972
2014-11-13,14.47,14.74,13.93,13.93,56794
2014-11-14,13.92,14.4,13.08,14.14,12261
2014-11-17,13.93,14.7,13.89,13.92,20223
2014-11-18,14.59,16.7,14.29,14.94,40538
2014-11-19,14.93,15.0,14.15,14.48,43875
2014-11-20,14.7,15.0,14.04,14.27,97526
2014-11-21,14.56,14.81,14.5,14.75,37434
2014-11-24,14.64,14.65,14.15,14.15,48366
2014-11-25,14.33,14.9,14.14,14.54,61056
2014-11-26,14.43,14.53,14.04,14.2,67944
2014-11-28,14.07,14.09,13.91,14.09,16035
2014-12-01,14.06,14.06,13.5,13.97,20730
2014-12-02,13.78,13.94,13.7,13.78,33657
2014-12-03,13.93,14.13,13.91,14.08,32402
2014-12-04,14.1,14.44,13.96,14.41,46845
2014-12-05,14.54,14.61,14.17,14.38,30412
2014-12-08,14.5,15.1,14.38,14.53,87502
2014-12-09,14.4,14.48,14.19,14.39,59310
2014-12-10,14.36,14.51,14.0,14.12,67111
2014-12-11,14.3,14.36,14.04,14.17,51228
2014-12-12,14.15,14.28,13.83,14.03,80452
2014-12-15,14.17,14.74,13.96,14.05,96967
2014-12-16,13.95,14.07,12.76,13.34,133777
2014-12-17,13.41,14.18,13.32,13.75,114940
2014-12-18,13.89,14.3,13.75,14.0,92758
2014-12-19,13.88,14.18,13.26,13.79,637614
2014-12-22,13.72,14.48,13.69,13.8,130998
2014-12-23,13.76,14.0,13.53,13.85,68065
2014-12-24,13.7,13.94,13.64,13.93,41860
2014-12-26,13.61,13.81,13.31,13.79,47017
2014-12-29,13.65,14.29,13.65,14.29,26105
2014-12-30,14.39,14.6,14.15,14.6,26636
2014-12-31,14.29,14.9,14.29,14.67,29168
2015-01-02,14.66,14.66,14.17,14.42,39003
2015-01-05,14.41,14.41,13.68,14.0,47786
2015-01-06,14.13,14.34,13.21,13.72,68702
2015-01-07,13.92,14.2,13.45,13.99,80843
2015-01-08,14.02,14.22,13.8,13.89,63818
2015-01-09,14.0,14.12,13.6,13.84,43618
2015-01-12,13.92,14.03,13.54,13.71,23824
2015-01-13,13.85,14.19,13.43,13.59,69295
2015-01-14,13.5,13.59,12.66,12.95,46960
2015-01-15,13.07,13.48,12.86,13.26,28533
2015-01-16,13.32,13.4,12.52,12.87,440610
2015-01-20,12.83,13.3,12.66,12.9,24062
2015-01-21,12.79,12.9,12.0,12.18,35334
2015-01-22,12.25,13.58,11.74,11.98,50997
2015-01-23,11.94,12.29,11.05,11.61,1192723
2015-01-26,11.5,11.53,10.75,10.9,45439
2015-01-27,10.89,11.15,10.54,10.98,19756
2015-01-28,11.05,11.25,10.34,10.84,35144
2015-01-29,10.5,11.0,10.16,10.7,545773
2015-01-30,10.5,11.21,9.75,10.25,179714
2015-02-02,10.27,10.42,9.36,9.62,146096
2015-02-03,9.89,10.72,9.59,10.08,78567
2015-02-04,10.03,10.42,9.66,9.91,55167
2015-02-05,9.99,10.46,9.86,10.3,62089
2015-02-06,9.94,10.46,9.77,9.86,29691
2015-02-09,9.95,10.62,9.81,9.99,45403
2015-02-10,10.34,10.34,9.52,9.8,21172
2015-02-11,9.98,10.04,9.84,10.0,22570
2015-02-12,10.06,10.06,9.66,10.0,31511
2015-02-13,9.99,10.0,9.91,9.98,16251
2015-02-17,10.0,10.0,9.54,9.61,25973
2015-02-18,9.58,9.76,9.47,9.55,23472
2015-02-19,9.65,10.56,9.51,9.95,92951
2015-02-20,10.02,10.37,9.81,9.97,78986
2015-02-23,10.0,10.13,9.55,9.94,63413
2015-02-24,10.03,10.03,9.89,9.99,29587
2015-02-25,9.94,10.23,9.56,9.85,84485
2015-02-26,9.83,11.53,9.55,11.19,262103
2015-02-27,11.15,11.85,10.66,11.0,106708
2015-03-02,10.95,11.25,10.53,10.93,56615
2015-03-03,10.85,10.85,10.01,10.04,133768
2015-03-04,9.9,10.03,9.72,9.82,22455
2015-03-05,9.9,10.18,9.68,9.99,49564
2015-03-06,9.82,9.99,9.42,9.91,70315
2015-03-09,9.8,10.19,9.75,10.0,25004
2015-03-10,9.88,9.97,9.57,9.59,25136
2015-03-11,9.77,10.07,9.56,9.94,45295
2015-03-12,9.89,10.01,9.68,10.0,28576
2015-03-13,9.84,9.96,9.08,9.37,367948
2015-03-16,9.42,9.58,8.81,9.57,66397
2015-03-17,9.51,9.59,9.21,9.49,105762
2015-03-18,9.62,9.62,9.13,9.19,51998
2015-03-19,9.24,9.36,9.1,9.14,34064
2015-03-20,9.14,9.55,9.03,9.39,1106760
