Date,Open,High,Low,Close,Volume
2007-05-18,30.76,32.48,30.16,31.13,4176973
2007-05-21,31.07,32.0,31.0,32.0,446774
2007-05-22,32.25,34.7,32.0,33.75,337596
2007-05-23,33.94,39.0,33.51,35.99,195223
2007-05-24,36.1,36.83,34.1,35.0,109708
2007-05-25,35.78,37.88,35.78,37.23,98833
2007-05-29,38.0,40.0,37.85,38.84,122485
2007-05-30,38.84,39.39,38.21,38.9,195652
2007-05-31,39.68,39.8,38.75,39.03,56791
2007-06-01,39.54,40.02,36.21,37.25,153192
2007-06-04,36.65,36.95,35.22,36.5,212520
2007-06-05,36.87,36.87,36.13,36.45,45451
2007-06-06,35.72,35.96,34.25,34.72,199147
2007-06-07,34.72,34.72,31.74,32.39,244235
2007-06-08,32.09,32.4,31.11,31.8,96509
2007-06-11,31.5,33.97,31.5,33.89,185325
2007-06-12,33.45,35.84,32.61,34.38,89430
2007-06-13,34.34,37.6,33.85,37.4,91547
2007-06-14,37.39,39.49,37.38,38.89,165741
2007-06-15,38.97,42.61,38.23,42.31,308711
2007-06-18,42.31,42.31,40.0,41.56,94122
2007-06-19,41.86,41.86,41.0,41.06,30794
2007-06-20,41.25,42.63,40.78,41.67,52091
2007-06-21,41.78,43.49,39.6,41.4,108893
2007-06-22,40.85,40.91,38.54,38.54,522110
2007-06-25,38.5,39.37,37.88,38.3,129081
2007-06-26,38.21,38.45,37.01,38.05,47392
2007-06-27,37.65,39.12,37.11,38.55,68080
2007-06-28,38.37,39.0,37.78,38.52,122983
2007-06-29,38.49,38.87,37.16,38.13,38399
2007-07-02,38.33,38.33,37.81,38.15,39533
2007-07-03,37.8,38.25,37.8,38.25,8292
2007-07-05,38.01,38.2,37.5,37.65,59082
2007-07-06,37.65,38.59,36.95,38.25,89314
2007-07-09,37.85,38.99,37.7,38.54,177049
2007-07-10,38.5,38.62,37.65,38.06,139577
2007-07-11,38.0,38.0,36.8,37.56,30418
2007-07-12,37.33,38.0,37.01,37.7,57063
2007-07-13,38.28,38.28,36.66,37.27,58497
2007-07-16,37.05,38.38,36.91,38.37,59270
2007-07-17,38.45,38.86,37.66,38.4,64254
2007-07-18,37.79,39.05,37.79,38.54,111689
2007-07-19,37.62,41.4,37.62,40.5,58270
2007-07-20,40.41,41.99,39.59,41.05,79196
2007-07-23,40.8,41.68,40.58,40.58,23661
2007-07-24,39.91,40.04,38.68,38.8,113349
2007-07-25,38.41,38.75,37.94,38.47,30443
2007-07-26,38.41,39.03,36.23,37.0,110857
2007-07-27,36.08,37.45,35.28,35.31,98323
2007-07-30,35.28,35.46,33.94,34.81,58652
2007-07-31,35.6,37.49,35.26,35.39,82995
2007-08-01,35.17,35.54,32.8,33.0,108355
2007-08-02,33.0,34.06,33.0,33.22,80697
2007-08-03,33.6,33.77,31.5,31.62,45308
2007-08-06,31.75,31.98,29.09,30.0,133534
2007-08-07,30.39,31.48,29.42,29.61,120883
2007-08-08,29.54,35.73,29.4,35.26,454245
2007-08-09,34.9,35.82,33.25,35.59,147662
2007-08-10,36.09,36.09,33.79,34.88,135007
2007-08-13,35.73,35.75,33.99,34.1,161342
2007-08-14,33.89,34.0,33.0,33.51,73745
2007-08-15,33.35,33.35,31.58,31.95,164757
2007-08-16,30.87,32.36,30.25,31.0,205552
2007-08-17,31.0,31.75,30.85,30.94,101246
2007-08-20,31.37,32.54,31.37,32.5,24965
2007-08-21,32.64,33.28,31.76,32.03,36741
2007-08-22,32.67,32.67,31.27,32.48,59799
2007-08-23,32.41,32.52,31.95,32.49,69003
2007-08-24,32.98,33.08,32.2,32.5,75943
2007-08-27,32.76,33.29,31.76,32.11,76115
2007-08-28,32.07,32.63,32.02,32.42,18002
2007-08-29,32.47,33.23,32.29,33.19,47195
2007-08-30,32.75,36.23,32.75,34.85,124529
2007-08-31,35.43,36.25,35.08,35.66,52864
2007-09-04,35.5,36.91,34.17,36.73,68172
2007-09-05,36.1,36.84,35.65,35.87,38981
2007-09-06,35.84,36.48,35.08,35.91,30703
2007-09-07,34.97,35.82,33.55,33.56,50307
2007-09-10,33.86,34.6,32.25,32.86,29975
2007-09-11,32.9,36.6,32.9,35.64,67522
2007-09-12,35.58,36.98,35.58,35.93,67730
2007-09-13,36.06,36.07,33.04,33.36,62288
2007-09-14,33.49,34.82,32.01,32.73,139015
2007-09-17,32.82,33.23,32.5,32.51,60854
2007-09-18,32.62,33.72,32.62,33.66,51756
2007-09-19,34.32,35.27,34.0,34.96,38214
2007-09-20,34.96,37.55,34.46,36.16,89975
2007-09-21,36.5,38.33,36.5,37.76,128305
2007-09-24,37.95,38.65,37.62,37.96,83015
2007-09-25,37.87,40.17,37.87,39.79,78097
2007-09-26,40.21,41.25,40.08,40.79,42777
2007-09-27,41.0,41.76,39.24,39.7,59640
2007-09-28,39.57,39.57,37.09,38.18,36099
2007-10-01,38.01,39.86,37.31,38.36,30434
2007-10-02,38.59,40.82,38.54,40.47,29518
2007-10-03,40.08,40.73,39.56,40.39,30059
2007-10-04,40.63,40.99,39.52,40.29,39229
2007-10-05,40.61,42.25,40.61,41.79,54749
2007-10-08,42.12,43.33,41.42,43.27,55616
