Date,Open,High,Low,Close,Volume
2000-04-04,1.83,1.83,1.61,1.65,319400
2000-04-05,1.69,1.79,1.69,1.77,166000
2000-04-06,1.79,1.99,1.79,1.89,701900
2000-04-07,1.93,1.99,1.91,1.97,636500
2000-04-10,1.99,2.15,1.95,2.13,1198700
2000-04-11,2.13,2.15,2.05,2.09,477100
2000-04-12,2.09,2.19,2.07,2.11,489500
2000-04-13,2.09,2.11,1.93,1.97,273700
2000-04-14,1.97,1.97,1.75,1.75,609500
2000-04-17,1.73,1.85,1.73,1.81,282900
2000-04-18,1.81,1.87,1.77,1.85,236800
2000-04-19,1.85,1.97,1.81,1.95,235900
2000-04-20,1.97,1.97,1.87,1.87,241000
2000-04-24,1.83,1.83,1.69,1.75,409500
2000-04-25,1.75,1.81,1.71,1.77,324400
2000-04-26,1.77,1.87,1.73,1.85,371700
2000-04-27,1.85,1.85,1.73,1.77,125100
2000-04-28,1.79,1.81,1.77,1.81,170800
2000-05-01,1.81,1.81,1.73,1.77,110800
2000-05-02,1.75,1.75,1.71,1.75,150500
2000-05-03,1.71,1.73,1.65,1.65,148900
2000-05-04,1.63,1.67,1.59,1.63,250800
2000-05-05,1.61,1.67,1.59,1.65,181600
2000-05-08,1.65,1.67,1.61,1.61,181600
2000-05-09,1.58,1.63,1.58,1.59,272700
2000-05-10,1.56,1.58,1.52,1.58,330200
2000-05-11,1.56,1.65,1.56,1.65,82500
2000-05-12,1.65,1.67,1.58,1.67,112400
2000-05-15,1.65,1.69,1.65,1.69,73000
2000-05-16,1.69,1.69,1.65,1.67,104100
2000-05-17,1.67,1.75,1.63,1.75,227300
2000-05-18,1.71,1.73,1.65,1.71,29200
2000-05-19,1.69,1.71,1.65,1.69,18100
2000-05-22,1.69,1.69,1.58,1.63,165400
2000-05-23,1.63,1.63,1.59,1.61,54300
2000-05-24,1.61,1.61,1.56,1.58,92700
2000-05-25,1.59,1.61,1.56,1.58,109800
2000-05-26,1.56,1.59,1.54,1.58,338400
2000-05-30,1.58,1.61,1.56,1.59,118700
2000-05-31,1.59,1.59,1.54,1.54,107300
2000-06-01,1.5,1.56,1.5,1.56,114000
2000-06-02,1.54,1.58,1.54,1.56,110200
2000-06-05,1.56,1.56,1.54,1.54,108300
2000-06-06,1.54,1.56,1.5,1.54,295900
2000-06-07,1.52,1.58,1.52,1.56,110500
2000-06-08,1.56,1.58,1.54,1.56,150500
2000-06-09,1.58,1.58,1.56,1.58,64800
2000-06-12,1.59,1.59,1.54,1.56,96500
2000-06-13,1.54,1.56,1.54,1.54,84400
2000-06-14,1.56,1.61,1.54,1.58,114600
2000-06-15,1.58,1.58,1.54,1.58,42500
2000-06-16,1.56,1.58,1.52,1.56,103800
2000-06-19,1.58,1.58,1.24,1.36,1273000
2000-06-20,1.4,1.42,1.32,1.36,328600
2000-06-21,1.36,1.38,1.28,1.3,365400
2000-06-22,1.32,1.32,1.26,1.26,422500
2000-06-23,1.22,1.26,1.2,1.26,338700
2000-06-26,1.26,1.3,1.24,1.3,193700
2000-06-27,1.28,1.28,1.24,1.26,92400
2000-06-28,1.26,1.28,1.24,1.26,62500
2000-06-29,1.26,1.28,1.22,1.26,196200
2000-06-30,1.22,1.26,1.22,1.26,134900
2000-07-03,1.26,1.26,1.24,1.26,30500
2000-07-05,1.26,1.26,1.24,1.26,179000
2000-07-06,1.26,1.26,1.24,1.26,43800
2000-07-07,1.24,1.26,1.24,1.26,88900
2000-07-10,1.28,1.28,1.24,1.26,214300
2000-07-11,1.26,1.26,1.24,1.26,193300
2000-07-12,1.26,1.26,1.22,1.26,140000
2000-07-13,1.24,1.26,1.22,1.26,123800
2000-07-14,1.24,1.3,1.24,1.28,420000
2000-07-17,1.28,1.28,1.26,1.28,208600
2000-07-18,1.26,1.28,1.26,1.28,194900
2000-07-19,1.28,1.36,1.28,1.34,106000
2000-07-20,1.34,1.38,1.32,1.34,160300
2000-07-21,1.32,1.36,1.32,1.34,32700
2000-07-24,1.3,1.3,1.28,1.28,68300
2000-07-25,1.3,1.32,1.28,1.3,103800
2000-07-26,1.28,1.3,1.28,1.3,45700
2000-07-27,1.28,1.34,1.28,1.34,62500
2000-07-28,1.32,1.34,1.3,1.34,62900
2000-07-31,1.3,1.34,1.28,1.32,87300
2000-08-01,1.32,1.34,1.32,1.34,176800
2000-08-02,1.34,1.38,1.34,1.36,101600
2000-08-03,1.34,1.36,1.32,1.36,21900
2000-08-04,1.34,1.38,1.34,1.38,70500
2000-08-07,1.38,1.42,1.38,1.4,190200
2000-08-08,1.38,1.38,1.34,1.36,101300
2000-08-09,1.34,1.36,1.34,1.36,71400
2000-08-10,1.34,1.36,1.34,1.36,28600
2000-08-11,1.36,1.36,1.34,1.36,176500
2000-08-14,1.36,1.42,1.36,1.4,318100
2000-08-15,1.4,1.4,1.36,1.36,187600
2000-08-16,1.36,1.38,1.34,1.36,40000
2000-08-17,1.38,1.38,1.34,1.34,70200
2000-08-18,1.36,1.38,1.34,1.36,151700
2000-08-21,1.36,1.36,1.34,1.36,170500
2000-08-22,1.34,1.38,1.34,1.36,78700
2000-08-23,1.36,1.38,1.34,1.38,427900
