Date,Open,High,Low,Close,Volume
2014-07-15,21.0,21.0,21.0,21.0,125000
2014-07-21,21.6,21.6,21.5,21.5,15200
2014-07-23,21.45,21.45,21.45,21.45,10000
2014-07-25,21.5,21.75,21.3,21.3,67700
2015-07-20,7.2,7.75,6.85,7.45,90601
2015-07-21,7.8,7.85,7.46,7.52,127004
2015-07-22,7.65,7.68,7.3,7.54,138666
2015-07-23,7.69,7.69,7.43,7.52,52247
2015-07-24,7.56,7.59,7.11,7.11,146994
2015-07-27,7.2,7.41,7.1,7.25,83516
2015-07-28,7.45,7.45,7.1,7.11,65705
2015-07-29,7.19,7.25,7.12,7.15,74997
2015-07-30,7.2,7.24,7.05,7.14,53433
2015-07-31,7.07,7.35,7.07,7.27,42995
2015-08-03,7.19,7.27,7.11,7.18,40701
2015-08-04,7.39,7.39,7.12,7.15,24132
2015-08-05,6.95,7.7,6.95,7.39,117486
2015-08-06,7.47,7.6,7.22,7.43,55001
2015-08-07,7.5,7.5,7.1,7.19,36643
2015-08-10,7.19,7.36,7.16,7.24,13622
2015-08-11,7.09,7.34,7.09,7.15,42987
2015-08-12,7.09,7.13,6.95,6.99,100759
2015-08-13,6.88,7.19,6.81,6.95,92476
2015-08-14,7.0,7.02,6.85,6.94,12705
2015-08-17,6.95,6.95,6.68,6.69,54064
2015-08-18,6.59,6.69,6.24,6.3,28840
2015-08-19,6.35,6.39,5.94,5.98,47764
2015-08-20,6.0,6.36,6.0,6.13,32407
2015-08-21,6.1,6.11,5.9,5.9,27315
2015-08-24,5.0,5.7,5.0,5.6,163697
2015-08-25,5.73,5.73,5.26,5.38,89415
2015-08-26,5.35,5.53,5.24,5.44,46862
2015-08-27,5.6,5.6,5.39,5.43,33456
2015-08-28,5.49,5.62,5.49,5.51,27074
2015-08-31,5.46,5.7,5.28,5.63,73649
2015-09-01,5.52,5.59,5.42,5.55,25080
2015-09-02,5.53,5.61,5.1,5.57,139442
2015-09-03,5.57,5.6,5.37,5.5,86177
2015-09-04,5.5,5.55,5.37,5.5,73791
2015-09-08,5.35,5.49,5.1,5.2,83177
2015-09-09,5.28,5.35,5.14,5.27,82979
2015-09-10,5.24,5.25,5.11,5.16,70880
2015-09-11,5.19,5.2,4.8,4.91,109318
2015-09-14,4.87,4.99,4.8,4.89,58578
2015-09-15,4.95,4.98,4.71,4.75,38988
2015-09-16,4.75,4.91,4.63,4.78,55304
2015-09-17,4.89,4.96,4.72,4.76,57924
2015-09-18,4.8,4.88,4.7,4.75,118932
2015-09-21,4.86,4.89,4.7,4.74,46749
2015-09-22,4.78,4.81,4.6,4.71,44739
2015-09-23,4.71,4.71,4.42,4.48,69143
2015-09-24,4.38,4.57,4.31,4.57,46091
2015-09-25,4.52,4.52,4.24,4.37,86993
2015-09-28,4.36,4.36,3.82,3.95,55581
2015-09-29,3.91,4.05,3.9,3.91,48472
2015-09-30,3.91,4.04,3.9,3.91,96754
2015-10-01,3.94,3.97,3.69,3.69,54399
2015-10-02,3.69,3.76,3.2,3.53,317847
2015-10-05,3.45,3.74,3.44,3.7,152342
2015-10-06,3.66,3.74,3.51,3.57,154346
2015-10-07,3.55,3.7,3.4,3.49,78324
2015-10-08,3.44,3.5,3.4,3.47,465697
2015-10-09,3.51,3.56,3.47,3.5,101395
2015-10-12,3.42,3.49,3.27,3.34,94422
2015-10-13,3.25,3.41,3.23,3.25,97941
2015-10-14,3.31,3.48,3.25,3.45,103686
2015-10-15,3.49,3.52,3.27,3.43,78631
2015-10-16,3.49,3.5,3.26,3.3,99020
2015-10-19,3.3,3.31,3.2,3.22,56061
2015-10-20,3.2,3.25,3.1,3.16,87550
2015-10-21,3.15,3.16,3.1,3.11,61584
2015-10-22,3.11,3.12,2.79,2.98,519788
2015-10-23,2.96,2.96,2.8,2.89,93772
2015-10-26,2.89,2.98,2.44,2.66,487673
2015-10-27,2.67,2.7,2.4,2.44,137836
2015-10-28,2.41,2.59,2.3,2.55,396373
2015-10-29,2.51,2.54,2.41,2.46,543494
2015-10-30,2.45,2.5,2.35,2.4,202999
2015-11-02,2.36,2.5,2.33,2.46,265060
2015-11-03,2.45,2.45,2.38,2.41,75325
2015-11-04,2.42,2.42,1.91,2.16,360397
2015-11-05,2.16,2.16,1.8,1.99,1507752
2015-11-06,1.99,2.09,1.92,1.95,408233
2015-11-09,1.95,1.95,1.75,1.76,1864382
2015-11-10,1.73,1.73,1.58,1.61,1971598
2015-11-11,1.6,1.74,1.49,1.66,162664
2015-11-12,1.67,1.73,1.63,1.71,1671123
2015-11-13,1.7,1.7,1.63,1.66,255325
2015-11-16,1.68,1.84,1.63,1.83,180115
2015-11-17,1.81,2.15,1.7,2.13,198366
2015-11-18,2.14,2.15,1.89,1.9,357440
2015-11-19,1.9,1.92,1.61,1.73,128738
2015-11-20,1.72,1.75,1.62,1.66,252312
2015-11-23,1.64,1.7,1.56,1.61,215216
2015-11-24,1.59,1.66,1.57,1.65,76866
2015-11-25,1.65,1.67,1.62,1.67,66754
2015-11-27,1.67,1.75,1.67,1.69,24957
2015-11-30,1.69,1.7,1.5,1.58,314738
2015-12-01,1.67,1.78,1.54,1.67,189363
2015-12-02,1.69,1.69,1.58,1.62,95702
2015-12-03,1.61,1.69,1.6,1.69,139521
2015-12-04,1.67,1.67,1.59,1.63,82900
2015-12-07,1.61,1.65,1.57,1.6,118606
2015-12-08,1.58,1.6,1.57,1.57,155162
2015-12-09,1.57,1.63,1.57,1.62,302364
2015-12-10,1.63,1.63,1.58,1.62,99877
2015-12-11,1.62,1.62,1.54,1.56,59967
2015-12-14,1.55,1.56,1.44,1.49,174895
2015-12-15,1.44,1.45,1.33,1.44,254549
2015-12-16,1.39,1.39,1.29,1.31,100832
