Date,Open,High,Low,Close,Volume
2007-07-20,13.72,14.65,13.06,14.55,3677200
2007-07-23,15.0,15.44,14.75,15.39,408900
2007-07-24,15.36,15.54,15.0,15.2,92800
2007-07-25,15.37,15.5,13.8,14.9,496700
2007-07-26,14.8,14.85,14.11,14.6,172200
2007-07-27,14.5,14.5,14.0,14.03,477900
2007-07-30,14.25,14.42,14.03,14.13,101300
2007-07-31,14.16,14.61,14.04,14.25,46000
2007-08-01,14.25,14.31,13.58,13.79,127600
2007-08-02,14.5,14.65,13.0,13.48,162600
2007-08-03,13.48,13.57,13.41,13.5,63300
2007-08-06,13.55,13.55,13.4,13.53,159300
2007-08-07,13.5,13.74,13.25,13.61,14200
2007-08-08,13.7,14.04,13.65,13.77,11600
2007-08-09,13.5,14.04,13.34,13.51,35700
2007-08-10,13.1,13.8,12.36,13.41,42200
2007-08-13,13.31,13.65,13.21,13.51,41900
2007-08-14,13.4,14.5,13.4,13.51,67500
2007-08-15,13.7,14.09,13.36,13.5,156100
2007-08-16,13.4,13.5,13.12,13.4,141000
2007-08-17,13.49,13.49,13.19,13.45,32100
2007-08-20,13.49,13.64,13.1,13.4,139700
2007-08-21,13.2,13.51,13.1,13.19,89200
2007-08-22,13.15,13.24,13.05,13.1,14300
2007-08-23,13.1,13.34,12.95,13.34,30800
2007-08-24,13.34,13.48,13.03,13.39,21000
2007-08-27,13.39,13.82,13.15,13.34,47200
2007-08-28,13.32,13.36,12.95,12.95,11200
2007-08-29,13.16,13.54,13.09,13.15,28200
2007-08-30,13.18,13.49,12.85,12.85,40100
2007-08-31,12.85,13.1,12.8,12.8,6600
2007-09-04,13.75,13.75,12.96,13.1,40300
2007-09-05,13.1,13.17,12.85,12.86,40900
2007-09-06,13.2,13.29,12.85,13.0,14000
2007-09-07,13.0,13.19,12.52,12.8,84600
2007-09-10,13.05,13.05,12.02,12.1,17000
2007-09-11,12.1,12.25,11.76,12.0,79100
2007-09-12,11.95,11.95,11.27,11.7,75800
2007-09-13,11.74,11.85,11.51,11.51,21900
2007-09-14,11.46,11.56,11.2,11.34,16700
2007-09-17,11.25,11.75,10.75,11.01,28400
2007-09-18,11.03,11.45,11.03,11.36,45900
2007-09-19,11.8,11.85,11.01,11.76,134200
2007-09-20,11.95,11.95,11.65,11.79,50300
2007-09-21,11.88,12.85,11.81,12.85,58900
2007-09-24,12.68,12.72,11.93,12.5,40100
2007-09-25,12.58,12.58,11.61,11.8,78900
2007-09-26,11.73,11.98,11.73,11.81,11500
2007-09-27,11.75,11.75,11.21,11.39,136400
2007-09-28,11.45,11.56,10.1,10.5,713100
2007-10-01,10.6,11.51,10.5,11.37,115400
2007-10-02,11.27,11.95,11.01,11.44,69800
2007-10-03,11.54,11.9,11.35,11.59,52900
2007-10-04,11.68,12.14,11.4,11.94,88100
2007-10-05,12.04,12.24,11.96,12.22,39600
2007-10-08,12.3,12.92,12.2,12.83,24600
2007-10-09,12.89,13.36,12.61,13.27,156700
2007-10-10,13.02,13.68,13.02,13.4,85100
2007-10-11,13.5,13.74,13.25,13.6,83700
2007-10-12,13.52,13.72,13.35,13.53,45700
2007-10-15,13.55,13.6,13.26,13.6,34000
2007-10-16,13.6,13.62,12.98,13.4,35700
2007-10-17,13.5,13.64,12.87,13.64,316700
2007-10-18,13.7,13.93,13.5,13.93,83200
2007-10-19,13.88,13.92,13.44,13.66,278500
2007-10-22,13.47,13.98,13.31,13.72,34900
2007-10-23,13.89,14.64,13.61,14.51,65300
2007-10-24,14.45,15.44,13.6,14.82,253200
2007-10-25,14.81,15.16,14.68,14.83,414100
2007-10-26,15.03,15.74,14.91,15.48,107000
2007-10-29,15.53,16.3,15.53,16.08,285700
2007-10-30,15.95,16.25,15.48,15.57,229900
2007-10-31,15.6,16.13,15.27,15.76,200900
2007-11-01,15.5,16.15,15.4,15.81,396800
2007-11-02,16.15,16.19,15.4,16.0,283000
2007-11-05,15.8,15.9,15.36,15.58,152800
2007-11-06,15.65,15.9,15.31,15.77,45800
2007-11-07,15.7,15.77,14.8,14.87,136700
2007-11-08,15.03,15.03,14.19,14.65,179900
2007-11-09,14.6,14.6,13.86,13.98,273900
2007-11-12,14.0,14.47,13.73,13.76,46300
2007-11-13,13.86,15.23,13.86,14.8,133200
2007-11-14,16.1,17.22,15.41,15.48,471560
2007-11-15,15.7,15.72,14.87,15.11,232500
2007-11-16,15.14,16.34,14.53,15.0,138400
2007-11-19,14.79,14.98,13.75,13.9,313400
2007-11-20,13.96,14.29,12.9,13.3,279100
2007-11-21,13.27,13.27,12.48,13.03,414000
2007-11-23,13.11,13.34,12.9,13.32,240100
2007-11-26,13.5,14.21,13.1,13.87,464800
2007-11-27,13.87,13.94,13.04,13.2,254500
2007-11-28,13.39,13.53,13.19,13.5,164700
2007-11-29,13.5,13.71,13.13,13.65,213100
2007-11-30,13.7,14.17,13.64,14.05,193600
2007-12-03,13.93,14.1,13.88,13.92,54400
2007-12-04,13.9,14.46,13.65,13.66,92600
2007-12-05,13.81,14.09,13.77,13.99,58200
2007-12-06,14.0,14.65,13.98,14.6,322900
2007-12-07,14.6,14.6,14.07,14.16,125600
2007-12-10,14.2,14.2,13.58,13.9,363400
2007-12-11,13.85,13.99,13.48,13.6,416700
2007-12-12,13.87,14.5,13.7,13.97,174200
2007-12-13,13.84,14.24,13.84,13.98,129900
2007-12-14,13.9,14.27,13.49,14.0,226300
2007-12-17,13.9,14.37,13.9,14.27,172800
2007-12-18,14.31,14.55,14.09,14.42,293800
2007-12-19,14.4,14.44,14.07,14.17,59245
2007-12-20,14.25,14.37,13.81,14.0,129700
2007-12-21,14.06,14.06,13.75,13.93,295500
2007-12-24,13.7,14.01,13.66,14.01,79850
2007-12-26,13.85,14.09,13.72,14.04,107800
2007-12-27,14.11,14.11,13.62,13.97,66000
2007-12-28,14.1,14.1,13.75,13.86,100900
2007-12-31,13.77,13.93,13.56,13.76,61154
2008-01-02,13.58,13.77,13.35,13.41,59100
2008-01-03,13.51,13.79,13.35,13.41,64358
2008-01-04,13.29,13.29,12.59,12.65,182600
2008-01-07,12.65,12.9,10.15,10.34,649700
2008-01-08,10.36,10.55,9.8,10.05,815300
2008-01-09,10.15,10.15,9.59,9.74,387950
2008-01-10,9.89,9.9,9.44,9.72,304900
2008-01-11,9.72,10.26,9.52,9.88,950942
2008-01-14,10.24,10.9,10.23,10.47,603454
2008-01-15,10.25,10.25,9.35,9.62,218930
2008-01-16,9.62,9.62,8.36,8.67,834623
2008-01-17,8.72,9.31,8.42,8.98,454513
2008-01-18,8.86,9.2,8.73,9.06,237114
2008-01-22,8.63,9.58,7.76,9.48,240500
2008-01-23,9.22,10.86,9.16,10.74,228800
2008-01-24,10.94,11.54,10.65,11.42,259200
2008-01-25,11.52,11.7,10.98,11.04,80300
2008-01-28,10.95,11.46,10.92,11.43,86300
2008-01-29,11.56,11.79,11.26,11.67,85800
2008-01-30,11.66,12.17,11.25,11.62,123400
2008-01-31,11.36,12.38,10.82,12.21,148300
2008-02-01,12.33,12.41,11.31,11.48,132100
2008-02-04,11.38,11.78,10.95,10.99,136000
2008-02-05,10.73,11.47,10.73,11.01,177500
2008-02-06,11.15,11.23,10.41,10.47,172650
