Date,Open,High,Low,Close,Volume
2009-12-11,11.4,12.09,11.09,12.03,11558369
2009-12-14,12.09,12.09,11.73,12.0,1238989
2009-12-15,12.0,12.04,11.8,11.8,927822
2009-12-16,11.9,12.47,11.86,12.3,883601
2009-12-17,12.07,13.19,12.0,13.0,479110
2009-12-18,12.86,13.45,12.74,13.31,425612
2009-12-21,13.42,13.5,13.0,13.46,325600
2009-12-22,13.5,13.5,13.02,13.1,89653
2009-12-23,13.26,13.26,12.98,13.05,142528
2009-12-24,13.13,13.47,13.0,13.39,53172
2009-12-28,13.45,13.45,13.03,13.22,82451
2009-12-29,13.19,13.7,13.16,13.52,450749
2009-12-30,13.5,13.92,13.43,13.71,260031
2009-12-31,13.64,13.92,13.5,13.79,224181
2010-01-04,13.78,14.0,13.72,13.97,273512
2010-01-05,13.98,14.25,13.89,14.01,268737
2010-01-06,14.01,14.2,13.7,14.0,256767
2010-01-07,14.13,14.13,13.92,14.01,584712
2010-01-08,13.95,14.65,13.78,14.5,389617
2010-01-11,14.55,14.87,14.38,14.67,200231
2010-01-12,14.71,14.83,14.35,14.57,194626
2010-01-13,14.68,14.68,14.22,14.59,102600
2010-01-14,14.75,14.78,14.51,14.6,71377
2010-01-15,14.47,14.6,14.28,14.55,117179
2010-01-19,14.6,14.7,14.22,14.52,255260
2010-01-20,15.25,15.27,14.73,14.94,532269
2010-01-21,15.12,15.19,14.4,14.48,156006
2010-01-22,14.53,14.55,14.2,14.33,119849
2010-01-25,14.38,14.69,14.11,14.5,208953
2010-01-26,14.47,14.54,14.21,14.5,136271
2010-01-27,14.5,14.5,13.84,14.14,173813
2010-01-28,14.24,14.24,13.9,13.92,194195
2010-01-29,14.07,14.1,13.77,13.87,156999
2010-02-01,13.89,14.69,13.89,14.4,509548
2010-02-02,14.5,14.82,14.32,14.36,189942
2010-02-03,14.23,14.33,14.0,14.25,117250
2010-02-04,14.15,14.28,13.96,13.96,148450
2010-02-05,14.03,14.28,13.89,14.2,163834
2010-02-08,14.16,14.39,14.15,14.24,805781
2010-02-09,14.33,14.55,14.19,14.35,517525
2010-02-10,14.27,14.45,14.25,14.37,30390
2010-02-11,14.46,14.49,14.34,14.48,45879
2010-02-12,14.39,14.93,14.35,14.77,70255
2010-02-16,14.83,14.99,13.91,13.93,2785054
2010-02-17,13.99,14.15,13.27,13.28,430876
2010-02-18,13.25,14.1,13.25,14.09,618836
2010-02-19,14.09,14.19,14.04,14.15,117672
2010-02-22,14.15,14.15,13.96,14.04,135070
2010-02-23,13.98,14.01,13.49,13.9,82297
2010-02-24,13.99,14.08,13.55,13.55,163871
2010-02-25,13.39,14.17,13.14,14.1,243059
2010-02-26,14.0,14.0,13.1,13.4,685983
2010-03-01,13.53,13.93,13.3,13.46,431443
2010-03-02,13.54,14.0,13.5,13.96,374636
2010-03-03,14.03,14.26,13.86,14.19,506658
2010-03-04,14.14,14.3,13.92,14.0,322558
2010-03-05,14.04,14.42,14.01,14.2,221643
2010-03-08,14.14,14.23,14.03,14.2,143379
2010-03-09,14.19,14.25,13.98,14.18,224219
2010-03-10,14.12,14.24,14.1,14.2,115250
2010-03-11,14.12,14.16,13.96,13.96,163946
2010-03-12,13.96,14.2,13.79,14.2,95045
2010-03-15,14.2,14.2,13.9,14.13,154321
2010-03-16,14.2,14.6,13.91,14.57,247405
2010-03-17,14.61,14.75,14.42,14.54,129628
2010-03-18,14.52,14.52,14.27,14.42,22544
2010-03-19,14.34,14.8,14.25,14.68,378673
2010-03-22,14.68,15.3,14.67,15.06,688209
2010-03-23,15.16,15.16,14.95,15.0,66356
2010-03-24,14.86,15.04,14.76,14.89,121793
2010-03-25,14.99,15.01,14.86,15.0,138291
2010-03-26,15.05,15.34,14.92,15.24,275724
2010-03-29,15.34,15.34,15.1,15.2,126024
2010-03-30,15.28,15.55,15.16,15.55,377003
2010-03-31,15.45,15.56,15.04,15.06,968965
2010-04-01,15.14,15.4,14.55,15.12,159625
2010-04-05,15.09,15.25,14.92,15.1,160775
2010-04-06,15.09,15.77,14.94,15.39,220703
2010-04-07,15.44,15.55,15.02,15.07,170922
2010-04-08,14.98,15.33,14.88,15.33,108419
2010-04-09,15.33,15.45,15.33,15.41,62328
2010-04-12,15.37,15.41,15.0,15.14,197795
2010-04-13,15.17,15.35,14.97,15.14,265967
2010-04-14,15.13,15.36,15.12,15.32,198345
2010-04-15,15.32,15.32,15.09,15.12,117830
2010-04-16,15.0,15.17,14.83,14.96,118059
2010-04-19,14.98,15.12,14.85,15.04,184882
2010-04-20,15.05,15.52,14.92,15.5,132237
2010-04-21,15.44,15.6,15.13,15.27,131733
2010-04-22,15.24,15.63,15.18,15.49,738378
