Date,Open,High,Low,Close,Volume
2014-07-25,19.0,24.4,18.48,24.03,23673589
2014-07-28,26.88,34.73,26.25,34.48,26901000
2014-07-29,31.84,32.48,29.05,29.9,12108385
2014-07-30,31.78,38.25,31.6,34.56,15520065
2014-07-31,35.83,39.9,35.16,38.75,18345292
2014-08-01,39.05,41.7,38.35,41.2,14442314
2014-08-04,41.35,41.46,37.55,38.4,9088216
2014-08-05,36.27,36.9,33.58,34.31,7903511
2014-08-06,34.44,37.82,34.04,36.95,6227438
2014-08-07,39.43,40.25,38.25,38.87,6142174
2014-08-08,38.0,38.2,36.13,36.95,3057193
2014-08-11,38.4,38.53,35.78,35.79,2466556
2014-08-12,34.76,34.89,28.99,34.07,3265045
2014-08-13,34.51,34.64,33.01,33.31,1709446
2014-08-14,32.61,32.7,31.25,31.94,2851041
2014-08-15,33.24,34.1,32.56,33.36,2861958
2014-08-18,34.58,34.68,32.96,33.2,1479314
2014-08-19,30.55,31.41,29.65,29.91,3729396
2014-08-20,29.0,31.17,28.56,30.19,2851853
2014-08-21,30.73,31.09,29.75,29.87,1618439
2014-08-22,31.22,31.5,30.5,30.62,2104950
2014-08-25,31.3,32.19,31.0,32.19,2019970
2014-08-26,32.49,33.72,31.5,31.57,2295935
2014-08-27,32.1,32.25,31.5,31.54,826632
2014-08-28,31.07,32.15,31.0,31.65,864823
2014-08-29,32.0,32.33,31.31,32.31,830124
2014-09-02,32.97,36.08,31.64,36.02,4432551
2014-09-03,37.18,37.69,33.7,34.39,4193814
2014-09-04,35.0,36.2,33.35,34.79,4263227
2014-09-05,36.64,37.45,34.35,36.24,8674584
2014-09-08,35.57,38.35,34.7,36.19,5521931
2014-09-09,36.6,37.45,35.35,35.79,2897542
2014-09-10,35.7,36.7,35.3,36.25,1520008
2014-09-11,35.99,37.88,35.51,36.64,2915747
2014-09-12,37.25,39.75,36.6,38.87,5002299
2014-09-15,39.97,40.89,36.12,36.98,6190364
2014-09-16,36.4,37.65,36.01,36.76,1860230
2014-09-17,37.25,37.7,36.75,36.84,1853197
2014-09-18,37.16,37.4,35.3,35.59,2070223
2014-09-19,35.28,35.87,34.07,35.41,2190057
2014-09-22,34.89,35.73,34.46,35.07,977856
2014-09-23,34.98,36.25,34.63,34.95,1450743
2014-09-24,35.39,36.17,34.56,35.72,1578067
2014-09-25,35.77,35.96,34.3,35.09,1125740
2014-09-26,35.22,35.45,34.6,35.16,797191
2014-09-29,34.51,35.91,34.39,35.49,1181221
2014-09-30,35.48,37.27,35.06,35.91,3662802
2014-10-01,35.66,36.0,33.6,34.07,2131668
2014-10-02,34.48,35.45,34.0,35.06,1208149
2014-10-03,35.52,36.45,34.87,35.86,1731205
2014-10-06,36.35,37.6,36.15,37.35,2518199
2014-10-07,36.9,38.78,36.36,37.2,2510861
2014-10-08,37.2,37.97,36.2,37.58,1365570
2014-10-09,37.25,38.17,36.3,36.35,1164097
2014-10-10,36.14,36.71,34.4,35.58,1135360
2014-10-13,35.6,35.88,33.6,34.23,1104720
2014-10-14,34.32,35.0,33.71,34.28,701321
2014-10-15,33.35,33.95,32.0,33.57,1109238
2014-10-16,32.64,34.24,32.57,33.45,645232
2014-10-17,34.29,34.72,33.85,34.0,849419
2014-10-20,34.0,35.09,34.0,35.06,646922
2014-10-21,35.0,35.05,34.41,34.48,870907
2014-10-22,34.64,35.5,34.12,34.24,887688
2014-10-23,34.49,35.16,34.29,34.7,933253
2014-10-24,34.7,35.15,34.34,34.63,544769
