Date,Open,High,Low,Close,Volume
2014-04-09,16.75,17.85,16.32,17.12,24900260
2014-04-10,17.35,17.45,17.0,17.2,2444485
2014-04-11,16.96,17.09,16.72,16.86,1545854
2014-04-14,17.04,17.16,16.5,16.65,627864
2014-04-15,16.65,16.93,16.46,16.9,443692
2014-04-16,16.77,17.09,16.76,17.05,684789
2014-04-17,16.96,17.18,16.93,17.11,866880
2014-04-21,17.19,17.36,17.08,17.35,356952
2014-04-22,17.33,17.54,17.25,17.41,761609
2014-04-23,17.36,17.45,17.21,17.38,171281
2014-04-24,17.38,17.44,17.22,17.38,413547
2014-04-25,17.28,17.38,17.14,17.23,115942
2014-04-28,17.23,17.23,16.5,16.82,404015
2014-04-29,16.85,16.94,16.6,16.79,388320
2014-04-30,16.79,16.87,16.59,16.79,396520
2014-05-01,17.08,17.08,16.56,16.69,302114
2014-05-02,16.59,16.85,16.5,16.7,350899
2014-05-05,16.51,16.9,16.01,16.66,599268
2014-05-06,16.65,16.81,16.44,16.44,278618
2014-05-07,16.41,16.6,16.14,16.28,1149982
2014-05-08,16.34,16.35,16.02,16.28,1278404
2014-05-09,16.13,16.52,16.11,16.48,343200
2014-05-12,16.42,16.75,16.4,16.65,452803
2014-05-13,16.41,17.14,16.4,16.67,256055
2014-05-14,16.73,17.05,16.59,16.82,390277
2014-05-15,16.81,17.0,16.38,16.5,651963
2014-05-16,16.5,16.5,16.33,16.38,255121
2014-05-19,16.44,16.84,16.37,16.74,505021
2014-05-20,16.73,16.87,16.47,16.71,564665
2014-05-21,17.32,17.42,17.0,17.19,1077582
2014-05-22,17.03,17.36,16.99,17.35,411230
2014-05-23,17.22,17.44,17.22,17.38,401078
2014-05-27,17.35,17.48,17.32,17.44,579887
2014-05-28,17.44,17.62,17.3,17.58,523785
2014-05-29,17.51,17.69,17.47,17.68,587105
2014-05-30,17.53,18.2,17.53,18.06,961851
2014-06-02,18.15,18.19,17.88,18.06,326196
2014-06-03,17.97,18.35,17.94,18.14,641263
2014-06-04,18.1,18.25,17.99,18.11,424993
2014-06-05,18.1,18.55,17.98,18.51,1104812
2014-06-06,18.55,18.93,18.36,18.92,557611
2014-06-09,18.98,18.98,18.56,18.86,510059
2014-06-10,18.83,19.05,18.69,18.89,396170
2014-06-11,18.89,18.91,18.56,18.7,360419
2014-06-12,18.62,18.94,18.51,18.8,562812
2014-06-13,18.71,18.88,18.58,18.74,606309
2014-06-16,18.76,19.0,18.11,18.26,712104
2014-06-17,18.2,18.75,18.08,18.74,470889
2014-06-18,18.7,18.82,18.34,18.78,534939
2014-06-19,18.84,19.17,18.83,19.0,1168366
2014-06-20,19.0,19.05,18.29,18.56,3619588
2014-06-23,18.64,19.13,18.5,19.11,847162
2014-06-24,18.98,19.29,18.8,19.0,931757
2014-06-25,18.93,19.07,18.87,18.88,601711
2014-06-26,18.91,19.01,18.73,19.01,442297
2014-06-27,18.97,19.39,18.82,18.82,4350229
2014-06-30,19.05,19.3,18.87,19.14,584207
2014-07-01,19.25,19.36,18.83,18.94,481047
2014-07-02,18.93,19.19,18.87,19.18,243558
2014-07-03,19.2,19.43,18.94,19.15,170498
2014-07-07,19.06,19.15,18.8,19.01,401540
2014-07-08,18.94,19.11,18.65,18.75,707573
2014-07-09,18.74,18.92,18.54,18.63,535297
2014-07-10,18.44,19.19,18.39,19.11,697692
2014-07-11,19.07,19.07,18.71,18.81,579674
2014-07-14,18.9,18.91,18.74,18.85,956297
2014-07-15,18.85,18.95,18.67,18.74,632320
2014-07-16,18.75,18.86,18.63,18.73,1224232
2014-07-17,18.67,18.71,18.41,18.5,616875
2014-07-18,18.41,18.82,18.39,18.8,427816
2014-07-21,18.74,18.98,18.6,18.77,541505
2014-07-22,19.05,19.05,18.74,18.87,525478
2014-07-23,18.92,19.02,18.82,18.98,490152
2014-07-24,19.04,19.24,18.88,18.97,207562
2014-07-25,18.86,19.05,18.82,19.01,477147
2014-07-28,18.98,19.1,18.74,18.97,314799
2014-07-29,18.97,19.23,18.87,18.88,303060
2014-07-30,19.0,19.11,18.78,18.87,262168
2014-07-31,18.72,18.89,18.67,18.79,433140
2014-08-01,18.84,19.0,18.76,18.88,659978
2014-08-04,18.95,19.08,18.83,18.92,375554
2014-08-05,18.86,19.04,18.75,18.88,311135
2014-08-06,18.82,19.05,18.76,18.84,164207
2014-08-07,18.89,19.08,18.81,18.9,287688
2014-08-08,18.91,18.98,18.76,18.9,132000
2014-08-11,18.96,19.45,18.91,19.31,314615
2014-08-12,19.3,19.45,19.02,19.39,375669
2014-08-13,19.46,20.21,19.4,19.71,892708
2014-08-14,19.76,19.83,19.48,19.58,331839
2014-08-15,19.78,20.03,19.4,19.69,550112
2014-08-18,19.8,19.94,19.73,19.81,247848
2014-08-19,19.85,19.94,19.74,19.82,327548
2014-08-20,19.81,19.81,19.37,19.6,583740
2014-08-21,19.57,19.73,19.47,19.58,307101
2014-08-22,19.61,19.78,19.46,19.56,170025
2014-08-25,19.61,19.81,19.53,19.65,111940
2014-08-26,19.71,19.94,19.63,19.86,207123
2014-08-27,19.79,19.87,19.47,19.63,590570
2014-08-28,19.6,19.69,19.45,19.64,204537
2014-08-29,19.66,19.84,19.47,19.75,115880
