Date,Open,High,Low,Close,Volume
2015-09-17,180.0,180.0,180.0,180.0,299
2015-09-18,178.0,178.0,167.2,167.2,925
2015-09-21,165.8,166.11,165.8,166.11,352
2015-09-22,163.3,163.3,162.3,162.3,499
2015-09-23,,,,162.3,0
2015-09-24,,,,162.3,0
2015-09-25,158.22,158.22,152.87,153.22,4101
2015-09-28,149.49,151.0,149.28,149.28,957
2015-09-29,,,,149.28,0
2015-09-30,158.2,158.2,151.0,151.0,11408
2015-10-01,154.0,163.19,149.04,159.49,692693
2015-10-02,152.09,178.0,152.09,171.5,661660
2015-10-05,173.38,176.7,168.63,173.66,302381
2015-10-06,174.62,176.43,171.87,173.57,263906
2015-10-07,175.23,176.72,166.38,170.87,288706
2015-10-08,172.57,174.09,169.43,170.45,208012
2015-10-09,170.58,175.36,170.06,172.01,254054
2015-10-12,173.47,174.99,169.59,172.51,151963
2015-10-13,169.71,177.64,169.71,176.44,377460
2015-10-14,176.35,177.17,173.81,175.03,132211
2015-10-15,176.3,182.88,174.46,182.69,238867
2015-10-16,183.52,184.5,175.37,177.08,205033
2015-10-19,175.75,180.38,172.69,173.12,159203
2015-10-20,173.12,176.27,171.96,175.42,243844
2015-10-21,175.39,176.5,173.13,174.62,155759
2015-10-22,176.0,178.36,174.31,175.69,214956
2015-10-23,176.04,180.2,174.33,179.95,233044
2015-10-26,180.55,182.5,177.49,181.82,222078
2015-10-27,181.15,182.49,177.61,181.79,158191
2015-10-28,181.98,184.67,178.6,182.18,262400
2015-10-29,182.64,184.65,179.3,181.86,220907
2015-10-30,182.37,182.46,174.13,178.5,222150
2015-11-02,178.25,180.55,175.06,177.71,239014
2015-11-03,176.96,177.91,171.91,173.96,158587
2015-11-04,174.74,175.59,169.73,172.59,224307
2015-11-05,172.59,175.7,168.5,169.72,330332
2015-11-06,169.56,170.91,166.89,170.15,291950
2015-11-09,169.66,174.85,168.99,173.36,202148
2015-11-10,173.09,174.98,171.42,173.37,208494
2015-11-11,173.7,175.39,171.66,173.48,165743
2015-11-12,172.2,173.87,168.25,170.15,210613
2015-11-13,169.1,172.28,168.35,169.95,148525
2015-11-16,168.85,172.13,168.85,171.72,271383
2015-11-17,171.29,173.49,169.78,171.19,332404
2015-11-18,171.99,172.52,169.16,169.64,404861
2015-11-19,169.55,169.55,165.4,166.85,182864
2015-11-20,167.13,167.64,162.81,165.76,282949
2015-11-23,164.97,171.0,164.97,167.41,270971
