Date,Open,High,Low,Close,Volume
2014-06-12,14.0,15.69,14.0,15.25,5055046
2014-06-13,14.84,15.88,14.75,15.5,816951
2014-06-16,16.34,16.4,16.0,16.28,887044
2014-06-17,16.35,16.99,16.25,16.99,675639
2014-06-18,17.06,17.32,16.66,16.78,306936
2014-06-19,16.75,16.91,16.5,16.76,248733
2014-06-20,16.98,16.99,16.5,16.55,149623
2014-06-23,16.98,19.0,16.97,18.76,1758502
2014-06-24,19.0,19.4,18.32,18.56,690731
2014-06-25,18.85,19.0,18.5,18.92,401825
2014-06-26,18.95,19.47,18.75,18.9,433906
2014-06-27,19.18,19.25,18.76,19.13,258482
2014-06-30,19.0,19.22,18.95,19.13,252466
2014-07-01,19.2,19.5,19.17,19.3,217926
2014-07-02,19.23,19.5,19.1,19.18,175730
2014-07-03,19.3,19.3,18.75,18.8,212109
2014-07-07,19.15,19.73,18.9,19.32,627874
2014-07-08,19.42,19.65,19.02,19.39,350399
2014-07-09,19.45,19.85,19.35,19.85,223700
2014-07-10,19.52,20.4,19.5,20.15,218590
2014-07-11,20.47,20.8,19.65,19.75,331460
2014-07-14,19.75,20.42,19.75,20.4,334176
2014-07-15,20.5,20.55,20.13,20.3,151820
2014-07-16,20.18,20.3,19.3,20.15,560366
2014-07-17,20.37,20.39,19.86,19.95,258012
2014-07-18,19.99,20.1,19.9,19.98,196976
2014-07-21,20.0,20.1,19.88,19.94,196169
2014-07-22,20.1,20.2,19.75,19.92,341615
2014-07-23,19.98,20.19,19.57,19.8,287400
2014-07-24,19.99,19.99,19.3,19.35,470093
2014-07-25,19.4,19.67,19.4,19.56,206116
2014-07-28,19.52,19.55,19.32,19.35,326769
2014-07-29,19.33,19.38,18.6,18.65,554869
2014-07-30,18.82,18.9,17.76,18.46,606404
2014-07-31,18.41,18.67,18.06,18.3,211008
2014-08-01,18.3,18.69,18.1,18.28,249631
2014-08-04,18.44,18.58,17.98,18.07,478530
2014-08-05,18.11,18.28,17.79,17.81,337428
2014-08-06,17.75,18.2,17.75,18.05,225362
2014-08-07,18.6,18.6,17.91,18.06,267724
2014-08-08,18.2,18.2,17.93,17.99,226399
2014-08-11,18.01,18.2,17.98,18.0,332770
2014-08-12,18.08,18.59,18.05,18.33,327123
2014-08-13,18.5,18.75,18.31,18.7,603687
2014-08-14,18.36,18.97,18.26,18.77,312952
2014-08-15,18.77,18.77,18.41,18.6,201370
2014-08-18,18.58,18.71,18.4,18.5,257062
2014-08-19,18.69,18.73,18.55,18.67,193140
2014-08-20,18.79,18.79,18.48,18.53,206851
2014-08-21,18.71,18.8,18.5,18.7,398176
2014-08-22,18.85,18.98,18.54,18.94,209167
2014-08-25,18.98,19.01,18.8,18.99,145990
2014-08-26,19.15,19.5,19.02,19.41,354020
2014-08-27,19.41,19.6,19.32,19.5,290103
2014-08-28,19.54,19.64,19.12,19.3,435945
2014-08-29,19.44,19.7,19.29,19.49,220469
2014-09-02,19.54,19.54,19.22,19.25,267682
2014-09-03,19.28,19.46,19.28,19.39,129935
2014-09-04,19.56,19.56,19.0,19.01,178542
2014-09-05,19.07,19.07,18.74,18.85,277384
2014-09-08,19.11,19.6,18.87,19.51,431504
2014-09-09,19.85,19.88,19.3,19.37,339234
2014-09-10,19.49,19.52,19.3,19.42,174066
2014-09-11,19.42,19.54,19.31,19.51,123285
2014-09-12,19.5,19.51,19.25,19.35,150093
2014-09-15,19.25,19.36,19.15,19.18,115860
2014-09-16,19.29,19.29,19.05,19.1,275444
2014-09-17,19.14,19.19,19.03,19.06,143966
2014-09-18,19.08,19.29,19.05,19.1,199830
2014-09-19,19.18,19.18,18.9,18.96,168116
2014-09-22,18.9,18.99,18.25,18.4,289800
2014-09-23,18.33,18.4,17.99,18.22,444335
2014-09-24,18.18,18.34,17.9,18.01,273589
2014-09-25,18.0,18.01,17.71,17.9,268989
2014-09-26,17.83,18.03,17.73,17.89,217492
2014-09-29,17.81,18.03,17.67,17.67,191407
2014-09-30,17.71,17.89,17.27,17.62,1428488
2014-10-01,17.49,17.55,17.05,17.07,398976
2014-10-02,17.14,17.61,15.88,17.41,731731
2014-10-03,17.6,17.83,17.39,17.59,149774
2014-10-06,17.58,18.02,17.26,17.66,180057
2014-10-07,17.61,17.62,17.32,17.34,199584
2014-10-08,17.3,17.31,16.08,16.41,473962
2014-10-09,16.45,16.52,15.65,15.66,264740
2014-10-10,15.53,15.55,14.53,14.68,499515
2014-10-13,14.65,15.21,14.07,14.77,376597
2014-10-14,14.74,15.03,14.51,14.66,419725
2014-10-15,14.43,14.53,12.94,14.22,547865
2014-10-16,13.92,15.03,13.92,14.78,242464
2014-10-17,15.06,15.5,14.28,14.37,309252
2014-10-20,14.41,15.6,14.41,15.57,204451
2014-10-21,15.73,16.14,15.73,15.88,223227
2014-10-22,15.89,16.63,15.71,15.82,232852
2014-10-23,15.85,16.41,15.85,16.24,177725
2014-10-24,16.2,16.25,15.68,15.69,236371
2014-10-27,15.69,15.86,15.03,15.42,185684
2014-10-28,15.5,16.4,15.27,16.25,206917
2014-10-29,16.26,16.38,15.97,16.02,186455
2014-10-30,15.95,16.13,15.76,16.0,157601
2014-10-31,16.03,16.14,15.51,16.0,313427
2014-11-03,15.95,16.17,15.75,15.78,256814
2014-11-04,15.75,15.92,15.65,15.71,209160
2014-11-05,15.33,15.5,15.23,15.45,164201
2014-11-06,15.41,15.46,15.12,15.18,154452
2014-11-07,15.25,15.35,15.09,15.2,127220
2014-11-10,15.24,15.34,14.51,14.75,360866
2014-11-11,14.63,14.66,14.0,14.05,388539
2014-11-12,14.01,14.27,14.01,14.02,162460
2014-11-13,14.02,14.11,13.19,13.29,322500
2014-11-14,13.25,14.34,13.25,14.2,247713
2014-11-17,14.42,14.49,14.03,14.05,175580
2014-11-18,14.01,14.16,13.8,13.99,161809
2014-11-19,13.96,14.07,13.75,13.77,111582
2014-11-20,13.76,14.28,13.76,14.06,183058
2014-11-21,14.24,14.6,14.12,14.26,141645
2014-11-24,14.24,14.47,13.76,13.94,264765
2014-11-25,13.94,14.14,13.83,14.01,117838
2014-11-26,13.95,13.98,13.26,13.26,330812
2014-11-28,13.05,13.14,11.91,13.11,678356
2014-12-01,12.78,12.89,11.9,12.2,514280
2014-12-02,12.18,12.82,12.11,12.33,259480
2014-12-03,12.36,12.9,12.23,12.28,233170
2014-12-04,12.28,12.35,12.1,12.14,165529
2014-12-05,12.14,12.26,11.93,11.95,266769
2014-12-08,11.91,11.99,10.76,10.92,789551
2014-12-09,10.75,10.76,9.95,10.44,862329
2014-12-10,10.31,10.44,9.75,9.88,576889
2014-12-11,9.85,10.24,9.62,9.7,495178
2014-12-12,9.6,11.7,9.6,11.14,826204
2014-12-15,11.27,12.22,11.25,11.88,615740
