Date,Open,High,Low,Close,Volume
2007-11-09,16.2,20.7,16.0,17.5,19394709
2007-11-12,17.5,19.7,17.5,18.75,2477300
2007-11-13,19.5,20.5,18.85,20.5,2849500
2007-11-14,20.8,21.25,19.56,19.69,886708
2007-11-15,19.0,21.03,18.27,20.46,1382650
2007-11-16,20.99,20.99,19.19,19.61,410100
2007-11-19,18.01,19.17,16.72,18.07,1506459
2007-11-20,18.02,18.35,16.5,17.0,925200
2007-11-21,15.55,15.7,14.6,15.25,570300
2007-11-23,15.74,16.25,15.35,15.89,254000
2007-11-26,15.95,16.01,14.64,15.8,1034300
2007-11-27,16.25,17.12,16.12,16.67,755900
2007-11-28,17.0,18.74,16.9,18.09,771300
2007-11-29,18.0,18.67,17.9,18.55,266120
2007-11-30,18.55,19.26,17.63,18.63,119800
2007-12-03,18.4,18.65,17.5,18.36,257000
2007-12-04,17.58,18.0,17.11,17.44,208300
2007-12-05,17.66,17.75,16.85,17.5,245400
2007-12-06,17.8,17.8,16.91,17.13,61098
2007-12-07,17.1,18.49,16.42,16.52,92500
2007-12-10,16.75,17.26,16.52,16.8,195238
2007-12-11,17.65,19.32,17.65,18.95,991493
2007-12-12,19.45,19.49,18.82,18.93,414636
2007-12-13,18.69,19.57,18.69,18.73,134300
2007-12-14,17.88,18.58,17.88,18.31,285800
2007-12-17,18.0,18.1,17.4,17.74,334900
2007-12-18,17.82,17.88,17.17,17.56,212900
2007-12-19,17.11,17.75,16.9,17.36,153100
2007-12-20,17.65,17.75,16.9,17.5,224920
2007-12-21,17.8,17.89,16.84,17.89,430663
2007-12-24,17.85,17.85,17.01,17.37,51300
2007-12-26,17.65,17.8,17.35,17.75,140900
2007-12-27,17.79,18.0,17.5,17.75,62700
2007-12-28,17.75,17.86,17.43,17.7,145300
2007-12-31,17.94,17.97,17.46,17.58,45100
2008-01-02,17.2,17.5,16.5,16.5,226650
2008-01-03,16.5,16.54,15.9,16.2,204000
2008-01-04,16.02,16.07,15.5,15.79,119700
2008-01-07,15.94,15.94,15.07,15.22,195180
2008-01-08,15.15,15.47,14.0,14.07,407650
2008-01-09,15.0,15.59,14.52,15.24,239200
2008-01-10,15.5,16.51,15.24,16.12,108800
2008-01-11,16.39,16.46,14.95,15.49,130800
2008-01-14,16.0,16.0,14.51,14.8,131968
2008-01-15,14.8,15.5,13.27,13.7,584050
2008-01-16,13.6,14.1,13.25,13.94,500034
2008-01-17,13.78,13.94,13.0,13.59,314395
2008-01-18,13.99,14.39,13.0,13.61,384300
2008-01-22,12.52,12.52,10.87,12.05,280400
2008-01-23,12.0,12.48,11.51,12.43,352700
2008-01-24,12.97,14.86,12.24,14.15,1079155
2008-01-25,14.11,14.79,14.0,14.3,798996
2008-01-28,14.05,14.05,13.3,13.99,77500
2008-01-29,13.83,13.92,13.51,13.75,76000
2008-01-30,13.25,13.4,12.59,12.6,478270
2008-01-31,12.5,12.5,11.55,11.99,218868
2008-02-01,12.01,12.72,11.5,12.55,794200
2008-02-04,12.33,12.95,12.2,12.61,43030
2008-02-05,12.51,12.73,12.0,12.35,24064
2008-02-06,12.5,12.72,12.08,12.17,47831
2008-02-07,12.02,12.46,12.0,12.17,51700
2008-02-08,12.18,12.18,11.72,12.04,59094
2008-02-11,11.91,12.01,11.75,11.9,43175
2008-02-12,11.83,11.85,11.1,11.58,381900
2008-02-13,11.49,11.59,11.25,11.4,147630
2008-02-14,11.5,11.5,10.9,11.19,545116
2008-02-15,11.1,11.15,10.64,10.76,130914
2008-02-19,11.49,11.49,10.25,10.62,196900
2008-02-20,10.43,11.03,10.42,10.99,199255
2008-02-21,10.99,11.32,10.55,10.71,267300
2008-02-22,11.0,11.97,10.81,11.85,629880
2008-02-25,11.8,12.08,11.17,11.57,664400
2008-02-26,11.5,14.33,11.25,12.42,750080
2008-02-27,12.3,12.3,11.5,11.69,297726
2008-02-28,11.59,11.59,11.07,11.24,270020
2008-02-29,11.14,11.14,10.9,11.01,245418
2008-03-03,11.5,11.5,10.79,10.9,154997
2008-03-04,10.85,11.04,10.65,10.93,125376
2008-03-05,10.93,11.51,10.91,11.28,156292
2008-03-06,11.36,11.39,10.81,11.07,119900
2008-03-07,11.11,11.12,10.93,11.06,116700
2008-03-10,11.2,11.4,10.8,11.39,221544
2008-03-11,12.07,12.07,11.43,11.87,366303
2008-03-12,11.88,12.2,11.67,11.93,162800
2008-03-13,11.9,12.5,11.58,11.97,313596
2008-03-14,12.0,12.5,11.58,11.89,464572
2008-03-17,10.54,11.69,10.54,11.64,85900
2008-03-18,11.6,11.74,10.85,11.3,413132
2008-03-19,12.0,12.2,11.34,11.53,743831
2008-03-20,11.76,11.8,11.1,11.36,201800
2008-03-24,10.68,11.98,9.76,11.77,176197
2008-03-25,11.6,12.25,11.5,12.05,222630
2008-03-26,12.0,12.5,11.8,12.25,149500
2008-03-27,12.07,13.64,12.07,13.16,157500
2008-03-28,13.0,13.95,12.95,13.95,380965
2008-03-31,13.82,13.9,13.45,13.6,155000
2008-04-01,13.5,14.0,13.3,13.79,512382
2008-04-02,13.98,14.0,13.2,13.38,330000
2008-04-03,13.38,13.38,12.8,12.9,237949
2008-04-04,12.89,12.89,12.41,12.7,115060
2008-04-07,12.3,12.73,12.16,12.56,138496
2008-04-08,12.49,12.86,12.29,12.86,197100
2008-04-09,12.75,12.79,12.5,12.6,33504
2008-04-10,12.65,12.65,12.01,12.14,210800
2008-04-11,12.13,12.25,11.88,12.25,214007
2008-04-14,12.19,12.36,12.03,12.26,155606
2008-04-15,12.25,12.25,11.95,12.12,103675
2008-04-16,12.25,12.35,11.93,12.15,134573
2008-04-17,12.15,12.15,11.7,11.77,52829
2008-04-18,11.86,11.95,11.61,11.73,55400
2008-04-21,11.8,11.89,11.43,11.44,67704
2008-04-22,11.4,11.58,11.36,11.51,123890
2008-04-23,11.5,12.33,11.31,12.16,303740
2008-04-24,12.1,12.3,11.87,12.23,103092
2008-04-25,12.1,12.15,11.56,11.76,72700
2008-04-28,11.65,11.98,11.64,11.8,55497
2008-04-29,11.69,12.22,11.63,12.22,90655
2008-04-30,12.11,12.27,11.64,11.77,70516
2008-05-01,11.89,13.1,11.89,12.9,164992
2008-05-02,13.1,13.47,12.97,13.34,211378
2008-05-05,13.51,13.56,12.73,13.05,100975
2008-05-06,12.88,13.03,12.54,13.03,92901
2008-05-07,12.85,12.92,12.62,12.82,23075
2008-05-08,12.89,12.89,12.22,12.57,145022
2008-05-09,12.33,12.71,12.14,12.45,130560
2008-05-12,12.58,12.67,12.06,12.21,47656
2008-05-13,12.2,12.2,12.07,12.1,78615
2008-05-14,12.11,12.5,11.84,12.2,756215
2008-05-15,12.28,12.7,12.28,12.58,262159
2008-05-16,12.55,12.75,12.06,12.1,112675
2008-05-19,12.25,12.33,11.91,12.12,211480
2008-05-20,12.04,12.14,12.04,12.14,111989
2008-05-21,12.05,12.2,12.05,12.2,143383
2008-05-22,12.1,12.77,12.1,12.35,219722
2008-05-23,12.43,12.43,11.92,12.12,147647
2008-05-27,12.5,12.74,12.36,12.45,285650
2008-05-28,13.62,14.0,12.76,13.25,663239
2008-05-29,13.07,13.07,11.6,12.19,808538
2008-05-30,12.0,12.1,11.35,11.54,256450
2008-06-02,11.25,11.5,10.9,11.32,232806
2008-06-03,11.35,11.61,11.31,11.58,144447
2008-06-04,11.5,11.58,11.44,11.55,89206
2008-06-05,11.55,11.79,11.15,11.67,150066
2008-06-06,11.7,11.7,11.41,11.5,282688
2008-06-09,11.52,11.55,11.41,11.54,109142
2008-06-10,11.35,11.54,11.13,11.29,137641
2008-06-11,11.18,11.26,10.93,11.08,295262
2008-06-12,11.0,11.46,10.97,11.41,346938
2008-06-13,11.34,11.34,10.96,11.24,160298
2008-06-16,11.13,11.32,11.13,11.32,236333
2008-06-17,11.44,11.58,11.29,11.4,191224
2008-06-18,11.39,11.4,11.06,11.12,296459
2008-06-19,11.0,11.13,10.25,10.34,323775
2008-06-20,10.32,10.34,9.75,10.25,240495
2008-06-23,10.17,10.34,9.79,9.83,176958
