Date,Open,High,Low,Close,Volume
2014-03-28,30.1,30.47,29.5,29.5,15766079
2014-03-31,29.59,29.78,28.95,29.25,2386285
2014-04-01,29.5,30.19,29.14,29.98,1411447
2014-04-02,30.0,30.44,29.75,30.25,1374006
2014-04-03,30.31,30.85,30.22,30.24,772894
2014-04-04,30.54,30.82,30.13,30.21,872475
2014-04-07,29.16,30.45,29.16,29.47,875169
2014-04-08,29.45,29.7,29.1,29.32,1204586
2014-04-09,29.15,29.75,28.77,29.6,759315
2014-04-10,29.4,30.01,28.88,29.2,1047567
2014-04-11,29.19,29.2,27.88,27.93,1099475
2014-04-14,28.0,29.19,28.0,29.12,644946
2014-04-15,29.09,29.37,28.39,29.02,342793
2014-04-16,29.2,31.9,29.0,30.96,3312225
2014-04-17,31.0,31.02,30.25,30.42,1159731
2014-04-21,30.42,30.48,29.73,30.47,660318
2014-04-22,30.23,30.6,30.0,30.51,228047
2014-04-23,31.0,31.0,30.0,30.09,794263
2014-04-24,30.29,30.57,30.0,30.5,366886
2014-04-25,30.23,30.35,29.57,30.01,490055
2014-04-28,29.97,29.99,29.46,29.57,606819
2014-04-29,28.53,29.73,28.33,29.49,344627
2014-04-30,29.5,29.5,29.23,29.3,487106
2014-05-01,29.18,29.44,28.91,29.43,306808
2014-05-02,29.5,29.98,29.05,29.8,653385
2014-05-05,29.8,29.99,29.37,29.88,254988
2014-05-06,29.92,29.94,29.26,29.3,537433
2014-05-07,29.5,30.36,29.08,29.71,1423570
2014-05-08,29.85,30.99,29.75,30.48,1319208
2014-05-09,30.87,32.0,30.77,31.41,2053751
2014-05-12,31.74,32.75,31.14,32.45,1128797
2014-05-13,32.59,33.14,31.96,32.2,802668
2014-05-14,32.14,32.82,31.5,32.63,1031965
2014-05-15,32.43,32.8,32.08,32.58,912585
2014-05-16,32.58,32.86,32.18,32.75,506870
2014-05-19,32.77,32.99,32.4,32.75,403076
2014-05-20,32.86,32.94,32.34,32.71,716195
