Date,Open,High,Low,Close,Volume
2015-02-02,18.0,24.0,18.0,23.0,4573
2015-02-03,22.0,25.99,21.65,25.0,7225
2015-02-04,24.95,26.22,23.65,24.0,7208
2015-02-05,26.5,27.0,24.52,24.7,12633
2015-02-06,25.0,25.0,22.56,24.05,6234
2015-02-09,24.26,27.5,24.0,26.34,10941
2015-02-10,26.35,26.35,25.25,25.5,3688
2015-02-11,25.0,26.3,25.0,25.56,2926
2015-02-12,26.3,26.3,25.76,25.76,1689
2015-02-13,25.5,25.7,24.24,25.28,4471
2015-02-17,25.45,25.9,25.0,25.13,8124
2015-02-18,25.0,25.9,25.0,25.87,1702
2015-02-19,25.11,25.11,22.01,22.61,5798
2015-02-20,23.86,24.0,22.61,23.2,5614
2015-02-23,23.31,23.31,22.15,22.2,2161
2015-02-24,22.95,22.95,21.71,22.0,6185
2015-02-25,21.8,22.4,21.05,21.89,6290
2015-02-26,21.1,21.95,21.1,21.95,5112
2015-02-27,22.2,22.82,22.2,22.53,7249
2015-03-02,22.49,23.22,22.48,23.19,2402
2015-03-03,22.53,22.74,21.5,22.37,5413
2015-03-04,21.55,23.19,21.55,22.49,1321
2015-03-05,23.26,23.26,21.55,22.5,1946
2015-03-06,22.51,23.15,21.76,21.99,3951
2015-03-09,22.26,23.81,22.26,23.5,5016
2015-03-10,22.92,23.75,22.92,23.4,1745
2015-03-11,23.4,24.8,23.01,23.93,3202
2015-03-12,23.55,26.39,23.55,24.74,5748
2015-03-13,25.0,25.0,23.01,23.86,719
2015-03-16,23.31,24.8,23.31,24.78,6510
2015-03-17,23.05,25.0,23.05,24.82,6925
2015-03-18,23.86,25.0,23.86,24.18,6423
2015-03-19,23.78,24.97,23.78,24.97,7210
2015-03-20,25.0,25.0,22.07,22.96,19887
2015-03-23,24.0,24.93,23.97,24.24,6449
2015-03-24,23.5,24.85,23.5,24.03,4462
2015-03-25,24.0,24.22,24.0,24.22,1645
2015-03-26,24.04,24.78,24.04,24.21,1593
2015-03-27,24.03,25.0,24.03,24.96,3647
2015-03-30,24.03,24.75,24.03,24.75,3074
2015-03-31,24.14,24.97,24.14,24.97,2267
2015-04-01,24.34,24.99,24.33,24.99,6046
2015-04-02,25.0,25.0,24.5,24.62,10259
2015-04-06,24.38,26.4,24.38,26.13,5405
2015-04-07,25.59,26.19,25.24,25.62,5875
2015-04-08,25.95,26.43,25.95,25.97,32250
2015-04-09,26.0,26.0,25.94,25.99,12522
2015-04-10,25.95,26.43,25.94,25.99,2842
2015-04-13,25.98,26.42,25.95,26.26,5359
2015-04-14,26.03,26.24,25.95,26.07,3070
2015-04-15,25.95,26.25,25.95,26.06,3712
2015-04-16,25.95,25.96,25.9,25.95,1288
2015-04-17,25.92,26.02,25.92,25.96,2933
2015-04-20,25.95,26.13,25.95,26.12,3704
2015-04-21,26.0,26.0,25.95,25.95,1421
2015-04-22,25.95,26.0,25.95,25.99,5809
2015-04-23,25.75,26.0,25.75,25.98,9287
2015-04-24,25.92,26.0,25.85,25.99,2820
2015-04-27,26.0,26.0,25.95,25.99,9074
2015-04-28,25.75,25.99,25.75,25.99,6293
2015-04-29,25.86,26.0,25.77,25.91,3648
